"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
232876,175913,103,71823,54477,95,204109,154460,98,1575,1203,16,11586,8561,52,1991,1250,26,0.0156405
206828,170925,87,105252,89411,86,261362,212843,89,2885,2197,28,14602,12066,57,573,500,0,0.0364944
170796,141239,90,64346,55325,83,252376,216266,88,2566,2020,25,14370,12261,54,561,833,0,0.0469214
289947,220340,102,105520,82153,98,302464,229498,102,3020,2217,30,17296,13181,63,196,997,0,0.055263
103161,96244,77,28052,25508,68,96185,88543,78,996,807,0,5250,4704,36,392,794,0,0.0636046
326948,244958,125,137434,101647,124,420131,323713,127,4923,3404,36,23027,17554,73,1240,2122,15,0.0688181
106147,97245,85,32788,28972,76,111884,99585,80,827,754,0,6253,5874,36,612,495,0,0.0896721
245055,193823,101,55692,44035,91,231599,179099,95,2361,1824,22,12639,9707,52,2256,983,0,0.0917575
82294,81998,72,27858,27362,69,74869,72564,73,1052,1060,6,3959,3934,29,130,479,0,0.116782
177526,151577,84,52486,43083,83,103517,88924,85,971,1145,7,5815,4923,38,162,794,0,0.120953
164693,138041,83,48226,40034,81,148866,122593,85,956,986,0,8336,6743,44,458,1125,6,0.134508
350700,259539,134,132455,106130,122,407707,316650,127,4809,3196,32,23065,17927,68,1359,1607,15,0.140764
275803,188632,104,74379,51897,99,232925,161366,103,2815,1837,26,13847,9408,58,612,770,0,0.153277
230024,193401,102,93634,80788,88,335194,290548,92,3630,2631,29,19574,16556,70,456,1150,7,0.160576
218447,174358,91,52781,41766,87,226554,181843,93,2499,1844,22,13377,10808,54,-366,361,0,0.193942
130948,108718,81,36461,29968,79,127801,104010,82,722,550,0,7238,5725,42,-149,575,0,0.194985
243218,193647,92,82730,66069,90,218093,172443,93,2176,1904,23,12593,9716,51,707,497,0,0.19707
110148,104427,81,34247,31845,75,100967,93571,78,653,924,0,5808,5513,34,607,883,0,0.200198
164431,126980,96,44500,35018,83,139524,108175,87,1102,957,0,7656,5782,42,378,855,0,0.205412
162941,136941,86,42895,35424,82,147204,121815,85,1384,1103,12,7999,6502,44,1615,1122,5,0.216881
106380,95413,85,33855,29613,75,97692,87102,78,433,514,0,5386,4767,34,543,896,0,0.237735
113062,101617,79,33083,29217,76,95667,82318,79,1341,778,0,5543,4820,35,704,1020,2,0.240863
111031,98242,79,31599,27002,77,98102,83517,80,517,546,0,5393,4705,36,698,789,0,0.243991
228665,190394,88,101313,86782,88,280061,234495,91,2928,2385,27,15317,12373,56,1083,1600,11,0.24712
