"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
123933,120640,78,50573,49648,76,70661,68777,76,792,609,0,3652,3404,30,259,489,0,0.0139633
126894,121874,80,65306,62578,77,87263,84854,79,917,925,0,4732,4504,32,902,831,0,0.0169554
83304,83490,76,33656,34191,70,49567,49854,73,171,327,0,3005,2863,25,666,808,0,0.0269292
242230,183804,108,72026,53063,96,110707,81425,97,1340,773,0,6566,5027,43,-202,155,0,0.0329134
192782,157483,93,73007,58118,87,103318,84038,88,1018,688,0,5540,4536,37,480,1019,3,0.0349082
49056,49502,69,18580,19008,44,25597,25050,57,142,230,0,1322,1303,12,-197,252,0,0.0408925
88146,79315,77,35238,31659,74,57192,49750,76,577,454,0,3143,2817,28,-51,441,0,0.0488715
110074,106845,81,44967,43288,74,69941,66029,77,583,492,0,3999,3834,29,-31,294,0,0.0618374
179279,147780,86,65550,52788,85,109380,89294,87,851,752,0,5520,4477,39,813,928,0,0.0638321
153965,136514,87,60768,54779,82,87017,77199,84,900,791,0,4587,3999,32,-223,438,0,0.0698164
87070,86622,74,31543,31373,71,57510,56835,73,589,483,0,2890,2826,25,288,380,0,0.0748033
61915,62932,71,23177,23178,57,33528,33265,70,344,294,0,1842,1733,16,-30,421,0,0.0877692
76195,77311,71,25825,25552,60,46713,46583,72,548,613,0,2471,2494,22,-193,269,0,0.101732
88928,87152,78,26642,26744,68,54669,54627,72,532,488,0,2742,2724,24,165,446,0,0.105722
209825,163846,94,68889,53449,88,128860,97468,91,1130,726,0,6898,5158,42,1405,981,0,0.105722
125089,114883,80,53137,47390,78,72920,66435,79,798,664,0,3919,3518,31,923,1167,5,0.113701
212028,165771,92,68254,54945,88,133996,105700,91,1174,903,0,6801,5366,41,818,874,0,0.126667
47080,49269,72,17242,17780,42,22866,23475,48,89,139,0,1104,1112,7,23,295,0,0.126667
116404,107182,86,33822,29990,77,68792,62502,78,651,414,0,3546,3049,29,1138,1345,8,0.129659
52632,53446,65,21435,21789,49,30001,30609,68,309,238,0,1490,1587,15,600,1067,5,0.132651
98318,98365,76,41560,40634,74,66807,65765,75,326,492,0,3493,3186,30,-309,231,0,0.147612
62910,64183,70,14577,14687,42,36099,35725,70,127,235,0,1941,1835,18,-19,291,0,0.157586
115829,114733,82,41026,40901,74,72074,69262,75,513,600,0,3583,3671,28,498,425,0,0.157586
116841,116534,75,78351,78347,75,78769,77366,76,789,569,0,3859,3873,29,1005,1519,11,0.15958
218143,169533,92,88983,69457,91,115379,89510,92,1379,1153,11,5632,4446,38,703,1133,4,0.176536
148550,124337,85,57571,47836,82,77342,63065,83,740,554,0,4261,3603,33,59,627,0,0.181523
131406,124505,81,42955,40816,77,64779,61029,79,853,630,0,3812,3661,29,62,589,0,0.189502
120178,111698,78,43336,38851,75,69210,62263,78,798,826,0,3607,3153,29,696,977,0,0.190499
125080,106374,80,56977,48624,80,62884,53220,80,848,713,0,3221,2903,30,545,974,0,0.193491
151924,128522,85,59462,49784,83,91396,76199,85,819,666,0,5023,4357,35,845,1068,4,0.208452
196796,157281,91,91491,74373,89,108295,85304,89,1079,863,0,6032,4736,39,625,1008,1,0.22042
144876,132265,81,65438,58974,79,79643,71209,81,712,675,0,4151,3623,32,140,628,0,0.223412
76729,76383,72,27614,28083,63,43594,43700,72,408,553,0,2259,2456,21,-180,233,0,0.230394
64027,63619,72,34384,34700,69,31319,31276,69,476,450,0,1754,1813,17,262,512,0,0.232389
203860,164641,91,67837,53517,87,143933,109714,91,1395,1090,9,7961,6172,43,782,1085,5,0.233386
81129,81306,79,29532,29614,70,50034,50457,71,415,321,0,2184,2301,21,729,806,0,0.234384
91126,87357,79,28524,27231,70,57869,54426,75,576,589,0,2753,2661,25,-284,121,0,0.242363
142471,124072,81,51129,43665,79,80391,70357,81,891,860,0,4399,3959,34,32,990,0,0.245355
87882,87315,73,42124,42119,72,37372,36804,72,649,481,0,1902,1706,20,112,392,0,0.254331
278125,189949,120,96358,68073,112,200828,137127,114,1837,1320,16,10320,6829,50,135,590,0,0.258321
300501,158046,121,97472,45184,120,146647,80278,123,1575,987,0,7983,4442,62,1491,964,0,0.270289
148032,131205,84,66775,57378,82,75574,63681,82,3810,3363,31,4187,3805,31,191,578,0,0.275276
60868,59965,86,23224,23367,56,30582,30908,69,249,247,0,1777,1660,19,66,454,0,0.276273
45080,44421,66,18141,18446,45,27113,26697,62,345,340,0,1423,1410,13,65,301,0,0.277271
156394,121910,86,55367,44525,84,103845,79004,87,529,658,0,5550,4193,40,-242,266,0,0.277271
87999,85739,73,26431,26253,69,55964,54189,73,367,304,0,2875,2872,25,295,542,0,0.280263
109772,106665,80,51009,49179,75,72220,69794,77,752,639,0,3651,3604,29,1064,1491,11,0.28126
60888,62750,72,25280,25824,60,37648,37697,69,443,464,0,1957,1955,20,19,482,0,0.284252
199592,156719,88,92684,72833,89,126189,98687,89,988,715,0,6524,5214,40,860,890,0,0.28525
97455,95816,78,43309,43350,74,63908,63031,75,504,513,0,3416,3285,26,225,548,0,0.290237
40614,43851,59,22787,23318,56,24690,25599,58,284,375,0,1342,1537,14,-75,392,0,0.299213
117902,111970,79,37925,35585,75,56313,52609,76,596,623,0,2930,2796,27,552,745,0,0.302205
137490,124470,85,56754,50559,82,68450,61663,83,871,635,0,4033,3603,31,67,335,0,0.302205
102232,101462,77,50454,50387,74,56990,56310,74,807,581,0,2866,2755,25,572,1155,5,0.302205
90673,89146,80,21203,21056,54,61530,61004,74,270,276,0,3101,3090,25,459,1407,8,0.303203
49961,50984,68,19959,20282,48,28197,28604,68,531,446,0,1636,1566,18,-59,161,0,0.310184
165610,131191,86,69901,56146,84,96403,75759,85,449,527,0,5271,4227,37,24,334,0,0.312179
110998,101589,80,52778,48209,77,76179,69489,79,595,506,0,4085,3574,32,-412,271,0,0.314174
