"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
147477,131187,95,73933,67303,85,133455,119502,88,1163,988,0,6128,5381,41,687,878,0,0.000987059
139924,120092,87,49083,40751,86,92618,78311,89,922,706,0,4837,4119,37,1040,845,0,0.000987059
183055,161728,102,63841,55518,90,118817,103999,93,1077,812,0,6113,5185,45,551,603,0,0.00197412
120837,116279,84,29112,28440,78,72719,69352,82,753,667,0,3969,3845,32,406,522,0,0.00296118
111209,106169,87,35016,32983,80,65176,62044,83,423,410,0,3252,3205,29,158,416,0,0.00296118
230668,165620,111,86475,63903,100,137728,98353,102,1096,950,0,7468,5176,52,1643,1220,6,0.00394823
229458,155997,106,88222,62687,102,137670,94334,104,894,679,0,7224,4900,50,69,528,0,0.00493529
137792,122893,88,32526,27795,86,75595,65834,88,923,752,0,3921,3261,35,-183,255,0,0.00592235
110710,105313,89,48195,45253,85,77237,70663,99,698,728,0,3751,3650,30,373,689,0,0.00690941
108100,105624,81,46770,44680,79,76304,72614,81,478,574,0,3931,3527,34,7,604,0,0.00690941
262391,188275,108,91359,67610,103,152681,111707,106,1471,1209,13,7883,5560,51,341,532,0,0.0108576
139596,123773,98,60810,54238,87,90788,80257,90,765,809,0,4537,3905,36,1024,672,0,0.0138188
246761,185196,105,62525,47093,100,154611,116356,105,1640,1221,12,8306,6255,52,1089,1781,13,0.0148059
139190,129248,86,48212,44051,84,102229,92733,92,835,760,0,5255,4764,39,722,741,0,0.0148059
173294,140519,101,58095,47089,92,99053,80642,94,805,586,0,5309,4322,41,1261,832,0,0.0157929
143193,125931,98,59951,53760,87,118814,104420,90,1181,961,0,5949,5614,41,97,458,0,0.0157929
79838,79131,79,31826,31499,75,40557,38744,77,521,387,0,2337,2165,25,341,692,0,0.01678
94168,92511,82,32953,32265,77,62756,60607,79,543,513,0,3189,2962,30,27,421,0,0.01678
65296,66562,73,11782,11890,43,34387,33905,73,175,252,0,1647,1660,18,-84,417,0,0.01678
35304,37432,55,14114,14320,45,22507,22877,59,-8,124,0,1076,1026,4,-78,266,0,0.0177671
269540,208620,113,142842,116428,102,232601,188720,104,2359,1846,27,12141,9791,58,355,851,0,0.0177671
185177,148276,96,90740,75728,95,139079,114645,97,1393,1034,5,7041,5597,45,1314,975,0,0.0177671
174041,152779,90,89749,78172,89,169115,148739,92,1511,1304,15,8224,7210,48,-134,273,0,0.0197412
166081,145319,94,64811,57681,88,91078,76615,90,1170,1084,8,4519,4105,36,1066,1385,9,0.0197412
103362,100127,82,36617,34417,78,63076,60087,81,576,663,0,3507,3275,32,568,903,0,0.0197412
143249,122189,93,55843,48701,87,94527,81604,90,714,657,0,4596,3748,38,244,497,0,0.0207282
128590,105465,97,47274,39356,87,81041,65191,90,640,594,0,3957,3232,36,42,420,0,0.0217153
124225,110060,87,42077,35913,84,89085,77795,88,834,788,0,4484,3865,37,207,438,0,0.0217153
81198,83291,76,30588,30445,75,55218,54909,78,251,231,0,2762,2843,27,-204,449,0,0.0227023
94733,92783,93,23368,23104,62,66060,63982,80,340,409,0,3049,3209,28,-441,189,0,0.0256635
83722,84012,79,30364,30603,76,57025,56125,79,536,427,0,2797,2872,26,243,321,0,0.0286247
168183,134235,93,45577,36242,88,107003,84927,91,1349,1092,8,5694,4420,43,206,475,0,0.0286247
90410,86838,80,34607,32036,76,50175,46903,79,480,343,0,2749,2394,30,10,459,0,0.0296118
134116,114962,89,52203,44020,88,79957,64100,90,637,822,0,3995,3285,36,597,554,0,0.0296118
79859,78583,90,27857,27821,75,50011,48795,77,248,283,0,2613,2584,25,191,358,0,0.0305988
210180,158228,105,66443,48467,101,130489,97799,102,1393,891,0,6952,5283,50,-146,576,0,0.0315859
102961,101515,81,37376,36776,79,62791,61863,80,468,520,0,3256,3232,28,215,904,0,0.0315859
75335,71137,90,32095,31477,75,59406,57549,78,728,433,0,3132,3005,29,952,1190,6,0.03356
107629,95593,83,44582,39147,83,63967,54943,85,656,573,0,3135,2696,31,1005,806,0,0.03356
166439,135526,94,55485,46224,90,174272,140920,96,1008,811,0,8695,7284,49,1270,1690,11,0.03356
132338,116019,88,52930,45721,86,92988,81000,87,527,537,0,4756,4114,39,532,398,0,0.03356
157912,124180,97,51626,39840,91,92816,71059,93,716,655,0,4705,4040,39,900,636,0,0.0345471
146670,118483,97,49334,38216,90,99342,78054,106,817,690,0,4836,3937,39,268,613,0,0.0345471
203745,153294,100,68183,51517,97,135988,101438,100,1049,887,0,7042,5441,48,941,1240,8,0.0345471
166165,129693,97,60147,47231,94,113882,86627,96,838,861,0,6159,4492,45,553,681,0,0.0375082
229996,196420,99,126918,109691,98,182823,154630,100,2140,1534,24,9762,7894,52,1071,1171,6,0.0375082
141376,118998,90,52463,43444,88,101259,84751,91,519,471,0,5144,4226,39,-191,561,0,0.0384953
85780,83195,92,21767,21798,60,37654,37696,76,437,505,0,2002,1946,19,-286,327,0,0.0414565
240712,175843,104,76906,57682,102,142691,105012,104,1466,961,0,7347,5593,49,844,843,0,0.0414565
113778,104614,85,41910,38106,81,67868,61839,83,648,647,0,3772,3295,33,309,865,0,0.0424435
73415,72641,80,21169,21234,56,47808,46671,76,215,404,0,2528,2283,26,263,572,0,0.0434306
170493,138167,94,53686,42772,90,95815,76680,93,746,719,0,5047,4116,39,612,673,0,0.0463918
63436,64259,76,23495,23539,60,36702,36660,74,334,267,0,2116,2069,22,65,314,0,0.0463918
139986,130349,88,46060,42686,83,79668,73504,86,517,475,0,4065,3709,33,-39,522,0,0.0473788
255983,186233,105,92509,66655,104,149315,106137,105,1506,1118,11,7406,5347,49,338,1043,4,0.0473788
264940,182637,107,82412,58952,104,169053,114612,108,1277,1020,5,8877,6081,52,724,848,0,0.0473788
154242,126908,92,45988,35548,89,93727,77100,92,407,511,0,4607,3803,39,693,738,0,0.051327
83866,84610,80,21602,22097,57,45922,45584,76,386,356,0,2413,2489,25,369,733,0,0.051327
193718,142352,103,67093,49893,96,105168,77565,97,1176,872,0,5328,3959,42,85,794,0,0.0523141
145225,125813,89,40102,34308,86,81868,69027,89,772,754,0,4623,3842,39,-184,407,0,0.0533012
77775,78109,92,24915,24595,68,46281,45125,77,288,239,0,2249,2123,25,-213,388,0,0.0552753
204974,167293,106,71327,60684,95,124083,103284,97,1539,1135,9,6709,5240,47,1393,1169,12,0.0562623
112929,100188,88,39821,34915,82,81724,70933,85,621,570,0,4541,3854,38,180,534,0,0.0562623
58131,60160,73,20795,21188,52,33067,33343,74,257,364,0,1662,1704,18,-12,367,0,0.0562623
152367,125426,102,66521,55282,89,114400,93654,92,608,556,0,5717,4661,42,572,720,0,0.0582365
284798,216838,120,148161,116861,117,211182,159539,120,2064,1610,23,11219,8473,56,1855,1572,16,0.0582365
198700,152485,98,66071,50459,96,118758,91817,99,1146,915,0,6419,4901,45,-1,436,0,0.0592235
144069,120250,92,56979,47895,87,94667,77164,89,1173,702,0,4985,4322,38,853,1150,7,0.0592235
182966,165363,92,76248,69768,89,126567,114891,92,1361,1254,14,6683,6013,42,1468,949,0,0.0631718
153584,126818,91,60506,50690,89,100514,84684,90,840,861,0,5540,4587,42,776,1446,10,0.0651459
245073,186953,111,102620,77009,108,193892,143541,110,1760,1131,15,9384,6854,56,920,1078,5,0.06712
91898,92157,79,27418,27063,76,55238,54381,79,543,488,0,2712,2717,26,327,673,0,0.068107
149949,125255,89,62371,52140,88,97721,78001,91,837,632,0,5246,4267,41,852,998,0,0.068107
95458,86856,82,32981,28995,77,66178,57912,84,501,493,0,3582,3162,32,599,490,0,0.068107
116014,105192,83,42265,37026,82,80915,70709,85,553,575,0,4501,4127,36,119,1050,3,0.0710682
324081,230533,128,156585,120010,124,268553,203333,127,2553,1862,28,13532,10024,68,1317,1053,5,0.0720553
52347,53228,71,28106,28312,71,65835,65046,75,467,531,0,3338,3260,30,432,633,0,0.0730423
81891,81361,77,18531,18241,52,53327,52766,77,341,411,0,2839,2903,28,-151,258,0,0.0760035
