"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
162540,135994,92,60872,50734,90,74137,61876,91,815,673,0,3930,3331,35,-571,237,0,0.00104957
141422,129680,88,61076,56310,84,88273,80938,85,999,859,0,4995,4702,37,683,1094,4,0.00209914
201395,156763,99,87756,70360,94,113062,88737,94,971,763,0,5827,4299,43,1136,885,0,0.00209914
100808,96905,82,34894,33659,78,48589,46678,80,343,463,0,2281,2278,26,787,845,0,0.00314872
220782,169798,107,62862,48337,101,102564,79213,102,897,834,0,5001,3811,40,676,427,0,0.00524786
122780,119124,85,41171,39893,81,79111,74802,83,719,636,0,4388,4233,34,877,850,0,0.00524786
157845,146321,92,65419,61596,87,90187,83573,88,867,747,0,4848,4544,36,602,714,0,0.00629743
106379,101302,90,31423,30424,78,46270,44708,79,278,304,0,2557,2325,26,-207,453,0,0.007347
89002,87810,94,22456,22206,72,40024,40099,76,329,395,0,2121,2215,22,238,507,0,0.00944615
128138,114956,85,53761,48213,85,56654,50121,84,623,609,0,3140,2763,31,1003,848,0,0.0104957
143213,126834,92,55353,49501,86,65291,58902,86,394,446,0,3652,3013,32,-95,277,0,0.0104957
104257,101315,81,36000,33972,79,52707,51170,81,508,549,0,2586,2487,27,184,373,0,0.0115453
70683,71923,75,34275,34436,75,32179,31387,74,503,449,0,1784,1692,19,117,304,0,0.0125949
74826,75392,77,19091,19228,54,38912,39822,75,403,405,0,2073,2279,22,548,525,0,0.0136444
137874,123203,91,67025,59814,86,75623,66671,87,545,525,0,3884,3436,33,259,520,0,0.0136444
269870,197348,114,102404,75613,111,124861,92528,112,1440,1054,8,6920,5081,48,446,940,0,0.014694
52079,53217,77,22274,22773,62,22438,22556,64,352,287,0,1109,1122,9,-251,117,0,0.014694
57889,59138,73,12702,12774,45,9563,9625,42,319,279,0,8000,7886,46,40,340,0,0.0167932
87242,88137,77,35811,35703,76,43777,43049,76,435,361,0,2214,2127,23,414,473,0,0.022041
