"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
111396,95399,83,36359,29477,83,79976,65474,86,637,539,0,4074,3517,37,-154,406,0,0
268219,197292,120,123587,91223,103,193810,145436,105,2252,1662,25,10361,7514,57,644,625,0,0
212002,160007,118,62578,46858,98,122480,92179,103,1664,1372,17,6492,5043,46,149,493,0,0.00290818
150711,132284,89,67153,57954,88,96620,82608,89,1604,1371,16,4952,4313,39,701,1485,11,0.00387758
120353,107670,89,53028,46083,85,92406,78973,88,1222,814,0,4782,4318,38,518,377,0,0.00484697
159356,129929,101,63339,50871,90,99570,80702,91,1246,930,0,5164,3986,41,480,800,0,0.00484697
121052,114746,87,42428,40792,81,78466,74529,83,904,869,0,3656,3583,31,360,412,0,0.00484697
115330,101729,86,40568,35195,84,76458,65229,86,684,531,0,4135,3448,36,261,379,0,0.00484697
221694,192658,96,113241,99243,97,161749,139016,98,2520,2117,28,8759,7485,50,1169,675,0,0.00484697
95610,80352,88,36503,31476,82,65288,56151,84,502,578,0,3124,2540,33,202,382,0,0.00581637
209114,159008,103,64708,47624,98,124043,93260,99,2514,1876,27,6580,4640,46,411,460,0,0.00775516
101927,90685,85,38846,33995,81,51521,44807,83,806,549,0,2525,2078,28,40,515,0,0.00872455
159072,132950,89,53887,43717,88,103108,83591,91,1332,1051,5,5500,4688,41,1018,826,0,0.00969395
76621,73780,92,30176,28194,75,43329,41358,77,599,489,0,2196,2006,23,94,391,0,0.00969395
155056,127945,96,59813,47277,90,88403,73405,91,1224,1022,3,4682,3813,41,1025,618,0,0.0106633
44950,47928,58,19316,19152,56,29688,29411,72,324,344,0,1485,1656,17,-252,407,0,0.0106633
196619,161383,96,95924,77162,97,106380,84317,97,1781,1518,20,5978,4726,44,379,479,0,0.0106633
187914,161780,97,78029,67049,92,91302,77630,92,1726,1422,18,4931,4277,39,-61,375,0,0.0106633
222973,165739,100,89024,63646,97,138172,101561,98,1578,1249,15,7132,4929,49,964,849,0,0.0116327
84102,78474,94,24144,23576,65,70327,66622,78,442,529,0,3912,3729,33,-21,298,0,0.0116327
154858,128093,90,65958,55025,88,76240,61847,89,951,855,0,3903,3110,37,535,700,0,0.0145409
49673,50599,76,20354,20971,51,25224,25554,57,160,355,0,1269,1336,14,696,659,0,0.0145409
193884,148924,95,72625,56058,93,130190,96517,97,1427,1041,7,6931,4810,52,190,677,0,0.0145409
124958,106212,90,51905,43652,87,61695,50742,88,368,539,0,3503,2624,35,645,631,0,0.0184185
216764,169295,104,77933,60398,95,129657,98471,96,1372,1004,3,6862,5293,48,882,687,0,0.0184185
62168,62057,73,24649,24684,61,32391,32112,73,165,221,0,1695,1726,19,-301,329,0,0.0184185
89393,86524,83,33808,31425,78,60336,56855,80,421,429,0,3044,2658,31,-507,0,0,0.0193879
172175,138893,94,75273,62714,91,104315,86175,93,1326,1156,11,5746,4529,42,772,901,0,0.0203573
41595,42855,68,13183,12986,46,25198,25165,70,187,170,0,1138,1182,10,252,651,0,0.0203573
68851,71416,74,23884,23252,62,45624,45314,75,469,412,0,2299,2283,24,2,429,0,0.0203573
134964,118536,88,48516,42154,86,81205,70159,88,875,752,0,4047,3450,35,626,1149,7,0.0203573
98855,81182,88,39081,32897,84,58997,49686,85,565,428,0,2838,2411,29,-298,229,0,0.0213267
186974,146995,97,77036,61053,93,99823,78206,93,1354,1343,16,4979,4324,38,1102,858,0,0.0213267
146288,126352,91,61326,52638,87,78028,64871,88,1074,955,0,4204,3465,37,726,566,0,0.0222961
288405,201596,139,93632,66063,121,192076,134662,124,3289,2132,32,10289,7205,56,474,472,0,0.0222961
170408,135473,94,67960,55123,91,98958,75450,93,1400,876,0,4801,4076,39,72,512,0,0.0222961
101009,104485,77,52562,52670,78,68671,67140,79,785,793,0,3777,3332,33,1001,1298,7,0.0232655
91412,84509,83,29670,25951,74,66904,59616,83,598,398,0,3224,2838,32,877,953,0,0.0232655
121706,116322,87,22380,21861,62,89465,86075,84,857,836,0,4495,4280,33,-106,509,0,0.0232655
105861,104245,80,40521,39298,77,51633,48940,78,716,691,0,2844,2621,28,652,643,0,0.0252043
121276,101039,92,43331,35264,85,78102,64067,87,945,754,0,4137,3494,36,-334,301,0,0.0252043
98765,87516,85,37625,32801,83,56506,49185,85,737,517,0,3055,2849,29,189,400,0,0.0252043
26157,26937,64,13700,13675,46,15602,16298,46,-12,94,0,941,873,0,-337,526,0,0.0261737
160148,126140,98,58484,47055,90,75891,59600,93,1033,986,0,3753,2734,37,120,764,0,0.0271431
148283,119699,92,54104,43417,89,90056,69427,91,1097,736,0,4568,3652,39,113,602,0,0.0271431
56642,56249,74,14239,14404,45,34730,34813,74,392,260,0,1884,1879,21,1004,716,0,0.0281124
248474,190569,108,99715,75966,105,124736,94520,105,1963,1557,19,7036,5083,49,-564,267,0,0.0281124
138032,122532,92,61179,55271,86,66170,58163,87,950,729,0,3500,2988,33,667,700,0,0.0290818
44722,43137,77,14845,14844,47,27892,27573,73,442,283,0,1641,1633,15,384,1224,7,0.0310206
178123,159490,97,87719,78817,92,94400,83142,92,2099,2036,22,5070,4433,38,178,384,0,0.0310206
61627,62196,78,23748,23700,72,37982,38018,74,552,359,0,2051,2056,20,-314,234,0,0.03199
197921,150339,98,86678,66856,96,107205,80063,97,1531,1186,15,5492,4135,44,279,424,0,0.03199
75613,71297,93,29485,27091,75,43873,39370,77,539,509,0,2283,2025,25,-150,411,0,0.0339288
67953,67262,80,16769,16824,50,44194,44032,75,402,458,0,2135,1876,24,-205,199,0,0.0339288
63868,65479,75,22457,22398,61,39469,39593,75,288,352,0,1901,1827,21,102,299,0,0.0348982
84577,78107,94,40778,37697,79,35046,32576,78,429,738,0,1969,1756,21,-172,344,0,0.0348982
203863,175496,94,70745,59555,92,157928,132334,97,1858,1690,20,8122,6945,45,391,775,0,0.0358676
196610,151027,97,71868,54208,94,127672,95831,96,1632,1255,13,6413,4857,45,1060,890,0,0.0358676
148794,142454,87,60422,57291,84,71442,66000,85,1877,2041,20,4081,3728,34,855,1700,12,0.0358676
151279,123881,97,59708,48487,88,83170,67481,89,1306,1170,11,4554,3803,37,848,884,0,0.0358676
74596,76539,75,19940,20169,52,57073,57498,76,503,465,0,2932,2951,28,858,695,0,0.036837
60291,61068,74,20347,20692,52,34925,34962,73,171,288,0,1798,1684,20,-321,297,0,0.036837
87421,85466,80,29927,29583,76,62839,60150,79,335,353,0,3272,3111,30,128,673,0,0.036837
178169,141814,97,62783,48161,94,103438,81562,96,1450,1324,16,5712,4571,43,1205,1107,5,0.0378064
98357,93912,86,29153,28765,77,58678,56303,80,944,823,0,3083,3088,28,1105,823,0,0.0378064
212759,179035,97,109666,93190,94,126429,105878,94,2256,2149,26,6901,5852,45,146,541,0,0.0387758
129470,127323,83,52673,51297,80,87603,84089,83,1088,1184,10,4845,4820,36,729,737,0,0.0387758
214740,157740,108,64902,47770,102,142152,105729,105,1792,1470,24,7093,5504,48,337,547,0,0.0387758
245966,173599,114,79779,56308,110,164853,116651,112,1101,831,0,8452,5736,53,404,541,0,0.0397452
105284,87085,86,46251,38033,85,58299,47128,86,827,665,0,3058,2610,31,951,902,0,0.0397452
168790,137521,92,74768,60163,90,92662,76328,90,1603,1387,16,4805,3950,39,584,964,0,0.0397452
219588,156448,101,68865,49275,97,144501,102700,100,1289,902,0,7562,5316,49,750,835,0,0.0397452
251732,171039,122,80045,54075,116,175965,121186,119,2052,1284,21,9150,6241,57,1597,695,0,0.0426534
141444,124875,88,70002,61799,86,87592,76442,87,1110,885,0,4352,3476,41,571,620,0,0.0436228
96279,94581,80,28552,28264,75,62396,60406,79,748,734,0,3037,2846,31,-589,8,0,0.0436228
186446,140623,113,70757,52362,94,94299,68908,96,1349,1070,8,5049,4028,40,-97,574,0,0.0445922
116451,100183,86,44411,38035,83,63067,52686,85,1146,956,0,3508,2976,33,306,525,0,0.0445922
220044,161234,111,85149,62666,99,129318,92238,107,2705,1906,31,7150,5165,47,779,811,0,0.0445922
220779,160633,98,73242,53617,97,156644,110847,101,1349,957,0,7927,5282,50,932,805,0,0.0445922
53503,51776,79,17442,17423,52,29884,29595,73,159,371,0,1638,1617,16,-551,217,0,0.046531
163281,139901,91,63110,52928,90,86463,72140,91,1305,1137,15,4587,3954,37,919,1198,6,0.0484697
61926,63051,74,19402,19660,53,29858,29817,73,528,369,0,1520,1466,16,-247,150,0,0.0484697
169936,134222,96,75145,60842,89,124751,100434,92,1240,908,0,6243,5253,43,1065,780,0,0.0484697
215458,164594,100,87613,66146,96,131214,97895,98,1738,1353,20,6430,4956,45,1132,1066,6,0.0484697
138348,109623,91,50342,41227,87,94683,72569,93,731,519,0,5066,4026,40,7,438,0,0.0484697
111754,115455,73,53219,53166,79,79465,75984,80,1318,1367,15,4321,4398,35,-42,296,0,0.0484697
65001,65155,79,30545,30805,74,42965,42931,75,624,421,0,2147,2120,24,-409,181,0,0.0504085
84123,80467,91,18214,17768,54,55972,53116,78,311,417,0,2747,2716,26,363,964,0,0.0504085
129302,117863,94,62085,56756,85,78988,71699,86,1512,1284,14,3969,3718,31,-213,254,0,0.0513779
74579,74224,79,20982,21193,58,43217,41996,76,503,594,0,2437,2254,25,452,739,0,0.0513779
93000,94153,79,41175,41194,78,50876,50138,79,798,735,0,2781,2713,28,76,542,0,0.0513779
227572,174628,105,120923,95524,102,131593,100844,104,2171,1749,24,6897,5403,44,94,881,0,0.0523473
238600,175924,103,62708,46532,99,148105,106221,104,1668,1199,14,7816,5633,50,449,645,0,0.0523473
52276,54279,66,20798,21140,54,25110,24962,70,167,288,0,1072,1123,8,-286,136,0,0.0523473
130815,108878,90,58021,48383,88,72049,58136,89,925,687,0,3659,3232,34,-55,942,0,0.0552555
123495,119804,94,55456,54514,82,96167,90499,83,1034,1042,6,4817,4500,36,69,349,0,0.0562249
70347,71209,77,16523,16854,47,38571,38320,75,236,319,0,1938,2021,21,706,767,0,0.0571943
95660,85463,84,40134,35583,79,61916,54062,81,318,390,0,3106,2639,31,136,301,0,0.0571943
