"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
128136,116033,89,50493,44644,83,79893,70614,85,904,673,0,4091,3223,37,506,505,0,0.000974659
147036,129295,89,71176,62951,88,81797,71321,89,1197,954,0,4422,3852,35,253,730,0,0.00389864
257392,187272,112,75388,55495,108,134946,97682,110,1364,1014,3,6760,4894,47,-471,199,0,0.00682261
96008,96844,78,25628,25525,63,43036,41865,77,532,482,0,2479,2253,26,55,404,0,0.00682261
187081,160722,101,72035,61295,93,109750,94317,95,1125,759,0,6103,5632,40,769,713,0,0.00682261
146657,139780,87,41510,40523,82,89137,86183,85,684,559,0,4538,4249,35,468,965,0,0.00779727
154671,132157,88,60351,50445,87,88608,75870,90,958,955,0,4453,3640,39,887,1099,4,0.0107212
251770,179213,109,100074,72323,102,160355,110013,105,1612,1238,13,8303,5900,51,547,522,0,0.0116959
130032,115066,90,36096,31156,81,60628,52982,84,439,496,0,3136,2762,31,-412,161,0,0.0126706
220229,172241,116,82223,65172,99,114512,87619,101,1058,660,0,6163,4822,44,417,727,0,0.0126706
219277,163397,99,70568,52687,96,121290,88446,98,982,750,0,6432,4495,46,58,330,0,0.0136452
118149,119881,80,57158,56914,80,73840,71751,82,653,519,0,3499,3399,30,1768,1114,7,0.0136452
163496,136976,89,59791,48174,89,94572,77334,90,740,779,0,4357,3522,39,452,502,0,0.0136452
97348,95563,80,31469,30690,78,56583,54774,80,513,391,0,2703,2791,25,93,659,0,0.0155945
220129,167829,101,81053,60757,100,121498,95432,101,1161,785,0,6431,5095,45,572,979,0,0.0175439
56815,60506,53,22476,22532,53,29114,28941,72,233,204,0,1573,1469,17,293,665,0,0.0175439
107323,99023,91,39811,36023,82,58605,53850,83,718,580,0,3314,3157,30,170,546,0,0.0194932
93861,93838,79,34349,33531,77,47941,47913,78,503,693,0,2597,2342,26,-388,127,0,0.0194932
269805,185771,118,90783,61433,111,126185,86425,111,1496,858,0,6891,4804,47,4,455,0,0.0214425
184107,144516,95,69650,54360,95,89198,68993,97,1051,680,0,4977,3630,41,681,1086,5,0.0224172
161365,139500,94,77338,67427,89,84966,74272,91,955,987,0,4327,3929,35,-70,332,0,0.0233918
28218,28058,63,9458,9626,40,16091,16295,50,38,218,0,945,782,0,763,981,0,0.0233918
125974,117153,88,44320,40816,81,72588,66817,84,738,673,0,3872,3706,31,748,869,0,0.0243665
253903,207910,108,126393,106851,107,162833,135386,108,1658,1451,17,8605,7228,48,1420,1250,14,0.0243665
211086,165425,100,88258,68959,98,119121,92305,100,925,810,0,6588,5096,44,405,769,0,0.0253411
154392,135816,93,64478,55333,88,72505,62438,88,732,566,0,3774,3195,33,377,603,0,0.0253411
109702,104841,90,29354,25746,81,65878,61277,83,570,610,0,3375,3393,30,1169,838,0,0.0272904
118895,109429,84,42298,37864,82,58129,52324,84,595,456,0,3017,2811,30,217,671,0,0.0282651
197800,153614,100,69351,54371,97,98935,76099,98,792,780,0,5049,3924,40,397,453,0,0.0282651
35856,37381,65,17412,17655,51,19508,19788,51,63,109,0,1088,1038,5,-89,215,0,0.0282651
137740,118592,90,52693,45182,86,60633,51784,85,655,591,0,3520,2865,34,1316,1073,4,0.0292398
170868,144923,106,59626,50114,87,91544,77015,90,1198,1074,8,5282,4407,40,423,597,0,0.0331384
202571,176818,94,106959,94936,92,98097,84286,92,1771,1411,17,5064,4209,40,496,556,0,0.0331384
25139,30878,42,8959,9901,38,13674,13709,45,108,134,0,710,751,0,85,336,0,0.0331384
53184,54101,79,17391,17851,50,24691,24778,70,166,249,0,1420,1501,15,428,477,0,0.0331384
121443,110267,85,54072,49419,84,52256,46072,84,467,638,0,2768,2524,28,217,760,0,0.0331384
82855,82807,78,16509,16670,49,41861,40855,77,250,445,0,2201,2168,23,-194,304,0,0.0341131
146368,140786,88,42655,41515,81,78090,74600,84,454,570,0,4321,4112,33,286,390,0,0.0350877
190885,157132,106,63273,49945,93,100175,81294,94,1120,764,0,5582,4433,42,422,878,0,0.0350877
51864,53361,72,17790,17980,51,23842,24472,68,86,212,0,1162,1247,11,329,598,0,0.0360624
201289,179028,92,99160,88928,92,150979,134244,94,941,1150,9,7848,6784,47,378,661,0,0.037037
168246,143487,91,84956,72900,90,116018,98038,91,1219,871,0,6298,5731,41,802,997,0,0.037037
