"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
206290,167116,109,87088,69790,95,99806,79161,94,982,714,0,5023,4025,40,712,1449,9,0.00102093
128513,117060,85,41647,37114,84,55097,50348,84,682,673,0,2622,2353,28,-332,143,0,0.00102093
43596,43524,72,15227,15377,48,18049,18316,50,51,119,0,810,779,0,279,372,0,0.00306279
64981,66711,79,26036,26349,72,26849,26993,69,205,412,0,1505,1414,17,-213,202,0,0.00306279
232574,185110,103,102510,83298,97,90957,73791,97,1287,1000,1,4782,3886,37,784,1059,4,0.00408372
178908,153155,92,74018,63530,92,83113,70633,92,980,709,0,4450,3522,38,592,447,0,0.00408372
80626,79713,84,20146,20404,53,26305,26645,72,284,275,0,1525,1584,16,70,265,0,0.00510465
58182,56150,75,18568,18798,53,27256,27634,72,296,388,0,1608,1593,17,413,587,0,0.00510465
111679,112752,79,50628,50084,79,62545,61425,80,597,631,0,3262,3248,29,-133,557,0,0.00612557
121471,107288,89,51633,45333,85,54187,48009,85,508,556,0,2617,2110,28,236,831,0,0.00612557
323002,246448,119,156710,124712,114,156623,119636,114,2218,1488,25,8433,6566,50,1964,1345,11,0.00612557
124083,112735,85,64674,58459,84,54160,48013,84,743,749,0,2542,2428,26,-97,473,0,0.0071465
72757,74811,76,30702,31077,73,36764,37506,75,233,299,0,1917,1992,21,392,522,0,0.0071465
84510,83419,78,26036,26226,67,33561,33650,75,410,381,0,1687,1628,19,-144,280,0,0.0071465
111479,110386,82,40639,39755,80,52695,51203,81,543,745,0,3049,2878,28,4,736,0,0.00816743
260331,194561,110,120141,90014,109,113267,84587,108,1124,691,0,5812,4430,44,979,854,0,0.00918836
209475,142826,105,88879,59393,103,93349,64507,103,1111,730,0,4560,3344,41,1027,809,0,0.0102093
117667,109431,87,40629,35939,83,44876,41241,82,648,387,0,2345,1943,25,231,786,0,0.0112302
65463,65758,78,21127,21545,57,25956,26111,68,518,415,0,1350,1145,10,-491,198,0,0.0112302
119783,113547,93,44811,42233,80,41973,39135,81,577,504,0,1952,1962,23,460,598,0,0.0112302
132888,112585,90,58819,51140,87,51459,44135,86,715,535,0,2600,2361,28,-300,203,0,0.0112302
99039,96092,96,26244,25579,76,36614,35570,78,360,458,0,1994,1839,22,1192,1434,10,0.0132721
36421,38624,69,7861,8027,37,14009,14596,45,79,214,0,809,714,0,-255,141,0,0.0132721
137825,120774,88,79492,69018,89,61451,52982,88,763,864,0,3359,2804,32,773,883,0,0.0132721
94708,93833,80,40396,40366,78,45453,44834,78,441,376,0,2406,2408,24,1097,1360,8,0.014293
152294,133028,96,94259,84431,87,78719,71024,85,911,742,0,4499,3965,37,-119,593,0,0.0153139
138696,135046,85,49936,49137,81,55521,53251,81,899,786,0,2645,2465,27,722,922,0,0.0153139
93254,86080,83,39013,35321,81,38099,34526,81,551,306,0,1902,1919,22,595,851,0,0.0153139
190116,155910,98,77303,65875,93,77299,63129,92,938,778,0,4137,3516,37,-17,456,0,0.0173558
186779,155199,102,54634,44915,90,80250,66679,93,856,733,0,4385,3843,36,602,490,0,0.0193977
52684,53874,72,17023,17249,49,18659,18138,52,130,232,0,970,995,0,-362,367,0,0.0193977
175007,146389,96,79801,65999,93,72638,60184,92,964,708,0,3890,3258,35,632,661,0,0.0214395
236608,169767,107,93929,66683,105,97198,71061,106,1144,780,0,5086,3457,43,964,1206,12,0.0224604
178227,157946,93,61851,54106,89,99356,88737,91,922,898,0,4810,4440,37,169,524,0,0.0224604
