"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
107855,96509,84,40365,35318,83,61244,53050,85,489,571,0,3307,2919,32,92,345,0,0
326545,230633,139,154650,106021,129,244230,183079,132,2175,1435,24,12644,9975,58,1342,943,0,0
136559,119175,86,56052,48276,86,57081,47138,87,1071,766,0,3080,2588,32,216,572,0,0.00103673
233244,175369,108,92267,69682,104,105227,77441,105,1440,1204,13,5686,4201,42,944,1216,10,0.00103673
67243,67941,75,14888,15255,45,40490,40457,74,482,435,0,2006,2066,21,-110,560,0,0.00103673
184369,140017,97,59380,45377,94,114984,87267,96,880,635,0,5729,4442,43,59,502,0,0.00207346
160064,136132,90,59355,50149,89,86589,73019,90,688,632,0,4810,3879,41,501,474,0,0.00207346
49249,52613,52,21349,21720,54,22448,22533,56,521,404,0,1329,1259,12,79,379,0,0.00207346
173451,153331,90,67457,60190,88,93692,84178,90,854,979,0,5002,4386,38,1436,855,0,0.00207346
131076,111672,87,47248,39621,85,64798,53372,87,906,459,0,3389,2842,31,949,988,0,0.00207346
224830,173485,104,48966,38978,97,132289,100934,101,1153,1042,6,7347,5713,48,-50,514,0,0.00207346
128723,116853,85,48077,42216,86,69302,61790,87,714,614,0,3445,2910,32,-416,181,0,0.00311019
204966,155477,100,82444,64302,97,114860,88352,98,1022,1017,3,6084,4687,45,-330,348,0,0.00311019
78118,76324,92,29189,28664,75,48416,48190,77,419,259,0,2412,2606,24,279,1041,3,0.00518365
71334,70171,80,26093,25111,75,44478,42525,76,207,318,0,2234,2270,24,-45,324,0,0.00518365
106472,104000,85,33041,32428,77,58198,56569,80,753,415,0,3030,2755,29,-188,164,0,0.00725711
232749,165250,106,81477,58828,102,138312,97550,104,1480,1193,13,6867,4667,50,302,487,0,0.00725711
122092,115954,85,39312,36976,82,59623,55773,83,393,334,0,3098,2775,30,-10,826,0,0.00933057
163625,135135,103,46921,39741,87,82364,65709,91,987,620,0,4217,3506,37,-97,243,0,0.00933057
97303,86131,84,32158,27096,81,55358,48109,82,532,482,0,2960,2467,30,-486,146,0,0.00933057
118818,103430,89,41292,35902,82,54966,47723,83,547,559,0,3029,2456,31,-285,419,0,0.0103673
244388,176802,112,73933,53680,102,135889,99636,104,1248,990,0,6843,4838,47,1476,1120,5,0.0103673
110605,106698,82,28563,26004,78,67155,62176,82,639,543,0,3619,3203,33,562,540,0,0.011404
222309,163858,104,72143,53352,98,130638,94435,100,1365,1024,5,6690,4803,46,237,705,0,0.011404
231786,158166,123,73011,48190,123,133976,92261,123,1192,761,0,6813,4803,47,-70,399,0,0.0134775
99321,101953,79,42039,41669,78,54577,52810,78,717,747,0,3031,2908,30,21,412,0,0.0134775
161335,137802,88,64213,55026,87,76783,64580,88,866,711,0,4292,3634,36,111,655,0,0.0134775
71291,70678,76,23631,22060,56,46154,43001,76,560,476,0,2141,2124,24,-376,161,0,0.0134775
145405,136016,93,43124,39725,83,74490,69668,85,701,726,0,3850,3435,33,214,470,0,0.0145142
189322,152034,107,61089,49184,94,88558,70239,96,749,633,0,4695,3858,40,836,862,0,0.0155509
188889,142967,103,60286,46286,94,112729,84502,97,982,805,0,5969,4600,43,-36,235,0,0.0155509
123884,102270,91,45847,38193,86,62882,50910,87,586,582,0,3196,2681,31,276,632,0,0.0165877
112407,109526,88,23025,22851,62,67741,67006,80,585,676,0,3453,3568,29,-296,464,0,0.0165877
163873,127110,106,53153,41702,90,95874,73657,94,766,489,0,4927,3641,39,155,542,0,0.0176244
114976,92971,100,42836,35656,86,54846,43226,88,568,414,0,2803,2335,30,-260,465,0,0.0186611
293296,201305,123,79678,53281,114,206692,142413,118,1765,992,0,10646,7360,57,873,481,0,0.0186611
