"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
148174,131291,105,52874,46149,88,60892,53942,88,882,672,0,3248,2811,32,896,571,0,0.00404335
65774,67326,69,15610,15797,47,21015,21325,62,337,201,0,1141,944,0,958,1012,2,0.00606503
89619,89705,78,31979,31820,76,28571,27816,75,517,375,0,1508,1478,18,348,652,0,0.00808671
112224,110982,83,53501,52660,80,49686,48773,80,774,590,0,2612,2498,26,77,375,0,0.0111192
174257,139400,96,65486,49798,94,73419,59906,94,722,744,0,3661,2812,36,483,1193,7,0.0171843
130325,115653,90,45552,39734,86,54226,49084,86,596,515,0,2656,2430,27,114,558,0,0.0181951
172784,138608,98,67627,53094,94,78989,62059,95,1140,668,0,4055,3176,37,192,874,0,0.0202168
102859,101430,82,47754,47283,80,40002,38941,78,324,361,0,2023,1900,22,1061,909,0,0.0212276
55021,56578,75,19808,20340,54,21254,21265,55,87,241,0,1062,1034,4,-89,297,0,0.0212276
48957,48148,73,18168,18279,51,19590,19425,56,113,119,0,1154,1158,9,272,546,0,0.0222384
179019,148850,108,63860,52896,90,82039,66736,91,1019,797,0,4263,3570,36,104,839,0,0.025271
101019,100508,78,26176,26252,66,40034,39959,77,356,287,0,1990,2012,22,-109,413,0,0.025271
60922,62588,72,24432,24924,64,22346,22321,72,223,394,0,1238,1275,11,-7,227,0,0.0343685
62353,64394,74,21637,21842,57,19854,19411,53,157,297,0,1050,1191,10,91,376,0,0.0343685
54315,55253,83,32964,33456,73,19307,20057,53,185,283,0,1083,1157,8,157,483,0,0.0363902
147786,126386,92,52829,44325,89,55878,46251,88,496,556,0,2905,2692,29,-40,334,0,0.0363902
138593,125178,85,51562,44718,86,53974,48944,84,823,501,0,2905,2623,27,624,576,0,0.0363902
189733,162268,92,90337,75184,93,88474,77167,92,1031,751,0,4834,3821,39,789,742,0,0.0414444
18065,17251,56,9023,9356,40,7631,7445,38,162,198,0,447,462,0,-38,456,0,0.0424552
31773,31633,71,10291,10669,40,9872,10207,40,249,273,0,593,820,0,113,492,0,0.0444769
37474,39985,66,13584,13893,45,14089,14260,46,167,222,0,744,781,0,-100,429,0,0.0444769
171538,139133,98,80500,66585,92,51734,42630,89,951,697,0,2503,2026,26,439,513,0,0.0464986
206051,154370,99,63526,48268,96,103565,75932,98,1395,884,0,5234,3785,43,147,444,0,0.0485202
59492,65944,52,29358,29111,72,24161,23517,70,151,157,0,1265,1224,12,15,550,0,0.0485202
62052,59035,86,20717,20685,56,16824,16446,48,361,314,0,811,968,0,478,490,0,0.0495311
233457,185329,105,91507,73457,99,91626,74867,98,1307,1076,8,4650,3775,39,767,1109,6,0.0515528
