"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
99987,94592,76,29542,26786,71,93343,84825,79,675,788,0,5317,4923,34,-20,624,0,0.0184237
95007,93166,73,28153,26615,66,90263,85586,75,611,813,0,4906,4761,33,25,494,0,0.0184237
108573,99485,80,32238,28960,77,96465,86983,80,911,801,0,5044,4613,34,-258,277,0,0.0204708
209987,162109,92,50124,37535,87,165755,125604,92,1678,1198,15,8982,6737,46,31,345,0,0.0235415
199223,158878,89,63959,51412,87,168512,132781,90,2080,1632,18,9552,7407,48,100,346,0,0.0296827
236833,180713,103,79966,62423,90,181645,138016,93,2323,2010,23,10603,7877,47,1025,1501,10,0.0307062
225780,152482,95,73148,49075,94,197666,131909,97,2186,1352,21,11296,7610,50,541,716,0,0.0327533
135456,127071,79,37094,34282,76,136881,123152,81,982,1176,9,7765,6840,40,936,645,0,0.0327533
155832,130388,90,43237,36414,83,133318,114347,86,1274,995,0,7256,6129,41,687,898,0,0.0337769
67368,67638,71,23629,23711,55,54742,54601,71,435,503,0,2982,3038,25,-259,203,0,0.0388946
247724,199542,93,76532,62481,90,217048,174345,94,2039,1411,23,12159,9490,52,1315,1509,11,0.0409417
92021,88290,78,28901,28904,71,75383,74146,74,471,567,0,4087,3879,29,-246,391,0,0.0440123
141699,116949,85,39189,32410,80,126285,105270,84,1262,1150,9,7290,5909,40,-571,280,0,0.0440123
115694,101901,81,33514,29402,76,102127,88270,80,1182,765,0,5687,4967,35,-615,93,0,0.0481064
106531,96614,79,28103,24909,62,93122,83918,77,897,608,0,5507,4728,35,415,626,0,0.0552712
78119,77407,71,26690,26278,67,70538,68208,73,829,728,0,3929,3733,29,-962,0,0,0.0562948
154186,128447,87,50717,42742,80,126900,104140,84,1302,1036,4,6783,5749,40,464,781,0,0.0573183
354674,243805,116,119816,85261,110,380329,280789,114,3803,2728,33,20814,14927,68,814,850,0,0.0593654
151007,136435,82,37719,32448,78,128771,110898,82,1505,1211,9,6924,5615,39,700,791,0,0.0614125
153338,125861,83,45342,36857,82,132959,106598,86,661,751,0,7258,5681,43,-359,168,0,0.0644831
78619,78199,75,21473,21419,49,67405,66640,73,418,537,0,3727,3558,29,65,677,0,0.0655067
132231,120992,84,37700,33461,76,103259,90780,79,1299,1061,11,5626,5028,36,-454,409,0,0.0655067
81191,79667,78,30145,29979,70,70417,68641,73,608,821,0,3767,3757,29,116,293,0,0.0665302
139650,132567,81,45643,42799,76,123904,113861,80,1314,1267,10,6987,6369,37,258,723,0,0.0665302
121084,105161,82,37033,31613,79,108199,92372,82,1233,885,0,5668,4836,36,914,1358,9,0.0685773
83274,78819,75,24547,23140,59,68580,64262,74,599,741,0,4088,3694,30,-6,587,0,0.0716479
67368,68222,72,19040,18874,48,58889,57769,72,554,506,0,3521,3496,27,690,690,0,0.0767656
325822,218187,130,79622,52932,118,283295,183569,123,2830,2272,29,15992,10147,61,1188,601,0,0.0777892
154114,126939,84,49222,41225,82,136880,111678,85,1109,787,0,7751,6483,41,181,627,0,0.0777892
239272,187018,96,53954,41658,92,192539,147507,96,2124,1356,24,10631,8046,48,1095,1062,5,0.0798362
