"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
99214,91161,79,39417,36398,75,75970,68942,77,613,691,0,3852,3463,31,135,400,0,0.00603833
105953,106972,75,43782,43556,73,100116,98052,76,843,840,0,5366,5200,34,200,780,0,0.00704472
89814,90359,72,30908,30874,71,60773,59674,74,647,469,0,3420,3536,27,48,799,0,0.00805111
126018,115513,89,45977,42041,77,93946,86831,79,817,917,0,5024,4547,35,748,1038,3,0.00905749
104378,105252,76,24665,24655,57,83739,81662,75,768,740,0,4594,4546,32,504,433,0,0.00905749
107162,105181,75,30506,28770,74,89363,85397,77,934,834,0,4960,4611,33,438,501,0,0.0100639
93129,92418,78,34970,35004,72,62867,61923,74,642,671,0,3439,3402,26,577,469,0,0.0110703
72291,73086,71,25686,25928,64,53883,53945,72,54,235,0,2741,2832,23,183,393,0,0.018115
37186,36506,71,7568,7733,34,24222,24588,61,167,249,0,1279,1306,13,1349,1242,7,0.0231469
105581,103878,75,29738,29653,73,82252,82127,76,693,716,0,4476,4519,30,-60,456,0,0.0261661
96953,94646,75,25792,25576,59,80254,78885,75,827,733,0,4299,4426,30,810,775,0,0.0281789
48433,50674,68,12359,12520,39,30189,30489,68,444,530,0,1652,1724,17,105,430,0,0.0322044
118579,108568,82,48854,44800,78,89924,81187,80,355,575,0,4498,4033,33,-593,84,0,0.0322044
85317,86128,72,31644,31915,70,64187,62937,73,409,600,0,3043,3087,26,727,696,0,0.0422683
150997,131498,89,46231,39983,80,110357,93727,84,735,723,0,5757,4795,38,47,606,0,0.0452875
101213,98821,74,40412,40224,73,71079,68783,75,659,692,0,3968,3923,29,726,735,0,0.0452875
184990,144693,89,63063,49126,88,114391,90436,89,1108,972,0,6205,4970,40,811,680,0,0.049313
87244,88277,73,38021,38247,72,60551,58838,73,461,583,0,2949,2869,25,162,464,0,0.0503194
111036,109858,78,55992,55132,75,92683,89315,76,848,645,0,4933,4724,32,289,308,0,0.0553514
124674,118710,86,41347,38810,77,99596,93417,78,775,817,0,5563,5398,34,618,527,0,0.0583705
39530,39589,66,14081,14175,41,26362,26954,62,290,358,0,1230,1351,11,300,431,0,0.0603833
24273,25699,59,11490,11985,39,19692,20100,45,104,183,0,1016,994,0,-149,303,0,0.0654152
136179,129867,82,86762,82208,80,93336,86951,80,1125,771,0,5034,4870,33,376,1323,8,0.067428
88957,89133,81,46527,47037,72,70713,71075,74,699,533,0,3761,3671,29,-127,357,0,0.0704472
103227,99462,76,35545,33672,75,70090,66007,77,793,702,0,3550,3406,29,69,275,0,0.0704472
204446,171518,86,66002,55326,85,143086,117118,88,1175,977,0,7943,6661,42,945,1435,10,0.0704472
267230,202352,107,81499,63689,102,164700,126476,106,1436,1202,13,9098,6743,48,481,453,0,0.0754791
53765,54964,68,20324,20345,49,38581,37871,70,299,270,0,2059,1932,20,428,460,0,0.0774919
199792,156376,94,74126,56776,87,123664,95427,90,932,749,0,6744,5255,42,963,936,0,0.085543
96424,99072,71,28199,28247,61,70339,69364,73,645,656,0,3654,3581,29,631,655,0,0.0865494
141365,121238,88,49771,42575,79,110616,92973,82,583,585,0,6047,5280,38,681,745,0,0.0905749
74499,73133,76,13450,13418,41,50355,49409,72,382,372,0,2820,2844,25,772,675,0,0.0935941
130458,120636,89,45054,41269,78,119312,109423,81,978,1047,5,6093,5791,35,1089,1142,6,0.0976197
43011,42135,69,18418,18752,46,30438,30125,67,-8,143,0,1770,1602,18,-230,138,0,0.100639
108687,95453,80,46817,41568,77,76260,67206,78,621,631,0,3909,3308,33,264,597,0,0.115735
128974,116512,80,53972,47797,79,93156,82640,81,911,739,0,5302,4691,37,1321,1004,1,0.123786
131107,115378,83,49423,42640,81,106590,92272,83,548,546,0,5611,4854,36,-204,414,0,0.126805
233675,183181,96,64472,46613,91,171009,131052,94,1442,1124,10,9380,7039,46,753,1038,3,0.132843
42716,44614,70,16890,17077,43,24717,25399,60,235,261,0,1365,1398,14,154,700,0,0.135862
77011,77389,72,31825,31551,70,58426,58304,72,522,427,0,3081,2984,26,748,595,0,0.136869
151061,128697,85,52556,45013,80,107095,89996,83,734,524,0,5647,4749,38,213,737,0,0.137875
102981,101794,74,23164,23402,52,72810,71568,74,721,612,0,4039,3912,30,722,476,0,0.139888
101604,100291,77,43092,43063,73,66368,65023,75,878,676,0,3309,3168,27,-179,239,0,0.145926
167937,132727,96,68810,54405,85,112099,89083,86,1090,840,0,5879,4602,40,963,1070,5,0.147939
101929,98206,79,28946,28842,69,71376,69678,76,507,608,0,3804,3552,30,943,676,0,0.149952
160147,131930,88,56162,45583,82,123790,100613,85,881,675,0,6565,5344,40,380,829,0,0.151965
118873,114883,89,29837,27623,75,82890,78344,77,843,663,0,4485,4285,32,1323,1081,6,0.163035
68302,68169,73,15246,15384,42,38345,38378,70,545,491,0,1790,1898,18,-264,457,0,0.164041
133982,118680,98,46815,41227,79,102414,89730,81,946,697,0,5636,4737,38,183,463,0,0.164041
51742,52220,77,20345,20474,49,30971,31334,68,489,459,0,1717,1740,17,-320,146,0,0.165048
90889,91055,78,35983,36330,71,66065,64726,73,209,328,0,3400,3200,27,-581,138,0,0.168067
107973,105402,75,39728,39237,74,75798,74579,76,683,691,0,4094,3891,31,-139,382,0,0.173099
108949,109083,75,30203,30113,72,91114,88627,76,990,1024,4,4986,4815,33,851,485,0,0.18115
94653,92684,75,27792,27447,72,70741,68514,75,582,576,0,3672,3560,28,102,239,0,0.186182
90409,88211,77,33519,33452,72,64750,63582,74,637,602,0,3552,3539,27,576,872,0,0.189201
124077,115293,78,50021,46432,77,82674,76989,79,630,698,0,4479,4263,31,-52,686,0,0.194233
135893,115825,89,48326,40849,80,106046,88980,84,673,530,0,5616,4708,37,431,403,0,0.201278
91277,91631,73,18502,18252,46,70719,69473,74,534,588,0,3742,3796,29,120,522,0,0.208322
121337,106528,92,49257,43979,78,85176,73780,81,811,732,0,4395,3804,33,1470,870,0,0.210335
84096,85541,72,41922,42490,72,65660,65272,73,682,571,0,3342,3296,28,114,507,0,0.210335
95134,95457,75,24217,24276,55,80259,79727,74,715,671,0,4476,4325,32,733,1145,5,0.213354
98429,99810,74,26634,26692,71,69217,68559,74,694,489,0,3657,3614,28,437,814,0,0.219393
217197,157194,94,81094,59057,92,142096,102508,94,1518,940,0,7962,5804,46,1218,952,0,0.223418
96911,96481,84,16394,16382,43,74640,72880,75,605,612,0,4205,3969,30,302,422,0,0.224425
65983,66407,70,11535,11412,39,39733,39662,70,420,469,0,2232,2236,21,268,383,0,0.225431
78358,78852,74,28659,29127,69,58057,57427,71,597,506,0,3095,3098,26,591,1230,7,0.229457
80934,80797,74,25601,25874,59,73878,73015,73,664,620,0,3752,3712,28,-147,215,0,0.233482
103450,102827,78,34839,34569,72,79680,77294,75,714,589,0,4414,4154,32,174,653,0,0.234488
34626,34635,75,8290,8401,35,20045,20419,47,346,274,0,1104,1093,7,-85,304,0,0.235495
31270,31159,68,9219,9464,36,17963,18055,45,271,194,0,932,954,0,492,423,0,0.236501
154291,138965,92,100114,93761,80,154344,141837,82,1413,1146,11,8207,7401,43,397,770,0,0.23952
120948,105447,84,43410,38200,78,85467,73405,81,844,689,0,4437,3839,33,529,907,0,0.24254
106381,103108,77,40659,39638,74,87844,84773,77,708,710,0,4647,4558,32,420,768,0,0.248578
83056,80423,81,22487,22503,59,48895,48712,72,586,552,0,2778,2849,24,537,828,0,0.251597
155758,128346,99,59213,49554,82,120955,102600,85,1075,896,0,6672,5641,40,405,555,0,0.254616
111984,101874,84,45821,40570,76,89045,78338,79,628,550,0,4856,4260,34,150,463,0,0.259648
107162,98713,79,40389,37086,76,80079,73904,78,595,842,0,4314,3974,31,156,636,0,0.263674
163576,133803,83,58605,46917,83,112539,90219,85,872,816,0,5875,4620,39,980,634,0,0.269712
98199,98535,73,30061,29910,72,81804,80732,75,402,527,0,4353,4390,31,-203,166,0,0.270718
103278,100345,77,35316,34128,72,78739,75248,76,521,377,0,4323,4219,31,-118,476,0,0.273738
99766,98018,84,29237,29404,72,71709,70568,74,378,627,0,3796,3688,29,789,664,0,0.27575
190666,145137,96,62127,46917,88,125184,96391,91,1085,749,0,6703,4961,44,778,595,0,0.277763
101796,101783,91,49331,49479,73,79787,78561,75,760,785,0,3851,3796,30,853,703,0,0.279776
148946,143498,91,55189,54161,78,103923,100639,80,763,791,0,5494,5447,33,450,717,0,0.283802
142861,130801,89,55278,49768,80,103470,91492,81,691,777,0,5439,4669,36,321,534,0,0.288833
102720,98232,76,37829,34955,76,68475,62897,76,682,618,0,3577,3528,28,1288,994,0,0.288833
142217,130233,81,87372,81505,81,95415,83675,82,1116,800,0,4876,4426,35,414,447,0,0.292859
140425,115288,90,55057,44724,82,113799,91541,84,1212,938,0,6151,4928,39,309,571,0,0.293865
90630,90304,74,28831,28270,70,76525,74346,73,579,551,0,4057,3814,30,437,346,0,0.295878
108854,107810,88,30411,30256,73,83414,80272,76,640,626,0,4124,4206,29,544,601,0,0.297891
82349,82989,75,31773,31959,71,64605,63556,73,460,395,0,3375,3351,27,46,324,0,0.298897
97804,96427,75,31356,30625,73,84290,81491,76,861,931,0,4572,4598,32,220,374,0,0.30091
85678,85181,90,25862,26246,58,54157,54637,73,450,554,0,2964,2824,26,1068,944,0,0.30091
108788,102461,87,41642,39423,76,80392,75205,78,819,654,0,4410,4358,31,678,810,0,0.302923
138853,118201,88,47044,39802,82,103291,87639,85,931,789,0,5469,4653,37,-129,364,0,0.303929
90221,86161,75,37533,35139,73,79539,75115,76,559,541,0,4394,4236,32,562,659,0,0.312987
183990,153131,87,67804,57802,84,119584,98472,87,961,834,0,6555,5360,41,258,552,0,0.312987
102971,94902,78,41398,37073,77,76540,69461,78,713,580,0,4263,3750,32,878,853,0,0.321038
127507,113618,86,44202,38197,80,99937,87712,82,920,721,0,5271,4588,37,882,960,0,0.327076
100567,93451,78,40852,36884,75,77129,69999,77,713,576,0,3985,3806,31,1156,1299,11,0.328083
91779,90381,78,20527,20445,49,82987,82075,74,795,666,0,4076,4028,30,196,450,0,0.329089
33593,32331,68,8723,8990,35,20268,20341,48,340,264,0,1433,1284,13,-256,67,0,0.330095
139332,125705,84,57042,50644,80,100419,87174,81,918,702,0,5321,4636,35,-174,207,0,0.331102
99886,97200,80,19996,19888,48,78098,77003,75,773,589,0,4108,3923,30,109,340,0,0.336134
99833,102261,74,29253,29335,71,82457,80977,74,663,581,0,4059,4021,30,428,845,0,0.345191
156305,134365,84,54026,45217,83,116529,97229,86,1169,1092,7,6428,5293,40,217,420,0,0.346198
96821,93370,78,19885,19888,47,80786,78284,75,733,781,0,4206,4145,31,96,409,0,0.349217
103541,102831,74,42839,42482,73,72982,71044,75,512,489,0,3813,3847,29,520,1132,5,0.355255
99843,95657,77,33022,31793,73,71112,68057,75,635,506,0,3766,3683,29,557,673,0,0.360287
137235,124905,83,39260,35093,79,95720,85402,82,907,839,0,4871,4382,35,72,334,0,0.3623
102925,103728,74,32949,32562,73,73675,72309,76,822,883,0,3858,3823,29,303,262,0,0.364313
121231,102382,85,45128,37679,78,84970,71715,80,449,537,0,4569,3947,34,307,405,0,0.370351
72068,73051,72,27841,27848,69,56890,57058,73,531,499,0,2972,2955,25,1129,1557,13,0.375383
28769,29433,59,9460,9699,36,19726,21075,49,108,303,0,999,1020,3,-427,109,0,0.375383
49266,50748,67,20803,20640,50,31742,31839,68,313,280,0,1715,1707,18,135,333,0,0.378402
