"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
137166,115225,82,60320,49808,82,100494,81483,83,458,538,0,5260,4255,38,163,526,0,0.00513132
114147,102600,79,39587,34879,77,84628,76956,79,530,569,0,4560,4101,33,606,746,0,0.00718385
102805,91135,80,44309,38384,79,75498,65859,80,625,546,0,3818,3409,30,-5,420,0,0.0123152
133185,111946,88,51195,42380,81,105657,87949,83,1087,691,0,5468,4515,37,649,857,0,0.0359193
86984,85861,78,25116,25368,56,71500,71910,73,244,318,0,3625,3578,28,494,420,0,0.0513132
98847,96685,75,21621,21751,47,74491,72491,75,686,627,0,4048,3873,31,201,564,0,0.0584971
144538,127524,84,43714,38543,80,116893,103882,84,1039,942,0,6343,5519,38,1157,818,0,0.0626021
133581,121465,80,46881,41605,78,88539,79025,81,741,564,0,4555,3893,35,1450,898,0,0.0626021
91847,92772,74,36611,36717,71,74097,73251,73,618,521,0,3825,3646,30,796,684,0,0.0646547
105938,102462,92,29136,28891,72,86935,85589,76,1032,685,0,4754,4713,32,322,370,0,0.0656809
62881,63575,74,29745,30027,68,47299,47807,70,461,348,0,2406,2487,22,-68,357,0,0.0708123
122510,111975,90,53604,49240,78,89133,80808,80,870,729,0,4966,4737,33,58,625,0,0.0738911
105524,104919,77,46674,46125,73,83468,81340,75,444,547,0,4497,4355,31,650,696,0,0.0738911
77138,77219,73,27928,28033,70,49875,49361,72,350,428,0,2923,3002,24,97,399,0,0.0831274
215869,191859,93,68299,61640,87,170319,152675,90,1230,1118,9,9134,8422,43,115,384,0,0.0954426
145989,143610,79,46048,45849,76,117865,112869,79,910,769,0,6566,6182,37,533,743,0,0.0985214
133339,111549,85,49498,41254,80,104079,86469,83,841,600,0,5464,4432,38,393,378,0,0.0985214
72717,71154,81,23776,23864,53,59578,59111,72,460,514,0,2781,2685,24,1165,938,0,0.0995477
129769,116103,80,44717,39894,78,92321,79651,81,769,806,0,4748,4235,34,-243,339,0,0.1016
106803,102881,77,45261,42513,77,86427,80043,79,861,723,0,4146,4092,30,44,475,0,0.104679
140211,112254,85,62792,50759,82,99514,77720,84,721,530,0,5176,3933,38,766,558,0,0.113915
103115,102198,76,24647,24084,61,71485,70154,75,708,710,0,3562,3520,28,-108,303,0,0.123152
94907,93571,76,29828,29724,71,68058,66838,74,500,391,0,3424,3474,28,190,353,0,0.131362
44276,44640,67,12434,12633,39,30509,30566,68,375,371,0,1797,1872,19,477,571,0,0.133414
78563,78428,73,32542,32913,70,60566,58501,73,708,464,0,3330,3225,27,413,1097,5,0.134441
270318,201512,109,158917,117902,104,215206,154777,106,1979,1635,19,11715,8653,52,1285,1257,7,0.138546
81667,83291,72,38226,38302,71,61044,60483,73,508,513,0,3382,3324,27,465,452,0,0.142651
141336,117964,83,51810,43165,81,97967,78633,83,1023,743,0,5581,4477,38,204,562,0,0.143677
360615,245978,129,129351,85917,126,281490,189483,129,2160,1277,22,14877,9900,60,571,800,0,0.148808
98522,97050,74,22547,22623,56,85829,85145,75,440,505,0,4272,4159,30,646,790,0,0.15394
79820,77436,76,29831,29677,71,64267,63359,74,264,404,0,3358,3275,27,524,661,0,0.155992
124902,117990,81,32220,30354,76,100862,97208,80,581,634,0,5111,5230,33,120,767,0,0.164202
107131,106060,77,42480,41013,73,85255,81669,76,397,495,0,4732,4528,33,633,829,0,0.181649
151009,146329,78,37827,36621,75,70410,68133,77,730,724,0,3803,3698,29,483,741,0,0.184728
148849,128282,83,46851,39828,80,108543,91646,82,686,538,0,5944,5003,38,695,970,0,0.184728
93994,92636,78,26237,26106,58,75811,75073,74,510,537,0,4283,4260,31,471,1057,4,0.187806
232737,185623,90,74741,56235,89,165460,125291,92,1472,1226,14,8718,6672,46,68,603,0,0.187806
156464,137345,88,57297,49400,83,93823,80654,85,441,588,0,5091,4273,35,867,744,0,0.189859
97587,95320,75,32207,30718,73,78660,75713,76,566,521,0,3822,3720,30,1502,1009,2,0.213463
137699,131948,84,32275,31993,75,103010,99153,79,721,779,0,5480,5390,34,373,643,0,0.214489
88156,87703,75,20648,20736,47,54273,53796,73,305,343,0,2949,3015,25,115,388,0,0.222699
124527,108096,87,46544,39696,78,88831,76334,81,832,661,0,4734,4024,35,-48,397,0,0.226805
108484,102090,81,37185,34471,76,77639,72184,78,750,715,0,4155,3800,31,17,414,0,0.241172
128930,114044,80,56851,49879,79,62149,55204,79,817,618,0,3152,2698,30,641,740,0,0.248356
111602,106716,78,41551,40264,75,78491,74619,77,802,743,0,4021,3925,29,-213,368,0,0.258619
125004,106760,85,55874,46256,82,91404,76409,84,857,585,0,4919,4273,35,-59,186,0,0.258619
69846,71807,70,29728,30311,62,49240,48508,71,387,493,0,2500,2468,23,193,424,0,0.258619
72679,71820,71,27828,27955,69,56989,57223,72,320,394,0,3152,2983,27,211,488,0,0.260671
178250,140708,88,69696,54657,86,113716,88455,87,1000,840,0,5727,4744,39,1824,1482,10,0.260671
233361,165454,99,92217,66515,96,166068,118833,98,1421,1048,6,8433,6013,46,-266,244,0,0.275039
60596,58275,77,26634,26766,68,29449,28764,70,480,389,0,1423,1520,14,203,267,0,0.287354
112809,99454,81,43790,38613,79,86663,75516,81,476,460,0,4785,4204,34,373,835,0,0.317116
32517,34253,58,15705,15950,43,24499,24592,56,274,297,0,1140,1032,6,747,498,0,0.319168
75788,77721,80,38809,39456,70,48096,47960,71,327,297,0,2546,2634,23,-116,192,0,0.325326
102662,100802,76,51152,50739,73,71583,69636,75,785,665,0,3866,3777,29,16,320,0,0.328405
132097,110409,82,56968,47518,81,92956,75850,83,740,647,0,4959,4077,36,-659,81,0,0.330457
93631,94467,73,31892,32064,71,68054,67682,74,624,511,0,3628,3640,27,429,391,0,0.335589
67329,67808,69,24468,24669,61,49466,50462,71,535,510,0,2744,2699,25,313,632,0,0.338667
182055,149607,100,70542,58942,85,122087,97663,87,1191,1005,2,6792,5560,41,1005,852,0,0.339694
89671,90134,73,35590,35800,71,72655,71157,73,527,504,0,3711,3684,28,133,565,0,0.352009
191019,173283,88,123677,116678,85,231705,213761,87,1834,1711,19,11980,11023,49,424,1108,6,0.355088
113687,104310,79,37741,33949,76,90666,81604,80,535,706,0,4770,4397,34,121,708,0,0.356114
71083,70927,72,23897,24033,53,41937,40802,71,348,368,0,2351,2424,22,-51,384,0,0.366377
192899,152606,90,65488,51123,87,149824,117704,90,1124,970,0,7983,6476,44,579,1060,6,0.369455
66111,67342,69,14582,14926,41,48708,48852,70,420,420,0,2582,2603,23,443,587,0,0.370482
112770,108012,77,47915,44511,77,84920,79642,78,889,788,0,4727,4376,33,916,886,0,0.372534
