"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
125023,111646,80,49252,44248,79,49922,44420,79,868,709,0,2948,2606,28,201,387,0,0.00504303
40010,39207,69,11338,11616,37,16121,16282,42,362,237,0,808,850,0,-509,218,0,0.00907746
140920,123536,99,57466,50142,81,53623,46825,81,625,531,0,2964,2662,28,701,656,0,0.0141205
97475,93272,91,33824,31599,74,32758,30799,73,428,482,0,1844,1728,19,-186,410,0,0.0201721
146452,129408,83,57460,50793,80,72151,63575,81,1132,967,0,4005,3552,31,979,1239,12,0.0312668
135791,124637,81,49340,43561,78,70529,63559,81,769,908,0,4042,3570,31,344,574,0,0.0322754
109313,107052,80,33782,33718,73,56468,55726,74,676,650,0,3429,3438,27,-154,339,0,0.0363098
29852,31011,54,9848,10129,37,11273,11620,38,142,184,0,648,656,0,-356,182,0,0.0706025
316720,218883,120,140158,102933,112,130307,92283,112,1574,1150,11,7520,5255,45,598,419,0,0.0756455
120002,117852,83,43824,43310,74,62629,62304,75,966,1029,4,3486,3404,28,265,748,0,0.0766541
37292,36544,67,17965,18310,46,15790,16378,42,12,130,0,898,985,0,645,586,0,0.0857316
113301,108996,77,46694,45958,74,55240,53683,74,807,851,0,3226,3134,26,-31,598,0,0.0958176
134901,130148,94,46315,45251,74,68411,65493,76,1166,1209,10,3978,3813,29,135,574,0,0.0958176
42193,43509,59,20295,20330,48,17497,17248,48,230,414,0,1030,872,0,5,532,0,0.0968262
51591,53876,67,18017,18536,43,22059,22530,52,234,474,0,1252,1206,10,-318,341,0,0.0978349
143226,128412,84,59709,52534,80,58222,52262,80,821,693,0,3111,2835,28,865,1042,4,0.120024
81778,83384,71,25152,25302,55,34310,33916,71,564,519,0,1925,1869,19,44,667,0,0.121033
94951,95082,76,29987,30052,72,41013,40832,73,530,295,0,2273,2083,22,151,446,0,0.142214
33044,35149,62,12455,12770,39,14229,14684,40,173,187,0,742,794,0,471,353,0,0.147257
106731,106068,83,45391,44658,73,53367,51265,74,539,600,0,2876,2918,25,174,606,0,0.157343
52140,52984,68,18320,18691,46,20750,20778,48,315,209,0,1089,1158,9,856,1108,4,0.158351
106289,104319,78,36718,36113,73,36282,36138,73,532,601,0,2313,2104,23,895,1387,10,0.170455
74570,79108,62,37673,38412,70,34232,33962,69,336,356,0,2007,2019,20,-172,160,0,0.170455
118504,118975,77,47802,46789,73,67352,65318,75,1051,645,0,3885,3810,29,24,222,0,0.17348
42181,43199,67,14440,14866,41,15941,15839,42,144,159,0,835,901,0,268,488,0,0.187601
25136,25729,62,9905,10247,36,10725,11016,37,89,200,0,352,412,0,-418,72,0,0.197687
30991,31139,60,10827,10982,38,12120,12013,38,65,117,0,710,652,0,-253,216,0,0.210799
118688,110300,83,35585,32515,77,41984,39908,77,872,656,0,2483,2461,21,396,553,0,0.213825
173842,163698,86,54302,50616,82,57826,53501,82,1012,797,0,3814,3250,30,772,609,0,0.217859
117351,115484,81,47513,46852,74,55224,54062,75,1054,796,0,3220,3216,26,1691,1462,19,0.218868
39848,40901,54,20559,20804,48,14980,15248,41,184,263,0,988,929,0,261,522,0,0.220885
31467,34072,52,17406,17901,44,13778,13913,42,332,193,0,805,772,0,-153,332,0,0.225928
216683,176319,89,89025,72378,87,95500,77530,87,967,862,0,5208,4419,35,562,489,0,0.228954
134787,127689,78,52842,48676,77,74039,68432,79,747,861,0,4448,4066,32,135,415,0,0.228954
39928,39144,71,11795,12007,38,14637,14941,43,132,233,0,924,914,0,567,897,0,0.230971
356663,253201,115,166321,121314,113,166110,120796,113,2649,1592,29,9474,6910,48,1602,1181,7,0.237023
102291,101968,75,32665,32366,72,56822,56127,74,431,741,0,3444,3683,27,763,913,0,0.247109
177868,151663,85,68554,58201,85,84141,70850,86,1075,954,0,4741,4211,33,-376,236,0,0.25316
55070,55539,71,18516,18711,48,19675,19693,51,171,207,0,828,893,0,-19,218,0,0.260221
249989,189826,92,81231,61751,91,90854,69331,89,1035,906,0,5139,3821,38,455,782,0,0.281401
110176,106450,78,36361,35957,75,56306,54977,76,699,775,0,2976,2741,26,1096,789,0,0.28241
67194,68353,71,22661,22818,52,26488,26071,61,180,370,0,1401,1450,13,88,394,0,0.300565
113907,111865,77,48038,46811,74,53376,52283,75,903,1055,5,3002,2988,25,617,1067,3,0.300565
102130,99816,75,38515,37589,74,35811,34826,73,263,346,0,1996,1895,20,-173,200,0,0.301573
154615,136364,87,57196,50550,82,45657,40899,80,933,632,0,2528,2275,25,-62,430,0,0.303591
90871,93118,73,36893,36607,72,46983,46345,72,791,693,0,2677,2486,24,487,759,0,0.307625
139798,133515,94,48012,46235,77,70188,67383,78,632,746,0,3949,3558,31,795,802,0,0.316703
153676,129010,83,51639,43292,82,52639,43936,81,778,594,0,3056,2543,28,852,864,0,0.326789
61817,65021,69,24390,24722,54,23476,24094,62,297,294,0,1364,1496,13,956,1160,6,0.342926
45179,46515,70,18934,19453,47,17766,18388,44,46,186,0,1061,1163,8,126,417,0,0.345952
202074,161270,97,66986,53714,90,82763,65129,89,1608,1199,12,4452,3514,35,2187,1499,16,0.352004
100860,100120,77,42975,42632,73,38277,37464,73,421,540,0,2140,2219,21,310,754,0,0.37621
149397,133558,90,74451,69521,79,48803,43846,79,855,834,0,2770,2331,26,408,558,0,0.392348
201290,164739,87,71716,57554,86,91211,72949,87,1778,1262,14,5123,4180,37,315,785,0,0.397391
215508,169750,92,104371,84268,92,115836,92754,90,1429,946,0,6112,5017,41,1057,1188,14,0.404451
140475,136161,80,39055,38223,76,69139,67160,78,732,866,0,4028,3973,29,-86,353,0,0.422606
44651,48544,59,17096,17577,43,17673,18055,44,256,175,0,824,824,0,-13,302,0,0.431684
106197,103636,85,45254,44530,73,45063,43357,74,363,466,0,2318,2279,22,201,1279,6,0.439753
73006,71223,77,27203,26609,71,24248,23452,57,354,345,0,1265,1256,12,132,288,0,0.447821
109810,107640,78,49433,48885,74,52014,51517,74,455,648,0,2947,2879,25,327,640,0,0.449839
123268,117702,92,46368,45159,74,71344,68055,76,694,761,0,3722,3313,30,1491,1306,13,0.45589
122569,116845,82,45590,43964,76,48430,46160,77,642,656,0,2412,2281,22,-208,212,0,0.459925
52532,51192,65,31033,28252,70,20263,18581,51,361,332,0,1338,1280,10,136,410,0,0.460933
100942,99322,81,16102,15971,44,69182,67362,75,1098,1030,4,4223,3983,31,937,832,0,0.472028
222720,171903,93,100374,80101,91,114058,89963,91,1609,1230,15,6563,5286,41,1120,683,0,0.480097
132284,132318,75,54275,52839,75,71092,67364,76,843,994,0,3918,3856,30,196,782,0,0.480097
165536,137468,102,55076,46351,83,62703,52804,84,1024,736,0,3447,2886,30,436,544,0,0.488166
78449,78805,74,22509,22943,49,24224,23700,55,281,365,0,1495,1572,15,-368,260,0,0.489174
183422,149359,90,65542,55147,84,86621,71016,86,1467,1019,3,4788,3961,36,757,559,0,0.495226
42588,43021,67,13862,14030,40,15719,16061,43,-41,62,0,834,844,0,494,506,0,0.502286
67500,68223,73,30529,30167,69,26996,26430,69,346,538,0,1486,1561,15,-298,396,0,0.502286
134744,131700,80,55110,53925,76,65514,62962,77,1065,1010,2,3560,3538,27,578,561,0,0.52851
94980,92444,77,41659,41145,73,34560,34313,72,257,438,0,1818,1919,19,-113,541,0,0.53557
67995,66924,87,27228,27463,67,26733,26877,69,489,432,0,1536,1568,16,557,587,0,0.558768
40513,40696,66,19505,19986,46,15525,15907,43,128,217,0,940,947,0,1459,968,0,0.565828
31417,32570,62,13743,14084,41,9328,9408,36,58,186,0,358,467,0,100,392,0,0.569863
137104,129118,82,39359,36506,77,76864,71835,79,743,774,0,4011,3949,30,878,595,0,0.572889
189108,152184,88,62906,50345,86,65289,51510,87,944,822,0,3423,2607,32,481,578,0,0.581966
117066,102973,79,44201,38416,77,45521,39127,78,311,489,0,2195,2018,22,20,379,0,0.582975
151080,139572,82,79019,72536,81,75742,69630,80,1212,864,0,4483,4075,33,8,358,0,0.584992
83086,73620,77,37664,34032,75,30829,27010,74,444,312,0,1740,1647,16,260,632,0,0.587009
123921,121057,82,43227,42116,75,65405,62621,77,874,817,0,3862,3786,28,311,617,0,0.598104
187795,156905,90,69205,59717,86,73797,61670,88,793,830,0,4438,3652,33,988,1056,3,0.60113
132901,121187,97,44636,41011,79,58937,53207,80,1000,769,0,3347,3149,29,289,344,0,0.602138
56758,55562,80,27110,27441,68,20604,20709,49,339,394,0,1293,1344,11,160,560,0,0.60819
150296,140575,79,75979,71116,80,75589,69790,79,1054,895,0,4196,3940,30,423,759,0,0.629371
34337,36466,48,16811,16980,44,13531,13676,42,95,143,0,905,946,0,218,415,0,0.633405
78269,74040,75,36518,33804,75,29361,27296,74,586,518,0,1796,1692,18,363,825,0,0.638448
104745,102012,78,46227,45831,74,59855,58498,74,706,697,0,3397,3427,28,265,429,0,0.647526
145111,128637,85,76749,69405,82,85906,77594,81,1166,860,0,5038,4498,35,2135,2306,24,0.654586
52612,55253,57,18315,18420,46,19272,19137,47,87,259,0,955,912,0,377,688,0,0.673749
33646,33102,63,11566,11788,39,14294,14023,43,319,205,0,631,700,0,-683,275,0,0.675767
185047,150530,89,79853,66426,85,73908,60371,85,947,814,0,3719,3185,32,1283,1369,10,0.682827
119184,113282,88,44195,42056,76,39639,37137,75,335,430,0,2145,1933,21,-19,351,0,0.684844
99219,93117,80,32547,30440,75,36158,33471,74,376,330,0,2437,2255,23,849,750,0,0.686861
105190,104721,76,45860,45622,74,61486,61218,76,845,830,0,3727,3691,29,117,628,0,0.68787
121925,119793,78,43648,42256,75,58120,55667,77,952,899,0,3350,3310,27,1407,1731,12,0.706025
111719,108448,82,41466,39859,74,67096,63080,75,904,781,0,3713,3523,28,562,527,0,0.715102
89333,87565,81,28803,28828,71,28947,28247,71,449,449,0,1650,1548,17,619,670,0,0.730231
110781,96880,79,48997,42965,78,47189,40034,79,566,429,0,2732,2284,26,-78,553,0,0.734266
88797,89921,72,37690,37839,72,44686,43768,72,515,434,0,2689,2683,25,1082,1303,10,0.735274
110347,107554,76,48849,48616,75,58525,57932,76,933,791,0,3083,3047,27,369,317,0,0.741326
118444,115841,78,49642,48717,75,49385,49319,75,629,565,0,2808,2929,25,274,501,0,0.769567
138158,123015,88,59541,53548,80,50005,43880,79,632,711,0,3032,2449,28,-60,291,0,0.785705
181264,150058,86,61924,50783,84,62630,53098,85,1141,821,0,3345,2917,30,893,402,0,0.786713
206807,163848,92,73854,58242,90,99998,79068,91,1549,872,0,5732,4337,40,184,524,0,0.793774
73137,73883,72,27550,27717,61,35858,36250,70,461,424,0,2090,2199,21,-267,172,0,0.795791
75499,78143,70,23102,22755,56,32003,31449,69,392,375,0,1691,1714,17,981,998,0,0.799825
88281,90318,72,16535,16537,43,34682,34873,71,615,517,0,1995,1965,21,86,642,0,0.799825
106615,104480,78,48298,47976,74,57040,56016,75,818,619,0,3248,3269,27,560,749,0,0.801842
199432,169173,90,92439,79393,86,79651,67702,85,1146,896,0,4702,4015,34,-101,557,0,0.811928
136215,123844,86,54468,49093,80,64927,59060,81,1010,801,0,3556,3411,29,238,520,0,0.818989
46073,45894,68,18953,19168,46,17059,17408,43,192,191,0,969,906,0,-127,467,0,0.824032
192750,157374,89,86938,71674,86,87149,71186,85,1238,1048,8,5048,4033,36,2512,2672,17,0.833109
90581,91087,77,40301,40445,72,43528,43518,72,558,647,0,2333,2390,22,577,560,0,0.836135
263388,195910,104,89108,65968,99,120426,88457,100,1468,1070,9,7278,5423,43,958,1035,2,0.837144
128660,124681,79,42696,41617,77,76363,73906,79,945,821,0,4248,4299,29,408,660,0,0.841178
92376,91443,81,38838,38635,71,32275,32320,71,554,535,0,1728,1574,18,337,726,0,0.841178
56978,58668,71,34402,34946,67,18562,18221,46,383,221,0,1086,1293,11,-24,489,0,0.857316
156640,139309,96,63792,57791,84,68730,59119,85,1140,828,0,3856,3459,30,284,1017,2,0.864376
61807,62190,70,22505,22466,50,24230,24610,61,263,454,0,1285,1276,11,-110,593,0,0.865385
153383,130309,85,67532,58855,83,60879,51084,83,754,775,0,3495,2866,31,-6,695,0,0.866393
131711,126433,80,48900,47847,76,61998,58523,78,845,780,0,3463,3551,26,-456,550,0,0.866393
75766,76366,74,34417,34770,71,29354,29236,70,420,387,0,1588,1712,16,440,848,0,0.86841
130817,115593,86,51702,45143,80,47399,39922,80,613,376,0,2633,2194,25,486,601,0,0.875471
130781,120049,78,49642,44632,76,72128,64671,79,801,926,0,3943,3622,31,1044,1084,4,0.877488
110111,110416,75,48187,47540,74,63831,63223,75,738,728,0,3806,3833,28,1500,1514,10,0.881522
145155,138976,80,49802,46803,80,67550,63781,79,1114,873,0,4096,3706,31,183,852,0,0.891608
86757,87390,72,30862,31147,71,32173,31785,72,266,429,0,2092,2043,20,-259,113,0,0.905729
121981,115395,94,45613,43134,78,63503,59252,80,752,652,0,3567,3490,28,809,1155,6,0.905729
32093,32291,70,15688,16112,42,13575,13727,40,223,302,0,785,817,0,-20,384,0,0.906737
120719,116899,77,44800,43088,75,42710,39806,75,639,438,0,2395,2214,23,709,621,0,0.910772
141074,122890,82,57373,49891,79,54352,47682,80,560,522,0,2959,2632,27,-313,523,0,0.912789
134180,130985,77,49618,48136,77,82838,78862,79,816,899,0,4627,4404,32,1122,1280,9,0.913798
107191,104047,79,63733,62831,76,80866,80387,77,929,911,0,4636,4396,32,821,625,0,0.925901
170718,142311,89,74678,62003,85,85924,70965,87,888,817,0,4745,3965,34,865,554,0,0.925901
85554,84276,80,28288,29010,57,38195,37640,71,406,488,0,2127,2065,20,222,505,0,0.925901
94402,92636,79,38859,38641,73,44878,44229,74,640,559,0,2362,2185,23,-292,417,0,0.929935
130121,126666,78,57980,56750,76,51234,49955,76,783,652,0,3166,3053,27,-223,203,0,0.945065
31564,32603,54,15565,16111,43,9206,9121,37,382,223,0,447,454,0,743,816,0,0.954142
37111,38846,56,18650,18865,47,14323,14379,40,331,253,0,838,847,0,435,459,0,0.959185
107031,105394,89,33837,33301,72,44777,43442,73,563,648,0,2512,2374,23,31,397,0,0.959185
138986,132079,82,45962,44553,77,81095,78704,78,797,904,0,4376,4232,32,1645,1573,16,0.966245
41928,44337,59,17844,18179,45,16265,15994,45,145,350,0,664,805,0,657,795,0,0.979357
119650,110134,81,45433,41220,79,51731,47392,79,696,686,0,3002,2671,26,401,453,0,0.981374
61153,54917,74,26371,23928,63,21757,19706,55,305,243,0,1150,1218,9,90,556,0,0.983392
33818,33829,64,12904,13169,40,14235,14497,39,47,201,0,852,774,0,210,417,0,0.994486
43796,45596,57,23293,23581,53,17595,17543,45,457,306,0,1018,1171,9,-64,350,0,0.995495
19314,20808,44,11204,11422,37,9019,9468,35,224,259,0,331,365,0,6,322,0,0.996503
186943,146271,96,77230,62565,87,55954,43915,86,791,716,0,3340,2582,30,941,887,0,0.998521
104384,107499,74,25025,24587,56,47968,48124,73,515,610,0,2638,2777,24,797,1379,10,0.998521
110080,109832,76,43302,43030,74,42387,41592,73,493,444,0,2195,2093,21,1248,1179,8,1.00054
201921,159613,95,76270,60799,89,105268,83744,90,1074,895,0,6200,4943,39,2612,2074,29,1.00256
110795,110380,75,44006,43442,74,57867,56359,74,433,640,0,3273,3301,27,602,530,0,1.00457
240477,185218,94,91468,68629,93,120150,93175,92,1365,1048,8,6687,4853,44,2198,1993,15,1.0076
71245,73615,72,29020,29014,68,32351,32031,68,420,455,0,1910,2114,19,59,516,0,1.00861
111240,106192,80,43781,42184,75,49777,47656,75,697,754,0,2848,2866,25,-289,635,0,1.00962
115518,112104,85,45154,44603,75,54504,52562,76,1148,767,0,2807,2906,25,415,726,0,1.01768
96319,80309,82,52896,44769,77,38135,31506,77,290,316,0,2260,1837,25,531,621,0,1.02575
159368,143456,84,61953,55543,82,88420,79286,83,1072,908,0,4602,4156,33,656,918,0,1.03281
33751,35986,54,15324,15482,42,11275,11017,39,236,139,0,440,499,0,-99,739,0,1.03786
105799,105563,77,33474,33066,72,40127,39873,73,665,689,0,2232,2309,22,142,413,0,1.05601
46209,48431,58,17501,17817,44,15626,15850,42,106,152,0,718,854,0,287,813,0,1.05803
84014,87872,72,31470,31487,70,36842,36083,70,422,382,0,2085,2098,21,72,239,0,1.05803
127630,116920,81,56623,51262,79,69388,62456,79,390,560,0,3873,3772,29,1620,1587,18,1.05904
128662,124498,78,53485,52439,76,57883,55385,76,746,645,0,3289,3069,28,350,643,0,1.0661
110757,105791,84,43934,42553,75,41601,40323,75,460,506,0,2304,2160,22,40,382,0,1.07013
118169,115807,77,58534,57564,76,43005,41297,75,507,581,0,2375,2198,22,511,534,0,1.08022
70110,70898,71,24547,24929,50,22037,22134,51,352,408,0,1098,1036,5,-30,233,0,1.08022
23643,22897,58,10067,10250,36,9369,9421,35,118,210,0,489,494,0,76,442,0,1.08526
247164,188717,97,87243,66677,93,87859,67634,94,1391,1211,13,4807,3556,37,1116,894,0,1.08526
135612,130632,80,49634,48025,76,60642,58764,77,832,832,0,3530,3191,29,294,438,0,1.08829
215147,168816,93,82585,65580,92,87249,68590,92,838,857,0,4825,3836,36,1204,930,0,1.0903
257248,189299,102,97452,70657,100,114806,82703,101,1447,1093,8,6839,5038,41,587,1297,10,1.09131
124881,120430,81,49096,47784,75,60195,58859,76,860,855,0,3474,3227,29,328,582,0,1.09232
190523,153672,90,130695,113018,89,153810,133551,88,2021,1686,20,8816,7714,42,1341,1357,17,1.09333
47382,49147,60,16184,16401,44,19608,19976,45,187,244,0,1099,1086,7,50,477,0,1.09837
53003,55460,67,23337,23623,55,16458,16207,43,251,236,0,962,853,0,75,529,0,1.09837
54608,57230,61,25386,25687,67,18102,18248,46,48,167,0,989,885,0,468,472,0,1.10342
96027,90077,77,37347,34451,75,40732,38193,75,517,327,0,2083,2022,21,-247,185,0,1.10745
53432,53150,69,21393,21643,49,20931,21260,62,457,341,0,944,1056,6,209,519,0,1.10846
59424,59344,71,23253,23066,56,19818,19954,49,139,349,0,1052,1085,6,-127,323,0,1.11148
121831,118943,77,44685,43654,76,59168,56598,76,814,692,0,3299,3182,27,-3,597,0,1.11249
148550,132994,83,59813,53120,81,76423,66900,82,905,834,0,4174,3653,32,437,1145,5,1.11249
173105,144517,89,59728,51051,84,96803,80137,86,1316,869,0,5165,4320,37,412,499,0,1.11249
128734,123727,81,39133,38771,75,50275,48235,77,595,674,0,2495,2499,22,397,699,0,1.11955
135088,116552,86,54796,48481,81,56184,46616,81,813,777,0,3054,2666,29,1527,1643,15,1.11955
41219,42686,66,25262,25649,63,17773,17902,45,235,241,0,931,986,0,-101,383,0,1.12056
119131,118044,79,60457,59013,75,75148,74471,76,1226,957,0,4122,4003,30,402,576,0,1.13973
76603,74048,77,38235,37626,72,30382,29267,72,349,389,0,1699,1650,17,-177,173,0,1.14275
142599,129147,80,54998,47360,80,58303,50150,80,932,857,0,3483,3089,30,333,556,0,1.1488
62796,63629,72,22510,22955,51,21431,21655,52,550,282,0,940,1021,3,147,359,0,1.1599
125348,124495,76,58392,57154,76,74103,72585,76,999,847,0,3746,3757,28,627,635,0,1.16292
119180,116341,81,45860,44750,74,53560,51300,75,858,816,0,3257,3109,28,868,1437,9,1.16797
57473,59664,70,15971,16446,40,21016,21383,50,419,268,0,1171,1128,9,191,429,0,1.16797
114089,114295,76,38653,37972,73,38997,38182,73,693,658,0,2340,2268,22,21,487,0,1.17503
92013,89566,82,35641,35345,73,41116,40742,73,201,496,0,2345,2306,23,335,599,0,1.17906
115176,115878,75,48554,48071,75,60972,60001,75,643,665,0,3425,3454,27,922,854,0,1.18007
118972,113300,82,33628,33096,76,51219,49661,77,673,652,0,2841,2789,25,565,732,0,1.18209
67531,69069,69,25331,25662,63,25678,25752,66,410,341,0,1307,1314,14,-64,402,0,1.19217
115070,111942,76,30203,30080,74,61093,59266,76,867,843,0,3467,3370,28,459,772,0,1.19822
144515,119402,83,64130,53286,83,53050,43437,83,863,729,0,3185,2476,30,841,710,0,1.20327
54061,53344,76,23385,23755,56,20458,20338,49,193,215,0,1004,958,0,-482,144,0,1.2073
179562,149019,95,69794,57637,85,62172,50926,85,1022,892,0,3737,3115,31,617,996,0,1.22243
137683,123304,83,45769,40545,79,59365,51783,79,1060,1002,1,3418,3054,28,442,582,0,1.22848
19798,20426,43,8194,8549,34,9682,9914,37,78,202,0,443,509,0,117,567,0,1.23252
124871,120180,82,44081,42833,75,54197,52151,76,887,516,0,2927,2799,26,389,475,0,1.23554
96610,86107,85,42628,38415,77,35692,31566,76,416,411,0,2064,1922,20,1110,1035,6,1.23958
136527,129280,94,54341,52453,77,56915,55304,77,901,698,0,3429,3150,28,868,1151,6,1.24059
84076,82781,75,29872,29583,71,29206,28187,71,159,377,0,1559,1612,16,336,487,0,1.24159
58213,58137,80,27298,26716,64,20038,18966,49,262,273,0,1047,937,0,-9,732,0,1.24159
225608,174839,94,77706,59602,91,115674,89132,92,1787,1068,8,6377,5189,39,777,1086,5,1.24664
39431,40546,65,16712,17333,42,15880,16082,41,139,162,0,712,664,0,-262,118,0,1.24664
118505,107644,82,42678,37902,78,39164,35416,77,493,509,0,2240,2015,22,587,456,0,1.24866
114916,112399,80,64149,63330,75,45517,43952,74,674,571,0,2565,2501,23,-302,195,0,1.26782
195732,155960,97,68647,54968,85,73272,58396,87,1262,887,0,4202,3348,33,388,592,0,1.27084
42149,42435,70,17380,17661,43,12879,12937,42,150,125,0,671,746,0,213,610,0,1.27286
168585,140042,92,65786,55385,84,64095,53032,84,776,672,0,3592,2939,31,1300,1016,2,1.27387
54334,56913,66,22202,22270,53,19499,19583,48,391,207,0,1093,995,0,-472,99,0,1.2769
230255,178892,97,90839,72586,94,92112,72878,95,1153,947,0,5289,4147,39,27,387,0,1.28093
24715,25320,64,12493,12716,40,10290,9957,38,150,237,0,574,619,0,-300,256,0,1.28194
43212,44139,66,14795,15064,42,19291,19909,49,63,163,0,1107,1139,9,582,564,0,1.28396
224324,171963,92,89294,69216,91,102458,77913,91,1471,1004,1,5776,4437,39,332,552,0,1.289
46849,45138,74,18878,19243,46,14888,14666,42,79,224,0,813,909,0,-311,206,0,1.29102
143520,138798,82,40040,38733,75,52214,49696,76,798,772,0,2941,2770,25,1338,1142,6,1.29303
164751,137977,98,60845,50670,85,76537,65269,86,936,757,0,4282,3516,34,568,994,0,1.29404
30795,31293,58,8015,8162,34,13228,13131,40,162,131,0,756,807,0,202,540,0,1.29606
66501,66205,72,20169,20515,48,23885,23976,52,255,304,0,999,1194,8,-325,159,0,1.30514
58878,61413,62,17988,18286,42,21774,20914,53,230,315,0,1210,1325,13,-297,100,0,1.30715
98298,98979,75,45889,45605,73,43526,43766,73,643,534,0,2712,2540,25,280,890,0,1.31018
25052,25823,57,12342,12918,38,10039,9682,37,180,141,0,588,547,0,-80,505,0,1.31421
56307,58039,72,20817,21385,48,22455,22837,47,98,211,0,1038,1119,8,-380,117,0,1.31522
56296,58151,72,21277,21267,51,21560,21579,50,108,194,0,1195,1250,10,-77,145,0,1.31926
86758,85270,77,36184,36361,71,24317,23688,58,379,311,0,1321,1350,12,590,510,0,1.32329
91214,81252,76,37069,32925,75,34193,30364,74,593,363,0,2079,1847,22,700,456,0,1.3243
125823,118552,84,31845,29930,75,75701,69631,78,885,855,0,4150,4176,30,884,849,0,1.32531
45757,47808,66,24016,24193,56,17475,16869,46,227,297,0,904,915,0,-527,56,0,1.33136
129985,126396,77,49179,47301,76,61468,59173,76,604,652,0,3406,3267,28,47,450,0,1.33338
38810,37832,66,12937,13204,40,12349,12269,40,240,172,0,607,776,0,199,325,0,1.33842
131777,113867,81,51812,43565,82,50679,42892,81,636,666,0,2919,2481,28,546,998,0,1.34246
121239,117409,77,54352,52949,76,64757,63255,77,730,540,0,3735,3757,29,-361,397,0,1.34447
103922,102723,78,41421,40845,74,46232,45525,73,716,551,0,2445,2363,22,209,815,0,1.34548
87217,76939,80,28685,24506,74,28587,24789,76,658,438,0,1455,1533,16,-540,324,0,1.35859
165245,142289,85,63165,54107,82,59995,51153,84,771,753,0,3208,2677,29,354,651,0,1.36162
61906,60109,78,19399,19208,46,21243,21656,44,75,255,0,1246,1216,10,-70,261,0,1.36565
152414,134514,83,65631,58241,81,70440,61828,82,918,811,0,3946,3435,32,224,399,0,1.36666
84833,82342,78,35361,33851,71,29763,28233,71,284,347,0,1650,1658,17,472,689,0,1.36767
62604,64493,70,18089,18561,43,26424,26277,68,317,284,0,1370,1467,14,592,749,0,1.36767
44685,44066,69,14389,14592,41,15568,15953,42,18,191,0,917,783,0,155,451,0,1.37171
123557,112947,85,51172,46078,80,52024,47786,78,817,615,0,2937,2703,27,1712,896,0,1.37171
144465,136048,82,53837,51286,78,61675,57672,78,1044,1030,5,3785,3571,30,409,654,0,1.3828
82727,76343,77,35410,31991,75,29401,26099,75,541,319,0,1952,1797,20,216,370,0,1.38381
115268,116709,74,49487,48770,75,69002,66896,75,1055,1042,6,4121,4022,30,627,820,0,1.38583
55976,56161,73,18043,18353,44,18522,18456,46,146,210,0,905,942,0,832,587,0,1.38784
112681,111426,75,32581,32353,74,69057,67852,77,945,762,0,3889,3918,29,747,980,0,1.38885
47932,51130,66,22010,22263,52,18149,18115,45,261,239,0,1042,1101,7,217,486,0,1.39389
94358,93867,77,25959,25992,64,47369,46966,72,540,472,0,2765,2778,24,-91,785,0,1.40196
64138,65311,72,16208,16234,43,22714,23136,53,320,354,0,1275,1118,9,414,437,0,1.40701
258927,195752,105,88707,70060,103,88667,67127,104,1091,916,0,4740,3357,37,694,1282,9,1.41003
95514,97392,73,32603,32898,71,41207,41133,72,600,488,0,2355,2275,22,347,670,0,1.42314
181215,155998,93,112448,100387,85,94971,85159,84,1239,1193,11,5372,4513,36,822,1366,9,1.42415
