"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
39164,39521,68,13137,13477,39,18505,18749,46,290,237,0,1017,1036,4,-205,303,0,0.0310974
197811,153216,93,63615,49184,86,88992,67893,87,1212,907,0,5253,4121,37,-12,490,0,0.0341069
110971,90267,97,41938,35325,80,56487,45686,81,410,362,0,3138,2441,29,494,651,0,0.120377
98553,99165,74,43876,44091,72,53871,52676,73,578,636,0,2804,2664,25,-105,479,0,0.172541
167013,135798,88,56282,45611,83,78224,64755,84,841,590,0,3989,3142,33,-24,290,0,0.173544
69970,70004,73,28001,28141,69,26744,26918,68,556,333,0,1454,1334,13,347,793,0,0.189594
142345,118930,95,54314,46312,81,65194,53154,82,646,659,0,3663,2996,31,1066,967,0,0.203638
61260,62401,71,24538,23887,60,24334,23733,57,356,261,0,1449,1418,13,-14,201,0,0.205644
19981,20188,60,11337,11842,38,9895,10389,36,112,123,0,532,534,0,-265,180,0,0.22972
99985,100113,77,32639,32770,71,60293,58942,74,882,834,0,3167,3197,26,947,1185,9,0.287902
110440,108951,77,34861,34421,73,62644,60785,75,809,781,0,3111,2958,26,208,402,0,0.29994
94907,90737,77,33724,32269,74,29739,28507,73,438,382,0,1524,1552,16,543,552,0,0.316993
37648,38233,67,14812,15093,42,15938,16093,44,109,224,0,973,871,0,522,645,0,0.329031
124600,117190,79,41415,37924,75,77061,72489,77,1278,1022,4,4287,4043,31,321,525,0,0.345081
159557,137351,83,60187,51974,81,78293,67408,83,1125,1093,8,4166,3664,32,1712,1274,9,0.353106
111253,96032,79,47594,41955,77,50252,43445,78,543,461,0,2740,2383,26,244,465,0,0.35411
148320,130658,93,57594,50027,81,64024,54183,82,1009,653,0,3732,3329,32,1289,901,0,0.356116
62083,61733,71,29403,28211,69,31310,29603,70,331,178,0,2005,1702,19,-14,531,0,0.388216
191474,166965,88,75278,65762,84,98945,84460,85,1307,1096,9,5507,4698,36,618,1005,2,0.404267
219392,159441,93,67531,48562,91,97150,68917,92,2513,1930,24,5547,3928,41,412,620,0,0.416304
174854,135825,89,62758,49361,85,87633,67546,86,1119,828,0,4871,3727,36,247,633,0,0.434361
171646,137600,88,56170,45060,83,85527,67697,85,845,595,0,4695,3724,35,587,587,0,0.44038
236408,186423,96,134078,109453,92,148224,118705,93,1889,1304,15,8014,6402,44,628,650,0,0.444392
28936,31699,48,17535,18128,45,15389,15906,43,105,181,0,740,814,0,345,317,0,0.462449
176310,141140,92,62342,49950,85,88973,69083,86,879,642,0,4621,3668,36,677,915,0,0.469471
110380,97967,79,38445,33833,76,57048,49409,78,496,470,0,2894,2340,27,-64,415,0,0.470474
28600,29071,64,10436,10721,37,12528,12493,40,122,173,0,717,601,0,451,615,0,0.471477
155727,121303,86,53175,41677,83,75735,58610,84,781,575,0,4167,3145,35,402,548,0,0.47248
154706,136285,85,54352,47307,83,69292,59933,84,617,527,0,3639,3134,30,429,459,0,0.474487
22690,24911,40,12968,13399,40,11942,12282,39,76,176,0,418,431,0,50,374,0,0.47549
90396,89921,76,44029,44226,72,49495,49528,72,838,735,0,2625,2701,24,1121,940,0,0.479502
