"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
147097,144766,87,65743,64958,82,118119,113757,86,1079,1004,2,6249,6056,39,301,547,0,0.00816922
80263,81526,78,38057,38182,75,54755,54720,77,580,612,0,2737,2739,26,256,475,0,0.00919037
259791,205728,112,101502,80858,107,198288,155125,109,1942,1409,19,10668,8506,55,787,1662,13,0.0112327
186528,145491,96,64456,49738,93,121791,91630,96,1076,965,0,6888,5147,47,1388,1137,8,0.0112327
45378,45735,79,29763,30397,71,23637,23638,67,182,197,0,1389,1280,13,332,748,0,0.013275
199669,156217,105,60957,46882,96,114878,89461,97,904,924,0,6126,5028,43,-258,482,0,0.0163384
148546,124436,88,56380,46466,88,91150,74739,91,852,702,0,4522,3872,38,867,711,0,0.0214442
161114,152896,88,64241,60993,87,93175,85040,89,837,748,0,4832,4538,36,612,1023,2,0.0245077
157005,132272,91,59149,49126,90,88882,71923,91,987,830,0,4838,4152,38,216,652,0,0.0255288
169783,137697,92,58244,46610,91,84157,66712,92,769,574,0,4586,3770,38,663,516,0,0.0306346
83940,83564,79,26530,26453,70,47928,48272,77,539,502,0,2671,2405,28,297,510,0,0.033698
216826,156673,102,81369,56577,98,119184,83537,100,1120,938,0,5864,4094,46,1190,867,0,0.0357403
48820,49196,65,24808,24671,66,26014,25770,71,562,424,0,1433,1379,13,441,487,0,0.0388038
126539,112741,87,52974,46649,85,65876,56564,88,808,944,0,3744,3467,33,528,1124,5,0.0398249
100686,100899,81,32804,32827,77,58094,57804,78,783,856,0,3252,2875,31,38,298,0,0.0408461
147280,128710,93,54541,47243,88,94502,81703,91,594,698,0,4971,4178,40,27,464,0,0.0408461
232445,166883,106,75334,54625,101,130629,93103,103,1267,863,0,6605,4953,44,457,826,0,0.0428884
173095,138102,100,71879,57842,94,89070,67691,96,745,765,0,4732,3714,40,193,586,0,0.0449307
126198,119518,100,58198,56515,84,83571,80896,85,857,866,0,4252,4092,33,934,925,0,0.046973
273832,211054,103,99070,77496,104,192014,144635,108,1728,1285,18,10254,7788,53,649,571,0,0.0479942
112038,109153,87,32479,31250,77,73253,69952,80,723,696,0,3842,3721,32,1202,1405,10,0.0500365
103529,102242,81,45455,44468,81,57098,55399,82,602,749,0,2962,2935,28,173,526,0,0.0510576
98155,96081,82,33782,33480,77,52992,51265,80,512,432,0,2770,2669,28,1024,545,0,0.0520788
137686,118720,89,50266,42736,87,82860,72189,89,796,830,0,4509,3983,38,390,433,0,0.0530999
127476,112404,88,61337,54477,85,81162,70780,87,840,532,0,4407,3595,37,398,634,0,0.0541211
98211,98669,79,48981,48071,77,63648,61570,78,267,578,0,3208,3114,29,-139,305,0,0.0551422
232280,157082,106,88513,60701,105,128225,85211,107,1072,899,0,6884,4539,50,389,553,0,0.0561634
116313,105180,83,33124,29068,80,70694,60926,84,570,458,0,3847,3298,36,452,782,0,0.0561634
151076,136276,88,51790,44984,85,97302,84287,88,1230,1260,12,5337,4810,40,221,474,0,0.0561634
145404,119478,92,56745,46968,88,80446,64237,89,956,752,0,4242,3293,38,98,278,0,0.0582057
159094,132312,90,70691,58092,88,96213,78349,90,937,911,0,4989,4202,40,292,714,0,0.0592268
105434,102981,81,19405,19326,53,72306,71464,80,514,523,0,3769,3702,32,435,615,0,0.0684172
157820,135921,105,51064,42409,92,98624,85830,93,1006,778,0,5257,4570,38,-2,437,0,0.0694384
113261,111341,81,34757,33863,79,92662,88746,82,856,714,0,4729,4617,35,42,713,0,0.0694384
159109,136971,96,64707,56349,89,97291,82471,91,672,565,0,4980,3999,39,111,592,0,0.073523
210661,179732,109,81232,69938,95,122933,105461,97,1061,957,0,6157,5511,41,-92,674,0,0.073523
352453,232321,127,171497,121226,123,205841,134984,125,1647,1383,20,10946,7181,59,814,579,0,0.073523
106609,104992,82,45397,44563,79,58468,56587,80,570,647,0,3314,3268,29,-183,216,0,0.0745441
191724,148332,102,63779,49200,97,111773,85858,101,771,612,0,5868,4415,44,-62,518,0,0.0755653
171501,140508,92,56408,44519,90,92280,76347,93,993,812,0,4874,4325,39,290,771,0,0.0755653
191221,155080,98,52681,43883,90,121914,98450,95,862,815,0,6221,5253,43,1112,862,0,0.0827134
148913,130866,89,53015,45590,85,92439,79214,88,871,909,0,5251,4396,41,367,403,0,0.0827134
104259,101193,88,38516,37958,78,58879,56367,80,469,553,0,2981,2812,29,114,536,0,0.0837345
169514,151013,98,80245,73708,89,123015,109171,91,1262,1189,10,6353,5730,42,942,918,0,0.0888403
154481,127358,109,58183,48818,91,82401,68409,93,818,561,0,4421,3840,37,139,467,0,0.0919037
102832,101058,80,24617,24211,74,74422,71550,81,895,863,0,3928,3883,33,-73,595,0,0.0929249
170225,135667,92,62067,49729,91,93258,75067,94,960,785,0,5062,3935,43,63,320,0,0.0949672
90162,90677,93,35916,35438,76,59464,58685,78,798,1005,2,3064,3148,28,142,385,0,0.0949672
103163,87505,87,48552,41130,85,86827,74098,88,698,578,0,4181,3441,36,73,383,0,0.0970095
397739,239857,158,162733,94435,149,273727,160467,150,2673,1488,31,15005,9258,70,933,1207,8,0.0980306
112650,99424,85,42692,37190,83,77259,65714,86,862,776,0,4217,3537,36,598,748,0,0.0980306
179172,136609,100,57664,42763,97,106554,78070,99,908,757,0,5287,4022,42,445,683,0,0.0990518
139745,124521,88,40808,33552,87,94324,81769,88,871,787,0,5139,4576,38,393,525,0,0.100073
124635,119795,91,66971,64754,83,76446,72970,84,507,507,0,4097,3907,33,1121,1306,12,0.101094
145698,127341,96,54921,48002,86,82952,73484,88,670,683,0,4604,3765,37,181,787,0,0.102115
87462,87504,79,42692,42258,77,58906,57327,78,1174,1037,4,3000,3145,27,578,560,0,0.102115
136376,125804,86,32798,29167,83,79742,70848,88,500,661,0,4429,3930,38,-129,511,0,0.102115
148621,128753,89,48701,41754,87,87596,75514,90,1024,835,0,4717,4206,39,291,698,0,0.103136
167271,137549,100,53930,43575,89,89447,72174,92,833,591,0,4776,3980,40,1002,845,0,0.1062
145813,121232,91,52589,42641,87,83558,69303,89,786,800,0,4401,3691,38,704,562,0,0.1062
88464,89775,80,23427,23438,65,49368,49258,78,544,457,0,2645,2658,26,96,925,0,0.1062
172316,141087,94,68374,56765,91,80341,65613,92,860,727,0,4390,3443,39,782,1689,12,0.111306
233356,171617,105,88401,65465,103,134885,97809,105,1062,936,0,6679,4760,51,52,783,0,0.11539
183371,153632,103,66431,55448,92,113637,95293,95,995,950,0,5978,4983,42,-221,194,0,0.116411
199596,148722,102,72943,54054,97,111569,80983,100,703,661,0,5683,4429,44,736,1413,10,0.118454
107436,100385,89,42763,40004,80,61584,56486,82,677,690,0,3222,3072,30,260,649,0,0.120496
135739,123116,91,36307,32682,82,77452,70147,87,758,809,0,4200,3802,35,-43,543,0,0.121517
162088,133176,94,53841,43391,91,103023,83269,93,988,827,0,5206,4347,40,1386,804,0,0.121517
163542,137193,92,66600,54961,90,101778,85419,91,799,731,0,5151,4137,39,399,538,0,0.122538
191514,153210,100,79688,64276,93,93603,74436,93,1201,956,0,4890,3777,41,583,545,0,0.123559
117245,116538,82,56349,55014,80,77933,74247,81,496,774,0,3807,3935,32,-305,191,0,0.123559
176135,151380,94,76929,66212,92,105366,92032,93,785,644,0,5502,4608,42,490,815,0,0.123559
198136,163322,94,81095,67422,93,104594,86305,95,1056,933,0,5907,4469,43,551,645,0,0.126623
210513,162171,96,102837,79556,98,122928,94600,97,1072,990,0,6334,5070,44,140,349,0,0.127644
83127,82398,79,17659,17835,51,51607,50169,77,218,210,0,2536,2458,26,1219,1125,7,0.128665
166375,123717,96,82774,63214,95,157944,117357,97,1195,880,0,7918,6034,52,1190,983,0,0.130708
229530,177460,103,67395,49128,100,112752,87566,101,1107,1019,3,5674,4341,43,191,462,0,0.131729
148964,130149,91,75154,66063,86,83936,73640,87,959,823,0,4506,3706,36,261,435,0,0.131729
314351,208666,126,122568,85797,123,193200,127471,126,2616,1744,32,10120,6898,55,1618,1281,8,0.13275
202324,158518,100,74103,57603,98,131639,101387,99,1333,1053,7,6838,5433,45,782,1047,4,0.139898
289727,218891,125,121245,93046,108,199379,148584,110,1735,1621,18,10446,7791,53,631,1114,5,0.140919
153206,122762,94,53826,42758,89,89926,70778,92,609,498,0,4759,3657,39,413,482,0,0.142961
258078,187430,115,85829,61119,108,151144,107479,110,1031,837,0,8170,5377,52,-10,454,0,0.143982
171268,136825,95,54601,43374,91,100509,79751,92,1058,694,0,5478,4334,44,641,1031,3,0.143982
111750,109029,84,37046,35120,80,60693,57521,81,563,625,0,3102,3065,29,206,398,0,0.148067
110562,108677,90,82007,81117,82,79955,78223,82,948,810,0,4270,4012,34,105,1007,2,0.150109
124087,110227,86,50841,44424,85,85413,75802,88,778,541,0,4428,3993,36,1581,940,0,0.150109
145616,132189,89,55191,48447,86,84622,75130,87,786,900,0,4588,4144,36,-124,358,0,0.154194
122684,119843,86,34086,33646,79,74558,71859,82,842,784,0,3587,3447,32,328,457,0,0.155215
224165,171163,100,86440,65914,99,137613,107591,100,1032,899,0,7346,5937,46,41,622,0,0.157257
192020,156399,101,71841,60191,95,128202,104351,97,1175,945,0,6678,5508,46,205,317,0,0.158279
107122,106891,84,36223,35910,78,63585,62601,81,401,460,0,3374,3187,30,164,352,0,0.1593
37124,41006,67,18240,19032,50,23314,23650,67,129,307,0,1138,1243,12,120,195,0,0.1593
92195,83094,83,37971,33617,82,62077,54597,83,625,554,0,3273,2962,31,72,588,0,0.1593
103362,95012,83,44640,40063,82,66410,60294,85,319,484,0,3283,3032,32,151,206,0,0.163384
