"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
81636,76280,84,30183,26955,77,37071,33666,79,248,328,0,2006,1782,23,791,785,0,0.00115407
159175,128448,95,55426,44382,89,82123,64567,92,759,431,0,4393,3406,40,889,1011,2,0.0034622
196859,168978,101,55344,48406,89,99905,85679,91,1112,947,0,5290,4743,38,940,1059,4,0.0034622
63281,63542,74,23476,22898,66,28625,28104,74,415,229,0,1577,1698,16,-14,293,0,0.00461627
195001,153858,113,76799,61404,96,94530,74112,97,1183,905,0,5181,4214,40,791,951,0,0.00461627
116443,109561,94,38037,35250,82,50947,47544,82,526,494,0,2614,2244,28,-23,381,0,0.00577034
85778,86825,78,29628,29543,75,38315,37084,77,411,414,0,2093,1959,23,16,660,0,0.00692441
130935,110642,90,51738,43028,87,61625,50329,88,515,430,0,3342,2721,33,-52,336,0,0.00692441
153445,147108,84,44870,43065,83,87037,81144,86,1189,915,0,4542,4056,36,249,956,0,0.00692441
64755,65596,85,32627,32592,74,32383,32156,74,241,392,0,1858,1900,21,-204,354,0,0.00923254
161027,130858,92,49857,39762,89,80737,63408,91,667,471,0,4446,3548,39,-424,273,0,0.0103866
102237,99194,84,33227,31383,79,52311,49693,81,306,400,0,2632,2257,28,273,534,0,0.0103866
112604,105523,84,37073,34000,81,49241,44460,83,584,661,0,3003,2899,28,48,544,0,0.0115407
192830,162202,95,69019,57325,92,86430,71718,93,1149,857,0,4851,3920,40,6,325,0,0.0115407
114273,112251,84,33304,32888,78,62458,60450,81,745,693,0,3499,3101,33,1087,960,0,0.0126947
99476,90746,83,40053,36316,81,48708,43923,82,459,431,0,2606,2240,28,373,400,0,0.0126947
47917,49575,72,12084,12537,43,21769,22630,54,98,128,0,1190,1212,12,-224,401,0,0.0138488
30106,30360,60,7362,7492,37,13279,13927,45,177,217,0,632,569,0,67,541,0,0.0138488
174691,140620,96,79772,63618,93,79084,64283,94,783,704,0,4153,3290,37,226,944,0,0.0138488
171671,135526,93,57375,45634,90,84484,65809,92,807,532,0,4506,3372,39,464,452,0,0.0138488
57418,59170,73,22208,21826,57,26601,25169,67,146,309,0,1253,1197,12,-166,286,0,0.0150029
98919,83686,99,37480,31531,81,46207,37829,82,87,232,0,2518,2327,26,-375,101,0,0.0150029
234979,188460,107,106882,85721,103,127783,101511,104,975,826,0,6680,5638,43,934,1084,9,0.0150029
103296,97041,80,42900,39404,81,40246,37034,81,483,477,0,2289,2167,24,543,910,0,0.016157
