"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
93494,90468,84,14157,13865,48,87547,84209,80,1179,672,0,4459,4351,34,-490,453,0,0.00198881
70968,69984,83,14763,14815,47,59378,57063,76,223,553,0,2953,3020,28,233,753,0,0.00994406
117869,104000,86,35563,30935,83,101665,87860,88,728,995,0,5318,4780,38,202,1332,9,0.0109385
192188,145895,103,69900,55143,95,172695,127117,113,1268,839,0,8698,6610,51,737,519,0,0.0109385
156942,121706,92,47087,37475,89,120617,91492,92,1040,747,0,6942,5037,50,12,591,0,0.0149161
106677,104915,84,35582,34699,77,94059,91040,82,928,680,0,4726,4473,37,877,952,0,0.0149161
209875,165635,95,80397,64072,95,273287,211903,100,2552,1913,30,14714,11799,66,943,1023,3,0.0169049
111501,107279,86,39421,37160,79,88986,83206,82,921,871,0,4540,4313,34,573,606,0,0.0178993
167040,138525,95,49844,41268,89,127257,101537,92,1265,1299,12,6277,5104,41,1689,1393,13,0.0218769
193068,152424,97,64640,50947,94,166850,132037,96,1384,916,0,8286,6572,50,1108,732,0,0.0218769
216861,166046,102,88046,69931,98,180582,133948,102,2049,1276,13,9253,6828,54,141,937,0,0.0228713
157538,128080,102,55804,45668,89,126538,99775,93,1185,887,0,6635,5180,46,-400,736,0,0.0288378
124084,101716,102,35866,29896,86,99925,81186,90,941,593,0,4951,4432,38,272,715,0,0.0298322
85629,83225,87,16356,15966,50,78286,75560,78,297,498,0,4311,4000,34,602,916,0,0.031821
130903,106320,95,32736,27579,85,2686,2562,30,6486,5166,47,2121,1728,24,2340,2915,21,0.0348042
114420,107932,83,36041,33110,80,90002,82632,85,712,823,0,4285,4033,35,-165,300,0,0.0357986
198629,140892,101,52399,37367,95,160701,116860,100,1199,1011,2,8906,6414,52,455,793,0,0.0377874
204483,174271,94,91443,77455,93,178776,149623,96,1818,1579,21,8623,7611,50,51,520,0,0.0407707
157850,124451,95,46539,36737,90,135117,107037,93,1363,1159,9,7098,5623,49,519,1022,3,0.0437539
89483,87262,83,42895,42690,77,74390,72796,80,640,673,0,4058,3924,33,281,468,0,0.0457427
183170,148443,109,66935,55230,91,171113,140288,94,1383,1524,17,8632,6913,53,1594,1812,14,0.0467371
170857,130108,109,45409,33971,89,136768,104499,93,1193,939,0,7147,5341,55,1144,881,0,0.0477315
238719,174836,107,72951,53662,102,197121,143664,106,1829,989,0,9745,7469,54,674,1074,4,0.0517091
