"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
67325,68642,66,16762,16991,43,1160,1090,6,1344,1137,8,2583,2521,23,201834,198355,80,0.00431499
117543,103828,80,41699,36394,77,1679,1605,16,2147,1853,19,4450,4152,32,341228,293856,90,0.00862999
18883,20072,41,15396,15072,45,104,125,0,-20,148,0,-6,56,0,377,597,0,0.0140237
94505,89709,79,33862,33050,72,1096,1118,8,1424,1263,10,3322,3062,27,263325,251872,85,0.0151025
147540,122571,83,41238,33927,80,2204,1718,22,2162,1723,21,5139,4269,36,336031,272362,94,0.0204962
88650,86631,79,29191,29015,71,967,1140,7,987,1128,7,3147,3135,26,203022,196404,85,0.0248112
147872,144090,81,51915,51170,76,2250,2440,21,2769,2627,24,5830,5625,35,431751,403948,88,0.02589
88072,86272,76,25479,25658,57,1222,1278,11,1278,1404,14,3614,3447,28,253351,252886,85,0.0269687
76332,75047,75,21663,21833,50,968,883,0,1377,1353,14,2757,2800,24,195940,192411,83,0.0312837
67586,68125,74,27005,27201,59,1019,1127,7,1166,1254,10,2718,2496,24,182575,179264,81,0.0312837
76539,78133,71,19310,19349,46,918,1070,5,1516,1444,15,2884,2884,25,206199,202590,83,0.0334412
51276,53774,55,22402,22605,66,826,730,0,1010,975,0,1802,1729,17,133726,131007,80,0.0399137
96911,96995,74,35394,35026,72,1227,1205,10,1912,1785,20,4063,3983,30,288770,281055,87,0.0431499
107410,95656,80,42440,36949,77,1218,1135,9,1596,1617,17,3963,3535,30,306403,270339,89,0.0474649
126083,118814,79,46500,44693,76,1646,1465,17,1955,1900,20,4457,4194,31,319832,306926,88,0.0485437
108033,104871,79,27889,27370,69,2074,1973,19,1898,1915,20,4409,4313,30,331125,316638,87,0.0528587
128043,114970,80,47924,43162,78,1504,1376,14,1724,1518,19,4510,4102,31,320725,286390,95,0.0755124
93412,91063,75,29479,29073,72,1261,1165,9,1474,1544,15,3408,3465,27,241057,227392,85,0.0798274
109797,94851,83,39122,33346,77,1375,1184,10,1512,1433,14,3172,2708,28,244491,208162,85,0.0809061
109170,95858,80,38525,33379,77,1430,1350,13,1867,1643,20,4496,3996,33,291729,249155,88,0.0852211
119174,107111,81,39041,34323,78,1832,1701,17,1943,1784,20,4542,3835,33,338632,294347,89,0.0862999
80024,79737,73,31177,31336,71,1094,1025,3,1089,923,0,2524,2476,23,181571,173114,79,0.0884574
110661,108639,74,41400,40013,73,1642,1511,15,2160,2054,20,4760,4452,32,343147,323813,85,0.0906149
209246,164835,91,61825,47898,87,3083,2213,29,2943,2131,30,6668,5257,39,477299,368364,98,0.0927724
167351,129404,85,44708,35219,82,2408,1865,24,2436,1876,25,5632,4386,39,404081,321505,95,0.0938511
64966,64108,68,18689,18635,45,1077,1206,9,1113,996,0,2570,2476,23,162941,159440,81,0.0960086
97247,87052,77,38548,33206,77,1197,1317,11,1327,1318,13,3680,3256,30,283323,243769,89,0.102481
83476,85073,74,24809,24913,56,1152,1294,11,1449,1381,15,3354,3313,27,212343,206945,83,0.102481
57402,57006,73,16302,16620,43,625,670,0,1053,1021,4,1789,1660,17,137747,129404,83,0.106796
113492,101953,78,43393,38672,76,1541,1292,13,1856,1683,18,4660,4134,34,322594,287485,83,0.111111
94783,92064,91,23243,23259,53,1309,1175,11,1648,1578,17,3228,3104,26,222936,209416,84,0.11219
121792,112357,83,44263,40505,77,1611,1532,15,2027,1948,20,3957,3747,30,320454,294952,89,0.117584
75738,74138,72,22763,22863,52,1161,1143,8,1130,1110,9,2990,2898,25,202229,197594,79,0.119741
131345,127849,77,59898,57939,75,2315,2129,21,2124,2019,20,5132,4702,33,346830,325003,88,0.121899
92678,87324,85,32863,32638,73,1475,1554,14,1877,1806,19,3439,3224,27,253669,245561,85,0.122977
91338,89500,75,31479,31444,71,1249,1175,10,1379,1146,9,2359,2244,22,190961,184346,83,0.122977
195577,154319,88,48339,37822,84,2837,2024,30,3267,2548,29,6592,5105,40,491307,379998,98,0.126214
118551,104004,80,49152,42541,78,1513,1340,12,2157,1762,21,4285,3691,33,332819,283737,92,0.132686
144933,121327,82,50217,41609,80,2414,1886,25,2430,1901,25,5735,4721,37,380365,303650,91,0.133765
132145,123049,78,56279,51663,76,2041,1895,21,2333,1985,24,5243,4757,35,339694,300969,91,0.135922
246522,185929,97,92860,70282,92,3602,2494,33,3876,3002,32,8572,6208,45,731453,543852,102,0.137001
98143,96046,75,37033,35572,74,1429,1462,14,1999,1835,19,3744,3547,29,256539,246297,85,0.147789
74314,75828,70,28035,28276,69,963,1076,6,1496,1259,12,3100,3107,26,223158,212318,80,0.148867
