"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
91799,92917,71,26290,26026,56,1233,1161,10,1578,1364,16,3769,3748,28,265210,254220,81,0.00304119
99308,101045,73,41317,40875,72,1445,1401,13,1544,1637,16,3625,3540,28,277813,262013,83,0.00304119
108613,105501,82,30439,29641,73,1634,1647,16,1787,1559,18,3965,3845,29,302478,287383,82,0.00709612
142325,132867,82,48922,44690,77,2009,1938,17,2552,2271,24,5530,5149,35,421742,383015,91,0.00709612
75579,74810,75,16149,16324,42,1030,1040,5,1418,1168,11,2477,2511,22,202393,189331,81,0.011151
72241,75675,70,24188,24839,55,891,845,0,1001,1006,2,2487,2521,22,183940,179656,79,0.0131785
91083,90568,79,34244,33445,72,1447,1369,14,1464,1353,14,3233,3122,26,258397,248187,82,0.0131785
160991,130224,84,51209,41455,82,1724,1587,17,2338,1896,24,5220,4296,36,399322,319667,91,0.0141922
175975,142144,104,48832,38119,86,2107,1665,20,2489,1843,27,5401,4352,37,405230,329221,95,0.015206
103592,99995,75,33288,31754,72,948,1015,2,1498,1329,15,3573,3343,29,272222,252834,84,0.0172334
88322,87111,75,29349,29098,70,966,1082,5,1067,1062,7,2691,2618,23,222970,208033,83,0.0182472
72026,75038,70,16640,16810,43,1194,1112,8,1043,1243,9,2670,2880,23,189743,188665,79,0.0192609
155645,124610,87,58740,47012,82,1750,1327,18,2228,1650,24,4945,3952,37,352178,273722,91,0.0192609
81433,82658,76,16924,17275,42,948,1002,1,1079,1114,8,2442,2413,22,194978,188953,80,0.0212884
70078,70458,71,17650,17558,45,911,983,0,865,880,0,2195,2029,21,166874,163908,77,0.0223021
154973,128115,84,49800,40955,81,2025,1803,21,2512,2078,26,5288,4162,37,376898,304428,89,0.0223021
93747,92464,73,26692,26539,59,1289,1426,12,1576,1596,16,3431,3308,27,250628,243997,81,0.0273707
141485,120723,92,49935,43080,80,1558,1405,17,2225,1854,22,5179,4558,35,355114,301004,91,0.0324394
71944,72453,69,19331,19495,46,826,1004,2,1544,1293,12,2621,2668,24,217346,211890,79,0.0324394
62990,62423,71,18109,18565,44,489,542,0,1165,799,0,2269,2247,21,143331,138616,80,0.0334531
72615,74448,71,19521,19633,47,1138,1128,8,1140,1121,8,2459,2469,22,168962,167668,80,0.0334531
