"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
80416,82027,71,23060,22894,52,1192,1140,9,1205,1136,8,2777,2587,25,198787,194153,80,0.00200529
58142,60170,69,11814,12052,38,746,860,0,985,960,0,2092,2062,19,159354,153008,76,0.00401057
187915,150441,88,74780,61221,87,2972,2007,28,2847,2240,28,6662,5361,39,475986,383611,97,0.0070185
69242,70407,71,26828,27209,58,1084,996,0,915,968,0,2274,2220,22,169381,167344,73,0.00802115
69501,67360,87,22307,22571,50,1210,1179,10,1201,1045,6,2707,2598,24,195065,196824,80,0.00802115
129106,120936,77,44318,40062,76,1624,1392,16,2266,2092,22,4703,4320,34,361077,331612,85,0.0110291
94533,95412,73,30217,30268,71,1286,1133,8,1681,1605,16,2886,2735,26,244386,233585,82,0.0150397
72059,74259,70,29086,29199,63,980,1159,7,1087,1157,8,2530,2398,23,196749,190249,87,0.0150397
84757,85895,74,32581,32890,70,1667,1513,16,1554,1367,12,3127,3233,25,226175,219394,82,0.0190502
109891,108839,74,31236,29801,72,1275,1297,12,1669,1620,16,3969,3794,28,288414,278628,85,0.0210555
198677,155813,96,67466,52884,86,2383,1969,22,2738,2316,28,6307,5014,40,478878,371186,97,0.0230608
105108,102314,78,29471,27565,74,1450,1506,15,1776,1744,18,3751,3598,28,290686,278424,81,0.0240634
116885,99171,80,41567,35130,78,1856,1487,17,1790,1380,18,3982,3290,32,306929,252550,89,0.0240634
101260,94309,91,27364,25666,70,1273,957,0,1344,1361,15,3554,3401,28,252131,240487,85,0.0250661
66195,66922,73,16790,16766,43,958,950,0,1131,1092,8,2030,2149,20,190034,186802,82,0.0270714
111782,98996,80,41931,36302,76,1431,1291,12,1653,1646,18,4127,3693,30,284148,237571,87,0.0290767
81438,81086,77,24427,24789,52,1151,1234,11,1272,1374,12,2807,2825,25,209150,203974,80,0.0290767
135557,117239,83,43258,36871,80,1727,1349,17,2133,1692,22,4277,3567,34,312586,265013,89,0.0300793
142577,124464,86,51322,44855,80,1882,1461,19,2102,1724,20,4390,3954,32,328853,296571,89,0.0350925
99897,101769,72,28251,28298,67,1798,1765,16,1824,1679,17,4103,4047,28,315711,301585,81,0.0350925
