"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
104337,97804,77,42094,38508,75,1505,1389,13,1605,1531,15,4078,3718,31,358091,319807,86,0.00206452
71624,72051,69,21417,21591,47,1001,1039,4,1295,1052,7,2602,2621,23,235532,234075,79,0.00206452
77849,78584,73,17447,17630,43,1093,1146,7,936,927,0,2515,2449,24,224111,220508,79,0.00309677
87101,85055,76,29995,29688,68,1131,1210,9,1189,1159,9,2814,2794,24,259327,250318,82,0.00412903
203048,157624,94,77086,61043,87,2128,1759,21,2933,2110,29,6280,4932,40,566066,438268,99,0.00516129
227608,192941,92,95187,79790,87,3425,2622,29,4218,3507,33,9501,7970,46,850807,739831,99,0.00619355
183680,151469,86,63405,50879,83,2278,1831,22,2956,2349,27,5865,4734,38,510252,416715,93,0.00722581
107770,97177,91,33007,29210,75,1478,1379,13,1592,1550,17,3584,3130,30,340853,302823,87,0.00825806
151848,127221,82,53778,45131,82,1702,1400,17,2275,1868,25,4834,3870,36,420789,345844,94,0.0103226
114022,100353,81,48838,43356,77,1535,1296,13,1579,1391,18,4087,3374,33,336666,297635,86,0.0103226
104625,105130,74,35082,34815,71,1459,1388,14,1839,1676,19,3661,3601,28,328703,316542,84,0.0113548
130511,117605,81,54062,48023,77,1922,1653,20,2104,1809,20,4244,3952,31,373378,332587,86,0.0113548
99664,101266,73,32936,33453,66,1144,1368,13,1707,1727,17,3187,3263,27,304949,289042,79,0.0113548
93434,92575,75,23472,23318,50,833,1203,9,1560,1408,13,3254,3435,26,280243,272104,82,0.0154839
95951,94784,76,46367,45805,72,1378,1250,10,1437,1227,11,3031,3001,25,282326,273122,81,0.0175484
115122,110307,77,46946,43850,76,1599,1565,15,1714,1657,18,4980,4710,33,417584,392287,84,0.0185806
161842,138818,85,51938,42790,82,2286,1942,21,2386,1994,24,5887,4961,38,498495,427898,93,0.0185806
57475,58240,70,18958,19106,46,700,646,0,886,736,0,1853,1839,18,161850,159964,77,0.0206452
130090,113560,82,49253,43374,79,1739,1647,18,1967,1807,19,4824,4006,34,394022,330007,91,0.0206452
85145,84978,77,27948,28069,61,1447,1375,13,1435,1161,11,3165,3043,27,285483,276264,83,0.0206452
151612,138693,82,55217,48215,78,1723,1611,18,2140,1910,21,5106,4515,35,439949,391436,89,0.0227097
111359,97325,82,49761,44004,77,1343,1295,11,1485,1326,14,3535,3129,29,358967,307572,87,0.0237419
143798,139764,78,49319,47423,76,1994,2137,19,2465,2439,21,5311,5000,33,509753,483396,86,0.0237419
100180,105272,69,24280,23911,64,1371,1234,13,1920,1612,19,4334,4147,31,369296,357357,83,0.0247742
198087,159768,87,60482,47261,85,2594,1977,24,2820,2271,26,6521,5350,40,578339,464734,97,0.0258065
101799,99157,78,42291,41888,72,1190,1271,12,1373,1354,15,3491,3511,27,319445,308255,87,0.027871
143874,129793,88,48675,43244,78,1851,1370,17,2213,1918,20,4819,4389,35,430745,384894,90,0.0309677
188678,152782,86,65704,52415,85,2490,1837,26,2986,2088,30,6130,5023,39,552485,427787,95,0.032
86456,87020,73,29877,29794,64,1199,1322,12,1396,1404,13,3655,3495,28,290680,275315,82,0.032
166631,142009,97,77346,67110,85,2381,2024,23,2587,2255,23,5420,4757,36,465869,383021,93,0.0350968
101269,99850,76,35309,34357,72,1116,1065,5,1593,1442,14,3146,3078,27,302223,278872,81,0.0350968
167381,133290,87,60680,48087,83,1872,1429,19,2218,1726,24,5720,4543,38,500376,396872,92,0.036129
33907,33222,57,12200,12315,38,325,337,0,431,474,0,845,787,0,76127,78590,71,0.0371613
94352,89285,75,29277,26684,71,1117,1124,8,1725,1531,17,3467,3297,27,327112,302353,83,0.0381935
32914,34139,59,16550,16431,44,234,261,0,544,414,0,865,845,0,85706,82574,72,0.0392258
120792,107538,88,46076,41039,77,1447,1351,11,1680,1287,15,3977,3817,31,337548,295182,88,0.0402581
72907,72996,74,15639,15964,41,966,1143,7,1093,950,0,2215,2187,22,199796,192588,77,0.0402581
29529,29931,64,12655,13201,39,339,383,0,325,373,0,982,934,0,78555,80655,68,0.0412903
106237,105271,77,54102,52763,73,1170,1299,11,1359,1484,15,3729,3599,29,346662,341028,83,0.0423226
90705,90404,73,43819,43715,72,1091,993,0,1581,1340,15,3085,2927,25,268580,265264,81,0.0443871
42538,40663,68,10241,10459,36,443,499,0,490,527,0,1234,1102,9,108238,106219,72,0.0464516
121818,118396,80,37886,36375,74,1443,1389,13,1735,1662,17,4093,3763,30,389665,371627,85,0.0464516
135865,123697,82,44759,39067,79,1932,1931,18,2236,2020,22,4627,4260,32,406775,368477,86,0.0485161
112833,101457,79,46162,40632,77,1472,1392,13,1470,1227,11,3382,2829,30,321154,276548,86,0.0495484
77402,75619,81,16956,17169,42,1029,1127,8,1289,1430,12,3201,3013,26,272619,261033,81,0.0505806
80625,79110,78,12711,12554,39,1269,1140,10,1236,1232,10,2656,2674,23,259449,256815,82,0.0516129
115108,105047,78,44018,38348,78,1683,1523,17,1712,1391,17,3887,3690,29,338362,302871,87,0.0526452
298918,197696,118,100182,65908,104,4436,3039,35,4454,2843,39,10200,6924,51,987862,656335,115,0.0526452
109345,108959,80,33060,32967,72,1674,1621,16,1851,1826,19,4616,4724,32,355066,349113,82,0.0526452
108850,104713,76,43112,39330,76,1456,1473,13,1823,1816,18,3504,3191,29,325310,291849,84,0.0526452
41766,43363,61,13672,13898,40,505,625,0,756,685,0,1563,1495,16,120837,119149,74,0.0547097
94050,95346,73,24210,24446,54,1418,1435,14,1595,1509,15,3595,3561,27,339948,334231,83,0.0588387
98115,94287,77,32776,30351,72,1324,1164,11,1630,1400,14,3534,3470,28,344615,317465,83,0.0588387
250281,199163,91,88302,71039,89,3306,2896,27,3747,3050,33,8845,7055,45,790457,626094,98,0.0588387
81990,85869,70,18888,19390,43,1609,1476,15,1479,1409,13,2880,2765,26,271150,268390,78,0.0588387
