"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
121557,117761,80,52745,51291,75,1553,1516,14,1730,1607,16,3478,3345,27,351985,333141,86,0
157039,127248,93,67053,54261,83,2140,1491,23,2471,1799,25,4747,3733,35,446980,344818,94,0.000970141
131406,122307,79,38295,33577,78,1857,1954,17,1699,1594,17,4450,4020,32,391179,349973,88,0.00582085
106826,101243,76,45373,41236,75,1530,1547,13,1317,1097,9,3596,3228,29,371349,340668,86,0.00582085
258895,201547,101,76051,59054,94,3213,2544,28,3292,2605,30,8462,6519,44,787211,594708,108,0.0126118
231033,179385,99,88163,69874,93,3499,2576,31,3932,2899,34,8763,6961,46,745425,586422,110,0.0164924
21335,22716,46,7488,7814,33,215,226,0,252,343,0,890,912,0,91863,96304,69,0.0174625
92217,92632,74,32500,31740,71,1072,1125,8,1517,1393,15,2935,2965,25,279072,266702,84,0.0194028
173987,139046,87,67049,54429,85,2131,1705,22,2700,1847,28,5829,4699,39,528519,420204,102,0.0194028
231917,177115,90,85722,65130,90,3574,2650,30,3016,2352,31,7449,5671,42,690772,522981,102,0.0194028
60784,61258,69,24679,24907,53,671,647,0,650,616,0,1715,1693,17,167521,159071,78,0.020373
35078,35187,71,16486,16997,42,326,452,0,275,390,0,910,1005,1,90156,87390,74,0.020373
94978,93458,81,28316,28068,70,1324,1272,11,1625,1503,14,3251,3230,26,290143,275259,84,0.020373
83642,83044,88,27949,27771,68,1086,1090,7,1084,1057,5,3024,2961,25,285640,278665,88,0.020373
207350,159210,95,68633,52437,89,2274,1727,24,2933,2155,28,5851,4564,38,543588,420327,101,0.0223132
175725,132410,105,59911,44750,105,2344,1802,23,2228,1481,21,5522,4263,37,508472,378903,105,0.0223132
128502,111065,82,50166,43263,78,1549,1203,16,1662,1569,17,4383,3830,32,395871,328863,90,0.0232834
94261,89069,78,35787,33239,75,1339,1426,13,1311,1301,13,2929,2809,26,273024,249801,87,0.027164
122379,110657,85,57829,52658,77,1609,1519,16,1649,1517,16,3961,3610,31,356835,313835,88,0.0300744
200092,160860,88,70136,56273,87,2710,2078,24,2864,2459,25,6185,4803,39,560666,444876,101,0.0310445
119876,110295,80,48171,43748,76,1652,1562,17,1490,1339,16,4106,3698,31,368454,325364,89,0.0339549
106701,106146,76,39230,38993,72,1468,1512,15,1775,1478,14,3141,3085,27,295168,279296,85,0.0349251
85220,83870,74,28638,28145,71,1109,984,0,1238,1134,9,2603,2635,23,235005,223691,89,0.0349251
100792,95528,83,32900,30802,73,1577,1280,11,1499,1515,15,3692,3460,30,319620,301560,86,0.0358952
101460,100151,82,29669,29678,71,1394,1288,12,1574,1489,15,3477,3473,27,295763,287590,82,0.0388056
102391,101911,77,38607,37457,72,1735,1557,16,1777,1609,17,3624,3385,29,323491,302311,83,0.0397758
97557,95154,79,30868,30187,72,1126,1142,8,1045,1219,10,3494,3548,27,315105,302086,85,0.0407459
