"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
158013,131812,87,55761,46430,83,2498,2207,22,2381,1958,24,5207,4324,37,485422,395170,97,0.00199115
107723,104964,81,37433,36969,72,1312,1171,11,1507,1568,16,3531,3486,27,336848,324231,87,0.0039823
119183,110342,77,50697,46218,76,1554,1311,14,1462,1336,14,3534,3107,30,313593,286466,88,0.00597345
126429,113496,82,52097,46672,77,1804,1564,18,1668,1525,16,4039,3810,31,364215,319172,88,0.00696903
188668,147660,93,67217,52914,85,2303,1676,24,2335,1836,24,5716,4386,39,491472,379843,96,0.0079646
78611,78788,72,31614,31790,70,817,955,0,1139,1201,9,2742,2613,25,235023,225778,84,0.00896018
109168,100236,77,42036,37940,76,1152,1059,6,1709,1567,15,4202,3920,30,335570,294100,88,0.00995575
125909,119198,89,54099,52193,76,1654,1642,17,2110,1982,22,4533,4424,31,395471,382215,88,0.0109513
159627,135028,82,64641,54606,81,1764,1477,19,2031,1774,22,4353,3547,34,411010,340467,91,0.0119469
106275,103892,84,28896,28670,66,1075,1145,8,1483,1618,14,3032,2791,27,285599,274695,85,0.0149336
91749,91792,74,29505,29181,66,1110,1136,8,1608,1482,15,3064,3142,26,274986,267554,83,0.0169248
89854,83938,76,32342,29521,73,1080,1120,7,1297,1183,11,2941,2587,26,249953,232184,83,0.0169248
71154,71813,71,21405,21562,49,1086,1200,9,1145,1313,11,2149,2115,21,203869,201234,85,0.0179204
53537,53633,76,20181,20334,46,776,804,0,755,956,0,1569,1473,16,147753,141870,79,0.0189159
38115,39513,58,13784,14232,40,300,307,0,248,471,0,1014,929,0,111226,112258,75,0.0199115
102436,101757,74,32728,32653,72,1324,1273,10,1302,1386,14,3172,3145,26,310288,297483,85,0.0199115
142841,124639,80,46859,40780,79,1568,1266,12,1742,1654,17,4673,4025,34,391896,334039,92,0.0219027
77497,77802,72,26766,26504,66,731,987,0,1368,1290,11,1999,1933,20,227328,224857,84,0.0228982
80989,77961,87,24268,24209,54,1047,1067,6,1123,1109,8,2451,2396,23,212934,208944,80,0.025885
99414,97952,76,26491,26436,61,1109,1075,6,1475,1527,14,3343,3089,27,306938,294096,88,0.0268805
97566,94395,76,37185,36130,73,1096,1042,4,1198,1306,11,3213,3096,27,269597,258367,85,0.0278761
98643,97513,74,27424,27409,70,1215,1025,4,1297,1096,8,2827,2927,23,272370,265156,86,0.0308628
135433,112863,85,48562,39954,80,1863,1545,17,1892,1581,19,4462,3761,34,378349,320510,94,0.0308628
114044,111883,79,47644,46975,74,1451,1642,15,1324,1393,13,3591,3497,28,344527,326626,87,0.032854
121985,108266,83,52542,46844,79,1562,1293,15,1797,1438,17,3740,3227,32,334334,294931,97,0.032854
90513,92520,71,34198,34279,71,1132,1097,7,1200,1241,10,2927,2848,25,277942,272623,85,0.032854
181835,143208,86,64842,51474,85,2642,1728,27,2435,1878,26,5511,4204,38,511947,393000,98,0.0348451
119256,116924,79,33415,32686,75,1450,1405,13,1731,1705,17,3813,3528,29,365355,349433,87,0.0358407
97321,94963,76,43600,40386,73,1220,1218,11,1441,1356,13,3188,3053,26,292181,271684,84,0.0368363
31436,31901,65,10956,11277,37,540,538,0,513,412,0,1070,1000,1,90946,88925,74,0.0378319
140018,133775,79,48574,45964,78,2213,1997,21,2221,1865,19,4852,4748,32,471565,436057,91,0.0408186
136708,137440,75,61388,59026,76,1696,1755,17,2267,2057,21,5146,4902,32,452773,430772,93,0.0408186
102622,102258,78,28869,28404,71,1343,1421,14,1246,1166,9,3358,3133,29,302047,284190,84,0.0428097
173466,140780,87,77645,64158,86,2241,1711,23,2360,1813,23,5272,4298,38,496048,395396,94,0.0448009
125341,122252,79,43216,41805,75,2321,2181,20,1676,1645,17,3994,3879,28,399586,371988,87,0.0448009
27677,28310,51,11445,11511,38,247,227,0,411,364,0,999,990,0,91892,96416,70,0.0517699
34361,34157,65,8765,8902,35,434,368,0,206,483,0,960,887,0,85315,86336,74,0.0517699
39540,40323,65,20579,20800,48,520,394,0,582,681,0,1282,1126,9,110356,102612,77,0.0547566
86972,86902,78,23297,23370,52,1278,1380,12,1159,1276,10,2675,2727,23,261502,257708,84,0.0557522
66542,68476,69,12068,12201,38,815,842,0,801,877,0,1901,1992,19,183833,175155,80,0.0567478
114716,102576,81,49781,44660,77,1438,1232,12,1605,1368,14,3837,3485,31,363698,314344,90,0.0567478
176798,144610,88,62113,50083,86,2365,1766,24,2401,1624,24,5310,4433,37,502770,399971,99,0.0617257
33111,34446,47,10908,11314,36,572,715,0,520,466,0,851,847,0,91668,90201,76,0.0617257
126074,113796,87,34556,30319,75,1712,1542,16,1824,1567,17,3922,3637,31,333845,289158,90,0.0637168
214519,161987,96,82745,63475,88,2771,2208,25,3087,2229,30,6973,5352,42,659887,495703,98,0.0667035
145732,124482,83,49049,41020,80,1611,1364,14,1730,1414,22,4096,3555,33,377983,305910,93,0.0667035
124669,111160,84,41656,36528,79,1721,1372,14,1992,1458,22,3794,3364,30,360192,312200,94,0.0676991
95538,95044,80,22841,22726,55,1227,1244,9,1283,1256,11,2499,2377,22,250676,238927,85,0.0686947
105422,103921,75,45534,45590,73,1422,1268,11,1362,1379,14,3073,2959,26,297768,281878,84,0.0706858
166382,145070,86,74650,64499,82,1917,1542,20,2359,2173,23,5806,4946,37,522898,467980,92,0.0716814
130214,111685,89,50373,43590,80,1651,1334,15,1865,1510,20,4249,3437,35,419595,356388,92,0.072677
115665,114646,82,35616,34813,73,1122,939,0,1624,1505,15,4005,3655,29,329906,314625,85,0.0736726
113932,104727,78,50818,46263,76,1728,1622,16,1788,1743,17,4187,3704,31,372431,333448,87,0.0746681
76492,76910,73,26568,27151,54,760,874,0,1117,1033,4,2488,2526,23,229936,231565,82,0.0746681
118077,114679,81,34072,33723,73,1209,1262,10,1570,1666,15,4154,4057,29,363562,355622,86,0.0756637
110063,105572,79,40356,38202,74,1415,1370,16,1546,1507,14,3279,3041,28,325481,304103,85,0.0756637
173567,147946,96,50440,41644,83,1897,1627,18,2323,2118,23,5298,4390,36,432996,367732,94,0.0766593
110991,104147,92,27276,25129,87,1676,1560,16,1761,1572,17,3795,3484,27,385643,354634,92,0.0766593
174139,154108,83,63236,55510,83,1845,1479,18,2779,2264,26,5646,4977,36,533327,463025,92,0.0776549
99353,92809,77,39649,36207,74,1227,1014,3,1269,1139,9,3470,3248,29,309707,274925,84,0.0776549
28906,30724,53,9631,9840,36,345,403,0,365,404,0,826,897,0,88294,87002,72,0.0816372
110504,102348,82,47151,43309,76,1423,1282,14,1266,1288,13,3252,3169,27,314921,285719,87,0.0826327
40513,39584,69,14724,15205,40,602,604,0,376,365,0,1104,1017,3,99734,97048,75,0.086615
