"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
109125,107487,77,42166,41675,73,1523,1532,14,1418,1473,15,3810,3709,29,346346,329224,87,0.00309534
112632,111933,74,49374,49506,73,1439,1319,13,1703,1649,17,3895,3654,29,355246,338649,84,0.0103178
73347,74512,72,25757,25638,61,1139,1294,10,963,1050,4,2459,2311,24,232541,221948,81,0.0113496
70339,70925,70,29340,29708,69,754,946,0,703,868,0,1846,1726,17,191554,186445,83,0.0175402
95964,96274,74,41474,40895,72,1266,1192,9,1235,1219,11,3029,2787,25,271080,263532,84,0.0206356
129053,126158,76,41070,39376,75,2447,2265,21,2107,2045,22,5217,5125,33,481147,447945,85,0.0247627
114457,111819,77,45051,44168,74,1372,1354,14,1300,1358,13,3085,3079,25,304690,293314,80,0.0257945
98419,96467,77,34412,34711,71,933,976,0,1064,1155,9,2803,2784,25,262100,248402,85,0.027858
148893,126154,83,54923,45427,82,1914,1596,21,2128,1987,19,4892,3870,36,431435,354854,93,0.0288898
88047,84980,83,24820,24832,53,1072,1051,5,1496,1268,11,2439,2381,23,253905,240943,84,0.0299216
190453,158237,88,76459,63448,85,1853,1546,18,2620,2093,26,5999,4958,37,570309,478752,98,0.0330169
99598,99344,75,34109,33651,72,1345,1338,11,1470,1254,12,2950,2806,26,317761,300452,84,0.0350805
189825,146549,93,71338,55803,85,2796,1914,27,2498,2009,24,5727,4489,39,556038,419718,97,0.037144
76423,77016,73,26507,26565,58,898,1009,2,1081,1024,3,2114,1852,21,183956,180197,88,0.037144
77225,79948,71,29082,29183,68,1141,986,0,1006,952,0,2356,2142,23,192640,189486,76,0.0392076
141125,127842,83,45010,39755,78,1718,1649,17,2231,1788,24,4722,4092,32,488874,435269,91,0.0423029
87463,88843,72,28307,28396,66,1185,1163,8,1295,1330,13,2767,2537,25,285228,271938,83,0.0443665
161048,139853,86,54616,46896,80,2065,1701,21,1903,1749,20,4482,3698,34,420694,356733,91,0.0474618
99683,98758,75,31293,30838,72,1508,1686,15,1462,1364,12,3457,3642,27,317400,308180,85,0.0484936
156858,151254,79,40930,39998,75,1985,1795,19,2295,2152,23,5188,4989,33,521157,484655,87,0.0495254
47643,49315,68,20018,20387,47,382,325,0,326,407,0,1225,1132,8,113621,113428,81,0.0515889
278094,189905,114,112750,78182,101,3173,1961,30,3669,2497,33,8463,5533,47,757694,506560,111,0.0526207
145268,129206,85,50318,44303,80,2160,1836,22,1812,1632,18,4989,4493,34,408173,363676,90,0.0536525
84433,86462,70,20711,21017,46,1209,1390,11,1369,1357,13,2814,2903,24,274434,266600,80,0.0536525
135685,124752,81,47041,41872,78,1839,1706,18,2062,1976,19,4430,3907,32,398756,363897,90,0.0557161
