"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
188013,124410,102,84113,56515,98,28953,19173,82,-166,49,0,-1,46,0,-3955,0,0,0.00211107
423090,192828,170,167456,77548,170,60950,26849,150,822,515,0,434,282,0,-6338,0,0,0.00211107
57372,41268,84,31100,22240,79,9604,6536,47,-150,115,0,1,81,0,-123,888,0,0.00949984
72272,50227,89,19090,13666,59,9066,6390,47,-86,42,0,-43,57,0,-306,295,0,0.0126664
191660,127986,104,118398,79524,101,27194,18161,78,185,80,0,50,69,0,-121,359,0,0.0147775
225099,131331,114,97401,58511,108,31815,18190,88,59,110,0,-5,37,0,-4515,0,0,0.0158331
220361,145333,109,77748,51589,102,32826,21056,97,75,148,0,150,101,0,-3844,0,0,0.0158331
267322,160369,117,94001,55103,115,45590,26500,109,-180,130,0,-58,30,0,183,378,0,0.0179441
195848,132871,102,84662,56866,97,27054,17580,76,-99,64,0,74,74,0,-901,195,0,0.0189997
157614,106875,95,37822,26041,90,22910,14934,68,-211,117,0,17,41,0,85,488,0,0.0232218
40765,27621,88,11742,8303,50,5930,3963,42,51,89,0,63,119,0,-88,307,0,0.0242774
176335,96158,119,79555,42831,104,23919,12620,79,-110,30,0,-62,63,0,346,785,0,0.027444
416769,192442,155,164152,73586,144,50659,22570,139,56,133,0,-50,79,0,-5701,0,0,0.027444
293981,158353,127,113789,60196,125,33844,17720,102,-202,126,0,105,92,0,145,413,0,0.0316661
179917,122635,99,38444,26052,92,24065,15716,67,214,133,0,55,83,0,-1640,71,0,0.0327217
41840,29580,82,14869,10561,54,4702,3303,37,68,134,0,-48,51,0,-1062,0,0,0.0337772
157259,106938,109,32727,22608,88,23987,15667,73,-85,91,0,50,96,0,-1805,0,0,0.0337772
183042,122241,106,85411,58023,98,27144,17881,72,171,174,0,66,99,0,-438,112,0,0.0464436
333270,166795,142,100343,48765,136,45472,21082,133,6,106,0,209,128,0,-1483,155,0,0.0506658
219128,141847,119,113563,73527,104,27321,17375,85,71,79,0,30,72,0,-6093,0,0,0.0506658
58785,40729,93,19884,14006,60,9240,6212,47,102,157,0,-71,49,0,-1069,236,0,0.0612212
223242,141350,112,91809,57647,105,32836,20587,94,-80,72,0,29,108,0,191,442,0,0.0622767
212441,140796,111,77050,52038,100,29122,19117,81,-99,142,0,90,103,0,-317,211,0,0.0675544
433047,209420,150,199914,104539,147,62680,30309,143,-20,138,0,-24,54,0,-81,300,0,0.0728321
287833,167687,120,102418,57517,117,33919,19674,110,-105,89,0,25,67,0,-1494,201,0,0.0738876
229179,141304,109,73505,43554,104,32378,19391,93,91,133,0,-59,62,0,-6499,0,0,0.0749432
60490,41133,84,17044,12059,56,9091,6113,49,251,145,0,25,44,0,-2212,0,0,0.0759987
109669,76430,102,38231,26679,87,13592,8944,56,45,113,0,104,98,0,-406,141,0,0.0770542
201168,136047,112,94229,63781,101,35176,24315,92,44,96,0,-8,89,0,-2165,0,0,0.0770542
247404,150114,111,113010,68282,110,36178,21657,99,-181,36,0,-81,28,0,261,284,0,0.0865541
