"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
150926,88569,102,50752,28937,99,29123,16624,95,181,157,0,63,113,0,-695,169,0,0.00432466
353692,178829,144,132367,69751,130,74263,38023,127,-12,121,0,-72,74,0,-59,560,0,0.00864932
165172,95782,105,88388,50462,102,11326,6782,57,42,143,0,-55,57,0,-410,244,0,0.025948
72416,49829,86,29057,20166,77,14289,9817,54,56,96,0,89,90,0,-786,0,0,0.0302726
223837,130408,112,104374,62684,106,36320,21483,101,188,116,0,61,85,0,191,642,0,0.0356784
129864,80930,102,42579,24345,98,19747,12071,66,-70,94,0,-141,30,0,-1385,204,0,0.0367596
169576,101587,106,55434,32173,99,33352,19308,92,-35,167,0,-42,64,0,285,516,0,0.0389219
329749,167272,135,118510,59293,126,48586,24028,123,-165,51,0,-116,40,0,440,806,0,0.0486524
262310,139867,119,118887,62688,113,42146,22116,107,23,139,0,0,49,0,-344,624,0,0.0540582
119159,81701,104,45972,31715,88,20448,14271,64,-13,94,0,-108,17,0,-449,117,0,0.0562206
337091,180128,134,102262,53388,133,61425,31456,130,96,115,0,-5,67,0,-163,420,0,0.0616264
219978,124828,125,80448,45961,108,39510,22187,104,-105,66,0,-49,63,0,-53,556,0,0.0670322
322962,198775,124,183819,113328,117,897,511,0,-96,72,0,74,77,0,-119,481,0,0.0702757
301985,160308,130,82163,42984,120,50976,27585,118,9,223,0,-70,88,0,-3436,0,0,0.078925
96250,68100,94,35272,24692,85,16632,11721,57,92,181,0,44,95,0,-412,308,0,0.0843308
322530,169494,126,113962,59806,123,53722,26812,120,171,137,0,16,97,0,105,643,0,0.098386
158907,106685,97,52651,35939,91,26058,17426,69,0,116,0,-112,57,0,-7049,0,0,0.098386
326700,174456,124,139653,73764,122,43672,23395,116,151,127,0,-51,67,0,125,478,0,0.120009
197025,128291,101,53709,33570,100,34643,21026,97,-90,125,0,-87,57,0,-62,543,0,0.123253
156110,108093,96,52717,35880,92,27826,19329,79,13,82,0,9,94,0,-100,393,0,0.125415
185751,109429,108,72744,42398,102,31398,17770,92,96,113,0,-27,55,0,-346,522,0,0.136227
153460,103918,104,48536,33421,91,24025,15444,71,-40,98,0,89,69,0,32,530,0,0.147038
