"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
116793,81321,97,50385,34910,88,17672,12385,59,52,154,0,18,75,0,312,760,0,0.00754077
155187,104599,110,73574,50338,95,21574,14798,62,262,228,0,12,82,0,-1082,318,0,0.00754077
250906,159417,119,99535,62443,106,34627,21280,98,5,111,0,124,102,0,-1905,91,0,0.00848336
455009,219587,157,166461,82334,154,62181,30327,149,35,116,0,12,123,0,-10330,0,0,0.00848336
237405,136714,110,90163,50675,108,34244,18887,99,-231,5,0,-29,115,0,-9548,0,0,0.00942596
432416,204527,162,165370,77758,160,65149,31252,155,-62,93,0,-81,58,0,-1523,134,0,0.0103686
406850,213679,144,181569,100937,140,53489,27934,134,-66,78,0,-101,63,0,-850,123,0,0.0131963
279512,169023,123,129075,79203,113,38842,24136,107,-130,129,0,-130,59,0,-581,302,0,0.0150815
193675,129006,102,64907,43773,99,31715,20593,87,133,143,0,24,69,0,-1003,245,0,0.0160241
252715,152062,112,83894,48434,109,40071,23614,106,100,118,0,-21,71,0,295,1049,3,0.0197945
177441,119888,98,53004,36202,95,27520,18702,79,235,177,0,-60,66,0,-2220,101,0,0.0207371
74200,49628,97,22075,15533,65,10029,7356,46,24,161,0,-98,60,0,-629,211,0,0.0216797
175188,118474,104,51152,34959,93,28502,19796,84,-136,42,0,103,74,0,95,419,0,0.0329909
154493,103492,97,60822,40408,95,22407,15299,67,40,87,0,-53,74,0,-1487,0,0,0.0339335
278617,152328,114,109837,60066,113,40942,22599,107,-43,154,0,-11,87,0,-531,189,0,0.0358186
165813,111728,101,50680,34822,95,24092,15542,68,9,92,0,-46,70,0,-357,231,0,0.039589
141808,99110,104,53420,37083,91,17313,11951,60,-75,128,0,-32,46,0,376,605,0,0.0414742
185511,126145,102,92467,62739,98,22748,15562,69,184,185,0,-77,65,0,-873,101,0,0.044302
48581,34123,74,18495,13353,58,5744,4241,38,-42,117,0,-55,74,0,-2630,0,0,0.044302
324538,176793,137,113534,60035,130,44154,24527,123,-127,89,0,-64,18,0,-5859,0,0,0.044302
304935,175091,134,143330,84744,125,33757,18266,100,192,145,0,22,78,0,-7028,0,0,0.0452446
235242,150193,111,81914,51340,101,32912,20122,87,103,159,0,-80,47,0,-534,251,0,0.0471298
220247,148044,109,61131,41122,98,31206,21191,82,-4,110,0,-61,35,0,-5483,0,0,0.0471298
172570,117141,109,139943,95482,102,26858,17270,77,139,136,0,15,52,0,-1137,88,0,0.0480724
163561,111602,97,55763,38047,94,27340,18191,75,86,125,0,65,78,0,-355,709,0,0.0499576
208026,139147,102,63373,42751,98,37030,24387,96,150,211,0,0,79,0,-676,359,0,0.0509002
250246,153920,109,85370,53799,104,36594,22400,99,-100,78,0,90,64,0,-5883,0,0,0.0509002
333910,173518,131,143228,76292,124,43026,21463,117,-266,45,0,45,120,0,-4579,0,0,0.0518428
146913,101447,100,63406,42990,92,16681,11821,59,-158,54,0,-41,73,0,-343,279,0,0.053728
311075,163544,132,142645,76240,123,42900,23212,117,86,127,0,119,79,0,-495,321,0,0.0593835
205916,138459,100,112901,76157,102,27772,17777,79,3,73,0,-65,56,0,-520,353,0,0.0622113
208812,139494,104,87865,58911,100,30841,21026,77,70,108,0,-13,69,0,-4059,0,0,0.0622113
195891,126775,111,87017,57746,99,41976,27400,96,-99,118,0,74,80,0,-916,171,0,0.0640965
198784,133340,96,38874,26322,93,29283,19409,84,-5,124,0,-6,61,0,-624,143,0,0.0659817
251053,136420,115,123130,69230,114,33584,18524,93,-290,97,0,-105,45,0,-3612,0,0,0.0669243
168241,115113,97,71988,49154,95,21517,14180,66,-106,56,0,36,89,0,-196,365,0,0.0706947
392421,193407,150,166578,85430,144,55627,26491,138,141,243,0,177,111,0,305,788,0,0.0744651
193144,123444,103,82931,52211,101,28504,18026,82,-46,102,0,95,83,0,-767,210,0,0.0754077
210695,125386,111,70584,40995,103,31535,18623,90,85,127,0,-6,61,0,-461,302,0,0.0782355
177643,120579,105,72607,49179,96,27273,18368,77,48,120,0,18,81,0,-753,230,0,0.0791781
219885,140022,115,65819,41285,103,37717,23197,101,-86,67,0,106,79,0,-183,195,0,0.0820058
346674,179712,138,155393,83371,137,42320,20625,125,-56,104,0,-109,25,0,435,711,0,0.0857762
269447,156540,135,133225,78729,135,37596,20557,116,1002,520,0,813,494,0,-595,287,0,0.0857762
258107,142031,127,118063,66988,114,38181,21348,107,-123,91,0,14,106,0,-17,395,0,0.0876614
213158,131882,108,76957,46683,106,36055,21848,99,102,130,0,90,105,0,-3113,0,0,0.088604
176346,121351,96,88738,60200,96,32122,21124,86,-75,103,0,77,66,0,-10845,0,0,0.088604
199655,129660,111,81166,52981,102,26662,17389,76,-107,61,0,-109,28,0,-125,404,0,0.0914318
313522,166269,127,135117,71632,123,39487,20849,113,-20,134,0,-26,58,0,-367,388,0,0.093317
243402,159160,108,105728,67704,107,32582,19259,94,-24,135,0,-110,20,0,-12980,0,0,0.0942596
249859,136043,123,113629,64928,117,38598,20941,113,-9,102,0,10,53,0,121,494,0,0.09803
162311,111976,106,67768,46901,95,26602,17614,77,-91,140,0,16,48,0,-374,154,0,0.0999152
222517,136982,108,88092,53698,106,31610,19320,90,-70,100,0,-9,39,0,-857,112,0,0.100858
328608,175852,125,123369,66708,123,39803,20829,114,-100,117,0,-24,64,0,-4774,0,0,0.100858
267388,170022,112,127609,81298,111,47257,29175,107,291,137,0,28,70,0,-8241,0,0,0.1018
264813,143761,125,102920,54578,116,42638,22894,112,-15,88,0,36,84,0,-18025,0,0,0.1018
112062,76179,101,45637,31017,103,15254,9888,63,411,525,0,257,521,0,-14607,0,0,0.1018
359621,189155,137,176836,88463,138,59149,30308,132,-5,159,0,89,112,0,3,522,0,0.106513
394890,203549,149,144945,74813,139,56181,29795,134,-192,114,0,54,103,0,-3572,0,0,0.107456
123519,87190,93,60487,42152,89,17153,12080,58,-340,37,0,33,77,0,264,597,0,0.124423
46909,34422,63,20538,14776,60,7481,5175,43,81,96,0,25,78,0,-3338,0,0,0.124423
185474,125635,99,52371,35335,95,33157,23451,92,-183,59,0,-22,67,0,-479,469,0,0.125365
