"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
251097,138747,126,104179,59679,111,38724,21108,106,144,115,0,-134,21,0,641,417,0,0.00202497
59415,41164,85,28825,20125,75,13191,8798,52,-138,43,0,44,66,0,-428,271,0,0.00303746
41939,29304,76,19646,14111,61,5610,3568,42,106,223,0,-81,27,0,-1467,0,0,0.00303746
189208,123116,101,89330,59198,97,35039,22165,93,6,149,0,-45,58,0,-108,459,0,0.00607492
72247,51016,85,29830,20926,77,11323,7385,50,-107,77,0,-27,41,0,-3638,0,0,0.00607492
107105,71590,92,41356,28301,88,20637,13592,62,130,191,0,-24,72,0,-1556,0,0,0.00708741
82711,57697,95,31708,22152,84,13393,9271,52,123,110,0,77,87,0,-1327,334,0,0.0080999
347989,185413,136,133837,71793,130,57241,30522,127,11,151,0,117,69,0,-5594,0,0,0.0080999
177013,118868,100,89784,61142,99,32704,21620,94,204,135,0,-82,100,0,966,550,0,0.0121498
120245,83079,92,37213,25720,87,17468,12386,58,-172,12,0,35,84,0,-469,174,0,0.0141748
431936,219252,158,209871,109318,156,82148,43933,151,-22,115,0,41,76,0,-58,414,0,0.0151873
158487,109441,105,41422,29057,90,24091,15868,69,-249,38,0,-19,70,0,-15821,0,0,0.0151873
349927,179742,145,152446,80420,135,46421,23189,128,-7,98,0,127,81,0,-3603,248,0,0.0161998
338632,171318,147,134135,68675,133,58665,29904,128,-252,96,0,-48,89,0,-1555,315,0,0.0172123
379928,199360,149,174687,89982,148,57093,29684,143,65,87,0,16,90,0,-3330,0,0,0.0182248
99601,70719,87,33470,23204,86,17280,11814,59,-8,67,0,4,52,0,-11740,0,0,0.0182248
166709,107032,101,74233,46950,98,35094,22105,96,-134,55,0,-76,41,0,-5105,0,0,0.0192373
196374,132705,103,62149,43374,96,31586,20984,89,-162,120,0,-72,32,0,-10028,0,0,0.0192373
252610,140676,118,95029,53058,113,36700,20598,108,-100,77,0,-61,45,0,-418,511,0,0.0212622
163290,109828,99,58793,38568,94,33208,21809,91,-39,56,0,-52,70,0,-2376,0,0,0.0222747
262792,146279,126,109475,61719,116,34509,18681,102,-83,60,0,-92,48,0,-3105,0,0,0.0222747
174444,119085,102,77709,52684,97,30857,21331,90,-23,105,0,-18,75,0,1154,564,0,0.0253122
291145,165015,122,98146,54971,118,40471,22042,116,-64,105,0,-3,44,0,-7115,0,0,0.0253122
136815,95184,94,56742,39637,91,26433,18056,78,151,120,0,45,90,0,-2976,0,0,0.0263247
127484,85353,95,44417,29258,92,19613,13165,62,-108,111,0,-76,45,0,-7691,0,0,0.0263247
183817,109142,114,68139,40004,100,36477,21369,100,116,122,0,91,118,0,-87,490,0,0.0334121
135469,92940,99,53673,37102,90,25427,17542,74,89,135,0,-5,86,0,-382,414,0,0.0354371
153979,106279,96,62634,42881,94,22894,15803,66,124,131,0,-52,35,0,2246,1271,17,0.0354371
157151,107570,96,69030,47652,93,23502,16013,67,66,143,0,19,61,0,-207,279,0,0.0384745
230580,145775,118,130147,83392,107,33226,21582,99,-58,56,0,-38,69,0,-3137,0,0,0.0384745
89252,62815,100,30210,20643,87,14772,9778,57,918,550,0,781,451,0,-2670,0,0,0.0384745
211170,128207,122,88730,53872,106,31840,19463,96,-254,95,0,-61,61,0,-827,315,0,0.0404995
306751,149743,133,131630,64213,129,46975,23271,123,-30,145,0,-35,84,0,-465,331,0,0.041512
245807,148586,121,128397,77032,110,46405,27965,105,6,136,0,52,54,0,-1613,68,0,0.0425245
315151,184899,124,192117,115730,123,69586,41371,117,-6,136,0,-43,90,0,204,658,0,0.0445494
241734,149722,112,75399,44626,106,33108,20442,99,-52,87,0,-17,81,0,-313,201,0,0.0496119
91556,66472,85,34684,24623,83,13240,9149,54,-19,65,0,-42,55,0,-7510,0,0,0.0496119
214081,136118,115,100580,62424,104,35319,21954,96,-1,112,0,-101,55,0,-506,128,0,0.0516369
293915,170529,121,123013,70583,115,44991,25431,110,114,105,0,-31,44,0,-8204,0,0,0.0516369
476778,241576,170,222153,116737,167,118868,62582,162,-245,78,0,-41,56,0,675,660,0,0.0536618
221010,118558,112,90507,48299,109,41960,21870,105,-25,133,0,-49,34,0,-2403,168,0,0.0546743
404130,203061,139,126646,62694,137,67760,33636,133,246,117,0,36,91,0,-11542,0,0,0.0546743
437464,207715,156,155130,72613,149,68362,31384,145,158,125,0,30,73,0,-25246,0,0,0.0546743
474639,259919,141,264116,145942,141,157747,86362,141,-270,83,0,2,71,0,681261,331412,157,0.0546743
308833,160829,125,121976,64377,122,46356,24356,118,-49,78,0,93,89,0,-22910,0,0,0.0556868
307677,166730,134,137359,73005,131,40295,22165,121,-175,97,0,-198,4,0,-534,298,0,0.0577118
287211,148648,139,118192,61079,124,46714,24233,119,-104,138,0,91,120,0,698,743,0,0.0597368
315175,161902,136,135890,70432,121,45025,22543,115,-115,126,0,40,55,0,-676,343,0,0.0617617
232834,130300,113,81420,44765,108,38181,20844,103,57,163,0,-111,70,0,-7118,0,0,0.0617617
213638,125306,108,86786,50521,104,35955,19755,100,-14,114,0,60,110,0,-12931,0,0,0.0617617
214239,134961,103,86854,52760,103,36013,22333,98,-186,71,0,20,60,0,-18105,0,0,0.0617617
211920,142458,114,95414,64319,100,36680,24163,96,0,115,0,-44,60,0,-7304,0,0,0.0627742
248969,139564,121,104718,58258,115,40971,23072,109,70,115,0,153,121,0,-505,509,0,0.0668242
81862,57590,92,35938,25543,82,12329,8633,51,-3,97,0,60,73,0,-508,70,0,0.0688491
286551,164876,120,121911,69827,113,49034,27513,109,35,114,0,-58,67,0,-507,377,0,0.0698616
94715,68704,88,27516,19552,70,22639,15600,61,-141,33,0,-27,71,0,-5541,0,0,0.0698616
337486,163878,138,131005,62571,132,44796,19655,126,191,116,0,-157,35,0,-1297,284,0,0.0708741
147381,102230,104,42486,29700,90,23264,15612,70,57,110,0,-64,28,0,-1258,0,0,0.0718866
280485,164891,131,114706,69220,115,64867,38674,111,-104,49,0,-107,66,0,812,915,0,0.0759365
153857,105637,105,47704,33113,90,26115,17469,75,-41,140,0,78,121,0,-1926,0,0,0.076949
132276,90704,93,45147,31066,90,24023,15995,67,68,96,0,-31,50,0,-4737,0,0,0.076949
234831,147123,113,90608,56414,104,36749,22510,101,5,180,0,-28,91,0,-228,349,0,0.080999
206673,130792,111,84348,53123,105,29819,18368,80,-134,140,0,-7,60,0,-1056,603,0,0.0820115
274931,179041,113,152709,98875,110,44913,28670,105,57,168,0,-58,72,0,-4564,0,0,0.0820115
187104,125678,98,92724,60143,98,32471,21020,91,-8,98,0,16,55,0,-8004,0,0,0.083024
238186,157367,108,72057,47603,103,44477,29527,101,-52,90,0,-92,49,0,-15618,0,0,0.083024
199579,134114,103,93104,63426,101,35692,23656,96,88,118,0,-76,80,0,79,383,0,0.0860614
337767,191165,140,179391,101572,126,73796,41893,120,-97,62,0,-33,95,0,-1296,396,0,0.0870739
432766,222725,155,162568,85022,143,96765,51078,138,67,204,0,-118,66,0,-558,131,0,0.0901114
328879,196126,121,110739,64607,120,53428,32544,115,-91,100,0,-102,78,0,-21985,0,0,0.0901114
288681,147729,134,121100,63223,120,47738,23645,114,-155,88,0,-104,48,0,-19963,0,0,0.0901114
165935,115772,99,70333,48896,93,27134,18156,73,-130,38,0,-74,24,0,-21487,0,0,0.0901114
152508,106018,105,71373,49710,92,25157,17070,74,-68,81,0,57,58,0,-7682,0,0,0.0921363
151684,103233,108,74273,50940,93,24279,16349,67,218,138,0,-17,59,0,-5311,0,0,0.0921363
310138,163674,132,127336,68541,118,42917,22664,113,-170,129,0,176,129,0,-5615,0,0,0.0931488
321299,171604,119,106861,55732,118,39582,20659,113,74,190,0,-30,51,0,-13532,0,0,0.0931488
136226,91172,100,52574,33464,93,22450,14149,66,-5,133,0,-26,73,0,-19228,0,0,0.0931488
201338,133702,99,72430,48539,97,39914,26529,94,46,86,0,-93,54,0,-57,280,0,0.0951738
184297,124472,99,127876,87129,100,35511,22928,93,-62,82,0,-44,67,0,-3041,0,0,0.0961863
302943,153718,125,93893,44952,122,45391,22205,119,1,134,0,6,79,0,-5351,0,0,0.0961863
94717,68369,86,32356,22958,79,13525,9873,55,1,130,0,4,65,0,432753,247194,95,0.0971988
299167,162272,135,88955,47278,124,42842,23164,118,162,147,0,-69,96,0,-247,742,0,0.0982113
314847,170780,131,123430,67409,121,44718,24032,117,-67,102,0,109,99,0,-768,595,0,0.100236
371481,178539,145,122785,58817,137,70301,32937,136,-75,101,0,78,78,0,-1012,194,0,0.102261
410988,212362,143,147222,75013,140,66908,34187,138,164,220,0,-33,73,0,-11868,0,0,0.102261
527384,252531,177,296640,148459,169,155704,73788,169,19,139,0,60,108,0,-20154,0,0,0.102261
151725,103034,102,30198,21003,84,27699,19517,76,116,130,0,-125,58,0,-4809,0,0,0.103274
178519,113974,108,50832,31706,96,35216,22631,95,-23,83,0,-5,78,0,-4516,0,0,0.104286
298462,162996,131,93692,51527,122,53932,28255,118,25,135,0,72,93,0,-2413,37,0,0.105299
146606,99902,101,53885,37736,91,22648,15541,68,-89,69,0,-128,40,0,-16513,0,0,0.106311
342622,166364,152,128929,62761,146,49031,23525,136,-196,135,0,-13,77,0,-3838,0,0,0.107324
134917,92776,96,55080,38458,91,17077,11010,59,-121,153,0,-35,57,0,-2592,0,0,0.110361
261523,157907,118,115469,67651,115,43716,26108,108,-36,105,0,14,62,0,-668,142,0,0.112386
203674,133388,105,80599,53418,102,30104,19489,84,167,171,0,92,116,0,-1110,440,0,0.113399
237026,131027,113,95302,53900,110,36661,19441,104,-83,67,0,76,86,0,-181,293,0,0.115424
116654,81095,92,38488,27087,86,18184,12663,57,-141,28,0,-23,84,0,-332,423,0,0.117449
158537,108552,98,61722,42387,94,33198,22028,90,-61,101,0,26,57,0,-63,418,0,0.120486
170301,117589,97,54479,37697,94,31522,21090,91,-50,95,0,0,82,0,59,328,0,0.121498
153210,104360,102,108881,74790,97,30128,20277,85,122,167,0,15,58,0,-5305,0,0,0.121498
229982,125359,116,82809,45042,111,45342,24939,106,13,119,0,59,94,0,-135,390,0,0.124536
500991,226224,180,186783,83073,175,90582,39475,172,84,125,0,37,140,0,-384,570,0,0.126561
224151,131111,107,98998,56680,106,41614,23671,102,-149,184,0,-155,19,0,-23523,0,0,0.126561
216766,146862,115,109296,75256,102,44033,28577,97,-63,116,0,94,116,0,-6042,0,0,0.127573
354083,211225,140,173522,105695,132,60251,35499,127,177,161,0,119,107,0,-3775,59,0,0.128586
