"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
211991,163649,98,74600,57901,89,1992,1410,20,2712,2107,25,6052,4623,40,694408,544366,98,0
116308,102465,82,60872,54842,78,1355,1171,10,1502,1332,14,3882,3458,31,439586,394159,87,0
58273,55389,75,18209,18415,45,472,588,0,574,668,0,1524,1638,16,158549,158403,74,0.000975134
112657,111767,77,38182,37697,74,1334,1346,14,1484,1446,12,3385,3533,26,426666,400048,84,0.000975134
263802,191392,101,99399,74624,97,2994,2173,27,3127,2502,30,8388,6308,46,933751,702059,106,0.00195027
45362,44186,70,16104,16256,42,317,331,0,334,352,0,857,921,0,120656,116058,71,0.0029254
108175,107680,73,26370,26132,65,1286,1251,10,1590,1606,16,3685,3654,29,411449,397009,82,0.00487567
148645,137203,81,81350,76421,80,1502,1441,15,1705,1372,15,4118,3733,31,513605,469054,85,0.0058508
129298,125013,80,43102,41437,75,1729,1516,17,2004,1684,20,4513,4332,31,510703,480966,91,0.0058508
155208,136805,81,67376,57704,82,1781,1507,19,1984,1554,19,4788,4004,35,553744,467638,91,0.00682594
59297,60817,69,15670,15916,42,549,582,0,684,670,0,1745,1910,18,222795,223160,78,0.00682594
113789,108206,81,41630,40033,75,1337,1397,11,1360,1220,10,3380,3329,26,351382,336786,82,0.00877621
168268,143358,85,63998,53395,85,2164,1944,21,1772,1549,17,5131,4490,34,595748,528793,89,0.00877621
96031,95279,75,28137,27819,63,1160,1058,6,1218,1117,7,2902,2653,27,331659,317955,82,0.00975134
107431,106392,74,30546,30084,72,1385,1281,11,1480,1545,16,3360,3236,27,352814,350072,81,0.00975134
65950,65809,70,26282,25894,57,518,610,0,625,763,0,1401,1379,14,171745,157652,78,0.00975134
120494,108880,82,56789,52017,78,1329,1192,10,1555,1494,16,3525,3228,29,371936,342135,86,0.00975134
80277,78596,75,37443,35293,71,949,833,0,847,1038,4,2003,2000,20,252357,233518,84,0.00975134
93029,95741,73,21933,21720,50,752,783,0,929,926,0,2790,2853,23,317412,309306,79,0.0117016
137102,128267,93,48158,47223,77,1830,1580,17,1654,1597,16,4281,4146,30,473639,434284,86,0.0126767
101844,101905,75,33871,33256,73,1060,1096,7,930,955,0,2615,2774,23,295674,282046,81,0.0126767
64688,64301,71,23714,23915,51,580,707,0,721,631,0,1647,1676,16,192581,185698,81,0.0136519
74991,74156,71,25000,24868,56,752,866,0,767,826,0,1829,1690,18,211742,205146,80,0.0165773
112301,109661,77,39144,38660,73,1469,1396,14,1473,1397,14,3323,3089,27,357847,339167,80,0.0165773
45535,47173,55,21265,21675,47,496,590,0,595,466,0,1159,1184,8,126942,129366,75,0.0165773
132046,128500,77,26050,25494,61,1877,1725,18,1749,1907,18,5205,5200,32,584110,568229,84,0.0175524
89530,89881,75,24629,24695,53,1275,1270,10,994,1148,9,2912,3041,24,332254,324824,80,0.0175524
178224,143795,91,66944,54539,85,1930,1691,19,2366,1643,24,5412,4584,36,631747,509013,97,0.0185275
118108,113681,79,31170,30637,73,1361,1330,13,1352,1330,12,3447,3401,28,407328,387713,82,0.0195027
97472,95851,90,29905,29351,71,1290,1549,13,1419,1321,13,3055,2990,25,370245,355153,82,0.0204778
47618,48289,67,16656,16778,43,637,730,0,583,486,0,1363,1264,11,144381,144901,73,0.021453
88452,89132,73,38457,38135,71,613,821,0,964,1064,6,2560,2379,24,277684,269400,80,0.0234032
60178,58621,86,21057,21165,48,259,328,0,462,610,0,1405,1447,14,179330,180047,75,0.0243784
104424,103832,79,42616,41794,73,1179,908,0,1109,1179,9,2705,2597,25,327928,317845,81,0.0282789
106629,107038,74,30944,31094,71,1125,1177,9,1528,1376,14,2913,2903,26,377152,366404,78,0.029254
100069,100358,80,29514,29187,61,1472,1575,14,1554,1417,14,3954,3830,29,425484,413615,83,0.029254
