"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
145543,134999,81,46924,41943,79,1745,1538,17,1812,1759,17,4155,3669,32,393244,358829,87,0.00201511
100174,94527,79,46699,42975,75,1191,1147,9,1315,1212,10,3121,2765,28,403649,376124,84,0.00201511
107111,103854,78,31697,31617,72,1540,1626,14,1644,1609,16,4095,3864,31,492529,472803,82,0.00302267
112379,105625,77,41731,38690,75,1562,1372,13,1173,1081,9,3084,2959,26,353054,322531,86,0.00503778
159431,149558,91,43698,41021,79,3134,2773,25,2327,2095,20,5623,5406,35,538145,500046,89,0.00503778
221582,162651,109,79283,57344,94,3005,2084,28,2775,2174,26,6013,4208,40,627760,437095,109,0.00503778
104403,100663,78,49408,46184,74,1024,1061,5,1677,1447,15,3229,3068,27,426599,400305,83,0.00604534
60846,58658,73,16611,16706,44,711,1052,5,626,757,0,1879,1780,18,178273,177907,74,0.00604534
189919,162248,88,79950,68971,85,1948,1903,19,2487,2039,24,5299,4607,35,641522,557477,93,0.0070529
55476,54226,75,19810,19757,49,662,717,0,714,601,0,1148,1213,11,130464,128487,73,0.00806045
136275,118831,93,46151,39057,81,1725,1651,17,1994,1450,20,4427,4040,32,556652,498656,85,0.00806045
156579,139299,82,75853,68230,81,3052,2752,25,2637,2495,24,5312,4736,36,572450,496472,89,0.0100756
84232,84372,74,33294,32611,71,1185,1025,3,1092,893,0,2547,2559,23,347834,323794,89,0.0100756
115291,106080,80,48774,45646,75,1075,1145,9,1086,951,0,3348,3035,28,339361,309000,82,0.0100756
67167,68552,71,27809,27799,69,687,670,0,1016,956,0,2221,2213,21,258889,250893,76,0.0110831
120773,109352,84,59165,53853,77,1697,1694,17,1532,1405,15,3630,3287,29,470394,417591,89,0.0120907
321049,215454,125,145040,100001,116,3956,2493,33,4451,2940,36,8951,6191,48,888450,622771,123,0.0130982
82372,81824,72,31448,31171,71,1206,1285,10,1090,1151,8,2720,2555,25,323609,322083,79,0.0130982
148726,131231,81,56949,48782,81,1970,1674,20,1982,1790,19,4701,4025,34,636929,551666,89,0.0161209
189810,165682,102,85398,75572,84,1527,1436,15,1728,1867,18,5007,4557,34,549159,493103,95,0.0171285
184773,145496,90,81964,66116,87,2435,1959,24,2324,1725,22,4366,3613,35,473574,376097,94,0.0171285
117256,112633,78,44288,42560,73,1541,1305,15,1375,1327,13,3352,3247,27,434718,411143,83,0.018136
101442,94219,76,37800,33529,74,1040,930,0,1126,971,0,2471,2241,24,302273,266670,81,0.0201511
125349,119899,76,48427,45896,76,1814,1849,18,1637,1294,15,3171,3074,26,319466,304574,84,0.0211587
44210,47404,66,16267,16372,43,410,407,0,258,388,0,1096,1049,5,116716,113293,75,0.0221662
89674,89333,72,34370,33907,71,872,768,0,873,919,0,2862,2682,25,345727,336229,81,0.0231738
120254,118802,75,35560,34240,73,1493,1453,16,1294,1223,11,2967,2766,26,335834,316689,82,0.0231738
106548,103457,79,35935,33664,74,1348,1308,10,1404,1320,12,3052,2792,27,317740,299810,82,0.0251889
59941,59415,68,24522,24797,56,1041,912,0,660,687,0,1369,1290,12,152931,151805,73,0.0251889
143152,138472,78,42622,40405,75,1519,1672,17,1973,1830,20,4073,3779,31,481043,452602,85,0.027204
176671,148932,91,58485,49196,83,2523,1895,25,2020,1589,19,4230,3244,34,433998,369646,93,0.027204
19068,19336,61,8191,8443,34,103,197,0,189,222,0,452,449,0,67053,64685,66,0.0292191
124728,121559,77,54374,53524,76,1858,1765,18,1450,1568,15,4556,4252,31,546464,512051,88,0.0292191
