"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
124027,112408,82,51597,45660,79,1633,1519,14,1593,1545,18,3698,3132,31,451111,398051,89,0
35302,35625,65,10868,10991,38,344,413,0,536,482,0,830,988,0,106629,110211,68,0.0011423
59815,61586,66,23584,23694,54,560,500,0,531,616,0,1601,1720,16,172539,166746,78,0.00342689
260050,193372,116,104173,79812,106,3148,2437,28,3184,2405,27,7248,5569,41,876178,681204,116,0.00342689
33758,33174,68,11177,11665,36,353,354,0,227,339,0,970,895,0,105924,104970,75,0.00456919
33541,36809,54,12532,13020,38,417,466,0,466,477,0,901,872,0,110728,115403,69,0.00456919
86097,85014,83,26467,26378,68,1305,1208,10,1296,1152,10,2859,2910,24,326576,316429,81,0.00799608
139161,131106,80,56075,52238,78,2272,2072,22,2114,1843,21,4122,3828,31,496852,461044,86,0.00913838
34761,35382,65,12896,13040,39,291,246,0,326,557,0,897,939,0,116541,114818,71,0.0102807
138087,118097,99,52566,44318,80,1461,1389,14,1426,1404,16,4225,3419,32,511529,428805,91,0.011423
104489,97498,78,42750,38316,77,1400,1286,11,1428,1358,15,3204,2902,28,402097,359601,85,0.011423
101548,101923,73,34382,33619,72,1624,1524,15,1464,1474,15,3253,3183,27,385528,370016,82,0.0137076
37868,38327,65,12444,12843,38,193,346,0,563,492,0,1023,1011,3,117884,115507,70,0.0137076
97707,97447,74,37595,37038,71,1088,1132,7,1287,999,0,2543,2416,23,301746,295826,84,0.0159922
25310,25927,50,11503,11858,38,315,345,0,406,265,0,665,631,0,94436,97521,73,0.0159922
143852,129512,82,52975,45979,81,1985,1643,18,2227,1987,21,4880,4288,33,563071,493385,89,0.0159922
83644,84617,70,23460,23546,55,928,953,0,1115,1129,7,2823,2880,25,338020,331382,83,0.0182768
161050,140882,86,63010,54857,81,2097,1875,19,1851,1803,18,4845,4325,35,563035,498530,91,0.0194191
180597,162457,84,62720,55312,82,2671,2242,23,2510,2123,24,6663,5934,38,766161,680371,90,0.0194191
159825,146700,89,80477,73959,82,2591,2313,22,2736,2582,25,6092,5571,35,684506,621511,98,0.0194191
28362,28699,59,10609,11036,36,552,558,0,283,377,0,805,741,0,94344,96679,67,0.0194191
74690,74935,74,24045,24071,51,699,728,0,1015,804,0,1726,1865,17,219112,210356,78,0.0217037
282931,190226,104,106722,73516,102,3316,2273,32,3532,2337,33,8462,5758,47,930883,636341,111,0.022846
145259,142703,77,41612,39886,77,1855,1790,17,2020,1905,19,5232,5031,33,581963,554321,85,0.022846
87897,89286,73,25301,24898,61,1055,967,0,1446,1259,11,2936,2806,25,326878,307254,89,0.022846
26740,28581,55,11213,11655,37,160,312,0,144,253,0,694,846,0,88907,90596,67,0.0239883
93293,92993,75,35284,35362,70,889,927,0,1093,1010,2,2737,2574,24,321254,309218,80,0.0239883
34889,33352,71,18677,19016,47,129,215,0,271,435,0,942,858,0,109516,112187,68,0.0262728
30545,31899,63,14296,14636,40,428,450,0,221,342,0,932,826,0,97408,100798,65,0.0262728
121050,118262,79,37037,36614,73,1571,1484,15,1778,1768,17,4414,4293,30,522276,496069,83,0.0274151
110599,107641,76,31295,30845,73,1177,1232,11,1259,1184,11,3153,3074,26,385927,371532,84,0.0274151
119846,111092,81,49735,45609,76,1518,1482,15,1367,1236,13,3620,3489,29,435005,401344,83,0.0285574
212253,161759,107,79644,61973,88,2737,1819,26,2881,2186,29,6119,4674,39,721678,556123,98,0.0319843
121297,111386,80,46673,42429,77,1447,1298,14,1610,1364,17,3785,3587,29,405474,364702,85,0.0342689
37884,38511,66,15149,15283,41,409,425,0,676,561,0,1059,983,0,138308,131166,75,0.0354112
138313,134408,78,69671,67436,77,1901,1977,18,2176,2191,20,5119,4873,33,559724,533459,87,0.0388381
51905,50360,81,13357,13900,38,543,559,0,452,718,0,1319,1284,12,165254,164997,74,0.0388381
34248,34712,57,14892,15063,41,319,287,0,542,504,0,1016,1046,5,117333,115739,67,0.0411227
140852,126560,80,60856,53222,80,1359,1335,12,1702,1324,16,4409,3732,33,485184,426673,87,0.0411227
59493,59772,68,29634,30102,67,392,436,0,702,690,0,1483,1460,16,174263,171935,74,0.0411227
62865,65167,62,19022,19642,43,820,848,0,795,876,0,1928,1890,19,193201,193582,73,0.0411227
69250,68677,74,22520,22449,53,631,673,0,812,780,0,1903,1820,19,240408,231392,78,0.0445496
48149,49796,71,18059,17939,46,444,558,0,411,441,0,1018,1018,4,140926,135381,82,0.0445496
244581,184404,94,114572,86784,91,2922,2052,28,3179,2496,31,7207,5451,42,885119,644465,99,0.0445496
70551,74141,70,31484,31695,63,1248,1063,6,959,917,0,2557,2597,24,297507,291673,80,0.0445496
115097,113382,76,32337,31889,67,1678,1614,16,1796,1644,18,3744,3628,29,397813,393395,80,0.0456919
146474,131817,92,72607,66500,80,1886,1967,19,1868,1591,20,4555,4052,33,578161,513435,90,0.0479765
130534,119216,82,61075,56663,77,1943,1537,20,2041,1735,19,3728,3591,28,416794,381453,86,0.0479765
151294,132199,90,54259,46798,80,2370,1912,22,1923,1592,20,4550,3935,33,545161,469717,94,0.0479765
59305,59816,69,20899,21346,49,609,521,0,778,712,0,1725,1726,17,185622,179332,77,0.0491188
121355,114386,91,39452,37263,77,1723,1804,17,1362,1303,13,3936,3568,30,466717,426265,94,0.0491188
