"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
235716,182314,94,98953,76341,93,2866,2087,26,2527,1788,25,6838,5555,40,724799,548084,106,0.00433193
158216,136854,89,77453,69387,82,1717,1419,18,2135,1704,20,4650,4204,32,592013,517675,93,0.00433193
174597,143249,84,72391,58671,83,1544,1056,8,2213,1592,24,5214,4453,35,605791,494183,95,0.00758088
159634,132914,90,76732,65060,83,1561,1394,14,1690,1348,17,3818,3263,31,419728,348641,91,0.00974685
209754,171117,91,79867,66820,87,1967,1620,20,2246,1975,24,6095,5243,39,681004,565694,99,0.00974685
112581,110297,76,40256,39132,74,1268,1398,14,1684,1511,16,4244,3961,31,479689,441578,92,0.00974685
96518,98388,72,34900,35542,70,1243,1264,10,1361,1367,13,3197,2968,27,361662,347512,80,0.00974685
164886,149047,81,61530,54121,81,1667,1402,14,1711,1547,16,3777,3208,31,462024,413219,91,0.0119128
102021,104825,72,29688,29856,71,814,891,0,1241,1392,14,3032,3038,25,370529,357698,81,0.0129958
93608,92402,74,28834,28575,71,1176,1035,6,1233,1105,7,2942,2805,25,343077,333411,85,0.0162448
139884,126793,82,63414,58624,79,1694,1414,15,1737,1398,16,3610,3309,30,423551,369447,88,0.0173277
40043,42962,47,16680,16907,42,337,488,0,272,380,0,996,907,0,112764,105130,73,0.0184107
92825,90526,87,39441,39107,72,1088,1067,6,1122,1039,4,2690,2332,25,320094,308984,84,0.0184107
174979,142255,102,69099,56655,84,1841,1360,19,2056,1697,20,4756,4047,35,610702,511697,96,0.0194937
226468,173455,95,101980,79961,93,2618,1915,26,2708,2043,27,6613,5200,40,817282,631175,102,0.0194937
63633,65487,69,20036,20757,44,541,705,0,1008,885,0,1745,1924,18,235303,230168,77,0.0194937
176379,145925,102,68101,57265,85,2232,1746,20,2026,1707,21,5080,4362,35,567231,476061,95,0.0216597
25421,26393,51,6962,7223,32,440,502,0,174,162,0,790,770,0,90064,89415,71,0.0227427
128684,120092,80,50950,46850,78,1465,1359,13,1517,1455,15,3676,3484,28,422638,396619,86,0.0227427
92012,91642,74,19652,19320,46,1057,986,0,1215,1058,7,2622,2632,24,308491,301212,81,0.0227427
117000,112590,78,33093,32398,74,1084,1045,5,1625,1452,15,3553,3655,27,402147,383925,87,0.0238256
277858,197290,100,117999,84047,99,3100,2022,30,3349,2636,31,8778,6657,45,960008,702714,109,0.0259916
343279,219184,115,212349,153394,113,7118,5025,39,7331,5415,45,17600,12907,64,1.04858e+06,1.04622e+06,121,0.0270746
78703,83076,68,26455,27149,50,819,943,0,1046,1006,3,2142,2058,20,265490,264258,79,0.0270746
280513,211733,102,126097,98416,102,3199,2365,28,3738,2871,32,7996,6131,43,899798,696146,111,0.0281576
