"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
189174,117812,106,80646,49837,100,30111,17963,85,37,138,0,-65,52,0,-19,336,0,0.00897774
71044,51352,85,24582,17359,72,11543,8249,50,-16,120,0,93,74,0,192,469,0,0.0109728
58508,42374,81,25767,18164,75,9399,7100,45,207,167,0,-58,32,0,-51,356,0,0.0129678
225220,143252,106,81145,50116,101,37959,23634,98,143,114,0,-73,58,0,-115,514,0,0.0259357
142341,100000,95,48610,34480,90,22448,15966,66,28,133,0,-56,98,0,-381,194,0,0.0289283
166623,115817,107,57251,40281,91,23785,15977,70,62,114,0,-7,71,0,-2377,0,0,0.0299258
235144,142763,122,110440,67764,112,34197,20381,95,-119,89,0,-96,50,0,-597,247,0,0.0359109
239554,148822,120,168861,104751,111,57153,34754,103,178,145,0,9,67,0,755,833,0,0.0448887
206448,128307,114,79395,50121,102,28858,17673,84,73,127,0,-28,97,0,73,381,0,0.0548639
227674,152150,111,196528,134333,108,64821,43803,101,-246,25,0,-84,39,0,-230,322,0,0.056859
94389,65531,90,37213,26716,84,13295,9140,52,-168,27,0,85,71,0,-451,319,0,0.0718219
30410,22735,75,18252,13353,58,6128,4696,39,-3,60,0,14,53,0,368,617,0,0.0837922
245240,158035,109,95085,61714,108,36343,23223,99,135,126,0,76,64,0,391,506,0,0.0877823
100938,70042,91,35232,24774,84,18678,12595,60,55,152,0,46,69,0,406,622,0,0.0907749
312708,171501,123,146057,81057,117,60100,32466,111,6,139,0,78,77,0,-1638,65,0,0.0907749
104801,77120,87,32737,23902,83,15211,10531,55,21,152,0,13,37,0,-6859,0,0,0.0917724
234033,153864,111,116101,76916,107,40669,26946,101,-76,70,0,-64,54,0,-205,376,0,0.094765
254868,167851,115,117559,78156,108,45480,29619,101,-45,50,0,-56,89,0,-162,483,0,0.09676
228491,140585,110,76032,46267,107,35366,21701,95,-126,106,0,46,79,0,286,604,0,0.10075
56116,40578,79,26409,19497,76,8476,6223,44,3,80,0,-1,80,0,8,220,0,0.103743
165848,113824,98,46892,32939,91,29428,20015,80,-44,56,0,-55,85,0,654,765,0,0.121698
71193,50430,86,22130,16039,63,11356,8114,48,321,200,0,-107,49,0,-222,148,0,0.126686
183469,118266,101,78257,48906,102,30110,18761,84,155,120,0,22,86,0,208,366,0,0.128681
266607,167714,112,127157,80151,110,54543,33936,106,4,161,0,-46,65,0,-204,393,0,0.133668
167001,116519,99,82843,58705,96,28417,19664,73,-22,61,0,-29,53,0,-174,557,0,0.142646
63077,44152,85,22657,16710,66,12630,9231,50,-40,128,0,37,75,0,502,549,0,0.146636
340626,183233,140,115251,62999,123,63135,33006,121,-2,160,0,9,72,0,291,456,0,0.147634
408199,223974,153,169936,96839,142,68842,36946,139,-93,107,0,-56,58,0,-418,347,0,0.151624
92720,64864,94,35233,24999,83,14292,9900,58,-68,85,0,10,63,0,-2710,0,0,0.151624
52423,38801,78,25511,18663,71,7417,5303,42,-110,56,0,34,67,0,400,624,0,0.152621
183394,123932,109,84695,56737,98,27933,18396,79,16,144,0,145,97,0,-579,140,0,0.165589
73380,50808,90,47251,34108,86,4881,3533,34,163,187,0,30,90,0,-563,121,0,0.168582
44749,32468,75,26413,19214,74,10135,7339,46,-73,129,0,-60,81,0,-377,373,0,0.171574
285254,184107,124,142437,93934,109,47912,31301,104,-230,42,0,38,64,0,-455,434,0,0.172572
319171,182035,137,107402,59514,121,51369,28961,117,11,148,0,-1,94,0,180,487,0,0.174567
297531,157777,138,120839,64819,127,53856,27255,124,138,122,0,-81,40,0,79,508,0,0.180552
80296,57489,85,19979,14559,61,10435,7636,48,50,71,0,68,116,0,474,471,0,0.190527
393223,228950,136,315076,186268,139,1436,978,0,18,124,0,-161,42,0,159,360,0,0.212473
194569,127291,102,80104,51201,100,32592,20853,94,-63,113,0,-80,42,0,1155,780,0,0.213471
153610,108510,96,73928,52128,93,24051,16700,66,-16,90,0,75,80,0,-530,120,0,0.222448
355117,180363,129,133535,67885,127,54472,27370,122,-50,160,0,30,108,0,-826,221,0,0.225441
226111,131671,116,95807,55455,113,34051,19260,102,69,110,0,-57,41,0,-141,572,0,0.235416
249489,156774,114,96418,60596,107,46187,29658,104,-21,86,0,-11,77,0,-653,224,0,0.237411
73606,51127,92,19682,14431,59,8400,6326,43,-85,26,0,-26,41,0,-12,194,0,0.241401
97677,70695,88,35673,26135,84,12931,9701,50,175,119,0,-72,57,0,-352,262,0,0.248384
107053,75672,94,32514,23452,84,15693,11823,53,-14,120,0,-55,44,0,-646,74,0,0.250379
273913,174996,126,96428,62846,110,40316,25578,106,20,77,0,68,89,0,261,360,0,0.252374
206700,140180,112,136280,93926,102,41125,27142,95,153,134,0,-187,41,0,777,755,0,0.255367
345800,177597,135,140508,71913,127,62950,31360,123,142,156,0,-112,44,0,-2908,0,0,0.256364
78052,55742,95,17136,12671,56,6844,5237,41,74,102,0,27,103,0,-407,164,0,0.260354
234672,151799,108,88590,56796,106,33577,21489,100,-75,81,0,53,89,0,357,608,0,0.268335
316467,176480,120,109750,58896,120,57390,31489,117,-257,31,0,32,107,0,161,592,0,0.273322
196632,127071,106,73261,46781,100,31307,19619,82,-96,133,0,55,140,0,148,392,0,0.2823
191499,128657,104,90569,62796,98,28860,19100,77,-67,78,0,45,70,0,878,821,0,0.287288
269361,163949,121,115928,69151,111,41782,25274,106,-40,51,0,50,89,0,159,766,0,0.291278
89935,67246,84,21954,15920,64,14809,10479,55,32,116,0,-84,67,0,101,688,0,0.295268
321249,176244,116,106530,57144,114,57811,31107,112,49,125,0,-21,30,0,-10298,0,0,0.296265
80228,58126,97,37743,27890,81,12152,8589,51,-136,42,0,34,61,0,-1286,327,0,0.297263
306545,198386,128,149380,101184,119,68885,44682,114,-13,139,0,64,70,0,-217,636,0,0.299258
78128,58179,84,20916,15527,62,13123,9656,48,67,159,0,108,101,0,683,803,0,0.301253
218547,147665,106,97547,65887,102,38288,25508,96,-183,42,0,121,93,0,-563,167,0,0.30225
77308,58076,88,19017,14085,58,12072,9003,48,61,93,0,-138,13,0,-104,325,0,0.309233
528351,248153,172,253507,126202,165,133453,68939,164,-117,108,0,-11,68,0,-304,240,0,0.312226
38693,30564,58,21383,15544,59,9269,6269,46,404,196,0,-5,112,0,1.01915e+06,671455,79,0.312226
192134,132856,112,35116,24379,92,36251,25641,92,112,140,0,6,53,0,-157,209,0,0.313223
170871,111885,104,75612,48608,99,22635,14031,67,-43,54,0,88,71,0,-185,233,0,0.315218
125213,88963,91,43018,30690,87,19563,13948,60,15,67,0,17,80,0,-445,312,0,0.316216
156598,110488,92,52980,37322,90,27323,19808,73,4,107,0,26,57,0,-56,412,0,0.324196
232961,136993,109,100933,59622,109,33571,19438,88,172,134,0,97,97,0,-4103,0,0,0.324196
289915,171716,120,104690,60959,116,35805,21083,101,128,209,0,5,72,0,-276,325,0,0.326191
348717,189704,137,114420,62298,130,61455,34342,128,-221,54,0,13,73,0,-371,761,0,0.329184
90018,66978,88,33063,23990,82,9111,6536,44,5,179,0,16,48,0,-392,301,0,0.331179
77359,55580,96,30006,22098,76,10185,7488,45,102,138,0,-52,58,0,-2424,0,0,0.331179
110589,79815,91,49738,36282,85,15878,11126,56,-31,151,0,63,69,0,-996,0,0,0.332176
285778,167782,125,121422,69700,119,35589,20362,111,65,70,0,26,78,0,-264,238,0,0.340156
471057,220581,183,174920,81994,171,68281,31154,167,112,104,0,53,76,0,-437,220,0,0.343149
125249,89692,92,63638,45710,90,24167,17301,70,94,115,0,-80,34,0,1043,756,0,0.355119
239221,148291,109,102832,63327,106,42558,26595,99,252,179,0,-45,69,0,-582,110,0,0.357114
190707,132198,106,80495,55581,95,24331,16630,69,319,165,0,57,59,0,49,420,0,0.361104
41346,30175,75,8130,6118,42,7789,5383,44,234,204,0,-25,36,0,-189,182,0,0.370082
396585,179890,222,140320,66951,186,63716,29711,175,-345,72,0,108,78,0,-1198,626,0,0.380057
85980,63442,95,13804,10315,50,15157,10897,53,143,171,0,8,63,0,-601,128,0,0.38305
163898,102608,99,73413,47239,100,26003,17341,72,188,123,0,-20,59,0,-319,135,0,0.38704
44533,32949,82,18612,13946,59,7985,6101,42,-104,46,0,44,65,0,-464,255,0,0.392028
59913,43530,89,31548,23628,78,11052,8340,45,123,120,0,-16,64,0,-1063,87,0,0.397015
80476,59463,87,29667,21620,77,11450,8164,49,-181,41,0,3,79,0,-323,206,0,0.398013
96697,72260,87,37127,26631,85,16800,12074,54,-143,52,0,-95,16,0,561,787,0,0.400008
135390,98469,92,32956,24252,85,22094,15310,65,312,208,0,93,120,0,-195,338,0,0.402003
210946,143819,108,105319,72585,102,32467,22033,87,76,151,0,-85,43,0,-770,419,0,0.403001
93429,69222,97,39627,29308,82,14026,10422,50,-34,109,0,-26,47,0,656,328,0,0.407988
215766,137903,106,88648,56672,103,34458,22761,96,47,181,0,-26,81,0,-121,318,0,0.410981
82583,61078,88,39190,28474,83,13879,10239,53,-13,150,0,-45,51,0,453,440,0,0.414971
95175,69527,85,26826,19772,72,18836,13760,56,27,124,0,-4,61,0,-381,236,0,0.416966
232117,148243,110,78658,50445,105,33331,20796,97,303,242,0,-70,58,0,-258,412,0,0.423949
75319,57321,87,31251,23090,80,8757,6516,43,54,163,0,19,65,0,409,643,0,0.429934
286883,174798,117,124587,76224,111,54719,33100,109,-70,67,0,-35,54,0,414,504,0,0.432926
364534,186633,147,146384,78334,138,61448,30704,134,-34,128,0,111,94,0,72,438,0,0.440907
180100,126357,100,66670,47986,95,28592,19552,78,24,119,0,-21,71,0,118,462,0,0.444897
218746,137491,107,81384,52308,102,30830,18708,82,-198,45,0,22,52,0,-4483,0,0,0.444897
317046,169250,135,123401,67260,125,53388,29233,119,79,123,0,9,57,0,-794,243,0,0.446892
134230,86598,108,55743,36074,92,21765,13975,70,182,240,0,24,88,0,-544,277,0,0.447889
242057,106051,141,78171,39899,130,35655,17333,116,10,100,0,69,57,0,-450,228,0,0.449884
352787,195424,125,143959,80680,124,64547,35946,120,-276,82,0,-16,55,0,-9396,0,0,0.450882
201362,141577,105,55747,39695,97,32505,22011,87,127,168,0,-32,67,0,520,493,0,0.460857
283498,175401,129,130787,83819,116,54564,34448,112,10,98,0,68,66,0,-724,177,0,0.461855
56795,42260,82,30258,22484,79,8774,5805,46,107,158,0,-81,37,0,-364,228,0,0.469835
93319,67768,99,28943,21396,75,15302,10892,53,21,191,0,34,62,0,391,475,0,0.478813
79126,58752,85,21941,16189,62,13760,9978,50,59,97,0,-14,53,0,-25,336,0,0.496768
113791,85383,86,45246,33428,85,18414,13185,61,-114,49,0,-40,99,0,-1,343,0,0.497766
123956,91238,94,52761,38076,89,22072,15622,63,-71,104,0,43,47,0,80,405,0,0.505746
29346,23675,55,14220,11056,51,5483,4190,36,112,85,0,-30,29,0,-2025,13,0,0.505746
45120,32964,82,17435,12920,56,5905,4296,39,56,113,0,76,95,0,-39,154,0,0.515721
110600,81768,88,35921,26648,83,14603,10034,53,-144,50,0,-48,31,0,-131,422,0,0.525696
66436,49350,89,29084,21495,76,10032,7092,46,8,159,0,9,75,0,819,692,0,0.528689
65406,49588,80,26234,19573,70,8895,6549,44,9,100,0,122,118,0,-376,88,0,0.536669
166059,117781,95,71101,50708,95,27064,19154,71,118,91,0,-118,48,0,-389,162,0,0.539662
67225,50172,82,36216,27008,80,8673,6432,45,61,179,0,-30,49,0,-46,300,0,0.545647
212636,147407,101,71901,49640,99,35184,24171,94,-70,101,0,52,126,0,-406,307,0,0.549637
160636,116232,91,46106,33396,89,22465,15243,64,-8,127,0,42,78,0,-159,324,0,0.552629
41592,32974,73,8388,6375,43,6371,5007,38,-47,79,0,143,97,0,-145,216,0,0.558615
158979,115155,95,67515,49000,92,25071,17489,68,78,101,0,-24,60,0,-441,194,0,0.561607
