"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
205053,140302,100,81777,55752,98,33846,21962,94,-22,68,0,111,66,0,266,653,0,0.0112306
98488,70643,89,36642,25981,84,13656,9409,54,190,161,0,-18,70,0,-390,72,0,0.0153144
55632,39169,80,21073,15639,62,8979,6525,45,139,181,0,-22,88,0,-684,73,0,0.0408385
221691,149850,102,146654,101832,102,29843,19747,92,-101,48,0,-19,129,0,709,734,0,0.0469642
95833,68957,86,25561,18517,65,13608,9618,52,132,133,0,47,49,0,-5104,0,0,0.0469642
127707,88491,105,53841,37874,89,18161,12118,61,102,126,0,-160,41,0,-75,455,0,0.0714673
59250,41703,89,21042,15292,63,8576,5993,45,178,151,0,12,45,0,61,330,0,0.0745302
109119,78067,91,42484,30659,84,14572,10301,52,-3,135,0,-14,52,0,-127,258,0,0.0775931
251713,157979,119,147737,96069,108,1009,632,0,43,94,0,-1,44,0,-244,307,0,0.0969914
487690,230547,176,219931,107983,170,68877,32883,165,31,146,0,-38,62,0,672,780,0,0.107201
103413,75157,88,33637,24202,84,14265,10351,52,143,127,0,-111,16,0,464,652,0,0.120473
214963,144955,110,77900,52877,101,39435,25810,98,-68,73,0,6,136,0,-63,434,0,0.124557
166297,116434,105,71000,49414,95,25959,16951,72,-43,86,0,-75,58,0,-342,173,0,0.126599
130885,93943,91,56981,40483,88,21847,15492,64,-9,147,0,-4,69,0,-227,201,0,0.131704
238239,158284,112,122684,84320,106,36060,24377,95,-74,54,0,-68,46,0,-2271,0,0,0.132725
255304,142759,115,108938,60382,114,41058,23245,110,-62,52,0,-74,51,0,200,717,0,0.135788
68855,51513,87,29537,21442,80,9643,6574,45,-165,74,0,-25,40,0,123,723,0,0.152123
246408,162715,115,103252,70438,108,35976,23789,103,283,157,0,27,66,0,59,470,0,0.158249
88186,62781,86,55389,40673,84,10732,7276,47,-13,56,0,-70,12,0,-355,243,0,0.160291
122964,89844,86,59021,41743,90,22438,15315,69,40,83,0,45,90,0,178,556,0,0.161312
56811,40327,81,25670,18861,72,7886,5481,44,-49,91,0,-66,28,0,-16,436,0,0.163354
371999,214042,148,111497,61280,142,83674,48521,140,-113,87,0,85,112,0,-146,299,0,0.165396
329469,181277,131,151020,83533,128,44513,23887,123,-21,129,0,-26,65,0,-10747,0,0,0.165396
47509,35605,69,22723,16781,63,5688,4056,38,136,265,0,14,66,0,25,568,0,0.181731
72265,51879,81,24809,18087,67,10794,8084,47,-95,37,0,171,103,0,-372,471,0,0.183773
95909,69174,89,37562,27146,84,11197,8300,50,-122,46,0,-41,67,0,222,471,0,0.188878
242704,159744,114,124086,81617,110,36879,24667,103,-49,69,0,73,66,0,-1285,151,0,0.189899
300102,190322,122,138047,89012,114,42141,26702,107,-52,115,0,160,114,0,-234,303,0,0.193983
138939,98854,91,66021,47416,89,19765,13749,62,-195,31,0,12,58,0,-4380,0,0,0.195004
137715,98856,94,43608,31047,88,19877,14275,58,130,108,0,-64,39,0,-754,43,0,0.197046
363408,189292,139,118420,61518,127,54776,27858,126,200,93,0,-78,70,0,-741,262,0,0.224612
360953,187646,143,155138,84913,137,57370,30435,132,328,168,0,23,64,0,-732,235,0,0.229716
93916,70091,87,40547,29534,82,13201,9676,50,56,69,0,-61,48,0,496,623,0,0.242989
254749,167728,125,122913,82530,110,54959,36618,107,-211,15,0,-40,74,0,322,284,0,0.252178
57602,40137,93,15669,11432,57,7209,4980,43,-251,75,0,47,93,0,280,425,0,0.259324
211877,148125,100,89717,63120,99,37748,25435,94,-16,95,0,32,111,0,95,351,0,0.266471
165009,117544,107,78296,55947,93,26786,18969,74,257,143,0,62,111,0,-871,62,0,0.277702
189831,134602,98,67809,47217,94,28556,19357,80,-139,34,0,-16,46,0,97,595,0,0.282806
46605,34332,75,30674,22788,77,6892,5588,39,15,115,0,11,68,0,-293,146,0,0.290974
62969,46205,79,29706,21525,79,9497,7118,45,-155,34,0,-76,44,0,717,1011,2,0.299142
177019,123083,101,67858,47726,93,24382,16996,70,22,110,0,4,62,0,658,608,0,0.302205
41701,29125,80,11713,8625,49,5905,4505,38,114,96,0,101,66,0,102,453,0,0.305268
107122,77342,101,42034,30307,86,16335,11427,58,41,68,0,-20,50,0,-264,173,0,0.310372
63313,48119,80,19342,14279,57,11914,8549,49,-70,79,0,37,70,0,-97,515,0,0.316498
182271,129224,101,89516,63788,96,21753,15307,66,55,76,0,-84,46,0,-422,264,0,0.319561
198623,129863,112,58392,37392,99,35331,22546,93,-19,96,0,6,57,0,-318,308,0,0.320582
251105,156536,112,94600,60228,106,35483,22265,102,-82,77,0,94,93,0,-4280,0,0,0.321603
76303,56166,85,17554,13093,56,13141,9387,51,17,137,0,4,84,0,65,984,0,0.323645
271307,156611,118,116344,66663,115,40108,23151,110,-80,89,0,47,58,0,-513,79,0,0.32875
222605,140486,120,96079,61069,105,38364,23092,102,25,122,0,59,76,0,-3979,0,0,0.32875
201707,133780,103,99538,66573,100,26779,17578,74,-93,71,0,42,67,0,-7634,0,0,0.329771
320861,187709,122,136009,81411,120,49576,28228,115,225,188,0,-137,61,0,-509,250,0,0.332833
203565,142396,100,74839,52732,100,33381,22676,92,93,152,0,-65,65,0,39,388,0,0.352232
113281,83063,88,31259,23034,83,20528,14235,67,-26,45,0,-54,49,0,-118,463,0,0.356316
90572,66475,86,40988,29896,83,13721,9837,50,364,172,0,-167,14,0,-274,193,0,0.358358
75428,56199,86,24914,18676,64,10616,8014,48,-74,57,0,42,61,0,-2715,0,0,0.358358
189665,134188,97,51232,36270,92,44674,31344,91,87,86,0,101,106,0,-550,306,0,0.359379
