"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
283451,166491,118,106028,62669,117,42722,25904,112,-191,161,0,68,89,0,-138,333,0,0.0244408
103027,73330,95,26223,18814,73,16525,11266,62,174,137,0,54,80,0,-236,472,0,0.0346245
440560,196618,163,137929,60721,154,66705,28801,149,223,221,0,-16,73,0,311,438,0,0.0356428
203742,132482,111,62404,39945,98,32544,21020,95,3,61,0,-8,34,0,-1968,255,0,0.0366612
219579,128691,111,74795,43277,107,36543,21272,105,108,167,0,2,56,0,-326,287,0,0.0386979
143177,100382,94,56886,39729,92,28343,19700,78,146,174,0,-112,47,0,-1672,0,0,0.0397163
244227,140141,113,99037,56567,109,39372,22275,104,-92,78,0,39,80,0,160,631,0,0.0600837
173288,118896,106,74978,51759,94,29585,20206,74,21,138,0,-1,64,0,-297,568,0,0.0641571
328321,171811,128,114077,58702,119,55119,28747,116,155,146,0,-34,101,0,-102,307,0,0.0682306
466788,253901,159,277648,153276,157,160618,88777,155,-414,91,0,146,116,0,-260,532,0,0.0702673
117471,88186,86,53877,39175,84,16905,11916,57,20,72,0,-90,45,0,-2021,3190,22,0.0702673
113978,77518,100,42004,27722,89,17782,11841,59,-6,58,0,6,70,0,618,429,0,0.0733224
136287,95986,88,46773,32338,88,25593,17671,71,-1,182,0,-9,38,0,-1076,508,0,0.0733224
131247,89758,97,37955,25018,91,21972,15037,65,22,87,0,-130,7,0,-474,126,0,0.0794326
132373,95727,90,61629,43881,90,24725,17239,76,-86,154,0,76,88,0,4,286,0,0.0814694
436528,197596,140,165356,78968,137,70821,30037,133,-157,74,0,33,114,0,365,700,0,0.0855428
165377,115151,94,63889,45180,93,31169,21138,89,227,145,0,-37,64,0,-168,284,0,0.0885979
132386,90794,92,45147,29803,90,27201,17685,77,254,117,0,23,95,0,-980,138,0,0.0896163
212352,142333,100,125791,85440,101,33892,22620,89,-326,20,0,-59,39,0,-358,198,0,0.0926714
341771,184381,133,165128,92656,131,50978,27241,125,103,97,0,45,55,0,-880,195,0,0.0947081
172546,117826,110,45244,31332,92,26967,18235,71,-139,62,0,174,98,0,94,559,0,0.107947
230161,138704,108,87595,52414,105,37510,21413,99,-59,151,0,100,86,0,-181,339,0,0.113039
220052,134377,106,79421,48248,103,34718,21067,99,114,106,0,-66,38,0,490,402,0,0.118131
216433,135008,117,78548,48960,106,35617,21979,101,-65,96,0,-42,64,0,-596,147,0,0.121186
296902,177928,116,143320,85509,114,62833,38816,110,14,163,0,37,91,0,-746,314,0,0.127296
358055,201893,147,130292,75136,133,69398,39853,127,166,146,0,-24,65,0,-289,492,0,0.129333
217805,147947,103,182320,124933,104,44292,29531,98,-120,126,0,-33,72,0,231,503,0,0.13748
455883,225748,177,122626,60398,164,71954,35741,162,-38,78,0,28,48,0,-125,664,0,0.140535
163204,100148,112,55433,32915,97,29086,17506,77,-79,108,0,-1,72,0,-528,256,0,0.141553
111447,79357,97,42372,29955,85,16989,11899,55,-64,93,0,38,79,0,370,473,0,0.152755
125513,87209,94,49580,33780,90,22417,15470,68,-161,83,0,-2,54,0,-1979,19,0,0.152755
141467,99511,94,63246,44401,91,24810,17126,75,142,188,0,16,109,0,-354,245,0,0.156829
172618,123114,93,60185,42542,91,26175,18853,68,216,163,0,12,95,0,-247,298,0,0.160902
297595,172210,129,90098,51987,119,48344,27691,116,-51,113,0,-189,78,0,95,645,0,0.163957
151401,100528,98,55611,36797,93,27988,18693,77,329,158,0,49,80,0,-105,520,0,0.168031
289143,161765,121,102067,57758,119,40943,21746,117,41,126,0,-35,47,0,-456,394,0,0.170067
76232,55880,82,28217,20989,77,13660,9927,50,-124,83,0,23,55,0,-732,529,0,0.172104
250044,149858,125,100890,60130,115,38079,22500,102,80,136,0,40,68,0,-121,432,0,0.173122
358348,177465,132,140113,68781,127,60795,30650,122,-122,99,0,-34,88,0,-5278,0,0,0.174141
111910,79950,92,32305,23194,84,21570,14668,65,-53,105,0,98,79,0,-5664,0,0,0.174141
213099,118052,112,82117,45716,104,35791,19284,101,68,141,0,60,96,0,477,581,0,0.178214
185504,129592,100,72999,51509,94,32003,22470,84,-120,64,0,-79,35,0,-8008,0,0,0.178214
167683,114321,109,61342,42854,93,22887,15713,71,183,171,0,-1,107,0,-97,329,0,0.186361
279506,155195,124,112167,62075,112,38132,21047,106,-89,59,0,28,58,0,81,348,0,0.200618
111088,81423,99,31395,22838,84,17325,12389,57,-136,60,0,98,113,0,277,350,0,0.202655
237711,145819,116,116233,69821,111,35998,21315,99,25,154,0,-3,53,0,-55,501,0,0.218949
161022,110689,93,62689,41778,94,28888,18499,77,108,111,0,43,70,0,-9428,0,0,0.218949
163142,103971,112,58462,36816,95,26297,16410,76,67,197,0,-105,43,0,774,944,0,0.232188
259970,152083,116,110341,62712,113,41709,23406,110,6,109,0,35,54,0,-487,162,0,0.236261
213742,145938,100,79275,54344,98,33682,23199,94,139,241,0,95,65,0,-4410,0,0,0.23728
100801,74019,87,24285,17833,65,15915,11579,53,-95,113,0,-82,53,0,-363,193,0,0.239316
282971,181381,113,130822,84393,115,62428,40426,110,-23,105,0,18,60,0,-663,169,0,0.246445
179331,125913,101,67831,47715,95,33151,23036,91,42,123,0,-51,54,0,-4621,0,0,0.246445
362832,216201,137,177194,105782,135,79752,48781,130,253,206,0,144,90,0,-247,649,0,0.248482
352914,194148,137,113990,63312,123,53112,28326,119,-102,61,0,-83,60,0,322,722,0,0.25561
104643,74157,88,22239,16337,63,17674,12381,55,80,201,0,74,99,0,-732,86,0,0.256628
129738,93319,93,30284,21716,82,21712,15181,64,4,131,0,49,60,0,111891,117668,104,0.257647
225553,137968,106,88390,52349,103,31126,18362,90,106,135,0,-94,47,0,495,386,0,0.26172
210152,118229,111,81427,46419,105,32812,18320,101,13,122,0,-24,31,0,-149,410,0,0.275977
307442,170921,134,102439,57866,122,38870,21760,106,-1,101,0,-1,48,0,-2382,22,0,0.276996
197458,116270,109,64584,38482,104,31105,17870,85,-33,99,0,71,77,0,133,388,0,0.287179
212740,139911,105,55196,35768,100,43286,28207,98,-152,82,0,2,64,0,-2274,0,0,0.287179
77492,57639,81,33500,24995,81,13333,9765,52,61,106,0,63,65,0,-538,51,0,0.2994
342987,193826,145,178624,106991,138,100612,59635,132,151,113,0,-60,67,0,-555,347,0,0.300418
444838,211701,157,137321,61470,144,61953,29039,141,173,138,0,-23,49,0,403,425,0,0.302455
121204,88701,89,29072,21310,76,18161,12996,57,205,191,0,-97,47,0,145,479,0,0.307547
205334,143285,101,105822,74284,98,30103,20625,90,-253,32,0,170,152,0,237,517,0,0.31162
140442,100547,94,91858,64925,92,25152,17552,71,-100,110,0,62,72,0,-6434,0,0,0.31162
97612,70548,87,35845,26521,83,16031,11029,55,12,126,0,-21,58,0,255,491,0,0.319767
202477,140750,98,108883,76140,98,41021,28633,93,-57,116,0,30,70,0,-475,168,0,0.328933
303679,153759,130,99479,51019,120,48207,24403,118,-129,85,0,90,84,0,-1342,567,0,0.329951
311208,191464,128,146967,95291,111,72289,44300,110,288,125,0,-86,44,0,-86,359,0,0.335043
95000,69478,85,25362,18678,71,14641,10460,50,-114,77,0,-95,58,0,-480,215,0,0.34319
166333,105425,110,77458,49497,98,27121,16130,80,-166,134,0,-30,24,0,390,819,0,0.344208
186038,109127,106,60485,35786,101,30623,17757,92,136,115,0,64,53,0,-329,261,0,0.346245
207640,123534,107,74515,43930,104,33740,20018,96,-52,128,0,27,106,0,1095,913,0,0.358465
89989,66185,85,30426,22234,81,16820,12644,54,-201,64,0,-73,53,0,-54,338,0,0.359484
204314,142364,111,71186,49658,97,22799,15757,65,-102,115,0,79,117,0,396,505,0,0.362539
143449,105531,93,79734,58119,91,27821,20219,72,-58,100,0,-64,62,0,354,925,0,0.36763
189423,127729,105,67338,46015,96,30960,21534,84,79,109,0,-21,59,0,-51,422,0,0.371704
57382,43227,78,15311,11498,52,9351,6496,46,79,106,0,-15,58,0,-219,390,0,0.376796
136626,94883,92,67640,46448,93,22422,15397,63,-37,120,0,-62,21,0,-617,348,0,0.379851
301163,171803,119,101959,58379,114,45547,25100,110,50,79,0,22,64,0,573,1245,7,0.391053
336166,180986,142,127358,68432,127,48675,26541,120,189,147,0,11,90,0,-759,176,0,0.39309
195982,123968,109,71415,45317,100,26217,16183,70,-109,88,0,-99,42,0,-12,559,0,0.400218
472183,250649,154,244818,135398,150,92819,51992,145,121,138,0,24,84,0,151,435,0,0.412439
413836,207923,151,191295,96453,147,83687,41436,143,-131,66,0,104,115,0,-189,351,0,0.41753
238516,153316,113,65666,43078,104,43015,27534,102,69,136,0,-78,68,0,-224,384,0,0.418549
263372,163537,110,121069,73527,110,37642,22355,104,84,198,0,-11,86,0,-11583,0,0,0.419567
291844,184375,123,130223,84678,117,61266,38468,113,75,87,0,5,43,0,113,351,0,0.427714
226195,125454,114,74166,42023,107,35968,20108,100,33,111,0,24,58,0,-120,468,0,0.438916
111846,80541,90,31700,23152,83,17275,12362,56,-68,72,0,-57,53,0,-134,357,0,0.446045
174392,112786,102,60382,38211,96,28378,17143,75,48,232,0,34,63,0,-6186,0,0,0.4491
132047,95575,93,31511,23061,84,21579,15768,62,36,88,0,-23,53,0,-2,389,0,0.452155
309136,195835,118,149137,96484,114,73948,46729,112,-97,92,0,27,80,0,73,406,0,0.460302
204942,142548,107,77276,54838,98,45363,30881,94,55,90,0,-67,80,0,346,1014,2,0.46743
209249,143502,112,83138,56552,98,47077,32000,96,-90,75,0,-10,48,0,437,636,0,0.477614
153778,110819,96,98316,70889,92,29797,21213,73,-111,91,0,-19,38,0,62,706,0,0.480669
198701,139328,100,58387,40719,96,30783,20625,90,126,112,0,-75,49,0,-369,226,0,0.488816
191116,114361,109,69789,41842,100,29977,17774,87,-73,63,0,-2,61,0,149,610,0,0.490853
322266,205926,129,131276,85917,126,79497,52281,123,87,133,0,-38,63,0,48,464,0,0.496963
178885,127894,98,87220,61847,95,35573,25006,91,16,91,0,1,51,0,386,408,0,0.508165
195980,125538,108,80793,52873,99,26187,16759,78,-84,83,0,46,76,0,-205,373,0,0.509184
223711,155186,113,106423,74254,103,41417,28017,97,176,90,0,64,91,0,-774,212,0,0.510202
77961,56670,88,32397,23951,82,11101,8255,47,-84,58,0,-69,49,0,-229,193,0,0.512239
87027,65067,86,24368,18434,67,14869,10852,52,-120,67,0,90,82,0,-257,375,0,0.516312
470711,210648,160,148846,66952,150,72286,31154,147,168,179,0,-26,81,0,-174,465,0,0.524459
169396,111933,101,59018,37590,95,32371,20606,83,88,145,0,-26,82,0,194,476,0,0.529551
282546,184252,117,120029,77255,107,57058,36807,101,54,87,0,98,114,0,-1237,251,0,0.530569
278723,159375,131,119015,67963,131,47781,27600,111,1690,1020,5,981,701,0,-292,446,0,0.530569
167559,121342,94,116076,83754,96,33108,24189,86,-88,67,0,-35,52,0,528,739,0,0.533624
110030,80588,90,32870,24272,83,23075,17097,66,-14,85,0,51,94,0,-2300,0,0,0.534643
501442,229651,178,143175,64730,160,75741,33894,157,342,254,0,-71,103,0,740,760,0,0.559083
160341,115750,97,72231,52173,93,32951,23453,89,61,121,0,-26,69,0,-846,106,0,0.56112
126204,92468,95,57776,41740,89,26848,19756,69,-98,133,0,-67,68,0,-402,96,0,0.569267
185032,130145,112,91814,65065,97,26782,18310,76,106,124,0,32,110,0,-350,200,0,0.573341
232138,130948,110,78187,44746,106,33488,18625,100,-2,69,0,-202,9,0,-2659,0,0,0.573341
107348,79064,95,46922,34832,84,16486,12084,57,-17,122,0,81,61,0,-127,553,0,0.578432
177524,105790,105,78398,47522,99,25366,14354,77,23,93,0,3,74,0,-4427,0,0,0.578432
168645,121865,98,61214,44370,91,29373,21503,76,-117,52,0,-2,72,0,345,651,0,0.582506
201615,144414,98,54548,39760,92,32631,23214,83,-119,42,0,-29,111,0,-399,450,0,0.583524
211916,146403,105,116918,81395,101,39193,26778,96,212,122,0,119,87,0,-245,511,0,0.584543
284131,152115,123,100674,53675,113,45529,24380,109,-65,160,0,-112,27,0,-215,328,0,0.606947
285475,178010,119,126026,80882,114,40258,26505,106,-126,72,0,3,70,0,-160,714,0,0.608983
150355,103879,94,56326,38334,92,23977,16296,66,-29,113,0,-121,72,0,200,474,0,0.61102
116760,84700,94,46902,32807,87,22554,15612,65,29,127,0,93,85,0,400,537,0,0.619167
57903,45682,77,25080,19401,67,8356,6058,42,-96,86,0,88,62,0,-426,206,0,0.629351
150491,96945,105,55151,35148,94,23771,14585,70,156,109,0,-34,68,0,175,579,0,0.631388
208103,126768,106,83937,51834,102,34323,20592,94,1,125,0,4,56,0,-57,345,0,0.637498
342731,180970,138,119025,62134,126,55464,28903,123,43,177,0,99,75,0,333,542,0,0.655828
402253,192064,139,131127,61872,134,59978,29192,129,-125,80,0,1,72,0,44,574,0,0.663975
397336,196343,136,118101,58633,133,58258,28035,128,-203,72,0,-48,57,0,-17700,0,0,0.663975
130156,94293,99,43763,31106,87,18621,12890,59,-144,79,0,-61,46,0,-91,362,0,0.676196
274910,147548,122,79716,41318,117,42751,22461,113,149,160,0,136,77,0,-375,633,0,0.681288
180242,128514,102,72009,51083,96,30536,21861,81,-48,100,0,-2,84,0,-47,339,0,0.685361
486999,268572,172,233851,133239,166,136244,79738,164,-132,146,0,-52,103,0,358,1000,1,0.687398
158258,99834,97,52429,32781,95,22636,14486,71,-4,148,0,-4,68,0,-833,35,0,0.691471
113665,84105,91,16724,12678,52,18852,14126,57,-24,132,0,20,60,0,62,395,0,0.701655
176450,111491,99,66697,41335,97,32627,20193,94,-123,39,0,40,58,0,-292,396,0,0.70471
102885,76702,86,30827,23068,82,24254,17839,69,150,167,0,57,61,0,314,761,0,0.71082
218154,141704,106,77836,49487,102,31176,19102,86,-42,54,0,-37,53,0,-268,167,0,0.719985
102207,78186,87,37506,28381,83,20184,14773,59,57,76,0,108,108,0,-2096,0,0,0.721004
128547,90484,93,50442,35511,89,23921,16417,69,49,123,0,67,61,0,-1308,0,0,0.722022
186837,121739,105,67464,44114,98,26304,16362,75,38,144,0,-55,49,0,-83,486,0,0.726096
331014,182909,129,131153,71750,126,49169,26611,122,38,147,0,11,60,0,-939,222,0,0.727114
144143,105446,91,50345,34734,91,31876,22747,86,252,144,0,79,89,0,91,490,0,0.733224
108583,81814,87,21898,16297,59,18760,13614,57,-103,113,0,57,63,0,-3986,0,0,0.734243
473095,225123,157,145021,68545,153,84330,39208,150,-152,143,0,109,113,0,259,543,0,0.735261
260123,169687,110,78715,51213,105,45002,29117,101,-89,85,0,-36,95,0,-647,44,0,0.743408
208272,142450,107,79437,54089,98,20213,13535,60,63,142,0,22,51,0,-3048,0,0,0.744426
132668,97164,92,50991,35828,88,28219,20141,71,131,132,0,-7,63,0,-172,390,0,0.753592
160833,103580,98,60137,38191,96,25941,16537,81,-99,130,0,36,82,0,-210,151,0,0.757665
73627,47406,86,121232,71624,93,5772,3683,42,-92,57,0,55,59,0,-222,549,0,0.762757
165491,114820,105,55073,36902,94,29756,20159,80,-365,8,0,35,42,0,-916,226,0,0.762757
167009,120494,95,73683,53536,94,28407,20143,73,5,102,0,38,81,0,-3370,25,0,0.762757
222079,140510,114,93645,59216,106,28019,18044,81,140,142,0,-9,67,0,-757,50,0,0.770904
140500,101621,92,54370,38385,88,25764,18094,69,-35,65,0,96,90,0,-551,168,0,0.773959
470232,231041,151,159061,78708,145,78090,35787,141,-115,111,0,46,63,0,-998,149,0,0.777014
132665,88331,95,52450,34707,91,21190,13986,67,-141,113,0,-53,84,0,-4757,0,0,0.777014
122460,93522,85,40279,29913,85,21510,15301,64,47,79,0,30,68,0,-196,930,0,0.782106
255940,137408,114,86278,47408,110,42257,22029,107,-43,86,0,-156,30,0,803,657,0,0.787198
175682,127954,95,162850,119444,98,42639,30987,91,21,96,0,-116,45,0,-9474,0,0,0.787198
253199,171819,116,117405,80441,107,38742,25566,104,-15,124,0,-114,40,0,-1281,0,0,0.789234
355794,182742,144,129038,66580,139,59818,30533,136,-23,71,0,-29,68,0,-582,197,0,0.791271
57096,44325,76,24862,19106,66,8517,6433,43,-113,45,0,104,100,0,700,877,0,0.795345
240712,139168,111,81709,47467,106,34688,20160,100,163,127,0,-64,65,0,-371,308,0,0.801455
51822,41061,73,19806,15185,56,8899,6918,42,111,166,0,-36,44,0,117,318,0,0.809602
206205,142960,111,95246,66469,95,31001,20966,84,108,132,0,42,109,0,984,1186,8,0.812657
125495,93816,102,37108,27801,84,19161,14124,59,-72,42,0,104,108,0,-1275,0,0,0.813675
370317,184114,136,125596,64443,125,51909,24054,123,210,103,0,-54,65,0,634,628,0,0.843208
158215,100471,98,65051,41146,95,20672,12974,66,-88,39,0,-1,61,0,-222,573,0,0.852373
405093,215318,145,116072,59520,132,59593,31155,129,-33,127,0,4,78,0,594,677,0,0.855428
102602,79686,83,21948,16669,61,18544,14054,55,9,80,0,-43,78,0,-89,194,0,0.86052
217024,136652,108,71987,45564,99,32626,19924,88,12,103,0,-23,52,0,-187,447,0,0.86663
271222,188490,122,130968,90062,109,57172,38492,106,-105,39,0,39,99,0,1034,836,0,0.871722
304257,160399,128,101091,54605,126,43302,22285,122,-44,157,0,-114,58,0,-15,489,0,0.885979
127343,94044,88,49637,37389,87,25448,18636,68,63,190,0,-142,41,0,671,920,0,0.888016
111363,82553,94,37194,27743,84,22359,16368,62,234,188,0,-101,23,0,368,507,0,0.8982
365265,193343,140,140240,74664,127,56523,28466,123,-52,114,0,-66,63,0,-1585,341,0,0.8982
278775,181086,112,125051,82100,111,60233,38648,108,39,186,0,36,42,0,44,641,0,0.905328
440758,231055,161,173708,95906,145,84574,46841,140,-5,86,0,-3,95,0,106,487,0,0.908383
114580,86026,90,39952,29649,84,15597,11784,54,-223,17,0,20,54,0,-536,185,0,0.912457
204749,142987,102,78156,54369,94,33156,22534,91,139,82,0,5,70,0,-297,270,0,0.913475
396788,196600,149,125544,62213,134,61352,31194,131,106,149,0,66,71,0,-198,502,0,0.919585
203375,149187,97,168527,122262,100,49907,36529,93,29,159,0,63,84,0,14,421,0,0.923659
84488,63972,83,35030,26879,79,15931,11725,55,-53,91,0,-5,80,0,305,648,0,0.935879
68900,54448,77,26694,20680,71,9931,7393,44,-217,87,0,-10,41,0,-26,414,0,0.947081
160350,118531,98,63168,46895,90,26607,19159,71,155,136,0,4,72,0,-553,122,0,0.9481
379063,207931,140,129455,70267,136,66706,35906,133,-92,74,0,9,55,0,182,447,0,0.949118
253035,166097,106,109642,71913,105,50349,33778,102,43,101,0,18,58,0,384,559,0,0.959302
149965,102098,97,56994,37734,92,23962,15876,69,-28,161,0,-30,44,0,19,495,0,0.97254
313341,176854,126,101141,56029,117,45372,25132,112,-6,76,0,-25,62,0,-2146,0,0,0.97254
101771,77630,86,26998,20992,74,18711,13969,58,58,123,0,-33,57,0,-181,382,0,0.981706
370480,210410,129,105312,57903,124,50465,28530,121,-121,39,0,85,70,0,231,853,0,0.983743
225531,159021,106,113368,81493,101,28384,20219,71,30,71,0,-32,52,0,93,374,0,0.989853
88476,67075,93,31902,24864,79,10210,7428,45,84,126,0,21,61,0,-147,572,0,0.992908
111669,85994,97,58588,44818,84,14495,11588,50,-36,77,0,71,84,0,276,651,0,1.00004
284756,175822,117,101512,63820,110,39597,23252,105,-19,95,0,-152,22,0,-1940,0,0,1.00004
143454,107822,94,55342,41930,86,22175,16684,62,3,91,0,-16,61,0,-2614,0,0,1.00105
378659,198809,145,121118,63065,141,57332,29127,138,-26,133,0,32,55,0,67,413,0,1.00513
252132,151036,107,94260,58578,107,41226,23713,102,-52,66,0,-112,18,0,-1880,47,0,1.00615
210753,117209,108,77584,43894,103,32054,18418,91,-53,89,0,56,84,0,-351,569,0,1.00716
90094,69144,92,27849,21237,80,13704,10633,47,78,120,0,66,108,0,136,480,0,1.0092
181801,112415,99,62861,38511,96,27662,16529,74,-109,55,0,-11,27,0,-94,339,0,1.01124
221026,148550,108,84293,57277,101,37662,25000,95,130,93,0,-15,93,0,-239,278,0,1.02346
319021,182483,130,104204,59557,127,42659,23820,120,22,90,0,-3,89,0,309,374,0,1.02855
558169,294664,176,286628,169025,173,113230,59416,169,-53,104,0,66,92,0,-4540,0,0,1.02957
342420,191652,150,88349,47735,131,55962,31418,128,-4,78,0,52,72,0,-16710,0,0,1.03059
277428,158218,120,99275,57431,115,42072,24268,111,11,116,0,-202,40,0,-686,517,0,1.03873
211378,151270,97,106131,75969,97,35845,24910,93,123,139,0,40,85,0,-8424,0,0,1.03873
149961,112877,91,57958,43022,89,22986,17322,62,101,174,0,25,72,0,-952,0,0,1.04077
502106,262030,161,234763,131426,160,102997,56284,155,199,92,0,-112,25,0,-1036,329,0,1.04077
256842,135123,120,84545,44890,115,39312,21478,107,34,78,0,30,93,0,-3814,0,0,1.04179
143754,106806,91,79096,59465,91,31905,24123,86,135,128,0,-44,95,0,-524,71,0,1.05707
195579,144200,98,103598,77301,95,29143,21037,76,83,108,0,26,84,0,-28,348,0,1.06419
91799,71150,83,34489,26732,80,16323,12890,55,178,135,0,9,37,0,234,170,0,1.07234
380279,198350,128,117652,61646,125,76075,39004,123,-149,150,0,105,87,0,-590,133,0,1.08354
188879,136027,102,54258,37791,91,33601,23935,89,-72,137,0,10,67,0,564,511,0,1.09169
209135,136559,99,93743,60476,99,28570,18749,83,-30,104,0,36,74,0,-8212,0,0,1.09271
213894,124575,106,74153,42921,104,33232,18447,101,120,186,0,-4,81,0,158,717,0,1.09882
169746,124902,95,132343,100136,96,27270,19297,76,143,118,0,-42,44,0,-550,323,0,1.10085
182996,131529,97,67834,47545,95,28941,20710,80,-21,100,0,-56,33,0,-290,236,0,1.10595
