"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
39727,42857,52,13518,13756,40,238,269,0,402,579,0,1139,1085,8,125068,126915,80,0
86099,88336,71,25861,26169,52,710,553,0,886,932,0,1924,1959,19,256392,256129,84,0
92241,93513,74,39690,39696,71,1199,1179,10,1326,1170,11,3155,2957,27,375603,368653,85,0
131798,120735,79,49500,45599,78,1609,1484,15,1803,1712,20,4970,4520,33,579332,519599,92,0
230002,124968,185,104019,55342,183,1988,1080,7,2188,1421,15,5813,3007,44,654088,362436,207,0.000904159
71452,71543,73,14393,14503,41,429,460,0,534,551,0,1776,1755,17,195434,189963,83,0.00180832
32807,34745,42,9175,9389,35,347,347,0,174,273,0,914,996,0,127532,126810,77,0.00180832
173497,150174,88,73694,65301,83,1497,1268,13,2188,1853,23,4929,4262,34,558693,485385,97,0.00271248
103910,105407,74,40926,40586,73,1099,1268,10,1186,1185,9,3243,3236,27,433735,410956,88,0.00271248
122959,114401,81,51153,48819,76,1313,1235,12,1637,1534,17,3968,3552,30,446864,417287,89,0.00361664
118847,114762,93,24252,23991,55,1234,1256,10,1420,1431,15,4071,4141,28,473713,447999,90,0.0045208
95300,96974,81,35607,35588,70,919,1026,4,1008,1055,5,3255,3247,26,342881,327546,86,0.00542495
32708,34460,64,17987,18388,45,435,320,0,320,406,0,857,897,0,102030,96793,77,0.00632911
230755,181678,98,88108,70810,91,2171,1706,21,2403,2091,23,5962,4850,39,655899,527925,107,0.00632911
24515,23238,64,13093,13507,39,76,169,0,220,341,0,739,758,0,84606,80219,72,0.00723327
94909,95501,72,51527,51156,72,985,1125,7,874,967,0,3034,3021,25,342786,331377,83,0.00723327
25030,25529,51,9523,9934,35,708,489,0,234,312,0,598,612,0,72606,73398,69,0.00813743
30021,30793,57,9069,9348,36,306,307,0,501,397,0,747,864,0,80773,78991,75,0.0108499
45871,46933,67,16322,16499,43,212,285,0,204,323,0,675,750,0,90053,89231,77,0.0108499
33377,34919,51,18739,19240,45,284,181,0,396,272,0,903,920,0,109206,110764,78,0.0108499
107030,106281,74,34911,34353,73,1291,1277,13,1360,1479,14,3108,2974,27,410621,393768,88,0.0117541
37781,38749,64,13311,13783,38,256,240,0,586,373,0,699,758,0,99937,100195,78,0.0117541
139393,133919,84,49017,47990,76,1215,1126,9,1389,1271,13,3818,3456,29,405788,384779,90,0.0126582
35460,34016,71,9537,9807,35,471,358,0,322,375,0,658,759,0,103460,101625,76,0.0135624
26028,27289,59,10221,10473,36,135,173,0,403,380,0,825,739,0,69885,71574,70,0.0144665
94495,81025,79,44557,38817,77,934,853,0,1183,891,0,2122,1825,21,258508,224337,91,0.0162749
73120,73029,70,23531,23961,55,473,507,0,619,879,0,1604,1628,16,208700,203678,82,0.017179
232308,181390,92,76869,60535,89,2431,1755,22,2767,2325,28,6478,5238,41,683479,550764,108,0.017179
132155,131224,76,65657,64592,75,1638,1603,15,2124,1917,20,4291,4233,31,511285,484903,88,0.017179
138800,129453,83,50187,45871,78,1407,1191,12,2161,1935,21,4627,4001,33,530173,476408,97,0.017179
126373,121976,92,54559,52278,76,1284,1240,11,1592,1380,13,3394,3327,27,384263,357299,91,0.0180832
48064,48438,70,22143,22610,47,698,616,0,563,433,0,1047,999,0,137157,135801,82,0.0189873
96032,95908,73,26956,27153,54,974,884,0,967,1035,3,2271,2226,21,278390,264185,87,0.0189873
26051,26048,49,9405,9759,35,127,210,0,372,483,0,688,698,0,88363,90646,77,0.0198915
70502,70568,71,22551,22580,51,736,726,0,721,585,0,1900,1818,18,209566,209560,83,0.0207957
165618,139230,84,82738,72175,82,1881,1497,19,1991,1654,20,4501,3833,34,496515,416596,97,0.0216998
48260,48645,68,20375,21003,45,467,430,0,760,684,0,1306,1479,12,176014,174078,81,0.0216998
129609,117296,82,81324,73989,79,1718,1682,17,1205,1450,14,3781,3734,29,440826,404147,91,0.0216998
87392,86323,78,33634,33816,71,823,747,0,657,712,0,2554,2533,23,311069,300238,85,0.0216998
171020,139434,102,91063,78495,85,1627,1388,18,2149,1790,23,5544,4456,38,609199,508795,99,0.0235081
38562,39653,65,16426,17081,41,281,335,0,209,361,0,800,741,0,95064,96745,78,0.0235081
173862,148248,95,73214,62709,85,1840,1529,16,1747,1394,19,4147,3753,31,481755,407382,98,0.0244123
43989,47370,55,25636,26561,60,263,317,0,544,559,0,1215,1204,10,127066,120841,77,0.0244123
164216,136244,90,73415,62061,83,1768,1723,17,1860,1493,19,4175,3722,31,444570,369622,99,0.0253165
31523,28462,78,5709,5613,31,193,235,0,221,265,0,772,762,0,90783,93101,74,0.0271248
34398,33427,69,17747,17817,44,272,248,0,365,265,0,713,809,0,107945,106498,79,0.0289331
139020,123979,84,44736,38375,80,1351,1037,5,1494,1424,14,3913,3292,32,447182,390975,95,0.0298373
267444,203052,93,110569,86029,93,2930,2220,24,3116,2337,29,7488,5898,44,808759,631401,108,0.0298373
103541,96343,77,51739,47668,76,1016,831,0,1153,965,0,2379,2159,23,280042,257069,89,0.0307414
222797,179548,92,89205,72699,86,2358,1706,23,2542,2112,25,5835,4751,38,644250,531707,99,0.0307414
27579,29886,50,12888,13651,39,272,254,0,300,310,0,672,832,0,96425,95649,76,0.0307414
95823,92990,75,35311,34874,71,905,863,0,964,920,0,2726,2780,24,309933,301221,83,0.0325497
194428,156443,87,75420,59293,85,1989,1681,19,2034,1581,20,5747,4476,39,682463,540982,98,0.0334539
105952,104746,73,34085,33955,72,825,936,0,1393,1432,12,3490,3616,26,440303,427901,87,0.0334539
102229,102174,73,45019,44857,72,931,928,0,1596,1528,16,3528,3360,28,404075,381678,86,0.0334539
41407,41985,66,20184,20763,47,329,386,0,373,391,0,1131,1098,6,141786,140637,78,0.034358
222948,178342,88,134634,112695,90,2430,1800,25,2819,2255,27,6769,5390,41,728416,584928,106,0.034358
103175,104319,75,41576,42227,72,907,842,0,837,938,0,3027,3006,25,336294,325908,85,0.034358
234807,185375,92,85090,66482,89,2137,1628,21,2746,1903,27,6810,5206,41,752602,588963,107,0.0352622
52071,52803,66,9823,9801,37,230,292,0,646,508,0,979,1061,5,137925,134848,77,0.0361664
106218,104732,73,32114,31801,72,1058,1042,5,1290,1204,11,3091,3157,26,401076,386414,89,0.0361664
104841,100011,93,28502,28266,70,944,916,0,941,1067,7,3485,3463,28,402624,388926,89,0.0370705
317847,208786,113,199529,138759,112,4434,2922,37,4510,2741,38,11386,7277,52,1.04858e+06,866869,124,0.0406872
189093,161416,89,70487,60508,84,1947,1483,20,1866,1665,18,4773,4042,34,509192,449438,96,0.0415913
124007,119626,83,43858,42906,75,1158,1216,9,1374,1371,12,3573,3472,28,405547,387789,88,0.0415913
30604,30455,54,7517,7876,32,386,402,0,163,175,0,642,776,0,81221,80161,78,0.0424955
149189,133621,84,62262,56044,81,1517,1299,14,1748,1581,17,4384,4048,31,473494,417538,96,0.0424955
96186,98061,73,58574,58235,73,1176,1126,8,1328,1134,10,2801,2801,24,285724,277753,84,0.0433996
94253,96682,73,36096,36288,71,1019,1098,7,1314,1163,9,3359,3423,26,371430,355980,86,0.0433996
107459,105834,91,27067,27169,59,895,798,0,1385,1172,11,2956,2763,25,303643,297680,84,0.0433996
81330,78259,88,29457,29262,71,788,641,0,917,763,0,2104,1998,20,218144,209568,88,0.0443038
34024,36089,58,11870,12041,38,363,410,0,405,472,0,772,721,0,93678,89936,74,0.045208
103976,102916,74,49922,49181,74,854,882,0,1058,948,0,2597,2457,23,321555,305620,86,0.0461121
130859,128191,77,53215,52426,75,1391,1375,12,1692,1662,18,4271,4185,29,499298,465545,90,0.0461121
37628,41223,47,19174,19757,44,525,508,0,354,443,0,996,979,0,133330,126209,79,0.0470163
153353,141434,87,62451,58683,79,1422,1257,11,1836,1699,18,4713,4375,32,515850,477187,94,0.0470163
95907,92465,75,32897,30520,75,887,918,0,1104,959,0,2830,2914,24,356110,341956,91,0.0479204
99707,99224,75,31524,31262,71,1081,1031,5,1430,1226,11,3206,3064,27,385436,372833,89,0.0515371
139716,129256,79,69007,63779,79,1582,1286,13,1969,1975,19,4559,4151,32,541282,496939,93,0.0524412
214339,165637,111,87999,68630,111,2162,1898,21,2581,2133,24,6645,5096,40,796939,595810,111,0.0524412
43715,45013,69,27125,27688,61,481,301,0,299,384,0,987,1001,1,102116,101008,80,0.0551537
93262,92497,78,26639,26697,61,649,885,0,1036,940,0,3105,3105,25,367889,353087,90,0.056962
28556,27948,60,5718,5992,30,397,361,0,190,352,0,773,795,0,102598,102880,72,0.0596745
48112,48882,69,10844,10950,37,625,524,0,603,498,0,1306,1495,13,141353,142169,78,0.0605787
115927,103063,79,47890,40660,79,1132,935,0,1234,1045,7,3234,2935,27,345374,288278,93,0.0605787
192853,159347,102,83792,70248,86,1771,1544,18,2070,1838,22,5171,4253,36,577831,476685,99,0.062387
195677,157719,90,74818,59485,86,1844,1640,19,2039,1753,21,5729,4692,38,676337,542548,100,0.062387
110162,106853,75,53640,50531,74,1035,1142,9,1368,1222,12,3311,3281,26,395400,363990,89,0.0632911
51564,52094,69,15942,16265,42,381,431,0,477,517,0,877,861,0,126712,126043,78,0.0632911
22801,24316,47,6730,6991,32,242,314,0,173,100,0,659,686,0,87983,87509,73,0.0641953
125693,117319,82,53645,49551,77,842,824,0,1471,1519,15,3834,3649,29,434428,394195,91,0.0650995
57993,57013,71,12013,12321,38,700,689,0,495,533,0,1202,1467,12,137468,136784,80,0.0650995
88750,80315,85,41601,39209,75,967,985,0,825,859,0,1904,1654,20,255922,235194,86,0.0696203
133703,114176,87,55820,48078,80,1076,1083,6,1357,1125,11,3288,2856,29,411763,346977,95,0.0696203
197110,167584,85,77758,65318,85,1821,1472,18,2125,1682,21,4877,4018,35,532450,455319,98,0.0696203
105784,104588,81,31923,31774,72,856,1050,5,1173,1408,13,3414,3441,27,376099,363936,88,0.0714286
113699,112668,75,37580,36829,74,1124,925,0,1324,1343,12,3366,3243,27,412908,396135,88,0.0723327
147524,140183,80,53525,49462,80,1401,1259,13,2055,2094,21,4667,4205,32,547024,497478,93,0.0732369
64601,64176,71,20374,20378,48,674,601,0,695,716,0,1293,1273,12,154541,147765,82,0.0750452
51266,50870,66,30160,30990,67,530,763,0,578,514,0,1313,1260,11,133819,126801,80,0.0750452
117028,97334,83,51056,44521,79,990,891,0,1079,838,0,2927,2547,26,311132,248841,95,0.0750452
96207,94815,90,27259,27327,69,1061,1029,4,1154,1037,5,2852,2823,25,358703,349937,87,0.0759494
155313,136902,85,78858,70815,81,1762,1466,17,2167,1827,20,5259,4549,35,558771,484532,97,0.0759494
186195,152583,87,72717,59190,84,1696,1390,18,1838,1396,20,5799,4643,38,661432,529745,98,0.0768535
26958,27082,49,10369,10590,36,401,298,0,418,412,0,871,826,0,70667,73579,72,0.0786618
139801,128076,80,60230,53976,79,1489,1180,11,1712,1475,18,4463,3827,34,519902,462346,95,0.079566
73461,74459,78,32970,33051,70,504,591,0,717,632,0,1633,1644,16,173170,169570,83,0.0804702
162569,138097,81,81683,68666,82,2303,1994,22,2884,2319,27,6147,5448,37,683815,581209,99,0.0831826
23845,25985,46,6396,6635,32,242,263,0,245,228,0,793,751,0,100999,98856,73,0.0831826
117554,113209,84,30330,29687,74,1308,1171,12,1870,1812,17,3362,3257,27,407917,383501,90,0.084991
105369,105841,77,28901,29072,67,1015,1026,5,1346,1463,15,4231,4256,29,512413,496927,87,0.084991
44985,46814,66,12175,12625,38,374,308,0,587,476,0,1152,1007,3,130635,133921,79,0.084991
42587,42574,71,7788,8042,33,328,443,0,540,299,0,1001,886,0,124929,121806,78,0.084991
292369,206120,115,111264,79082,106,3126,2394,28,3371,2158,32,8774,6252,46,917803,640343,119,0.0858951
90969,93173,74,20659,21428,44,699,531,0,1000,926,0,2515,2699,22,292738,288817,84,0.0858951
33852,35699,48,13307,13911,38,238,299,0,409,468,0,818,878,0,120812,118740,76,0.0858951
115483,114610,75,39747,39342,73,1312,1309,12,1837,1493,17,3708,3499,29,428016,411310,86,0.0867993
70022,70075,78,24481,24733,51,617,749,0,800,793,0,1715,1700,17,206427,205890,80,0.0877034
190300,158708,92,80818,67040,85,1946,1619,18,2443,2042,24,6060,5250,37,678673,573929,100,0.0895118
