"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
36987,38115,54,8439,8481,35,471,423,0,445,367,0,822,816,0,109941,107700,73,0
181691,151589,88,86632,73320,85,2373,1961,22,2043,1523,20,5336,4421,37,717416,599005,94,0.0019216
107030,106340,78,27073,26853,62,1207,1313,11,1690,1352,16,3584,3524,27,498899,489500,84,0.0028824
136126,118567,82,59124,49901,78,1845,1794,17,1626,1461,15,4035,3648,31,577738,494655,89,0.0028824
205455,180819,87,119338,104281,86,5770,4857,34,6217,5362,38,10600,9207,46,940626,830622,92,0.004804
75854,76121,66,26929,26408,62,1037,879,0,842,775,0,1720,1632,16,159924,155504,83,0.0057648
100963,85133,80,39258,33424,76,1270,1055,7,1347,1212,11,2433,1934,24,214634,174967,87,0.0067256
98344,96738,75,41456,41007,72,1209,1124,8,1212,1070,7,3103,3102,26,428393,409412,82,0.0067256
114068,111543,76,33982,32743,74,1303,1285,13,1230,1183,10,2643,2533,23,270858,254836,81,0.0076864
67450,63878,71,27646,26172,61,694,710,0,719,589,0,1416,1444,14,138586,123592,82,0.0076864
95011,83991,79,38936,34848,74,982,874,0,1040,864,0,2405,2106,22,217503,196463,81,0.0076864
111332,103205,78,40728,37332,75,1600,1467,15,1292,1178,10,2736,2671,25,359039,331418,83,0.0076864
112047,111074,84,33207,33027,71,1420,1322,12,1606,1645,16,3851,3833,28,498823,477180,85,0.0076864
209586,186965,103,113210,105063,90,3904,3508,26,3285,2742,28,6610,5670,40,588749,489200,103,0.0076864
48878,49164,69,19331,20038,42,745,614,0,636,616,0,1234,1303,12,144797,146166,72,0.0076864
96748,96615,81,24996,24763,59,1206,1051,5,1277,1151,10,3177,3221,26,424499,416360,82,0.00960799
162393,137424,86,58823,50688,83,1847,1691,16,1659,1480,19,4737,3955,34,622381,531109,95,0.0105688
129467,114541,81,57308,51237,78,1289,1093,9,1173,999,0,2585,2211,25,274840,235920,86,0.0105688
162991,134731,84,63054,52493,81,1968,1591,19,1814,1517,17,3548,2845,31,336679,275875,90,0.0105688
214239,182449,89,145148,126947,87,4002,3523,29,3517,3118,30,7647,6698,41,703206,608787,92,0.0115296
