"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
137487,123015,96,58410,52795,78,1943,1540,19,1747,1616,18,3422,3090,28,427737,367891,89,0
31998,34447,49,11548,11845,37,241,203,0,313,286,0,702,846,0,111199,109244,72,0
50682,49452,83,10675,10928,36,526,517,0,417,386,0,1031,1102,7,145323,150041,74,0
77141,77068,74,22005,22044,50,661,684,0,783,770,0,2041,2074,20,274731,273238,79,0.00184775
168776,143211,88,68543,58339,85,2161,1682,23,1972,1745,19,4560,3952,33,599482,508952,95,0.00277162
118095,115227,77,28647,28589,60,1077,1202,8,1445,1483,14,4037,4083,29,473841,454117,84,0.00277162
123433,116479,82,46426,43021,76,1196,1125,7,1418,1366,13,3405,3367,26,424321,390794,93,0.00369549
32820,32751,66,14728,15002,41,270,296,0,367,285,0,712,694,0,91903,90303,74,0.00369549
119618,108554,82,48609,42201,79,1238,1127,8,1434,1311,15,3806,3616,28,444401,392357,89,0.00461936
105764,103971,78,35581,35322,73,1039,951,0,1242,1107,7,3171,3046,26,389757,366105,81,0.00554324
189798,153762,93,68265,54507,86,2592,2197,24,2143,1645,22,5384,4419,37,667461,540222,96,0.00646711
134450,123485,82,37661,33990,77,1992,1824,19,1794,1680,19,4512,4173,31,512340,466386,89,0.00646711
139931,128162,81,36859,33083,77,1862,1420,18,1666,1549,15,3946,3404,32,475171,416103,88,0.00739098
48118,50054,60,11326,11743,37,474,510,0,417,484,0,1264,1306,12,151902,146072,76,0.00739098
220550,168398,94,77160,59251,88,2733,2097,24,2863,2068,26,6076,4901,40,742234,574459,98,0.00739098
118101,108462,95,30697,27220,95,1498,1388,13,1942,1843,19,4537,4094,31,537481,488201,95,0.00739098
22008,25841,40,5858,6462,30,399,368,0,57,78,0,534,711,0,74783,75318,67,0.00831486
137098,126526,81,69383,63263,81,1376,1355,12,1545,1468,16,3806,3386,30,460187,416452,89,0.00831486
172814,143257,86,56134,45704,85,2069,1681,20,1678,1375,15,3968,3431,31,509717,427826,94,0.00923873
89106,89772,74,35995,35879,71,676,701,0,1032,1112,7,3018,3091,26,358812,340163,83,0.0101626
35334,35530,58,20162,20567,47,510,410,0,190,229,0,1007,968,0,129361,132841,72,0.0110865
106458,105073,77,23720,23527,50,1292,1292,11,1506,1281,15,3567,3506,27,411495,402239,85,0.0120103
33686,35905,62,16281,17335,40,482,408,0,333,301,0,724,669,0,102708,104831,67,0.0120103
28045,27788,51,11017,11290,37,287,276,0,310,303,0,779,877,0,92500,91105,70,0.0138581
43825,45531,66,14315,14529,41,511,441,0,327,398,0,1092,1020,3,153205,145250,78,0.014782
43531,47029,59,19692,20085,49,429,439,0,602,561,0,938,894,0,144255,145202,75,0.0157058
225033,193786,96,69912,60845,89,2954,2604,26,2897,2466,25,6678,5674,39,819395,678588,100,0.0166297
104686,103007,83,50107,49797,73,898,1093,7,1312,1468,14,3266,3126,26,401504,391564,84,0.0175536
34230,34808,64,13564,13902,40,527,580,0,533,395,0,748,833,0,101356,101615,74,0.0184775
113588,111090,88,33907,33411,72,1828,1829,17,1600,1592,16,3720,3704,28,490212,464539,83,0.0203252
34043,33351,65,15359,15702,41,551,475,0,390,508,0,838,771,0,109486,104766,71,0.0203252
25040,22698,74,15628,16016,42,419,267,0,309,326,0,670,712,0,80482,82147,65,0.0212491
71871,73957,70,12927,12929,39,849,847,0,989,809,0,1625,1582,15,222749,220881,80,0.0212491
223115,174245,95,91517,72154,89,2531,1937,24,2338,2005,24,6137,4877,40,745636,584167,98,0.0221729
138058,126216,79,50745,46148,79,1523,1366,14,1827,1636,17,4595,4093,33,534457,489712,88,0.0221729
35735,36421,70,15369,15974,41,631,631,0,489,564,0,715,722,0,121307,118960,74,0.0221729
41647,40892,72,20451,20714,48,257,282,0,493,452,0,1031,1115,7,117690,112615,74,0.0230968
37933,38046,61,18872,19286,46,544,496,0,433,416,0,957,967,0,112654,113135,74,0.0230968
210429,170119,107,71265,57019,88,2682,2247,25,3045,2522,26,6674,5768,40,799452,687948,99,0.0249446
254777,194018,96,89786,67683,93,3163,2289,28,3011,2332,29,6798,5426,41,832269,635224,102,0.0249446
28145,27950,56,11982,12237,38,189,334,0,127,238,0,689,795,0,97171,93527,72,0.0258684
161008,134619,85,59034,49818,82,1900,1560,18,1671,1440,16,3676,3181,31,497277,425918,93,0.0258684
126580,117024,81,35754,32536,75,1491,1343,13,1412,1129,11,3620,3250,29,453684,413138,88,0.0267923
115917,106191,95,56943,51753,78,1610,1418,13,1248,1133,9,3279,2918,28,405138,366895,86,0.0267923
38891,38711,60,17555,17791,44,357,313,0,547,452,0,1001,1015,3,121778,120439,74,0.0295639
45753,47350,64,18879,19187,46,494,443,0,398,267,0,757,703,0,115104,113867,76,0.0295639
37546,36919,70,10257,10411,37,292,282,0,446,429,0,1067,1135,8,127709,128173,73,0.0314117
75063,73353,76,35189,35242,70,732,757,0,729,807,0,1891,1942,18,231102,231362,81,0.0314117
103050,101680,75,29440,29020,69,1278,1369,12,1578,1490,13,3168,2839,27,366834,355205,83,0.0351072
42449,44929,51,14957,15357,40,592,481,0,555,545,0,1052,992,0,128216,126222,74,0.0351072
35678,36050,70,8085,8250,34,157,141,0,366,461,0,1050,1013,3,113595,114034,69,0.0351072
131566,115294,79,57951,50593,78,1350,1238,12,1333,1208,12,3503,3163,29,455032,394590,88,0.0351072
85937,85614,76,31663,31992,70,936,916,0,1346,1261,11,2418,2425,23,288170,274258,79,0.0369549
142811,136247,81,57013,54013,79,1308,1265,12,1837,1553,18,4006,3714,30,444246,415968,87,0.0369549
33514,34095,68,13226,13563,40,483,412,0,323,396,0,779,811,0,108386,101724,76,0.0378788
125352,110768,92,53837,47008,80,1155,1085,7,1132,1020,4,3196,2815,28,357999,317524,89,0.0388027
37605,39828,51,18120,19005,43,385,498,0,374,421,0,1048,1024,4,114953,113276,72,0.0388027
28959,29175,59,12844,13104,39,403,283,0,338,179,0,690,718,0,100315,101897,69,0.0388027
112298,107527,83,33686,31373,75,1613,1439,13,1248,1243,11,3400,3358,27,397487,375095,85,0.0397265
121660,115941,82,47310,44315,75,920,945,0,1330,1225,10,3135,2980,26,386450,352306,84,0.0406504
27784,29123,60,11466,11950,37,263,366,0,432,422,0,870,776,0,100866,99628,68,0.0406504
122505,112851,77,47626,41411,79,1690,1495,16,1672,1363,16,3635,3312,30,458660,387108,87,0.0406504
118188,109514,79,51707,47525,78,1537,1586,15,1586,1525,15,3416,3088,29,400058,365998,86,0.0406504
44233,43288,67,21056,21764,45,629,658,0,500,730,0,1215,1227,11,141861,143965,70,0.0406504
146521,129899,88,48308,41185,81,1885,1505,18,1634,1862,16,4097,3637,31,459673,409294,88,0.0415743
72508,70340,78,26544,26578,69,770,893,0,836,757,0,1849,1971,19,236403,230173,78,0.0424982
33101,35729,52,7432,7365,33,454,379,0,575,608,0,1017,901,0,130332,133493,70,0.0443459
110873,110522,75,27847,27616,62,1248,1308,10,1625,1584,15,3751,3741,28,423252,412577,83,0.0443459
106827,103047,83,29480,29486,71,1133,868,0,1078,1241,10,2917,2767,26,342490,328608,82,0.0452698
37466,38231,64,11479,11851,37,286,315,0,558,490,0,884,871,0,125014,129552,71,0.0452698
34863,33721,64,15374,15519,43,275,296,0,179,255,0,804,818,0,111530,110237,69,0.0461936
29834,31038,56,8607,8839,34,397,346,0,238,348,0,856,815,0,97878,94665,72,0.0471175
26034,28081,45,6823,6672,34,127,284,0,255,287,0,663,672,0,94363,95401,67,0.0471175
36648,38717,47,13450,13458,39,383,301,0,524,390,0,905,1028,4,133100,132663,71,0.0498891
122928,110392,85,46978,43147,79,1312,1207,9,1130,1185,10,3625,3260,29,453299,396923,90,0.0498891
58844,60101,69,28817,29093,59,343,377,0,452,580,0,1603,1556,17,178732,174232,77,0.050813
62185,63760,69,34070,34508,69,734,549,0,780,704,0,1414,1375,14,208344,204459,78,0.050813
105319,105256,74,31859,31178,72,1382,1378,12,1357,1250,11,2933,2989,25,331801,318630,82,0.0517369
30505,32223,51,12829,13229,39,410,398,0,108,295,0,788,807,0,97250,96597,73,0.0517369
141427,135187,80,52805,47976,79,1668,1430,14,1363,1444,15,3665,3303,29,461269,425831,89,0.0526608
238555,192783,99,137682,116546,95,4495,3735,32,4048,3389,31,9307,7826,45,1.04858e+06,915351,104,0.0535846
18622,20786,40,4381,4877,27,297,287,0,234,285,0,442,378,0,72436,72096,64,0.0535846
108385,104403,76,45263,42230,76,1142,1066,6,1040,1081,7,2919,2777,25,349762,333218,83,0.0545085
37584,38487,62,14709,14764,42,366,338,0,365,289,0,790,927,0,138335,133038,80,0.0545085
178849,151878,85,60683,50785,83,2146,1870,20,2305,1883,23,5056,4181,36,616857,520183,92,0.0545085
40322,42172,48,17663,18334,42,518,406,0,576,497,0,1149,1232,9,159785,160840,74,0.0545085
88676,88824,72,31978,32012,71,878,917,0,931,846,0,2456,2435,24,285088,270838,80,0.0545085
293464,214553,114,95097,70119,112,4081,2882,33,4041,3053,32,8433,6636,44,1.04858e+06,836083,123,0.0554324
47824,48874,64,11651,12132,37,224,430,0,465,527,0,1048,1088,6,136490,132624,73,0.0554324
77873,77435,87,40180,40204,70,776,862,0,869,1031,3,2099,2080,21,251727,248747,78,0.0563562
94445,91474,82,38576,37843,72,870,865,0,1295,1189,9,2907,2775,25,351599,340780,82,0.0563562
68198,67700,86,16823,16773,45,723,727,0,686,678,0,1865,1836,18,218518,214472,77,0.0572801
46796,48432,66,18261,18546,44,628,632,0,601,550,0,1101,1038,5,159054,160628,74,0.0572801
250222,189063,96,86146,65448,92,2992,2384,29,2564,2092,25,6681,5176,41,836914,629422,101,0.058204
146414,141832,77,42562,40880,76,2037,1700,21,1727,1686,17,4016,3828,29,469112,442674,85,0.058204
61088,61129,72,22368,22712,49,121,339,0,382,474,0,1473,1409,13,170889,168361,76,0.0591279
133131,123446,80,61427,56976,79,1668,1528,15,1786,1562,17,4749,4374,32,544249,499796,86,0.0591279
26151,25127,64,4568,4573,29,189,275,0,341,235,0,581,467,0,76700,76667,70,0.0609756
120588,117634,76,44546,43844,74,1688,1546,17,1622,1584,16,4091,4208,29,498368,476415,84,0.0609756
53396,55523,61,18009,17904,44,685,548,0,590,644,0,1391,1351,12,170557,163130,75,0.0618995
36953,37740,45,9382,9729,35,501,363,0,397,337,0,998,921,0,108384,109022,71,0.0618995
29820,30171,52,13097,13257,39,394,387,0,185,307,0,631,662,0,108603,103755,72,0.0628234
146697,138490,89,60580,57625,79,1562,1506,15,1721,1635,16,3721,3524,29,464940,433589,97,0.0628234
76774,77829,70,35721,35598,70,1003,997,0,1031,948,0,1930,1880,20,239618,236760,76,0.0637472
120326,113023,86,41753,38159,77,1188,1005,3,1203,1196,10,3343,3115,29,390301,349676,86,0.0646711
80782,80658,76,26748,26633,61,760,784,0,976,807,0,2132,2201,21,243195,242070,80,0.065595
45065,45664,68,10025,10247,36,277,403,0,552,653,0,926,849,0,126205,127601,74,0.0665188
249001,184876,101,97327,73974,97,2892,2163,26,2585,2012,28,6831,5355,42,827001,611286,106,0.0683666
86219,85473,78,21564,21574,46,998,1164,8,791,857,0,2247,2143,22,272452,261202,82,0.0692905
