"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
23196,24828,54,11054,11411,37,193,179,0,215,332,0,452,579,0,80997,79682,68,0
210327,164246,92,89621,72181,88,2174,1984,20,2176,1609,23,5265,4249,37,605134,487699,96,0.00111146
101474,100573,76,38724,38744,71,1050,1152,8,1386,1244,9,3558,3508,27,410962,389914,82,0.00111146
31136,29140,68,9206,9425,35,309,330,0,418,425,0,912,884,0,124598,129034,70,0.00333439
48270,51646,62,13229,13262,39,386,355,0,275,356,0,1322,1333,11,182249,173848,74,0.00333439
98079,94811,83,27389,27475,63,948,890,0,847,846,0,3124,2860,26,343872,330368,83,0.00444586
136240,132976,82,29225,28624,63,1601,1729,16,1928,1888,20,4674,4609,31,591832,554583,85,0.00444586
89304,90298,75,29936,29375,71,913,1058,5,857,766,0,2043,2128,20,258496,251540,82,0.00666878
109612,106846,85,45821,45319,74,1134,1107,7,1416,1435,14,3688,3469,28,458898,442333,85,0.00666878
200407,162378,92,86339,70580,89,1782,1424,16,1802,1365,14,4874,4097,35,577643,480999,106,0.00666878
122725,119839,80,33927,33625,74,1321,1286,12,1363,1203,11,2844,2833,25,320662,301210,83,0.0111146
48538,49160,71,22350,22645,50,469,459,0,352,412,0,927,953,0,117436,116095,73,0.0111146
42024,41314,70,9318,9611,35,436,440,0,306,491,0,965,847,0,116599,116234,71,0.0122261
212518,167770,90,90343,72249,88,2037,1773,18,2009,1641,20,5735,4736,38,574996,463271,96,0.0133376
109607,107810,78,54975,53786,74,1311,1200,10,879,971,0,2888,2737,24,362606,351078,78,0.0133376
43502,41748,72,20757,20931,49,436,563,0,274,342,0,1031,972,0,114994,109586,74,0.0155605
134320,129407,80,41616,40743,76,1358,1467,13,1318,1427,13,3364,3308,27,434254,411363,85,0.0155605
114677,112580,82,22589,22194,54,1359,1332,14,1575,1595,15,3583,3539,28,420194,405877,83,0.0177834
101622,99768,76,26241,26038,59,716,877,0,1032,1137,7,3033,2933,25,368992,352839,82,0.0177834
54243,54560,60,16084,16111,42,381,477,0,427,411,0,1062,1203,9,141459,135711,70,0.0188949
160626,140913,86,69141,61505,83,1444,1179,10,1827,1448,16,4788,4162,33,522157,461461,89,0.0188949
78331,68908,90,36326,33723,73,984,845,0,765,675,0,1680,1477,15,196386,177462,83,0.0200064
257808,215349,92,89730,75475,90,3235,2655,27,2926,2336,28,6750,5977,40,795415,677521,98,0.0200064
109713,109016,77,33616,33457,73,1111,934,0,1452,1330,13,3653,3677,28,438880,418168,82,0.0211178
