"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
62227,42877,94,39564,27917,82,17053,11491,57,-117,23,0,83,92,0,-515,88,0,0.00790737
70877,49931,87,34398,24553,82,13247,9607,51,-6,68,0,110,58,0,-3155,0,0,0.00790737
85454,57941,88,57233,39216,87,25010,16964,70,34,73,0,-43,87,0,-606,112,0,0.0237221
39472,25677,88,27738,19560,77,10639,7681,48,38,146,0,-64,27,0,-165,225,0,0.0286642
201742,106309,112,147524,81698,110,53273,28732,105,54,127,0,-26,55,0,357,535,0,0.0355832
176837,96017,114,141487,80326,110,46438,25898,105,-97,33,0,-87,55,0,-520,327,0,0.0365716
92496,65219,92,46046,32370,85,28689,20101,82,87,158,0,-112,36,0,104,221,0,0.0405253
44472,30542,79,38131,26654,80,15950,11174,60,-33,64,0,-15,36,0,689,688,0,0.0583169
133785,89718,97,95323,64865,94,33012,22330,89,-62,138,0,57,75,0,-567,189,0,0.0593053
138043,91911,99,78566,52986,94,32480,21991,89,161,142,0,-24,58,0,420,698,0,0.063259
39224,27386,82,31291,22508,76,15054,10672,55,173,160,0,83,77,0,284,961,0,0.0840158
30720,21930,65,16794,12050,54,11900,8438,50,62,91,0,48,113,0,-67,563,0,0.0850042
125319,83483,95,55675,37229,90,2634,1691,25,171,122,0,-59,46,0,-629,256,0,0.0859927
50825,35287,82,25694,18398,73,9284,7026,46,-37,87,0,-6,65,0,-1694,0,0,0.0869811
176527,116647,105,81433,55623,95,46797,30886,94,-44,77,0,-85,18,0,238,317,0,0.0939
88837,61898,94,50179,35804,86,27491,19668,74,-6,144,0,-41,29,0,-7277,0,0,0.0948884
226130,116511,114,145054,77448,114,68845,36887,111,130,93,0,144,119,0,-277,364,0,0.105761
115078,76386,93,68445,44246,91,35349,21911,89,140,128,0,-69,48,0,-5223,0,0,0.105761
89625,63237,88,54936,38804,86,12954,8940,52,-10,110,0,52,112,0,462,465,0,0.113668
86752,54796,97,130167,83170,97,123,150,0,-101,75,0,-48,46,0,106,463,0,0.114657
27498,19936,71,35003,25872,72,6275,4213,42,21,179,0,-101,24,0,43,306,0,0.116634
43739,29449,81,12493,8667,51,1531,1190,11,122,131,0,-91,45,0,-226,319,0,0.121576
99499,62920,91,60274,36011,91,32899,19777,89,27,74,0,-6,50,0,439,551,0,0.122564
104308,71053,93,59721,41593,89,40534,26597,89,-29,63,0,-7,97,0,-215,302,0,0.12553
73293,51411,85,52778,36840,84,29373,20949,81,-17,45,0,54,55,0,-471,191,0,0.129483
160004,90005,107,97757,54968,104,49455,28336,101,-96,85,0,-55,99,0,-780,37,0,0.13146
53945,38725,81,39113,28051,81,13751,9236,52,-12,134,0,-108,30,0,-374,155,0,0.135414
160245,98025,107,94720,57597,102,38784,23612,98,-125,105,0,-206,22,0,799,707,0,0.139367
72750,50342,97,51038,35584,85,21186,14451,62,-118,9,0,74,76,0,51,277,0,0.143321
134792,90470,94,94287,62256,95,39074,25389,92,-63,116,0,-64,69,0,-364,161,0,0.153205
227215,119725,112,119044,65809,110,66775,35234,106,-261,23,0,-117,72,0,-241,240,0,0.156171
232979,135661,111,167927,96773,110,38327,22434,104,27,82,0,12,67,0,-4674,0,0,0.156171
151553,97027,98,98673,63652,99,47081,28920,98,-62,101,0,105,68,0,275,663,0,0.16309
147142,93626,102,108062,68191,100,38503,23195,96,-107,106,0,58,117,0,-214,333,0,0.170008
72713,49139,89,53592,38119,85,23544,16342,73,-117,154,0,101,111,0,-1434,0,0,0.170997
95630,68218,95,54724,38587,86,24839,17163,69,-172,62,0,39,91,0,-541,90,0,0.176927
115504,80494,94,65446,45863,89,28445,18863,76,-77,43,0,-36,59,0,536,1132,5,0.18187
181137,100226,108,91689,50582,106,50383,28562,102,-81,76,0,37,121,0,66082,100717,119,0.182858
162976,104511,102,103797,63854,102,40139,24801,96,-139,138,0,46,74,0,-345,330,0,0.1878
42897,29303,86,25816,18566,73,14005,9776,54,-35,70,0,63,97,0,-307,237,0,0.191754
143005,98341,99,115348,79839,94,40499,27579,90,80,150,0,-54,83,0,71,432,0,0.194719
66772,47565,83,23373,16837,69,21863,15696,60,-217,61,0,74,107,0,160,477,0,0.196696
43096,30760,77,20700,15289,60,14833,10564,54,-68,60,0,107,100,0,-43,371,0,0.197684
169249,95405,108,95503,52951,103,50911,28474,100,88,125,0,-37,84,0,-340,117,0,0.203615
106364,69310,99,82163,55272,93,42400,27892,89,-26,87,0,83,91,0,-241,332,0,0.20658
123607,74309,104,81449,49031,98,32073,19178,88,-6,79,0,-1,77,0,-1822,238,0,0.20658
190687,105755,113,130384,74375,107,45779,25227,102,-185,33,0,-22,69,0,-419,164,0,0.208557
97836,68707,91,64793,46184,88,22593,15596,66,-44,68,0,-24,43,0,-104,575,0,0.211522
25837,18034,69,21922,16004,67,11581,8613,48,120,89,0,-34,38,0,148,394,0,0.242163
146251,93404,98,101371,68039,96,38040,25145,93,-28,144,0,3,44,0,-477,117,0,0.243152
136833,90039,96,95915,62547,97,49271,30742,97,117,135,0,-136,51,0,-297,329,0,0.249082
180155,104621,106,133462,78649,107,52367,30373,103,-34,86,0,13,49,0,327,567,0,0.256001
75168,49017,99,57715,36426,87,25294,15718,74,84,100,0,-45,94,0,91,608,0,0.272804
77318,55863,86,23442,17075,65,21749,15301,61,-94,46,0,-62,37,0,-764,650,0,0.272804
204994,113883,110,124138,68144,107,45533,26976,101,119,133,0,-23,66,0,-16,425,0,0.277746
144698,90363,104,117591,74334,97,45495,28066,93,191,164,0,-169,36,0,-261,249,0,0.279723
72447,51517,89,52024,37523,84,20815,15359,63,-34,142,0,6,49,0,-2786,0,0,0.279723
32829,23717,70,20989,15610,62,9264,6694,45,-66,57,0,-32,96,0,398,690,0,0.284665
163656,93356,105,100168,58861,104,46343,27237,99,-8,110,0,28,78,0,-293,547,0,0.287631
112435,79376,94,69488,49756,89,29229,20975,83,-90,88,0,88,107,0,104,359,0,0.290596
62408,43301,87,46529,32909,82,18365,12671,57,28,98,0,6,68,0,25,308,0,0.292573
105229,72705,92,60916,43008,89,32712,23041,86,-9,139,0,-46,53,0,-626,207,0,0.293561
203613,112869,108,116724,66081,106,53196,30246,100,-23,86,0,33,69,0,-7911,0,0,0.293561
