"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
89227,57235,90,58610,36256,91,28877,17811,86,-8,91,0,147,118,0,-1633,108,0,0.00205857
140690,93420,108,85133,57343,94,31943,21766,89,215,204,0,71,104,0,-654,386,0,0.00308785
49294,34933,82,18060,13085,58,10359,7309,47,27,76,0,-56,64,0,-2464,0,0,0.00411713
108799,67472,107,70431,43475,97,32383,19582,94,26,92,0,-46,58,0,-261,170,0,0.00823427
82062,53881,78,64471,38360,94,29875,17832,83,-173,54,0,-144,23,0,-1113,98,0,0.00926355
248650,123083,129,124434,60466,117,59071,29150,115,53,138,0,67,96,0,-2038,0,0,0.0102928
95397,63495,88,82201,56019,90,21807,14354,65,185,144,0,-85,90,0,572893,340005,80,0.0102928
153942,83862,107,99103,55675,106,39340,22063,101,-74,160,0,-67,43,0,431,434,0,0.0113221
70078,49554,84,42652,29924,83,15289,10649,53,-65,72,0,-108,2,0,448,777,0,0.0174978
172009,99067,107,91840,51616,106,35831,20330,101,-88,115,0,83,60,0,-117,194,0,0.0226442
98848,61848,96,55103,34181,93,24563,15293,72,-100,137,0,-8,102,0,-924,90,0,0.0236735
251713,136791,115,141228,75650,113,62795,34441,110,45,68,0,-64,52,0,104,321,0,0.0257321
185783,106666,118,125240,70930,106,43204,25179,99,-28,81,0,32,63,0,-191,432,0,0.0298492
76310,48179,91,51413,32324,89,19148,11568,64,28,81,0,45,61,0,599,813,0,0.0329371
105004,62963,109,57193,34738,95,26406,15928,78,57,139,0,-16,85,0,-238,427,0,0.0370542
156447,88432,107,98126,55169,106,35047,20002,98,-84,80,0,28,80,0,-240,245,0,0.0411713
45201,32475,76,20043,14485,61,10157,7232,49,-79,129,0,16,76,0,-472,130,0,0.0442592
160107,105617,99,93999,64087,97,40240,26619,92,-9,164,0,-34,48,0,128,588,0,0.0452885
203273,114555,115,117770,66614,107,51178,28281,104,146,113,0,-39,55,0,-148,555,0,0.0483763
75708,54069,91,41976,29759,83,19316,13736,60,-8,111,0,-95,44,0,-6135,0,0,0.0494056
180613,94170,116,83766,42722,108,41138,21935,103,-12,102,0,35,88,0,184,444,0,0.0514642
70362,48453,88,44016,31536,82,16547,11539,56,-28,85,0,-41,36,0,-3245,0,0,0.0524934
53274,37386,91,36114,25756,79,11083,8336,46,48,93,0,25,41,0,66,386,0,0.054552
175813,96751,108,83486,45096,103,40768,21945,101,120,113,0,6,79,0,-446,278,0,0.0566106
182770,102374,113,125760,74533,107,59016,35237,102,-94,108,0,47,110,0,-372,269,0,0.0596984
191838,102068,108,104171,56293,106,40431,20919,100,78,137,0,-50,37,0,-2948,0,0,0.0596984
39762,27709,75,26858,19038,76,7755,5551,43,-7,180,0,-42,34,0,-656,165,0,0.061757
154407,102452,101,73183,49335,95,29912,19336,88,148,246,0,119,80,0,294,885,0,0.0679327
128828,73098,101,82524,46854,100,27866,16318,83,-15,122,0,35,76,0,-6500,0,0,0.0679327
70689,49028,86,52334,36438,85,18335,12324,57,-87,106,0,77,125,0,-4813,0,0,0.0679327
111859,68078,107,61952,36949,95,23981,14620,70,9,91,0,-89,87,0,-1732,166,0,0.068962
89184,54298,97,62304,38533,93,19580,11696,65,42,165,0,95,110,0,38,608,0,0.0730791
214637,103126,129,122733,63050,116,44528,22730,112,-308,21,0,43,83,0,-1380,334,0,0.0741084
61587,45017,81,39350,28028,81,17404,12226,56,39,87,0,-43,49,0,-373,148,0,0.0751377
115652,78675,89,47442,32607,88,21493,14306,66,92,130,0,90,99,0,-388,163,0,0.0771962
49168,35335,78,20822,15100,61,13621,9874,50,-91,76,0,-95,21,0,-241,299,0,0.0782255
143743,76618,110,90536,50230,102,37459,21113,97,184,103,0,-62,48,0,-49,244,0,0.0802841
172468,91313,109,118155,65662,107,35717,19234,102,-155,80,0,96,130,0,323,868,0,0.0813134
145447,89141,102,116260,73399,101,40942,25445,94,-6,114,0,13,85,0,-561,501,0,0.0833719
158518,95293,104,85427,49087,99,35433,20979,92,-120,112,0,-23,75,0,-7456,0,0,0.0833719
180664,107667,107,107449,61565,106,50053,28103,104,-92,91,0,-8,87,0,-1859,0,0,0.0854305
78727,52945,92,40591,26516,85,17125,11285,59,94,143,0,38,58,0,548,434,0,0.0874891
104382,63446,100,66842,40937,96,22344,13623,67,-55,123,0,34,47,0,1130,647,0,0.0895476
159511,94070,105,81054,50020,100,32827,19374,95,57,100,0,-37,55,0,328,337,0,0.0926355
159285,96446,114,83719,52753,98,36672,22958,96,9,142,0,37,103,0,-124,437,0,0.0936648
