"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
202210,105390,112,150347,76277,112,47704,23912,109,-87,130,0,86,113,0,-2593,41,0,0.000995669
105971,72861,96,57597,39140,89,21512,14590,63,222,205,0,-56,50,0,-3240,0,0,0.00199134
248700,148010,118,156924,92499,115,51344,30911,110,-219,19,0,-83,34,0,-6741,0,0,0.00199134
313745,151963,124,160503,76271,121,69643,31750,118,-187,72,0,-66,98,0,-18972,0,0,0.00199134
138058,92258,94,89232,60525,94,40008,25732,91,-152,85,0,-33,32,0,-20249,0,0,0.00199134
156955,88016,116,91541,51386,104,33989,18925,95,208,118,0,-58,28,0,-532,441,0,0.00398268
117713,77194,98,61806,39735,95,24844,16073,75,55,113,0,-52,74,0,-226,291,0,0.0129437
334743,161462,130,169424,83603,125,75195,35203,124,97,94,0,30,77,0,-408,363,0,0.0139394
199429,105076,112,127414,69723,110,40180,20718,106,48,171,0,-134,27,0,28,395,0,0.017922
211503,116625,109,184888,106704,108,50890,28456,104,-69,111,0,-39,45,0,-3929,20,0,0.0189177
497432,234716,167,577043,308496,166,217071,111350,161,-171,87,0,-13,135,0,-3163,0,0,0.0199134
112255,69025,98,62304,38172,92,25126,14890,72,-64,77,0,-67,66,0,-430,110,0,0.0298701
63105,46172,81,31812,22998,81,20888,14629,62,139,201,0,55,118,0,-953,171,0,0.0328571
61780,43740,86,22540,15974,65,11813,8022,50,61,120,0,-90,29,0,-253,200,0,0.0368397
227872,117581,115,139524,73751,114,48889,24864,109,24,146,0,-8,60,0,-1384,417,0,0.0368397
111436,69357,93,68569,41065,93,22609,13540,73,0,117,0,5,53,0,-623,291,0,0.0388311
77433,53423,87,61348,43602,86,29098,21157,75,-86,79,0,13,64,0,-306,302,0,0.0398268
67111,46960,78,45808,31993,84,16191,11110,55,-134,85,0,54,76,0,-548,122,0,0.0448051
166969,104068,100,73717,44398,100,34116,20780,95,24,87,0,-9,62,0,2,375,0,0.0487878
349356,182769,132,211638,112757,129,92242,50954,128,-90,85,0,-73,62,0,-1116,257,0,0.0497834
324041,151043,132,176245,81208,133,54073,26312,129,-78,107,0,-9,82,0,-1956,228,0,0.0507791
103805,71680,90,30007,21245,87,21893,14913,62,-121,18,0,78,63,0,-297,233,0,0.0577488
311692,143015,134,271606,125044,136,66001,31176,130,-31,135,0,-104,79,0,-509,417,0,0.0597401
140068,92264,97,137083,91852,96,43280,27567,93,-94,120,0,-27,66,0,19965,8607,105,0.0597401
201420,114254,112,123407,74982,107,49782,28709,104,-160,73,0,-184,28,0,-1167,301,0,0.0607358
102890,60483,107,97567,54369,99,10279,6155,54,27,46,0,-61,38,0,-6629,0,0,0.0617315
194495,120530,103,116949,73690,103,41081,25457,98,-360,49,0,-172,0,0,-3538,0,0,0.0617315
201256,117509,111,153451,93119,107,24871,14335,76,-57,59,0,-82,43,0,-839,162,0,0.0637228
249646,136464,119,164930,91723,116,59155,32296,112,109,133,0,13,75,0,-1429,88,0,0.0647185
336653,187176,131,382737,227293,126,127494,69630,122,156,172,0,46,87,0,188,440,0,0.0677055
334554,167610,139,245670,125213,137,89190,44345,132,-80,103,0,86,80,0,-2431,278,0,0.0687011
77714,55357,91,47456,33680,83,23478,16772,66,43,129,0,-45,41,0,250,574,0,0.0756708
260103,142401,118,83648,45084,114,34879,18377,107,75,90,0,47,93,0,-108,533,0,0.0776622
225947,121481,124,102988,56037,109,52975,27971,107,-51,133,0,64,94,0,-1292,99,0,0.0786578
120990,68549,112,74437,43695,98,26036,15467,80,103,128,0,-57,79,0,-902,98,0,0.0796535
137419,79341,105,174032,104942,103,48687,28208,98,61,103,0,13,36,0,23,474,0,0.0806492
107543,72002,103,67617,47133,89,23445,15868,66,134,133,0,110,78,0,-1714,118,0,0.0816448
94987,68418,88,39576,28467,85,22323,15624,63,-126,62,0,-63,53,0,-463,226,0,0.0876189
160817,89781,107,106269,60882,105,38261,21647,100,-106,46,0,-68,56,0,833,689,0,0.0906059
202986,109969,115,132324,73237,110,48897,25149,106,-28,92,0,-106,43,0,-454,331,0,0.0916015
95076,62760,92,76696,50078,93,31306,19546,89,-134,47,0,84,96,0,-148,320,0,0.0985712
307524,158130,125,282617,155381,123,69856,36591,117,56,218,0,36,70,0,-694,473,0,0.100563
212351,112488,115,117825,60765,114,63383,33599,110,-87,68,0,-117,33,0,-3146,0,0,0.101558
245442,128217,112,118161,61512,112,54883,28292,108,-20,117,0,-15,59,0,-907,0,0,0.104545
54342,40960,64,37895,27752,79,12198,8842,51,-51,83,0,-12,62,0,-11410,0,0,0.104545
181688,109017,116,131125,80623,106,53057,32696,102,-6,76,0,100,104,0,179,563,0,0.106537
236505,136751,115,146675,83247,114,53125,30826,110,62,77,0,-175,17,0,309,745,0,0.109524
151612,92092,106,101624,62329,101,46870,29035,98,-47,144,0,-4,68,0,-344,577,0,0.110519
434201,215779,160,448194,227759,161,145422,72941,157,-180,111,0,17,81,0,-103,549,0,0.116493
150453,86914,104,89400,50739,100,36151,19978,97,-103,123,0,-39,85,0,-511,139,0,0.121472
295304,141146,127,167121,84952,121,63721,29202,118,-115,52,0,26,71,0,-9180,0,0,0.121472
218421,118585,117,114651,60972,106,59070,31729,104,-252,1,0,-37,37,0,166,579,0,0.128441
170258,112207,100,165591,112453,98,63292,42698,95,-84,63,0,-52,47,0,-4588,0,0,0.129437
232262,125993,110,132644,72737,108,60631,33194,104,-137,98,0,49,91,0,652,1224,7,0.131428
47763,35144,78,36498,26556,78,15336,11200,54,24,145,0,30,64,0,-10974,0,0,0.131428
50353,35015,83,36663,26488,80,15055,10379,57,2,127,0,-30,42,0,-478,238,0,0.132424
136395,93323,95,67081,46051,94,33927,22307,91,-52,90,0,32,57,0,-598,225,0,0.13342
376316,164837,148,184441,82543,143,72103,30966,138,151,97,0,30,125,0,506,749,0,0.143376
91906,63930,86,49090,35056,85,23068,16560,65,-94,46,0,17,91,0,-464,168,0,0.144372
165701,91850,112,90903,51261,105,40936,23016,102,-4,92,0,-55,67,0,10557,4115,100,0.144372
115134,78489,93,59745,42409,88,29370,19799,82,7,112,0,-56,60,0,-5879,0,0,0.144372
103392,65113,94,131902,86563,95,48713,31256,92,-167,53,0,32,93,0,-585,283,0,0.151342
207046,118806,106,188961,109872,109,114387,64810,108,-27,95,0,-11,55,0,-205,477,0,0.153333
141878,100500,94,36298,25875,87,24210,16590,67,131,126,0,3,69,0,654,870,0,0.162294
166468,107628,99,95336,61648,97,41781,26774,94,-82,47,0,-73,35,0,268,505,0,0.164285
405256,217324,143,514200,266797,148,153342,80548,142,-36,124,0,-65,48,0,-583,626,0,0.168268
109530,68815,106,69476,42926,93,25060,15066,70,75,65,0,-31,47,0,432,404,0,0.171255
252549,132970,125,167624,90415,123,43916,22619,116,44,98,0,-10,87,0,-162,446,0,0.176233
110614,72055,100,75081,48179,94,22361,14322,68,47,208,0,100,80,0,-6573,0,0,0.177229
167932,94266,111,97402,55673,104,43053,23862,102,39,142,0,-35,66,0,-1085,82,0,0.178225
20478,15177,59,10662,7905,47,1531,974,0,52,152,0,-96,52,0,-652,356,0,0.17922
295462,148403,127,131666,64498,121,53163,26700,120,-71,134,0,116,117,0,647,593,0,0.18619
168707,111603,101,119292,79963,101,26374,17090,72,-47,82,0,100,80,0,-2944,29,0,0.19316
166130,97221,109,100179,57779,101,34318,20078,97,104,108,0,36,69,0,-408,413,0,0.195151
88839,61474,88,51962,36593,86,26756,18729,72,-18,123,0,0,84,0,-295,284,0,0.202121
211207,115870,110,125083,67754,110,36843,20381,103,-9,79,0,58,78,0,18,266,0,0.204112
38609,27444,82,32286,23371,77,13572,9253,55,31,106,0,-5,47,0,357,524,0,0.208095
