"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","YL2-A","YL2-H","YL2-W","Time"
41540,41722,68,12886,12876,39,212,212,0,405,432,0,860,1011,2,101763,96315,75,0.00127226
335287,246446,140,176786,136557,124,4965,3997,33,4543,3157,36,9551,7417,46,926840,701892,140,0.00127226
162657,131731,87,68213,56125,83,2414,1889,24,1948,1509,17,3361,2654,31,289441,229792,90,0.00254453
129840,118242,79,65736,57968,79,1542,1269,13,1175,1067,6,2368,2052,23,253962,226598,86,0.00254453
104013,93862,77,39107,35143,75,932,932,0,1136,958,0,2396,2181,23,211369,183345,82,0.00254453
187699,148084,88,72982,58619,86,2291,1907,24,2264,1686,21,4207,3299,34,385392,295525,94,0.00381679
114015,101882,83,45222,40286,78,927,930,0,1180,1080,6,2809,2562,26,337462,295057,86,0.00508906
224317,169721,96,97029,75133,94,2527,1974,23,2764,2264,28,6991,4980,44,868889,648021,102,0.00508906
84022,76214,75,35731,32102,74,935,823,0,814,595,0,1674,1434,17,179576,156949,81,0.00508906
141843,130793,80,45854,41332,78,1710,1651,16,2006,1738,20,4011,3574,31,356043,326069,85,0.00508906
162016,140080,89,71631,60222,84,1285,1145,10,1955,1507,18,4425,3592,35,587671,497188,92,0.00636132
305490,217902,111,103866,73091,105,3112,2370,29,4100,2867,34,8071,5702,44,768400,547386,116,0.00636132
70980,67123,72,29502,28125,64,614,620,0,783,706,0,1590,1452,15,154057,144926,78,0.00636132
173458,148760,86,87877,75648,86,2103,1895,19,1785,1368,19,3497,3013,30,352618,300606,93,0.00636132
162666,145438,99,84511,71822,99,1974,1814,18,2399,2221,23,5873,5017,38,805587,719674,99,0.00636132
111527,108880,85,43929,43362,74,1292,1253,13,1673,1676,18,4050,4001,29,507674,484296,84,0.00763359
150354,125156,87,67628,55775,83,1655,1460,14,1601,1202,14,3394,2742,29,338960,285611,90,0.00763359
83066,82771,77,24177,23680,47,1168,1075,7,1208,972,0,2182,2108,21,201484,190941,80,0.00763359
343321,222756,124,116401,74681,120,3484,2288,31,3846,2426,35,8417,5565,47,718052,467712,127,0.00890585
196723,158095,89,66591,53700,86,2294,1847,22,1661,1384,18,3962,3211,33,334931,263344,93,0.00890585
57859,57014,68,26684,25575,57,595,525,0,696,475,0,1367,1255,12,123841,116464,75,0.00890585
124630,111828,86,44964,40502,78,1584,1515,15,1459,1341,11,3208,2895,27,314183,283069,86,0.0101781
95621,86662,87,38459,34710,75,1249,1086,7,822,763,0,1734,1614,18,177986,158871,82,0.0101781
105090,94889,79,42155,39170,75,740,671,0,1083,921,0,2539,2251,23,306784,277054,86,0.0114504
120088,103741,80,55439,47565,79,1327,1138,10,1419,909,0,2107,1823,22,212381,176107,86,0.0114504
92981,82849,78,41654,36402,76,1034,893,0,966,844,0,1924,1741,21,203810,179425,86,0.0114504
299961,232277,101,127066,101045,96,5187,4421,34,5118,3933,38,11600,9514,50,1.04182e+06,853383,103,0.0114504
114051,89954,100,46027,34730,100,1398,1052,5,1256,1036,5,2658,1713,24,292569,202231,100,0.0114504
120319,108658,78,49306,43517,77,1467,1275,14,1254,927,0,2715,2344,26,235970,208429,85,0.0127226
201430,159053,93,96033,76945,87,2318,1832,22,2889,1946,30,6131,4807,40,787233,626266,97,0.0127226
84389,74313,84,34721,30777,74,1249,1193,9,740,706,0,1940,1656,20,169548,149694,81,0.0139949
170128,135359,86,61583,49030,83,1912,1543,20,1773,1557,19,3562,2869,30,330877,257067,93,0.0139949
151423,136987,82,80818,74903,80,2102,1852,20,1856,1532,19,3547,3200,30,332430,298000,86,0.0139949
113399,93019,83,43905,36983,79,1411,1022,8,1104,885,0,2323,2007,24,220500,179226,86,0.0139949
102281,86416,79,40478,34683,77,1196,1073,6,1241,931,0,2525,1852,26,218780,183227,85,0.0139949
173123,138876,88,69702,55332,85,1956,1634,19,1828,1411,18,3750,2840,34,325457,255040,92,0.0152672
129919,107914,81,52046,42427,80,1896,1463,16,1561,1209,15,3286,2562,30,272551,219908,87,0.0152672
100803,89763,78,39103,34650,74,1040,994,0,1490,1239,11,2414,2117,24,211610,180387,82,0.0152672
356529,255357,116,124066,89513,114,5463,4047,36,5867,4306,40,11259,8816,48,1.01167e+06,783690,120,0.0152672
164569,134786,84,55849,45393,82,1410,1271,14,1214,1112,7,3068,2550,29,311755,247287,89,0.0152672
85401,80920,76,34397,32269,72,976,914,0,969,802,0,1816,1776,19,181352,169105,80,0.0165394
107987,102345,85,44529,42806,74,1217,1330,13,859,967,0,2052,1906,20,193450,185296,82,0.0165394
119638,113036,79,43728,40285,76,1382,1348,12,1382,1256,12,2839,2606,25,236492,216653,84,0.0165394
150878,124021,88,59827,50039,82,1663,1242,13,1732,1185,15,2949,2444,27,283988,232004,90,0.0178117
147766,140721,82,46253,45153,77,1579,1717,16,1635,1572,16,2999,2924,25,313255,284000,87,0.0178117
190467,146844,99,83316,66360,91,2189,1933,22,1664,1329,19,3672,2762,32,344326,262780,98,0.0178117
65274,65847,69,22756,23144,47,876,934,0,696,597,0,1502,1590,16,155554,155344,74,0.0178117
49102,47574,71,15171,15320,41,483,465,0,180,183,0,884,950,0,108678,106502,76,0.0178117
68383,69561,71,23501,23451,51,727,611,0,709,657,0,1247,1135,9,127645,123789,75,0.019084
301374,199050,116,111609,76002,108,3684,2464,33,3085,2024,31,7228,4713,44,634487,422603,115,0.019084
78183,71418,77,30611,28352,73,1173,946,0,794,760,0,1624,1527,17,173684,156062,80,0.019084
46977,48559,64,22161,21551,50,532,411,0,571,534,0,885,933,0,99889,95822,73,0.019084
209846,181019,86,98009,85012,86,3136,2675,26,3941,3175,31,7185,6448,39,607136,540334,93,0.0203562
82589,73450,80,32441,28614,75,1099,1053,5,781,799,0,1860,1642,19,162593,140898,81,0.0216285
256419,188362,105,129198,101384,99,4281,3307,32,3938,3028,32,7202,5610,43,661427,501641,107,0.0216285
91295,85037,82,34129,31622,72,907,786,0,999,812,0,2093,1944,22,189379,176649,79,0.0216285
172178,160913,84,83492,77274,83,2085,2012,19,2378,2411,22,6458,5948,36,855768,785144,90,0.0216285
100492,100969,74,42235,42421,71,1076,962,0,1044,1084,7,2620,2518,23,379453,365914,78,0.0216285
57510,59127,67,35375,36127,68,513,411,0,571,489,0,1232,1235,11,151414,148644,74,0.0229008
84788,86519,72,25549,25142,59,711,685,0,881,821,0,2592,2507,23,268640,253793,78,0.0229008
61195,58558,71,25489,23695,63,916,658,0,467,572,0,1188,1189,10,138124,128104,77,0.024173
235336,188806,102,90051,73005,94,1902,1543,19,2732,2188,27,6432,5150,39,830346,679685,102,0.024173
27022,26612,75,14899,15317,40,407,402,0,421,406,0,684,688,0,74575,74714,63,0.024173
173404,147212,102,73895,64090,83,1700,1475,16,1333,1249,13,3135,2720,27,291959,254270,89,0.0254453
147374,125059,84,54166,45989,80,1227,1169,10,1204,950,0,2981,2473,27,287588,248916,86,0.0254453
229975,177334,93,62286,48663,88,3017,2016,28,2728,1851,26,4795,3684,36,447903,349588,97,0.0254453
133128,128954,78,57647,56652,76,1162,1135,9,1462,1499,15,3690,3449,29,497198,463260,84,0.0254453
107935,104977,77,53409,52568,74,1382,1173,10,1594,1479,16,3382,3469,26,461612,441252,83,0.0267176
101388,99079,76,37274,36286,73,1483,1425,11,1436,1373,12,3250,3059,27,413849,401006,82,0.0267176
81554,80600,78,39476,39376,71,1020,905,0,961,833,0,1911,1938,19,242165,235276,79,0.0267176
41373,42622,66,12162,12247,39,357,400,0,477,502,0,792,865,0,79932,79749,69,0.0279898
110587,107030,84,34610,33828,72,1433,1398,14,1530,1384,14,3282,3183,27,475290,461229,83,0.0279898
92118,89306,75,36580,35544,72,885,963,0,971,964,0,1787,1754,17,157483,151438,79,0.0292621
119768,101281,80,49091,41776,79,1420,1191,14,1338,943,0,2520,2057,26,249134,207913,87,0.0292621
82059,74658,76,31680,28609,71,870,824,0,941,898,0,1969,1978,19,169756,150420,78,0.0292621
84228,79785,73,36140,33645,73,1034,943,0,803,773,0,1933,1628,19,181538,162479,79,0.0292621
338944,263822,113,196087,155402,111,5901,4954,35,8629,6968,45,14840,11729,55,1.04858e+06,959026,118,0.0292621
107074,99836,80,38063,34968,76,1327,1335,14,1404,1147,10,2720,2327,25,240149,213805,83,0.0305344
72393,73692,72,18396,18432,44,632,661,0,623,560,0,1222,1202,10,136629,130057,87,0.0305344
54135,55567,60,24849,24254,48,405,360,0,642,652,0,1119,1085,7,132640,127781,73,0.0305344
185774,164884,83,65514,57838,81,2371,2148,23,2545,2197,26,6060,5294,37,807398,702961,88,0.0305344
128544,105116,89,44045,36897,79,1483,1224,11,1560,1065,9,2707,2257,26,245915,206448,88,0.0318066
80195,79670,72,26611,25763,60,1149,1103,7,713,880,0,1658,1548,15,156363,150012,77,0.0318066
203169,155504,93,63166,47681,88,2406,1967,24,2340,1942,24,4263,3248,34,394853,306313,93,0.0318066
73938,72471,76,25115,24677,53,1052,1099,7,511,683,0,1748,1757,17,140614,138469,76,0.0318066
52244,53928,66,18244,18498,47,537,443,0,636,610,0,1001,998,0,113902,111789,70,0.0343511
144865,122113,85,61041,51359,83,1601,1111,15,1275,1077,10,3444,2852,29,259355,209247,90,0.0343511
67201,59938,77,29808,26953,71,686,749,0,556,537,0,1430,1295,13,143302,129934,78,0.0356234
196747,154254,90,80176,62525,88,2618,1921,24,2277,1881,24,5189,4339,35,520419,410176,95,0.0356234
232736,174912,102,70441,52547,89,3094,2331,28,2405,1674,25,4884,3755,37,438852,332068,95,0.0356234
311762,210903,112,130753,92281,108,4814,3534,34,6453,4783,40,11954,8957,52,1.01526e+06,750874,115,0.0356234
201039,165987,99,53090,41942,85,2178,1767,22,1787,1355,16,3841,3277,31,340337,292820,91,0.0368957
62748,60408,79,17312,17318,44,600,599,0,726,824,0,1525,1404,14,119022,113594,74,0.0368957
157572,130529,89,52697,43435,81,1450,1059,10,1518,1122,14,3309,2684,30,286265,233609,88,0.0368957
123418,105425,82,40821,34529,78,1350,1081,10,1513,1164,12,2241,1814,23,243070,201667,85,0.0368957
88396,84909,75,31471,28879,72,1034,1046,4,1044,992,0,2049,1859,21,188921,176451,78,0.0381679
62827,61380,73,27445,27551,69,802,772,0,694,583,0,1061,1073,7,125259,123219,73,0.0381679
89098,86105,74,30998,29496,72,1350,1232,11,923,932,0,2151,2160,21,194324,187228,78,0.0381679
125940,111871,85,58686,52424,81,1825,1608,16,1071,948,0,2951,2627,26,282986,246845,88,0.0394402
80697,72902,75,34168,30725,74,1249,974,0,802,715,0,1754,1668,18,167200,152673,79,0.0394402
124662,109715,82,50523,43407,80,1649,1228,14,1401,1280,13,3087,2795,28,262977,222096,85,0.0407125
119559,104678,87,54603,48588,79,1521,1423,14,1582,1052,7,2747,2386,27,226969,196525,85,0.0419847
140818,110951,95,56883,45699,84,1805,1415,17,1479,1119,10,3009,2254,28,254776,191248,101,0.0419847
142706,130276,83,57142,51160,78,1620,1520,15,2086,1789,20,5143,4821,34,654525,592190,90,0.0419847
82153,78822,78,30963,29355,72,946,952,0,810,913,0,1714,1603,17,161868,148612,80,0.043257
154565,131251,84,54122,44439,81,1530,1358,15,1774,1258,15,3039,2682,27,314043,273620,88,0.043257
26458,20700,73,18660,16586,76,409,283,0,425,319,0,853,750,0,95261,82255,76,0.043257
196202,163587,91,94784,80582,86,2162,1762,22,2825,2217,26,5972,5236,36,807921,687374,95,0.0445293
120171,104357,83,47816,41566,79,1421,1285,12,1004,1020,4,2188,1734,22,217352,181285,87,0.0458015
237088,182423,97,73858,57862,90,3400,2738,29,2977,2106,29,6286,4967,40,574010,440959,96,0.0458015
63681,62335,72,21530,21387,49,839,707,0,737,728,0,1247,1337,13,134415,130741,77,0.0470738
186150,153366,88,80489,66174,86,1647,1473,15,2438,1975,24,4729,3993,34,631079,516428,96,0.0470738
220775,181069,88,84847,70531,87,2694,2140,26,3132,2424,28,6235,5337,38,652056,534959,96,0.0483461
113709,110446,80,30320,29713,71,935,1098,5,1304,1284,13,3428,3579,26,471541,445438,84,0.0496183
235138,180447,93,108644,83755,92,2564,1818,26,2923,2066,29,7455,5710,43,881710,682864,101,0.0508906
202602,153870,102,82867,63070,91,2665,1933,26,2601,1862,27,4775,3486,36,448572,317554,107,0.0508906
319230,209344,111,104165,70140,107,3705,2531,33,3774,2430,36,8512,5764,48,746425,480761,115,0.0534351
153283,126202,84,50910,41144,82,2125,1742,22,1756,1329,19,3809,2944,33,319075,247362,91,0.0534351
141015,124444,81,46519,40078,79,2224,1723,23,1431,1316,13,2969,2379,27,261894,221030,87,0.0534351
215631,168696,94,87526,68223,89,2423,2199,22,2653,2219,26,7623,5945,43,889968,693880,100,0.0547074
107032,93722,84,42062,36518,77,1069,801,0,1195,1134,8,2278,2014,23,197107,171971,81,0.0547074
173135,137211,86,65167,51424,85,2049,1764,19,2000,1473,18,3690,2840,32,343794,270953,93,0.0547074
241162,193611,99,107473,86565,92,4094,3259,30,4169,3171,32,8658,7008,44,1.04522e+06,821669,109,0.0559796
58068,57274,79,18543,18562,46,979,695,0,513,591,0,1124,1036,6,113853,107015,76,0.0585242
71991,68003,80,26322,23885,73,1043,788,0,741,748,0,1556,1249,13,134535,126861,78,0.0585242
171337,132427,92,59916,47224,84,2027,1563,21,1849,1310,17,3928,3200,32,333748,262315,91,0.0585242
116215,97893,82,50496,42942,79,1212,932,0,1149,726,0,1970,1632,21,209111,171846,86,0.0597964
80440,79235,73,20098,20275,47,912,1022,3,786,639,0,1900,1975,20,180842,172463,79,0.0597964
31762,31857,63,7283,7529,33,310,409,0,213,270,0,613,671,0,81615,82460,69,0.0610687
48643,49552,69,16515,16547,42,505,555,0,652,728,0,1032,1030,4,101220,98984,72,0.0610687
129222,108862,82,45289,38107,78,1668,1409,15,1781,1334,15,3068,2425,29,260100,214279,88,0.0610687
183910,132191,101,73518,54945,95,2034,1530,17,1983,1426,16,3942,2605,40,381001,241571,103,0.0610687
152260,118586,102,54098,41088,102,1477,1175,11,1499,975,0,2981,2353,26,282479,208664,102,0.0610687
59150,60908,56,17567,17895,42,731,633,0,654,500,0,1307,1394,14,127364,122581,73,0.0610687
64275,65943,70,35359,35306,69,713,770,0,767,680,0,1598,1710,16,126769,119289,75,0.062341
170295,135923,91,69122,57353,84,1553,1246,13,1576,1143,13,3331,2574,31,360086,284374,90,0.062341
58490,58957,70,13813,14018,40,523,458,0,656,598,0,1351,1327,11,125370,123249,73,0.062341
118902,104420,86,45676,39087,79,1599,1258,11,1356,1191,12,2887,2484,28,295701,254503,85,0.0636132
70779,71883,70,27159,26939,57,1198,1083,6,950,911,0,1679,1601,17,143561,138968,76,0.0636132
76912,73149,88,30059,27731,72,886,756,0,1057,924,0,1386,1401,15,152119,140473,85,0.0648855
209113,162010,105,96514,74742,88,2504,2012,24,2902,2067,28,5605,4105,40,655413,514760,96,0.0648855
317120,236717,114,151640,118474,110,5148,3895,33,5020,3889,37,9895,8005,46,754168,605998,118,0.0661578
56074,58644,57,18435,19053,43,285,352,0,602,526,0,1076,1060,6,127100,126082,78,0.0661578
161062,145946,88,69200,63267,79,1950,1735,19,2436,2175,23,5202,4953,34,669878,609503,88,0.0661578
130908,109873,82,56068,46512,80,1672,1359,19,1042,1056,6,2423,2129,24,253753,204002,89,0.06743
