"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
178240,132644,101,65297,48630,96,2462,1873,28,3555,2416,40,5804,4487,46,11216,8284,65,219891,169609,113,0.0218605
82122,81769,77,28652,28528,76,1319,1139,11,1838,1457,16,2864,3075,29,6084,6201,41,108859,108573,90,0.0530898
137229,129885,86,38957,36371,83,2097,1936,22,2261,2286,27,4851,4569,39,9432,9195,53,162002,150930,101,0.0718274
277207,212071,121,131375,101215,120,4571,3129,37,5617,4150,45,12564,10247,61,22335,17970,83,407406,330339,132,0.0811962
119087,105957,88,53606,48506,86,1421,1422,18,2181,1728,22,4266,3937,37,7682,6952,47,153809,142671,99,0.119712
160689,125167,94,62869,48689,93,2171,1623,27,2821,2115,29,5817,4704,48,11791,10143,56,203987,163129,106,0.208195
153907,126758,93,59291,49890,92,2176,1805,27,3152,2467,27,5228,4432,42,9428,8461,51,156771,135059,105,0.222769
301110,188263,126,88187,52527,123,4031,2651,40,5742,3717,51,11703,7559,66,22538,14716,91,408438,268309,140,0.265449
119393,105945,86,39037,34444,85,2416,1748,25,2647,1892,27,4249,3757,38,6981,6561,46,143906,129742,98,0.267531
206582,164015,101,70956,56649,99,2719,2012,31,3000,2713,35,6986,5837,47,13908,11406,68,240747,208344,112,0.277941
160730,125945,109,50270,38976,91,1963,1519,23,2970,1918,34,5339,4288,45,9736,7398,56,174771,143709,107,0.296678
147518,115782,109,52423,41486,92,2167,1749,26,2548,1888,33,4823,3902,41,8566,6837,58,170560,139268,105,0.325826
157295,126699,96,51583,41415,92,1917,1382,22,2236,1968,31,4744,4055,43,9473,7453,57,168421,139781,105,0.334154
101339,97234,85,24499,23822,67,1340,1201,13,1327,1378,14,3758,3513,38,5869,5557,41,109627,104985,95,0.348727
90508,88239,84,24799,24464,71,1636,1552,19,1817,1552,23,3150,2963,32,7130,6455,43,110339,106598,93,0.376834
181957,163970,93,130632,118351,93,3599,3169,33,5120,4214,42,9188,8452,51,18306,16345,77,372772,325744,108,0.387243
