"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
124825,115604,100,71667,67688,85,1784,1622,22,3454,3446,35,7312,6739,46,11442,10082,64,237774,224999,102,0.0110512
112032,100959,86,35062,31690,82,1484,1438,15,2897,2562,28,4777,4482,40,8218,7146,53,167477,150054,101,0.0110512
237574,192136,103,126255,109744,101,4125,3792,34,8244,7475,50,17831,15341,70,28544,24518,102,602527,534719,118,0.0120558
271795,210703,112,151617,119547,108,5826,4420,43,9984,8204,57,22270,18195,89,34473,26968,111,761331,599690,126,0.0120558
149506,139630,98,59855,56602,85,2486,2164,27,4045,4064,36,9447,8904,55,15126,14097,69,315206,287545,103,0.0140651
34153,33029,77,15085,15183,48,473,504,0,547,550,0,1614,1587,20,2688,2521,29,62251,61871,83,0.020093
92873,90324,83,40527,39964,78,1035,1247,9,2195,1971,24,4677,4706,37,7007,6138,45,153962,148177,96,0.0210977
102995,99137,85,45341,44140,81,2091,1990,23,4061,3807,36,8060,7995,47,13426,12730,64,264086,257780,98,0.0281302
43259,43236,70,18377,18314,53,494,378,0,741,824,0,1959,2197,23,3514,3478,30,64175,62385,86,0.0321488
135256,126345,88,60890,58512,86,2294,2392,23,4531,4250,37,8798,8472,50,14597,12842,68,302730,285126,103,0.0411907
84666,82879,80,36960,36945,78,1088,1099,7,2576,2330,31,4779,4701,37,8617,8796,48,178656,174138,95,0.0452093
206964,171306,102,96083,81996,97,3443,3034,33,7021,6115,50,14309,13051,63,23545,21291,100,502935,431420,115,0.0492279
175964,143598,98,67604,55587,96,2476,2071,29,4675,4091,41,9879,8244,58,15666,12997,69,350266,299977,114,0.0532465
86534,83515,78,26893,25856,76,1433,1131,12,2512,2375,25,5520,5257,43,9535,8982,55,194795,185849,94,0.0552558
87831,84416,80,26652,26092,77,1057,1011,2,2399,2175,23,4360,4528,35,8805,8166,48,164726,159701,96,0.0572651
89538,89308,80,17458,17168,52,1090,1138,10,2633,2304,32,5622,5702,39,9802,8895,63,194616,182739,95,0.0572651
120327,113506,88,52460,49087,84,1693,1361,19,4106,3364,39,7242,6919,46,13002,12282,70,258370,243409,100,0.0582697
79302,76425,94,26937,26398,76,965,917,0,1393,1771,18,4398,4179,37,7370,7513,44,155489,149943,94,0.0773581
95602,85293,89,42246,37264,81,1064,1106,8,2378,2064,24,5410,4627,41,8477,7954,51,189847,173812,98,0.0813767
92457,84849,83,37257,33935,81,1567,1355,15,2604,2279,29,5231,5207,40,9399,8640,54,198120,183586,98,0.0813767
128327,114185,92,54801,49215,86,1659,1459,16,3102,2382,37,6596,6022,48,10726,9360,62,219861,190447,95,0.0884092
164723,145094,96,68098,61288,89,2268,2118,24,4076,3733,37,9257,9082,50,16023,14162,71,339115,320542,104,0.0974511
92712,90499,79,29938,29426,77,1069,1208,10,2256,2552,25,5563,5454,41,8174,7704,54,188295,183462,96,0.104484
172271,153852,96,89127,81765,90,2936,2739,30,5875,5330,50,11580,10705,56,18348,16434,81,411165,353604,108,0.110512
115459,103630,101,44515,39855,84,2019,1731,23,4031,3753,33,8030,7549,45,14446,13181,64,281167,261321,103,0.113525
116744,106890,89,40603,36774,85,1780,1674,20,3482,3182,32,6585,6654,42,10968,10629,54,248018,242489,101,0.120558
103792,93013,88,37754,34476,83,2025,1706,23,3096,2913,31,6777,6490,45,11110,10142,66,234317,226190,100,0.131609
99421,95666,85,33772,31612,81,1473,1521,17,2240,2131,25,5816,5696,42,9586,9095,53,209262,201485,97,0.132614
109136,107207,83,47383,46683,79,1500,1433,14,2694,2539,30,5704,5419,43,10054,9404,60,200948,188456,97,0.139646
152449,129728,92,67754,58132,91,1841,1733,22,4093,3768,41,8421,7547,50,13701,11452,81,276451,251629,103,0.150698
112044,106017,84,37332,35489,80,1215,1297,14,3515,3857,32,5675,5800,41,8423,8161,49,193954,179775,97,0.152707
146380,124896,90,56376,47408,90,2007,1631,20,3184,3048,34,7337,6381,48,11507,9625,65,246640,212656,106,0.15773
90088,84336,86,28817,27859,77,1957,1785,22,3679,3329,32,7308,6974,46,12413,12091,57,264290,251400,96,0.15773
96602,93223,97,34310,33110,79,1433,1556,16,2196,2248,27,5684,5453,41,8387,8297,48,183105,176276,97,0.159739
97400,92123,82,33883,32920,79,1207,1347,14,2354,2429,25,5283,5110,42,8617,8264,55,191105,181351,96,0.167777
89753,84344,86,23409,22226,67,1375,1296,14,2987,2969,29,6365,6337,43,10553,10198,54,227566,214954,93,0.168781
115897,102113,96,50837,45553,85,1872,1713,20,3444,3298,33,6688,6349,45,11745,10146,59,248707,224780,102,0.179832
149594,122643,103,51777,42046,90,1946,1188,20,3365,2851,36,6428,5349,50,10516,9134,62,240513,203977,106,0.182846
108146,104636,84,38711,37457,80,1224,1286,12,2504,2355,24,5835,5427,42,8948,9169,46,185584,180889,95,0.189879
91472,86781,81,30748,29029,81,1481,1446,17,3088,3187,29,5995,5923,44,10777,10444,56,227908,222070,96,0.199925
105459,100819,87,41785,40172,80,1287,1350,14,2942,2294,31,6099,6177,39,9673,9815,58,201622,190761,98,0.199925
93866,89905,85,26873,26582,78,1179,1234,10,2349,2090,28,5468,5263,41,8917,8881,57,187309,180379,97,0.20093
115038,105247,87,50468,46467,85,1974,1702,22,2956,2828,33,7168,6722,46,11839,11618,56,237798,224149,101,0.202939
77007,75809,80,27301,26970,77,1136,1128,8,1921,1831,21,4328,4117,36,8114,7919,52,162212,152523,93,0.221023
80707,79114,78,19920,19891,58,922,960,0,1950,2051,21,4301,4555,34,6725,6761,43,146810,139305,94,0.223032
189887,154132,96,87585,72206,94,2647,2139,29,5766,4422,51,11571,9650,62,19165,16203,79,400702,338879,111,0.223032
167726,139247,94,51925,42899,91,1929,1668,21,3982,3302,39,9007,8119,50,14582,12431,70,319522,285246,108,0.226046
103141,101883,80,44865,43388,81,1547,1537,18,2195,2066,25,4850,4633,36,8626,8377,53,188357,183087,98,0.226046
91534,86836,84,36307,34865,80,1207,960,0,2253,1830,25,4896,4726,41,8809,7700,50,183530,184249,97,0.226046
143828,117295,93,56439,45312,92,2322,2023,26,4280,3465,41,9301,7513,55,15834,12572,74,314317,260401,108,0.239107
145314,131239,88,66406,60444,86,2478,2180,26,3913,3988,36,8659,7717,52,14616,13041,80,292444,279499,103,0.251163
