"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
196305,149081,103,81947,62934,99,3070,2485,31,2896,2342,36,7979,6174,54,19494,15056,80,402292,331204,116,0.0230191
86863,85537,79,21332,21185,61,1576,1274,18,1330,1122,10,3332,3341,31,8317,7767,54,163636,163833,94,0.0280232
165666,141914,91,84805,74287,91,2472,2020,26,2972,2678,31,7198,6423,48,17375,15560,74,349499,317757,108,0.0330274
83844,79702,89,28885,28102,77,1598,1828,18,2001,1783,24,4255,4381,36,11367,11831,59,209236,198948,95,0.0480398
147922,124880,99,67675,54830,91,2536,1955,28,2170,2099,26,5024,4236,42,12677,10212,67,257898,222686,106,0.0490406
108587,94085,89,38968,33410,84,1605,1423,18,1724,1361,22,4123,3634,36,10709,9782,55,205455,190892,102,0.0560464
108962,99331,88,37980,35226,83,1207,1216,11,1407,1462,18,3592,3290,34,9410,8889,57,197770,188070,100,0.0610506
89892,85542,81,34027,33056,78,1286,1344,13,1119,1165,10,3204,2991,31,8189,8592,49,168399,164055,96,0.0650539
109445,104114,84,71928,70254,82,1779,1791,20,1918,1765,22,4198,4249,36,11398,10786,57,224857,211334,99,0.0720597
83402,82145,80,22484,22131,65,1511,1512,18,1382,1214,15,3510,3345,32,9791,8901,59,184194,173864,94,0.0950788
144699,132218,90,51046,46840,86,3156,2686,28,3131,2882,32,7276,6545,48,18575,17255,81,354490,342069,104,0.0960796
117022,107447,86,68199,63763,84,2566,2449,26,2549,2343,26,5731,5139,42,14112,13186,62,298461,268747,102,0.117097
216462,178096,110,88187,73793,98,4634,3903,36,4468,4036,37,12298,10688,63,30908,25746,105,591176,513168,116,0.118098
85742,83376,80,34235,32682,79,1736,1788,20,1155,1078,7,3491,3113,33,8115,7303,54,177599,167443,94,0.126104
115111,97029,88,49641,42783,87,1653,1239,20,1980,1625,25,4810,4060,40,12748,10725,66,234028,206941,103,0.134111
95047,92006,82,47506,46950,80,2334,2178,25,2482,2480,26,5220,4901,38,14768,14383,67,282976,262405,97,0.166138
152372,123802,106,56274,46822,92,2844,2282,30,2528,2196,28,6711,5433,51,16925,14083,70,321123,269649,110,0.180149
138483,129611,88,50172,47418,87,2427,2166,24,2652,2610,29,6084,5899,43,15727,14362,71,302345,279189,105,0.20517
85493,83956,84,42319,42419,79,1414,1437,15,1326,1423,18,3665,3621,33,9151,8984,50,167977,161941,95,0.211175
196089,157618,99,78062,63854,96,2857,2244,32,3186,2403,32,7110,5989,44,17713,14656,75,346905,304965,114,0.225187
107601,101775,84,48376,45978,82,1457,1383,18,1842,1866,21,4154,4094,37,10575,10060,57,205019,198242,98,0.234194
215997,173065,109,140286,121349,101,3503,2919,33,3823,3159,36,8603,7290,57,20753,17569,81,425560,374535,116,0.251208
89297,83828,85,30814,27389,82,1333,1275,14,1055,1096,7,3554,3383,34,8926,8220,52,166166,157342,98,0.264219
90809,87635,80,28816,28019,78,1778,1616,19,1594,1581,19,4166,4226,35,9852,9947,53,195966,189321,96,0.279231
107226,102246,97,48016,46973,80,1880,1802,21,1853,1861,21,4637,4021,41,12860,12154,68,241608,222269,98,0.281233
95941,91778,84,62034,60582,81,1859,1858,21,2288,1865,27,5037,4827,39,12707,12886,60,248267,239025,97,0.286237
200060,150947,103,78367,58771,100,3435,2647,33,3138,2360,33,8179,6467,57,19815,15393,85,405018,325871,117,0.293243
180917,132486,108,65618,48636,98,3056,2242,35,3043,2255,36,7911,5793,53,20225,15380,95,384412,296434,115,0.319265
86030,82967,88,21273,21246,60,1186,945,0,1230,1223,13,2997,2881,29,8232,7955,48,151327,146880,96,0.32527
90252,85085,84,26740,25694,79,1663,1452,19,1425,1523,15,3955,3870,35,10451,10675,53,203505,194817,97,0.327271
131929,115422,92,54496,46971,87,2035,1552,25,2110,1848,27,5082,4154,40,14428,12774,69,267874,245103,104,0.356295
101047,94918,88,35678,34239,80,2237,2302,21,1888,1953,24,4433,4510,35,13910,13420,66,256291,246871,98,0.38632
85379,82458,79,35064,33957,77,1255,1192,14,1439,1306,15,3094,3223,30,9687,9072,53,183582,179237,95,0.389323
120474,105488,90,54010,47909,86,1840,1441,22,1815,1528,23,4603,4274,39,11908,11052,58,229573,213919,102,0.390323
115516,102874,85,53422,47214,85,1530,1329,16,1607,1293,14,3639,3703,33,9812,8837,54,191904,176049,102,0.394327
165863,147524,108,96478,88704,90,3859,3588,33,4073,3655,36,9676,8872,52,24371,22036,94,463341,412570,108,0.405336
121237,110485,92,46353,42337,84,1830,1567,21,1661,1484,20,4090,3733,36,10988,10151,62,195402,177233,101,0.411341
85736,81694,82,38422,37891,79,1535,1379,17,1171,1221,12,3348,3072,31,7875,7671,46,162531,155568,96,0.425352
135853,118365,101,55749,49326,88,2179,2104,23,2591,2340,27,5580,5230,40,15120,14262,70,283161,262822,104,0.432358
85591,82217,82,30566,29682,78,1439,1270,14,1137,1065,6,3655,3415,32,8048,8095,44,178213,170395,95,0.444368
177525,150342,108,81637,70861,93,3676,3126,34,3462,3097,34,8381,7653,50,21348,18649,82,428219,396821,111,0.449372
84809,80618,81,44702,43162,80,1900,1979,20,1708,1782,21,4493,4384,38,12746,11852,61,224291,211910,96,0.455377
129979,123440,87,61142,59671,83,2807,2438,28,2104,2055,25,5720,5128,43,13868,12705,73,266518,239795,101,0.467387
81918,80538,79,31687,31380,79,1599,1501,18,1452,1535,16,4446,4160,37,11121,11025,60,204479,192867,95,0.475394
55065,51888,76,23794,23413,69,448,372,0,533,631,0,459,425,0,525,447,0,434,512,0,0.483401
262903,206253,119,122512,95757,106,4406,3436,38,4457,4084,38,12145,10325,64,29673,26001,105,588596,524338,123,0.484401
92896,90249,83,28179,27467,78,2027,1858,22,1805,1721,20,4861,4617,38,12462,12309,66,240931,231751,97,0.484401
167900,143671,95,69853,61145,94,2415,2076,26,3120,2853,30,7455,6593,49,19585,17091,84,372155,337275,111,0.492408
104049,95547,83,38990,35950,80,2093,1820,21,1798,1789,20,4305,4074,37,11884,11337,55,218080,203944,98,0.493409
115176,107817,93,50599,47505,83,2287,2043,24,2682,2620,28,6838,6658,43,15506,15486,65,329564,313638,100,0.502416
102182,96462,92,39746,38433,80,1593,1620,19,1997,1713,24,3845,3802,35,10677,10222,59,194401,185189,97,0.514426
99799,95483,84,39303,36037,82,1564,1405,20,1544,1633,18,4204,3924,37,10915,10231,60,210200,197410,98,0.522433
112647,98903,85,57871,51126,87,1968,1753,20,2143,2034,22,5257,4696,40,12905,11595,64,250985,226274,102,0.55546
94067,91783,93,42047,41437,78,1774,1696,22,1790,1828,20,4293,4311,35,10274,10123,55,209565,203560,89,0.574476
138886,119973,90,45917,39986,88,2331,1916,28,2414,2332,29,6362,5555,45,15041,13399,68,302174,280898,106,0.57948
88167,84990,82,34114,33100,78,1297,1318,14,1181,1417,13,3168,2990,33,8594,8417,49,176325,170119,95,0.586486
125325,117535,92,57191,54127,83,2108,1952,24,2377,2203,27,6164,5461,43,14614,14045,65,301746,277724,99,0.596494
255370,190976,124,127743,98471,112,5793,4375,41,5701,4566,45,13791,11713,63,35076,28916,112,682183,575948,127,0.605502
123431,109946,90,39477,32738,87,1988,1784,23,2277,1710,27,5468,4787,44,13372,12969,60,271505,253332,102,0.61551
74270,71427,82,29244,28719,78,1362,1218,13,1322,1382,14,3163,2979,30,7981,7731,46,159181,155630,95,0.630522
108571,100606,90,36778,34160,80,1513,1603,19,1625,1380,19,4270,3693,37,10028,8751,61,211436,184740,98,0.630522
57839,59634,74,24138,24150,69,735,698,0,849,942,0,1986,2028,23,4942,4546,38,93657,95707,85,0.635527
166443,142520,96,57864,49876,92,2885,2574,28,2838,2354,31,6971,6352,45,15705,14977,64,325873,301594,110,0.637528
168650,150494,90,88420,78247,91,3122,2761,31,3571,2914,36,9218,8066,52,22947,20349,91,432293,367062,107,0.642532
72961,71640,79,26923,25951,75,1082,981,0,1459,1400,17,3091,2897,31,7936,7978,48,144644,139935,93,0.645535
124230,118082,94,55176,53442,83,3294,3065,30,3042,2825,31,7347,6651,48,18693,16761,79,368060,323290,100,0.648537
99474,95729,86,24795,24104,77,2213,1763,24,1813,1782,21,4594,4405,38,12343,11812,59,217624,204662,97,0.656544
196918,160703,105,159986,139844,100,5558,4793,40,6090,5336,43,15613,13520,75,38931,33414,103,765195,644046,116,0.665551
99737,90995,83,49844,46306,81,1767,1729,20,2152,2154,23,5347,5128,39,12361,11356,62,263855,250206,98,0.667553
221051,182144,105,135551,115735,103,4020,3298,35,4508,3651,41,10166,8403,57,26197,21920,104,502982,425137,119,0.667553
204361,176865,98,77249,66881,94,2642,2325,26,3226,2694,32,7804,7079,49,19704,17831,76,400620,360538,110,0.668554
100097,95949,85,38883,37436,80,1625,1387,19,1692,1593,20,4146,3896,37,9434,9026,52,195701,187375,98,0.677561
105538,101334,83,44823,43446,80,1866,1787,19,1437,1500,18,4488,4482,36,11708,11080,58,220433,209140,98,0.678562
134243,114761,89,15115,12156,55,405,286,0,2519,2276,25,677,647,0,1199,1096,16,-139,250,0,0.690572
114389,104298,87,49045,44840,83,2107,1914,22,2095,1967,22,5039,4698,40,14034,13432,66,265153,259267,100,0.696577
110099,105209,91,38850,37447,80,1741,1690,21,1605,1418,20,4705,4480,36,12033,11461,57,221892,212986,99,0.718595
