"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
191930,149687,103,75547,59634,96,2489,2139,26,4940,3836,45,10078,7985,55,19357,15415,83,383268,311819,114,0.00423071
142703,123614,95,53444,45513,86,1998,1812,19,3495,3303,35,7743,7059,48,13395,12263,62,292511,257011,105,0.00528839
259689,163174,111,93880,61635,108,3769,2594,39,7155,4359,56,13350,8578,69,21696,13768,92,464708,298319,126,0.0116345
87925,88152,78,25388,25210,67,1273,1276,14,2640,2124,26,4688,4787,37,7642,8303,45,173230,168163,95,0.0116345
264033,183192,112,91955,64316,105,4236,2813,39,7410,5227,58,14322,11032,66,25379,18219,92,526660,382930,124,0.0169229
208086,171958,114,148842,129352,98,6149,5180,39,10999,9756,54,21403,19013,75,37346,33044,99,775894,667729,114,0.0179805
102846,98798,93,45001,44268,79,1438,1524,16,2750,2835,26,5641,5603,41,9376,9191,52,198422,194307,97,0.0179805
99974,93025,83,41251,37380,83,977,1064,5,2755,2337,26,5207,4949,40,8382,7630,53,200438,184145,99,0.0211536
252290,178228,112,120555,86793,111,3807,2606,40,6901,5493,49,13902,10344,67,25712,19784,103,523100,391637,128,0.0222113
99281,96303,87,37482,35462,80,1876,1984,22,3298,3379,29,6846,6396,50,11374,11010,58,255432,250195,97,0.0222113
136795,126894,91,87217,82119,86,2891,2806,28,5608,5206,45,10317,9709,52,17061,15515,74,362738,340379,102,0.0232689
216586,171690,101,80021,62547,98,2967,2177,31,4692,4287,41,11202,8888,59,17240,13943,73,401408,334553,116,0.0274996
84716,81903,82,29388,28677,77,1342,1253,12,2404,2639,23,5738,5775,41,10216,9814,53,209975,207220,95,0.0274996
115846,112048,82,44329,42434,81,1822,1791,21,3428,3409,31,7315,6992,46,14342,13161,74,288128,275944,99,0.029615
326502,250361,137,156808,121435,132,8366,6465,44,14529,11176,74,29819,23136,112,50279,38520,135,1.03213e+06,788808,148,0.0317304
101416,99409,81,38272,37669,80,1660,1527,19,2818,2607,30,5446,5246,41,9902,9605,54,214584,203521,97,0.032788
135007,121370,86,92818,84871,87,3196,2752,30,4190,4096,39,9517,9120,55,16574,15563,70,356702,331795,103,0.0349034
194189,166901,102,55971,48799,92,3120,2371,31,5261,5381,40,12228,10637,60,22216,20336,81,442436,410165,111,0.0359611
86519,85275,80,23841,23452,75,1173,1305,12,2098,1965,24,4725,4804,35,8049,7842,53,166984,158357,95,0.0391341
78696,76926,80,24331,23377,71,1337,1376,13,1874,1892,23,4245,4100,37,7521,7263,43,151670,148954,95,0.0465379
208894,162298,101,82178,63305,99,3139,2416,33,5996,4521,46,13053,10097,69,22184,17434,92,466702,382498,117,0.0465379
157920,144159,88,76979,69749,89,2496,2164,28,4314,4301,34,9345,8474,52,15428,13437,77,328810,303511,105,0.0475955
103449,100582,83,38228,37475,80,1584,1703,19,2811,3284,27,5983,5849,43,11584,12237,56,222578,216996,98,0.0486532
134160,127609,85,54927,51635,84,2019,1948,24,3945,3643,37,8363,7639,50,15013,13906,67,307508,280534,101,0.0507686
92693,86679,82,38115,35264,81,1312,1278,13,2349,2743,25,5057,5133,37,8124,7929,48,176921,171755,98,0.0507686
175872,138950,95,78788,60755,96,2593,2014,28,4397,3497,39,8679,7112,53,17816,13303,82,356828,278478,111,0.0528839
182933,162845,96,78275,69726,92,3032,2676,30,5870,5581,41,13721,12671,71,23262,21630,82,499746,451670,109,0.056057
69430,68519,80,19784,19624,63,719,808,0,1773,1419,12,3027,3074,31,5915,5866,42,120890,118814,93,0.0613454
164841,143675,89,76561,65388,89,2889,2420,30,4193,3729,37,9261,8030,52,18250,16605,75,361037,341505,106,0.0613454
237310,179737,121,97621,74983,103,3481,2504,35,6204,4522,46,13618,10524,70,25261,19721,92,533044,425303,121,0.062403
124559,109409,98,50332,43087,87,1471,1229,14,2871,2365,29,5131,4330,41,7880,7242,50,178887,163626,104,0.062403
175042,144500,92,60866,47565,93,2386,1992,25,4599,3865,41,9917,8404,53,16997,14264,71,369661,318486,109,0.0634607
157728,137085,99,71156,60943,89,2427,1977,27,4011,3587,41,8687,7535,49,13869,12359,66,298872,257856,106,0.0634607
162338,140579,97,66141,59186,89,2429,2072,28,4197,3648,37,8463,7399,54,14562,12643,73,308962,265680,107,0.0634607
177584,141835,102,75013,61098,94,2269,1585,28,3981,2913,40,7730,6169,50,11898,9060,59,255754,212904,112,0.0634607
162114,130487,101,58603,47175,91,2415,2060,26,4422,3254,46,7827,5756,51,12419,9882,66,271000,216152,109,0.0655761
