"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
151194,128273,91,59718,50374,90,2211,2042,24,2624,2197,29,5075,4493,42,14208,11229,70,273404,247725,106,0.0162882
49804,50804,65,20558,20910,54,489,792,0,658,834,0,1555,1668,19,4555,4370,36,82938,84334,89,0.0173062
177160,139908,105,87356,70705,96,2797,2066,31,2891,2230,31,6805,5446,49,18596,14155,85,341168,273736,113,0.0244323
123775,119013,85,53620,51604,82,2335,2175,25,2433,2486,26,5997,5866,41,15792,15076,64,311356,296132,99,0.0305404
106316,98768,83,47047,44569,82,2183,2155,23,1916,1864,24,4879,4617,38,12920,12271,60,255717,240570,95,0.0325765
137141,123808,87,45884,41292,85,2251,2034,23,2456,2101,27,5559,5319,41,14091,12782,62,283561,261588,103,0.0417386
120026,108506,87,51188,45572,85,1403,1178,17,1428,1457,18,4160,4014,35,11382,10145,59,215730,198265,101,0.0488647
176891,140715,97,77117,62274,95,2342,2059,27,2280,1888,27,5468,4559,44,13795,11032,73,275884,231081,113,0.0539548
178196,147160,96,71809,59561,93,2800,2302,29,2826,2160,31,5912,4852,45,15164,12192,74,297967,240293,107,0.0559908
191096,161454,100,93729,79294,95,3294,2590,33,3303,2794,34,8060,6785,52,20758,16452,94,417132,338622,112,0.0794051
106556,102862,88,40766,39049,80,1696,1730,20,1702,1732,21,3793,3844,34,10452,9834,54,198249,186904,97,0.0916213
128887,121522,87,46021,43464,83,2058,2086,22,2102,1979,25,5183,5036,39,12988,12175,63,241700,230872,101,0.0926393
266555,198373,127,89397,67861,115,4115,3138,38,4309,3463,40,9791,8081,56,27323,21906,113,503857,419440,130,0.0936573
59114,58863,76,25210,24626,70,879,801,0,935,904,0,1594,1672,19,4537,4356,35,83979,81754,86,0.0956933
188356,152759,99,86063,70686,96,2721,2205,28,3026,2533,32,5972,4822,45,14196,11903,75,323319,271856,112,0.0956933
202887,160243,98,61434,48471,97,2737,2298,29,3043,2626,32,6918,5405,50,16695,13187,71,328180,257436,112,0.104855
155994,140735,93,98127,90990,91,3393,3344,31,3655,2983,38,8640,7438,55,22649,18511,91,406256,342669,106,0.105873
97215,92675,80,36445,36006,79,1670,1464,18,1650,1533,18,3697,3342,34,8995,9132,49,171041,162101,97,0.116054
65147,64648,78,23086,22753,69,1033,1091,7,549,565,0,2096,2043,23,5435,5459,39,106770,108519,92,0.119108
111384,104252,88,33496,32256,79,1873,1557,23,1987,1724,25,4219,3975,38,10823,10899,62,225385,213141,97,0.125216
75284,73094,87,32175,31096,77,1043,946,0,1194,963,0,2363,2066,26,7013,6137,46,138428,129663,94,0.127252
192895,157715,100,68256,54788,96,3479,2880,33,3212,2875,34,7098,6281,46,19266,17027,72,382103,352071,111,0.134378
105171,103188,85,37375,35418,81,1547,1665,18,1623,1523,17,4654,4381,37,12015,11436,53,226692,217521,98,0.144558
99178,92939,90,49997,47707,81,1961,1856,23,1804,1833,22,3901,3827,34,11148,10682,57,200792,195879,94,0.160846
162477,136412,95,54337,45565,92,2385,1974,27,2568,2153,30,5662,4822,44,15417,13864,67,302615,279807,109,0.164918
103558,99150,88,43970,41612,82,1141,1268,13,1778,1564,20,3399,3206,32,9350,8543,54,176524,165387,91,0.173062
94439,91059,82,41399,40899,79,1424,1323,14,1397,1422,18,3855,3544,34,10193,10136,53,180275,176848,97,0.184261
180402,147618,103,89687,75124,96,3222,2498,31,2906,2717,31,7131,6136,48,19380,17146,91,382513,346665,112,0.188333
113797,106571,93,38387,35817,81,1739,1761,19,1987,1968,25,4616,4268,39,12301,11814,63,241169,223748,100,0.189351
166463,151013,100,106633,96708,90,3780,3152,35,3386,3314,31,8563,8239,49,20953,19441,75,417352,390531,106,0.190369
242729,189165,107,93908,73099,104,4323,3693,35,4811,3861,42,9859,7680,58,25415,19447,97,503793,391303,117,0.194441
99339,93890,83,37460,34794,80,1353,1569,15,1327,1439,16,3623,3387,34,9447,9611,52,173959,170127,95,0.197495
274571,215896,130,122514,99990,123,6942,5546,40,5930,4644,44,14011,11233,66,35391,28608,126,651495,524054,141,0.199531
226980,180050,107,106697,88631,101,4689,3996,38,4391,3365,42,10408,8140,58,27282,21868,96,532566,421661,119,0.200549
141621,117740,93,48047,39681,88,2664,2104,26,2377,2248,27,5251,4481,43,14733,12756,70,274775,239879,106,0.206657
66869,66484,75,29175,28358,76,1303,1236,12,612,676,0,2436,2489,26,6482,6336,48,123070,120655,92,0.210729
78646,78305,86,32266,31991,76,1164,1238,11,1009,1081,7,2771,2722,28,6388,6360,42,132281,135834,92,0.211747
223622,181252,108,101658,84749,98,4442,4160,35,4404,3741,41,11363,9548,62,31197,26275,100,597155,501360,116,0.212765
94184,91459,82,27068,26500,78,1564,1395,15,1332,1492,18,3834,3874,32,10402,10291,56,187858,177718,96,0.213783
73674,73352,82,21667,21604,62,1224,1142,11,1355,1168,11,2562,2710,28,6905,6929,42,132301,129630,93,0.216837
190723,147453,102,74747,57226,97,2888,2272,32,2674,2186,32,6249,5007,47,16236,13269,77,332181,271660,110,0.221927
145939,134039,91,55596,51313,86,2906,2311,30,2405,2482,28,6265,5835,43,17692,16235,68,318274,301975,105,0.221927
118644,112770,90,53412,51295,82,1934,1606,23,1952,1935,24,4147,3774,37,10933,10809,59,217165,203742,99,0.222945
59439,59629,77,23722,23684,65,580,598,0,681,782,0,1528,1506,16,4175,4318,34,79058,78357,91,0.235161
235605,180699,111,91008,70011,108,4136,3057,38,3694,3251,35,7819,6406,49,18650,15719,76,371009,320735,123,0.237197
267606,188505,119,135566,98084,118,4139,3014,39,3812,2830,39,9171,6604,59,25621,18465,105,475679,355383,135,0.238215
