"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
112415,97052,87,38196,32881,84,1901,1713,21,2938,2514,35,6932,5907,47,11614,10503,58,258901,235340,103,0.00800641
105301,101516,87,47355,46296,81,1655,1659,18,2777,2733,28,6064,5687,45,9415,9549,53,198343,189022,96,0.010008
97988,96045,81,24118,23780,69,1670,1746,20,3010,2669,28,5585,5536,38,8621,8779,50,191576,187056,96,0.0190152
64145,63077,82,25483,25266,73,964,1051,5,1551,1457,18,2776,2896,28,4844,4769,39,104033,102541,91,0.0340272
83770,81960,81,36005,34088,77,1172,1042,6,1956,2230,20,5235,5070,41,7927,8007,51,182804,179955,95,0.0370296
126618,121461,97,65925,63443,84,2178,2257,24,3794,3824,32,8456,8234,49,12476,10959,60,270072,249189,98,0.0380304
109856,106611,86,25634,24497,69,1391,1374,13,2252,2703,26,6011,5579,44,10742,9426,57,229793,222037,95,0.0390312
284440,204484,124,141785,101178,123,5867,4610,42,10178,7821,58,22454,16997,85,35809,28380,117,787631,645443,133,0.0410328
76328,74992,86,36131,35220,77,1177,904,0,2212,1918,26,4391,4405,38,7757,7343,48,163866,167202,91,0.045036
285773,174631,135,104179,64815,116,4771,3011,46,7371,4312,53,14470,8729,74,24605,15572,110,516658,330194,134,0.0490392
153971,144294,90,30039,28123,85,2236,2265,24,4246,4113,37,8458,7902,49,12624,11615,63,283893,256078,104,0.0540432
175975,135835,101,67265,52180,97,2259,1661,27,4027,2968,38,8241,6554,55,14266,11620,69,290251,226655,114,0.0690552
26082,27231,57,11114,11176,43,461,514,0,436,787,0,1301,1323,13,2114,2089,22,43044,42713,80,0.0810649
106108,105258,80,40586,39737,79,1436,1412,14,3221,3143,29,6244,5986,43,10898,11084,60,216646,207348,97,0.0840673
134832,107289,94,47901,37182,89,1820,1390,21,3436,2505,40,6595,5178,49,11126,8612,65,234182,184690,108,0.0870697
79487,79668,79,32474,32297,77,1071,1036,4,2254,2326,26,4478,4172,37,7860,7455,47,166804,164903,94,0.0890713
303016,201116,121,107430,66950,120,5075,2948,45,8474,5735,57,15166,10574,75,24087,15578,93,480436,324604,137,0.0940753
203574,163122,100,74093,60542,97,3285,2557,33,5944,5094,43,10762,9282,59,18319,14321,86,367551,323619,115,0.10008
107783,98215,91,30551,26948,84,1361,1384,17,2875,2548,29,6489,6376,42,10505,9944,58,240289,229783,100,0.102082
222462,189757,111,163500,143097,99,6282,5786,37,11950,10509,65,24272,21254,92,40613,36895,98,859934,733005,111,0.106085
96688,93725,84,47031,45729,80,1443,1113,9,2515,2469,27,4802,4602,38,9567,9267,54,205219,200922,98,0.116093
93883,90484,86,36103,34618,80,1419,1150,12,2777,2207,28,4415,4003,39,7157,6824,46,157928,147837,96,0.130104
180258,141601,96,56613,42860,95,2634,2179,29,4324,3638,42,8780,7200,54,13681,11168,62,276708,227262,109,0.136109
127303,122105,88,87535,82909,84,3411,3129,30,5143,4820,40,11461,11196,64,17279,16999,64,361860,344811,99,0.139111
65363,63677,86,25017,23539,76,942,718,0,1616,1409,18,2907,2961,28,5239,4719,41,110315,107293,91,0.144115
149114,122929,94,61946,52976,92,2270,1710,28,3971,3371,39,6837,5611,48,10761,8807,60,239032,205620,110,0.146117
59092,59249,75,22855,22608,68,689,732,0,1192,1258,11,2451,2422,27,4894,4842,42,97783,94709,90,0.165132
81323,79811,80,35998,34668,78,1141,1186,10,2460,2564,27,4993,4815,39,8668,8590,52,193529,181075,92,0.171137
136613,124143,91,63813,58483,88,2146,2255,24,3077,2759,33,6419,5747,44,10495,9642,51,215192,200378,99,0.173139
178261,131219,99,66735,51245,95,2626,1905,31,4106,3192,44,8313,5999,55,14026,10623,70,292132,225703,112,0.17514
92072,88839,80,21858,21426,66,1321,1228,13,1623,1617,24,5079,5126,37,9492,8965,52,203174,197423,96,0.181145
82765,85815,75,40941,40339,77,1225,1266,11,2722,2495,30,5571,5214,43,9199,9099,47,207468,203016,93,0.186149
122565,116549,85,41876,40344,82,1910,1844,22,3812,3560,36,8273,7423,54,15690,14650,70,313143,291077,100,0.189151
268230,198084,109,88341,63846,105,4197,2950,39,6646,5874,47,14288,10588,71,22076,17306,89,459107,368556,122,0.192154
87821,85517,80,25044,24238,75,1622,1517,19,2381,2468,27,4953,4889,37,8671,8514,47,183235,174671,92,0.207166
164126,138475,95,60787,51176,91,2755,2295,28,3869,3629,37,9025,7807,53,15686,12900,78,320731,285272,109,0.208167
108038,104983,85,50033,48092,81,1649,1495,19,3198,3188,30,5887,5511,42,9504,9156,57,211028,203137,99,0.211169
98014,94564,82,48331,45881,80,1652,1618,18,2792,2684,33,5790,5767,43,10156,10084,55,218831,213472,90,0.220176
85043,79626,89,29824,28775,78,1111,951,0,1713,1834,21,4662,4486,38,7840,8083,46,170128,167446,94,0.222178
175079,156483,94,56900,52131,87,3419,2727,32,4252,4397,37,9323,8749,52,13468,12221,62,298195,288434,97,0.234187
91983,88549,81,36124,34950,80,970,930,0,2940,2658,26,4786,4433,40,7382,7142,46,163150,157630,90,0.245196
132057,117746,91,37441,33590,86,1907,1724,23,3466,2762,32,6688,6075,43,10530,9725,64,227893,214577,101,0.248199
132585,121019,87,57730,52448,87,1761,1522,19,3629,3030,33,7419,6957,50,12419,11174,65,265652,248483,100,0.263211
162401,137419,92,68796,58716,92,2216,2067,23,3826,3330,36,9185,8435,51,15991,14604,75,353021,336350,103,0.271217
138278,126765,100,46412,42921,86,2177,1966,23,4343,4521,34,9590,8978,55,16856,15909,70,362021,346585,103,0.273219
100401,97815,82,45694,45027,80,1212,1223,11,2604,2367,27,4736,4583,37,8525,8950,45,181651,167606,98,0.274219
121727,117256,85,39802,38607,82,2016,1971,20,3881,3533,38,7625,7340,46,13000,11986,65,272033,252228,98,0.293235
61733,59111,83,15309,15212,48,892,977,0,936,1202,13,3165,3170,30,5109,4268,46,108297,105787,90,0.299239
118708,103333,89,40479,34557,87,1439,1420,15,2805,2279,31,5456,4837,44,9468,8292,51,191800,159976,103,0.301241
161947,131978,95,61856,51444,92,2375,1733,25,3483,3238,34,8746,7243,56,15980,12929,83,335880,282413,110,0.303243
103835,100040,89,23307,22981,60,1672,1513,19,3251,3251,28,6464,6487,43,11084,10400,58,244741,230591,98,0.306245
116110,101117,89,39662,34421,86,1445,1245,17,2715,2304,30,5849,4857,47,9017,8179,55,201178,179313,103,0.308247
93747,92243,80,31192,30895,77,1854,1586,21,3015,3127,30,6095,5986,44,10572,10073,55,237422,228015,95,0.309247
112601,106283,98,37887,36339,81,1784,1814,19,3342,3186,34,6983,6855,43,11293,11190,52,227132,216180,99,0.313251
76626,73909,89,30505,29870,76,1031,885,0,1533,1488,20,3991,3864,34,6460,6146,44,151293,147406,92,0.313251
136807,104619,95,47209,34590,92,1797,1297,20,3744,2734,36,7097,5410,52,11920,8651,67,253093,192154,109,0.314251
99752,94163,83,41734,39844,82,1259,1323,12,2807,2489,29,5087,4909,40,10133,9592,55,217573,207958,99,0.318255
61700,61553,76,25890,25446,75,931,972,0,1159,1449,14,3562,3590,32,5998,5843,41,126335,124328,92,0.321257
86749,85124,81,21917,21744,67,1185,1190,11,2397,2090,23,5331,5187,39,8838,8640,48,190027,184339,93,0.329263
291998,216585,112,161612,119824,112,6261,4845,45,11105,8568,64,22964,17350,89,37167,27576,115,812522,606191,129,0.333267
148313,128532,92,38270,32320,88,2374,1814,29,3127,3027,29,6138,5199,44,11867,10084,68,227904,202259,105,0.338271
286844,211590,117,92454,67015,109,4904,3409,40,8668,6653,52,17120,13492,74,25458,19434,99,554455,449914,127,0.343275
169204,136019,93,61255,48779,90,2526,2074,29,4852,3629,41,10472,8384,61,17028,13499,76,377319,308098,109,0.357286
162025,134052,102,59299,48407,91,2835,1857,32,4089,3444,42,9138,7925,54,17623,14549,80,349848,302314,108,0.365292
111161,103767,89,54699,51579,84,1894,1761,20,2838,3017,30,6526,6287,45,12424,11696,59,267606,258757,99,0.368295
78581,76503,88,36535,36322,76,1107,1100,8,1501,1826,18,4166,4335,35,7878,8458,50,166253,161848,94,0.369295
156702,126885,94,90551,76989,93,3205,2681,30,4196,3770,42,9272,8151,54,15876,13099,67,335947,287726,109,0.379303
224497,186872,104,96384,80967,105,4573,4164,33,7662,6451,51,15378,12832,65,25233,20636,93,516122,423814,121,0.379303
48053,47085,67,19197,19519,52,815,710,0,1410,1069,15,2227,2193,26,4032,3769,35,87112,89026,88,0.386309
108558,105477,82,42952,42469,79,1535,1822,18,3126,3347,30,6861,6484,44,12253,11626,65,257665,243830,97,0.386309
113799,107309,90,26286,25076,79,1884,1934,19,2838,3117,30,8426,7935,51,14289,13923,68,297832,280714,94,0.38731
146488,125652,92,68082,61254,89,4812,4315,35,7642,7181,47,17038,15520,71,27392,26217,92,594982,548050,107,0.388311
196915,162821,97,70006,58208,94,2603,1874,30,5527,4320,53,11814,9892,62,19554,15785,79,417188,349039,113,0.395316
121581,112113,85,56720,52636,83,1892,1914,22,4136,3798,42,7466,7397,44,12629,12121,61,272448,261071,99,0.418335
204454,166263,101,73753,59348,98,2984,2388,31,5092,4047,41,11188,9346,59,19336,16442,83,392549,327743,114,0.424339
112686,101400,87,33428,28986,85,1804,1772,17,3236,3339,30,6273,5721,45,10295,9066,60,207816,192370,102,0.430344
198839,138334,116,76904,55932,102,2360,1694,27,4566,3495,48,10397,7001,61,17680,12649,85,373538,266755,120,0.45036
162470,142721,92,64851,57390,87,2836,2511,29,4449,4062,35,9518,8568,54,16343,15147,74,351791,334671,100,0.457366
48513,47811,83,11430,11434,45,964,890,0,1213,1280,14,2997,2982,30,4813,4692,36,87608,86083,88,0.459367
135613,122747,87,53690,48090,86,2331,2215,25,3945,3489,36,8082,7428,49,13888,12408,65,286072,267030,103,0.46237
149824,131439,92,51692,45773,87,1906,1625,20,3739,3325,36,6890,6247,46,11068,9504,65,249785,231422,105,0.47538
113765,107827,83,27437,26284,80,1821,1755,20,3386,3183,31,6812,6726,43,11313,11132,53,263841,252951,99,0.476381
137296,124388,98,55224,50021,86,2020,1976,23,4134,3840,33,8138,7514,58,14974,14323,66,308585,294951,103,0.479383
72793,70545,91,29019,28449,75,1016,900,0,1472,1529,17,3695,3676,33,6716,6416,43,134655,131574,93,0.495396
110787,106999,86,45779,44167,82,1846,1828,19,2823,3183,27,6921,6758,45,11705,10691,66,255899,248927,99,0.5004
42812,44359,62,21412,21603,59,462,495,0,682,732,0,2095,2265,24,3867,3708,35,71745,73446,86,0.510408
242217,187761,106,84200,67199,106,6465,5327,41,10337,8853,57,22659,18939,88,35889,29967,104,764407,615086,120,0.51241
74701,72764,79,31469,30554,76,1405,1130,12,1854,1817,22,4001,3928,35,7153,6762,44,144171,138409,92,0.521417
140369,127628,87,51234,44943,87,2446,2252,27,4145,3872,36,9144,8565,54,15883,15343,74,336256,314771,103,0.521417
109600,105643,82,47365,45211,80,1871,1617,20,2883,2893,27,6783,6501,46,11965,11614,66,257788,245827,97,0.522418
165355,143867,100,47516,39854,91,1959,1530,21,3878,3370,38,7995,6879,49,13793,12435,61,289037,271801,108,0.538431
164236,146714,97,48898,43083,93,2214,1972,26,4698,3848,38,9692,8835,54,16709,15248,79,345334,327950,108,0.541433
141509,113918,95,59911,48642,91,2248,1879,28,3371,2429,35,7160,6105,49,11983,10289,66,265359,222074,104,0.546437
150451,124842,94,54773,44943,89,2280,1790,27,3393,3041,33,8327,7138,51,13982,11818,65,289529,252204,106,0.547438
121530,108826,88,50116,44348,85,2097,1877,24,4388,3495,38,7882,7500,50,14808,13708,65,317496,296633,100,0.55044
136678,118396,88,49730,42083,86,1981,1590,23,3628,2916,36,8819,7377,55,15809,13346,71,322715,285026,104,0.568455
141628,127835,91,47931,42391,89,2240,2110,25,3480,3149,33,8210,7519,49,13336,11613,66,312750,272977,106,0.571457
147226,123209,95,54440,45588,90,2097,1759,26,3960,3356,32,7415,6861,48,11670,9718,74,242159,210621,105,0.577462
81035,77154,87,17063,16614,51,1266,1011,4,2037,2348,23,3924,4214,33,7529,7443,47,150097,147506,95,0.595476
165374,133237,96,49892,38878,93,2670,1958,31,4107,3313,39,8704,7266,48,14856,11596,70,296010,253090,109,0.607486
77505,78409,82,23166,23117,68,1119,1225,12,2372,2425,26,4810,4683,39,8326,7151,55,155431,156592,94,0.613491
103237,98698,87,26570,25742,77,1614,1733,17,2975,2803,33,6038,6097,40,10391,9625,57,234604,222995,98,0.617494
174383,146721,106,95738,83984,96,3070,2355,30,5597,4338,43,11878,10433,65,19407,17367,79,399552,336945,113,0.622498
149952,120709,93,46490,38448,91,1860,1411,19,3185,2806,36,8002,6651,51,12203,10132,64,272894,226957,108,0.626501
156362,128631,103,68081,57377,91,2215,1763,26,4068,3752,39,7670,6154,54,11586,9344,67,252036,211432,108,0.632506
141830,119814,87,55402,46533,88,1814,1571,17,3951,3494,35,7530,6261,52,12073,10139,66,261017,230853,105,0.634508
85923,83137,83,38534,38141,79,1157,1238,13,1917,2006,21,4873,4806,39,8796,9015,48,192055,185252,97,0.634508
212726,188899,107,80041,72354,96,4029,3449,36,6837,6274,46,13510,11979,66,19715,17211,86,424818,373016,108,0.641513
121162,107367,91,44332,40576,85,2023,1668,26,2719,2628,33,7602,6897,50,12997,10705,64,266554,232676,103,0.648519
115822,113359,82,61823,60096,83,1921,1872,22,3665,3099,33,6898,6288,51,12279,10952,68,257926,239953,96,0.658527
250275,185396,113,91261,68938,109,3847,2630,38,6468,5429,49,14132,10136,69,22461,17013,91,464009,354668,126,0.666533
120258,108210,91,41199,37522,85,1811,1695,21,3595,3026,33,6462,6203,43,9863,9733,52,216644,201420,99,0.668535
100387,99332,79,35233,34043,78,1374,1213,15,2462,2467,25,5949,6046,41,10482,10321,55,211757,201699,96,0.668535
77574,75579,78,23282,22760,68,785,887,0,1810,1781,21,3934,3712,36,6685,6415,46,150156,143680,93,0.669536
158771,144912,92,73304,67964,89,3240,2980,29,5878,5244,44,11992,11181,55,20974,19046,88,441759,399177,106,0.670536
86191,82993,81,34122,33284,78,1481,1408,16,1771,1838,21,4716,4409,40,8237,8190,53,174880,167880,94,0.672538
120620,107341,100,38306,34305,84,1981,1627,23,3445,3195,32,6693,5958,45,9522,8430,53,185076,176973,100,0.680544
87807,83923,88,34165,33403,79,1376,1205,12,2384,2501,24,5088,5149,37,8013,7505,51,179224,168145,97,0.683547
121068,113148,89,50788,47625,84,1674,1508,17,2824,2986,33,7034,6857,44,10414,9502,60,233117,219299,96,0.684548
189367,139612,113,63213,45785,99,3069,2604,27,4883,3207,42,10062,7176,62,16580,12658,76,333847,249061,118,0.689552
124047,108195,88,55265,48597,87,2176,1793,23,3101,2715,34,6152,5465,47,10171,8826,56,214531,184531,103,0.695556
194163,148709,101,62552,48428,96,2288,1950,27,4708,3884,43,9289,6990,55,14357,11259,74,321220,239193,114,0.696557
280975,200731,114,107846,77919,110,5167,3637,42,8612,6519,66,16872,12255,78,25809,18296,113,563864,418103,126,0.696557
140914,115460,97,59880,48900,90,2071,1963,22,3361,2963,34,7449,6783,48,13305,11686,61,298824,251714,107,0.697558
176753,136566,108,72353,56642,96,2658,1918,31,4506,3850,38,9924,8052,58,16095,12708,79,347829,292559,110,0.718575
312202,229065,133,152593,115244,131,5471,4135,42,11357,8700,68,22972,17438,89,34958,26992,123,751929,576779,148,0.719576
137108,126037,88,58299,53958,87,1785,1638,20,3693,3407,33,6340,5653,42,11353,10632,58,229105,213733,103,0.728583
148577,123941,93,59164,48081,93,1926,1598,20,3893,3243,37,8640,7372,53,15379,12974,71,330890,284148,109,0.729584
128359,111798,98,55834,49124,86,1786,1671,21,3238,3448,34,6079,5471,41,10053,9224,59,204837,189191,99,0.741593
94720,89536,87,35078,33940,79,1628,1496,15,1929,2283,24,6087,5648,43,11127,10547,55,207342,201182,92,0.743595
241254,206420,99,135139,116516,99,4823,4228,37,9976,8847,53,19654,16478,81,31970,27936,100,680827,579935,116,0.743595
161956,129387,94,53857,43117,92,2267,1758,27,4406,3215,41,7269,5784,51,11797,8980,63,246415,203467,110,0.747598
73779,68550,83,26470,23688,77,1066,827,0,1536,1270,20,3552,3352,33,7233,6619,49,137974,133866,95,0.765612
119160,106266,98,49463,44443,85,2102,2019,26,3607,3539,33,7479,7180,46,11708,11646,55,255348,244794,99,0.767614
162780,154172,88,66855,64699,86,3002,2822,28,4847,4689,40,9236,8744,56,13766,12715,66,307439,284441,104,0.773619
145658,123708,92,46615,38408,90,2000,1834,21,3197,2892,32,6865,5810,46,11669,9128,62,214362,182005,107,0.778623
119309,106908,93,51506,45532,87,1860,1677,20,3239,2761,33,7121,5617,51,10878,9725,62,254304,225106,96,0.779624
92704,88960,83,31247,30383,78,869,907,0,2029,2110,26,4781,4599,37,8905,8754,50,188297,186919,95,0.780625
185244,137440,114,54137,39356,100,2916,2540,30,5499,4035,45,10104,7286,62,13663,10559,65,298427,229930,118,0.793635
144113,132984,89,61249,57186,86,2711,2225,28,4373,4462,36,9693,8702,53,16521,15705,70,356195,333505,104,0.798639
199613,158658,101,77053,61026,96,2994,2133,35,5302,4218,43,11451,9473,67,19606,15433,83,426557,350057,112,0.800641
80088,79585,90,43838,43391,76,1214,1064,6,1932,2156,22,3950,3548,36,6475,6012,43,138379,130913,91,0.804644
193996,158102,106,79798,64534,98,2398,1853,26,5925,4886,46,10773,8550,59,18925,16063,79,392521,321437,115,0.818655
38705,37829,76,13144,13300,45,592,580,0,396,648,0,1831,1901,19,2685,3168,27,62580,64797,86,0.819656
58250,57070,85,25273,25300,74,571,725,0,1457,1261,13,2674,3032,27,4930,4853,37,97968,100234,90,0.820657
153286,133084,91,56348,48453,89,2565,2062,27,3722,3189,34,6609,5908,44,10873,9658,59,228129,206041,104,0.826661
208124,158818,104,168411,143957,102,7124,6256,43,13339,10337,74,25341,21687,95,37574,32094,100,794353,663857,117,0.828663
124470,113237,88,76521,69536,86,2007,1697,25,3654,3376,40,8429,7823,53,13613,12028,64,292347,269622,102,0.831665
158898,128753,92,63542,51328,91,2378,1835,28,3881,3275,38,8928,7771,56,15214,12036,72,326611,275548,106,0.831665
106483,101058,83,37215,35783,80,1520,1296,15,2923,2841,28,5961,5806,41,11757,10952,54,228688,216587,98,0.833667
100005,94782,83,43849,40984,82,1287,1280,14,2211,2102,27,4926,4545,40,8319,7848,54,168991,158233,95,0.839672
123451,99882,93,36094,29015,88,1483,1294,17,3118,2700,35,6514,5254,47,11908,9645,61,225233,190180,101,0.844676
51178,49877,77,24824,24692,73,664,470,0,1269,1294,14,2768,2718,27,3733,3887,33,84665,84936,89,0.854684
117656,108015,86,46597,42739,84,1650,1521,16,3601,3621,33,7491,6996,46,12858,11972,68,297678,276164,97,0.858687
155116,125236,101,62022,50070,92,2456,2011,25,3285,3173,34,8780,6915,60,15132,12377,78,321840,274209,109,0.860689
103907,100432,81,42041,41164,81,1628,1438,17,2929,2598,30,5653,5760,43,10956,10147,53,222812,218791,96,0.871697
147263,129778,99,58187,51974,86,1850,1728,21,2900,2710,31,6086,5690,43,10616,9068,66,233350,221464,104,0.875701
172284,139925,95,73872,60674,95,3287,2628,34,4236,3839,38,10278,8378,57,16238,13184,75,339859,284332,112,0.891713
115775,110282,84,41659,39314,81,1792,1628,22,3631,3631,34,6839,6235,44,10988,10286,61,287619,273115,99,0.891713
129951,117225,87,54262,48711,85,2149,2024,24,3172,3305,31,7531,6902,47,13557,12708,61,274308,259294,103,0.892714
41959,41134,81,18684,18875,53,546,602,0,704,824,0,1721,1746,21,3179,3236,31,63351,64361,83,0.896717
144774,120074,93,50078,42055,91,2197,1881,24,3547,3543,35,7855,6646,49,12737,10482,65,271136,231394,105,0.897718
103626,98186,84,35911,34529,80,1762,1793,19,3531,3264,32,6823,7036,42,11359,11049,62,235045,224757,90,0.898719
124461,107749,98,56202,50608,87,2034,1693,25,3178,2719,31,6003,5447,43,10186,9597,53,201469,185917,102,0.902722
139529,103924,102,50302,37275,94,2339,1751,26,4210,3159,41,8848,6635,53,13083,9948,68,294761,223363,110,0.909728
116054,105112,84,36236,31877,81,1442,1405,18,2740,2769,28,6463,6123,45,9985,8685,51,196165,176654,98,0.909728
145091,127839,91,54153,47478,89,2158,1988,23,3638,3096,33,6942,6913,45,11782,10917,64,278793,259548,106,0.918735
73201,72393,78,26325,26140,76,1054,1041,5,1346,1900,21,4272,4096,38,7773,7403,53,156991,151726,86,0.920737
136992,123469,89,41444,37677,86,2515,2117,26,3407,3400,32,7283,7005,49,10787,9932,57,209864,195867,99,0.921737
97185,98191,79,39754,38889,80,1773,1592,21,2521,2821,27,6129,5918,43,11474,10677,61,237535,228534,93,0.922738
116903,107746,91,61861,57760,84,1667,1443,21,3033,2745,32,5265,5109,41,11041,10593,52,206302,196326,91,0.923739
130132,121305,102,56405,53464,83,1656,1421,20,3417,3347,31,6677,6603,43,11131,11022,53,238617,228013,95,0.929744
167967,139980,97,70607,60278,91,2174,1536,25,3934,3700,35,8761,7286,55,14329,12677,68,290980,256538,105,0.929744
139376,112318,92,54400,43352,91,1671,1365,22,3291,2507,34,7685,6463,53,12549,9466,63,276178,220401,107,0.939752
143048,121600,93,50445,42118,89,1799,1540,20,3491,2815,35,8093,7012,52,13001,10826,72,298986,260268,105,0.940753
110487,108842,83,43188,42856,79,1404,1467,15,2919,2702,30,5888,5488,43,9261,9154,51,217237,209784,97,0.940753
147154,121929,94,50277,41607,90,2191,1803,25,3638,3365,36,8864,7768,52,15455,13195,74,335079,290805,108,0.942754
123106,105436,93,59292,51808,88,1901,1783,19,2697,2644,33,7104,6030,46,12019,10329,62,260595,229874,105,0.94976
61829,61242,80,22700,22389,70,871,796,0,1736,2008,22,2831,2855,29,4494,4647,41,111451,108267,87,0.952762
109413,104747,88,33404,32197,78,2031,1830,25,4176,3734,35,8137,7854,47,14356,13739,67,300995,286649,96,0.958767
77823,72357,80,34022,31839,79,1340,1286,11,1969,2263,25,4861,4385,41,7400,6535,45,171192,166863,93,0.961769
76393,73145,81,15593,15399,50,966,926,0,2228,2143,26,4253,4474,33,7392,7184,46,144760,138906,93,0.972778
133780,126674,91,46660,44529,84,2009,1650,24,3827,3778,34,8291,7959,50,14735,14588,64,298430,279078,102,0.981785
155805,128342,96,64479,52952,92,2442,2028,28,3418,2598,39,7166,6007,50,10894,9373,57,247258,214134,109,0.995797
71350,70449,81,28172,27801,75,909,797,0,1769,1702,24,3652,3434,36,5407,5271,38,138537,137850,93,0.9998
172482,138279,96,61647,51004,92,2823,2336,27,4638,3687,41,9478,7884,56,14671,11708,73,323943,267149,110,0.9998
133329,113905,90,49190,41478,89,1820,1908,21,3589,3258,35,8067,6650,51,11529,10055,62,259356,220536,106,1.01081
158599,124257,98,52209,40070,93,2079,1653,25,3581,2968,37,7293,6214,52,12322,9447,63,258753,211738,108,1.01281
189765,147720,104,67552,51315,96,2519,1911,32,4278,3177,40,10341,7918,60,15982,12863,75,350150,280882,113,1.01681
