"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
83507,81877,80,36516,35984,78,936,877,0,2025,2149,23,4128,4339,33,6712,6588,47,148972,141451,93,0.0140136
99479,89709,83,48797,43849,82,1227,1143,11,3300,2720,31,5784,4852,45,9352,8805,53,202301,183998,98,0.0200194
217543,162953,105,87494,63098,102,2711,2114,30,5184,4074,44,11836,8537,66,18883,14329,79,402543,313097,119,0.0230224
111646,104135,95,54555,50753,83,1285,1015,3,2607,2522,29,5486,5192,39,8535,8394,49,208029,197245,99,0.0260253
134089,118664,88,55967,48855,87,2132,1945,26,4044,3599,35,8630,8475,48,16109,15226,72,326746,314489,103,0.0320311
280665,219548,115,178138,143099,114,7951,6378,45,13485,10629,67,30173,24434,107,53920,42954,118,1.04858e+06,857854,131,0.036035
105154,102389,81,33872,33276,79,1557,1473,18,2530,2860,28,5798,6120,40,10294,9755,56,219130,209155,97,0.036035
113134,104864,89,52139,47455,85,1377,1236,14,2964,2526,31,6526,6281,43,9639,9560,50,222422,210522,101,0.0630613
105847,102297,86,45763,44602,80,1992,1806,19,3171,2737,29,6577,6207,46,11159,11008,57,247203,237019,98,0.0660642
71179,69109,87,27603,27306,77,709,920,0,1709,1415,17,3428,3419,31,6160,6157,41,118370,115056,93,0.074072
108625,103954,90,49467,48264,81,1915,1718,21,3234,2776,31,7126,6755,45,12761,11962,64,255521,239872,99,0.0850827
114814,110450,84,70067,68505,84,1874,1855,21,4160,3649,36,9665,8881,53,15997,14986,76,322536,295780,98,0.0920895
248258,200382,110,85387,68597,103,3284,2638,34,6200,5744,44,16816,14197,76,29018,23980,104,602577,537677,117,0.101098
143983,135903,91,84194,80643,87,2687,2413,27,5084,4747,40,11521,10199,59,20838,19006,84,419463,354871,102,0.117114
229938,199738,97,93717,79383,96,4480,3615,38,7431,6082,56,15668,12907,74,26601,22271,96,559928,473702,113,0.120117
272369,204352,119,90951,70036,116,3349,2759,33,7921,6337,49,15781,12628,78,25552,19975,99,537198,453141,134,0.120117
128360,110710,91,65166,57384,88,1559,1390,20,3762,3334,35,7014,6330,45,12124,10087,64,250471,224797,104,0.12312
97948,96227,81,39985,39197,79,1408,1346,16,2620,2185,31,6138,5951,42,10545,10645,54,219444,208120,97,0.173168
190431,160607,98,63727,52406,96,2575,2013,29,4906,4510,43,9946,8505,54,15797,13862,75,327785,288981,114,0.209203
154933,138508,93,74874,67557,89,2049,1911,23,4127,3706,35,8773,8109,51,13261,12808,60,281713,263878,104,0.213207
131014,112644,92,53098,45314,89,1441,1200,14,3583,3145,36,6671,6061,45,11432,9774,58,233012,207088,104,0.225219
151457,135024,103,76700,69992,89,2543,2318,27,4543,4058,40,9768,8934,56,16090,15037,68,337270,302303,105,0.235229
93457,90897,86,40232,39651,79,1138,1071,6,2710,2777,28,5611,5313,41,10008,9422,57,201342,194091,97,0.241234
146191,136905,87,55252,52041,85,1313,1392,15,3245,3139,35,6569,6037,47,11092,10449,59,223940,203116,100,0.241234
185872,149002,106,74144,58824,95,2736,2249,30,4906,4422,39,10741,8792,58,18438,15263,77,379568,316618,112,0.251244
129236,120727,86,56598,52372,84,1825,1737,23,3840,3458,33,8367,7825,47,14693,13374,67,302509,284558,102,0.255248
225680,169106,103,96400,72524,102,2433,2073,26,4686,3832,44,11076,8451,65,17769,13403,79,373617,288015,119,0.270263
129882,113789,91,52585,45951,88,1452,1180,10,3200,2831,30,6371,5692,47,10045,7981,59,215649,185976,105,0.282274
189242,156226,96,63807,51876,93,3611,2823,36,6304,5403,48,13135,11235,66,24311,20653,94,550259,506246,107,0.28828
78766,78470,78,28370,27919,76,1355,1264,14,2035,2109,27,4838,4413,44,8258,7937,52,169304,164286,94,0.301293
136792,127431,86,58393,53897,85,2372,1880,25,4914,4320,44,9062,8997,50,15677,14713,71,339476,325339,101,0.315306
61860,65565,56,28967,28698,75,815,759,0,1482,1661,19,3686,3644,33,6169,5938,45,131188,126161,91,0.316307
158245,122886,97,64778,49228,94,2129,1671,26,4590,3658,44,9802,7474,58,16922,12815,79,357425,276578,111,0.317308
95371,92290,84,32735,31427,79,1727,1667,20,3000,2327,33,5926,5534,44,9888,9880,55,210978,195240,97,0.330321
128876,118723,89,52484,48513,85,1912,1635,19,3315,3251,32,7507,7067,47,12606,11197,62,267289,252589,102,0.331322
154202,125059,98,67191,54967,91,2164,1805,23,4345,3640,39,8509,7162,52,14421,11744,77,297983,246661,109,0.334325
97994,88013,92,43026,38407,82,1307,1159,13,2825,2177,31,5942,5756,44,9553,8559,55,203324,190481,100,0.337328
141839,126939,93,73059,65733,87,1857,1634,21,3868,3648,36,7724,7154,50,13451,12553,66,278317,255839,104,0.343334
126048,108291,93,55333,47856,88,1431,1324,16,2908,2284,32,6750,5673,46,10545,9432,55,217124,196622,104,0.352342
99025,97532,79,34144,33913,77,1524,1285,17,2664,2818,27,5468,5130,42,8840,8557,56,181601,166982,96,0.364354
345776,242494,140,254732,178735,132,8863,6062,49,19698,13788,75,39530,27727,128,61731,42241,133,1.04858e+06,921960,146,0.37036
139805,129082,88,66263,60746,87,1695,1515,19,3642,3248,32,7519,6826,51,13547,12461,64,283699,262792,103,0.382371
167052,136862,97,55195,42676,95,1847,1495,22,3917,3325,41,8041,6472,53,12321,10452,64,264186,217221,111,0.387376
101428,97483,82,25707,24834,79,1146,1287,12,3048,2452,29,6384,6097,45,10215,9683,61,221402,210440,97,0.392381
89598,87726,95,43408,43448,78,1475,1463,17,2742,2455,28,5884,5775,40,9675,9634,50,199887,194707,95,0.40139
158029,153062,88,95951,92413,86,2729,2556,28,5332,5224,43,11297,10293,62,17668,17182,72,382243,344974,97,0.406395
104444,103534,80,50842,49682,80,1585,1691,21,3303,3391,32,7333,6946,45,12406,11572,64,248517,237306,97,0.408397
191455,154831,99,72905,58180,99,2045,1695,24,4211,3367,41,9919,8470,56,15028,12521,72,313641,262796,114,0.414403
66878,66773,77,27885,27682,75,787,890,0,1368,1164,16,3174,3488,30,5079,4971,39,109983,106321,92,0.418406
196296,154681,101,65573,49838,98,2416,2040,27,5313,4265,47,11571,9300,63,19483,16097,80,419318,338384,115,0.423411
152961,128326,102,79475,67535,92,1945,1583,21,3605,3486,32,8394,6831,52,13885,11945,64,283971,239477,109,0.428416
