"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
256501,179775,123,74053,53159,112,3006,1927,35,4859,3733,43,10642,8050,63,17091,11543,79,380477,280835,130,0.018018
94174,93250,80,34063,33031,78,1236,1204,13,2332,2324,25,4898,4754,38,7614,7660,45,174186,167254,95,0.027027
157002,135760,92,46107,38363,90,2328,1947,26,4412,3741,39,8970,8068,57,14879,13432,74,320676,282502,105,0.029029
150119,130866,94,39125,34361,88,2097,1804,26,3340,2876,35,9049,8262,52,13859,12486,69,304338,288556,104,0.033033
191835,158343,103,70402,57695,95,2400,2110,26,4055,3794,34,9808,8274,54,15668,13723,69,335132,296254,109,0.035035
88800,88167,79,22752,22385,62,1621,1379,16,3030,2951,31,6245,6324,44,10605,9590,57,230072,228315,92,0.035035
69429,68497,84,25070,24721,72,961,1001,1,1505,1440,20,3708,3676,33,5978,6071,43,133491,131161,93,0.047047
131614,120326,86,38295,34043,83,2222,2062,23,4044,4011,35,7875,7102,50,13328,11713,69,291359,268398,102,0.0560561
112059,107938,85,45319,44012,81,1525,1521,21,2338,2631,24,6655,6167,44,9616,9436,63,213591,209159,98,0.0790791
90957,88227,81,37825,36764,79,972,1119,9,2295,2016,25,4658,4785,36,8009,7616,46,184507,178575,96,0.0800801
152640,138690,102,70632,65436,87,2779,2341,28,4708,4701,36,9376,8964,52,16483,15876,71,351754,334824,103,0.0810811
89870,89955,85,17715,17677,51,1759,1576,20,2828,2875,27,6344,6092,43,9956,9287,55,213193,205393,95,0.0810811
117041,104602,88,44889,39820,85,1675,1526,17,2316,2161,29,5989,5355,45,10101,9055,56,215965,201117,102,0.0840841
118594,111376,84,42270,39230,83,2066,1811,23,3420,3556,32,6953,6518,45,12146,11936,63,266383,259828,99,0.0850851
198827,180369,103,110004,103042,95,3398,3241,30,7596,6596,46,15283,14474,69,25267,23783,94,542652,488071,109,0.0910911
92249,89257,81,30715,29683,78,1034,982,0,1499,1670,20,3958,4042,34,7644,7292,51,170972,165344,89,0.157157
100392,98389,81,22551,22120,68,1930,1767,22,2937,3054,25,6358,6166,43,11305,11683,57,233673,219033,97,0.176176
