"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
160503,151698,90,105085,99568,91,3817,3477,31,6705,6072,47,13050,12125,61,19340,17832,75,404789,354044,104,0.0170248
85683,85140,79,41255,40910,77,1053,1090,8,1763,1649,20,4683,4625,37,7974,7830,48,181615,178311,94,0.0540788
139591,127562,93,39560,36470,85,2129,2095,25,3699,3697,34,9325,8985,52,17135,16052,74,366665,348130,103,0.0761109
69338,70896,76,30228,30355,75,769,713,0,1517,1365,17,2526,2392,28,4051,4656,32,94673,92926,91,0.100146
100171,97427,81,72247,71183,81,1442,1402,14,2540,2735,27,5593,5463,40,9282,9106,55,213655,209647,97,0.125182
185334,141725,97,70913,53410,95,2162,1713,24,4868,3678,44,10044,7822,55,17359,12945,81,362136,276979,113,0.143209
185150,152199,96,68245,55931,93,2833,2122,29,4682,3950,40,10298,8891,57,18485,15045,81,387007,331987,110,0.150219
99140,95826,90,29682,28688,79,1578,1255,15,2589,2596,27,5670,5822,44,9648,9294,50,193165,185597,97,0.17826
148103,126755,91,54377,44993,90,2018,1771,24,3977,3450,37,7577,6185,50,14012,12115,72,318842,272460,106,0.216315
215833,169324,104,68156,52140,101,3055,2455,31,4869,3903,44,11068,9168,58,20809,16332,90,429260,344846,119,0.223325
62384,63946,74,20121,20023,57,840,802,0,1286,1430,15,3097,3173,31,5019,4519,40,92636,90822,91,0.257375
98222,94759,81,27410,26824,77,1485,1327,14,2188,1941,27,5085,4872,39,8591,8059,48,187797,178084,96,0.280409
86207,84925,86,25440,25146,75,1320,1199,11,1505,1600,17,4109,3785,35,6489,6298,44,131834,122245,95,0.320467
112770,107544,85,31694,30548,80,1270,1087,8,2387,1946,27,3713,3501,34,6484,6368,49,139986,133405,99,0.327477
188169,154358,101,63146,51248,98,2530,1617,29,4018,3472,37,8718,7403,52,14473,12361,72,315560,277005,115,0.330482
81454,78002,79,26039,25332,76,1017,1079,5,1768,1949,20,4333,4361,37,7327,7273,49,158674,153645,93,0.374546
93492,90692,81,24256,24205,71,1349,1297,14,1756,1747,21,5019,4710,41,7954,7863,54,178532,174356,94,0.391571
99628,96028,83,40306,38973,79,1193,1197,15,2286,2161,20,4377,4542,36,7498,6859,48,167707,159280,97,0.394575
115924,110231,84,25470,24616,68,1873,1756,21,3290,2852,38,7064,6929,43,11217,11046,52,258762,241628,100,0.402587
100387,96822,90,32517,31724,79,1472,1437,14,2170,1992,24,4502,4638,34,7770,6926,47,152523,148592,97,0.403588
