"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
166210,153688,95,70934,66298,89,2905,2484,30,5280,5491,41,11467,11070,55,21047,18990,82,408831,375750,101,0.00600498
126203,107067,89,55229,46295,88,1857,1540,25,2149,2053,26,5895,4953,44,10584,8763,57,203423,173583,106,0.01201
158996,127589,93,59352,47691,91,2114,1765,23,4223,3172,42,8948,7573,51,15335,11983,74,325965,267739,107,0.0150124
89572,86773,91,32642,32516,78,1478,1340,16,1993,2072,25,4627,4480,37,6871,6466,50,162727,156915,91,0.0200166
82548,81256,80,30957,30781,77,1212,1054,8,1107,1477,16,4988,5335,37,7936,7949,48,166268,163939,92,0.0300249
38330,38154,67,17546,17319,54,426,585,0,882,969,0,1602,1797,19,2908,3015,31,59824,59218,85,0.0450373
122089,109732,92,47729,42428,85,2163,1825,24,2449,1962,27,5811,5112,43,9772,8553,56,190052,171966,101,0.0630522
128740,113085,98,56332,50582,88,2168,1898,25,3914,3437,32,6788,5755,49,11311,9950,59,226695,204314,103,0.0970804
115674,106359,86,50382,46136,84,1682,1698,20,2808,2593,32,5678,5661,45,9149,8686,51,203945,189281,101,0.107089
118722,112421,86,69274,65797,86,2349,1970,26,3563,3195,35,7264,6619,51,11572,10698,54,268857,245581,95,0.113094
135487,116518,89,51520,43174,88,1989,1707,20,3475,3093,34,7873,6922,49,13214,11412,65,282716,248107,104,0.150124
90288,87161,85,33747,31644,78,2074,2047,22,2331,2265,26,5144,5110,41,8425,7836,54,185465,179331,96,0.152126
77565,76506,80,24657,23956,65,1169,1303,15,1711,1548,18,3681,3693,34,6493,5904,45,127994,123395,93,0.156129
224536,170427,106,77193,57990,101,3437,2543,34,5799,4000,46,12248,9295,67,22836,17522,93,454773,348131,119,0.162134
175888,141344,98,64693,51975,94,3267,2419,33,4018,3618,36,8561,6765,56,15438,12822,72,331282,279845,109,0.176146
129250,110506,91,40524,34422,88,2493,2219,26,3271,2672,33,6160,5560,44,11230,10125,68,229327,210773,105,0.190158
105976,99350,81,38017,35750,80,2027,1871,25,3246,3546,31,6661,6834,42,10881,10420,56,245905,235763,97,0.237197
133803,108848,97,57203,46820,89,2272,1572,27,3022,2620,36,6616,5360,49,11071,8706,61,242821,199994,106,0.251208
197024,155949,100,97903,78428,96,3749,3031,35,5204,4372,43,12464,10619,64,19894,16199,84,433163,365075,105,0.274227
74545,74533,79,23276,22838,66,1260,1215,14,1771,1411,17,3822,3465,35,6280,6162,42,137720,134533,93,0.297246
162098,134443,91,65332,53932,90,2385,1802,30,3801,3411,35,8806,7377,55,15332,13619,70,326084,273909,108,0.299248
186582,144999,113,65116,50966,96,3343,2824,31,4801,3967,41,9393,7233,54,15364,12255,79,312093,266360,111,0.303251
185023,147436,94,70988,56340,93,3898,2932,38,4902,3955,44,11126,9348,60,18132,14167,84,388858,334140,101,0.303251
70113,69677,77,31957,31771,76,1136,1076,7,1760,1796,18,3753,3546,35,6309,6340,50,134130,130683,82,0.305253
102322,99119,80,36686,35587,79,2055,1801,22,2985,2603,31,5888,5803,43,11286,10912,60,249395,237236,97,0.312259
110434,106289,84,43421,42025,81,1518,1659,22,2959,2900,29,6284,5669,43,10767,10464,52,228223,215921,96,0.328272
91266,89136,80,26445,26030,76,1511,1626,16,2060,2029,23,5703,5845,40,9508,9815,48,205368,198989,95,0.331274
97135,90313,85,42572,39235,82,1685,1209,18,2223,2622,25,4958,4439,41,9782,8285,67,183443,168558,90,0.348289
255383,196562,122,88790,68786,110,4222,3810,36,6445,4877,51,15489,12549,69,21251,16976,80,482083,383653,127,0.354294
321428,233036,129,188625,144366,121,6973,4828,43,10005,7661,58,22287,16469,88,34784,25555,119,758145,553411,133,0.355294
154688,140994,91,58067,53152,88,2279,2212,23,3926,3683,35,7745,7332,48,14186,12831,62,318138,287040,100,0.357296
164310,147483,90,63573,55229,90,3002,2665,30,4776,4233,38,9032,8078,58,15496,13814,68,326798,299636,107,0.358297
81427,81346,80,29669,29672,75,889,922,0,1683,1647,23,3995,3809,34,5990,5834,42,133470,132018,93,0.378313
94027,92775,84,32725,32054,78,1415,1395,16,2243,2034,27,5645,5198,41,10308,10410,62,202804,195188,94,0.379314
212540,173482,98,125681,108344,97,5676,4902,39,9148,7653,61,18586,15654,78,32065,26273,98,676870,571422,113,0.379314
101354,98501,87,30467,30426,77,1384,1317,15,1915,2179,22,4884,4631,40,8112,7609,51,171244,165009,92,0.393326
213391,169384,100,77994,62092,97,2965,2393,32,4271,3490,43,9105,7527,52,16093,12989,82,339334,266724,111,0.402333
59587,59141,78,26295,26387,73,905,785,0,1417,1460,19,2632,2586,27,4549,4312,37,91997,91231,91,0.405336
53826,49933,90,24371,24108,70,1112,1126,9,1047,1220,13,2993,3001,32,4721,4288,41,124454,125828,76,0.406337
127019,107410,90,39421,32537,87,2345,2045,25,2981,2793,30,7651,6897,51,13173,11570,64,264876,228481,105,0.408338
256293,178089,114,97715,70580,111,4220,2733,38,6763,5327,52,13615,9559,72,21731,14904,84,487482,358178,128,0.409339
219505,165107,116,82942,63059,99,3127,2201,33,4834,4140,44,10162,7816,60,17708,14115,76,378229,296628,117,0.414343
150126,126892,92,42042,35160,88,2337,1929,25,3374,2891,36,6541,5420,50,9823,8489,59,246181,211404,105,0.432358
152849,130060,92,65291,55438,91,2485,2232,25,4316,3361,52,7727,6794,49,13447,12006,58,280615,247339,107,0.441366
144866,132951,94,78076,73221,87,2752,2817,28,3178,3183,37,7745,6986,48,12180,10955,62,281184,239359,96,0.456378
101241,92963,90,41568,39254,81,1560,1410,18,2391,2130,27,5707,5241,43,9945,8975,53,206192,192662,95,0.45838
217684,171599,104,75416,59231,97,3787,2901,35,5473,4032,46,11295,9243,65,20051,16083,75,397975,337577,112,0.463384
153157,141356,95,67039,62326,88,3874,3669,34,6129,5250,46,12360,11496,65,20883,20005,90,453006,420400,105,0.466386
89243,87096,83,34116,34028,78,1443,1309,19,1950,1858,22,5171,4588,43,8377,8045,49,184803,180398,93,0.481399
148428,129527,101,62830,55235,87,2360,2398,26,4130,3696,36,8688,8024,57,14732,13368,79,301832,279982,100,0.483401
162873,142098,91,59373,51270,89,2498,2302,26,3969,3766,33,7749,6850,51,13069,12027,66,268779,251754,104,0.483401
143346,133071,86,52864,49229,84,2403,2717,25,3561,3201,35,8664,7885,51,15759,14193,67,320324,289053,97,0.487404
29722,28795,65,15040,14598,51,660,601,0,358,640,0,1379,1311,16,2522,2524,27,56400,58124,77,0.491407
294883,214636,125,143534,110102,117,5193,3704,44,6467,5063,47,14824,11576,67,23678,17649,92,506281,381724,131,0.49441
84653,81438,87,27764,27072,76,1497,1276,15,2359,2338,25,4113,4304,34,7831,8154,44,171022,167794,92,0.51943
97645,95144,80,31732,30465,79,1547,1273,17,2765,3063,27,6183,5914,47,10146,9637,60,232588,222041,95,0.523434
168342,129320,103,57035,43814,92,2730,2124,29,3916,2948,35,8962,7113,55,15364,12022,72,333735,258289,110,0.523434
121389,116318,84,61106,58704,82,2522,2255,29,3737,3301,36,6150,5593,44,11077,10141,62,241887,220516,93,0.529439
157257,146591,88,94744,88265,89,3133,2917,30,5334,4742,39,10517,9448,62,15954,14304,67,328355,306084,102,0.53144
157268,134900,108,60334,51776,90,2941,2658,29,3889,3618,32,9200,8646,53,16674,15281,69,369017,348597,102,0.541449
144855,124500,88,60206,51684,88,2267,1832,26,4047,3282,38,7636,6546,51,13735,11400,66,304667,265883,105,0.548454
82732,80033,82,26246,25804,76,753,923,0,1620,1460,22,4051,4250,34,7465,7225,46,160921,155263,94,0.552458
168801,152923,97,78885,74297,88,3741,3486,31,6107,5087,45,12054,10481,60,19000,15634,80,406987,338048,101,0.559464
183436,145156,99,78598,63052,96,2750,2067,31,4012,3299,41,8817,7686,52,12767,9998,66,305540,249041,113,0.564468
153892,136719,89,47502,41547,87,2161,2036,24,3843,3465,33,8100,7358,49,12607,11281,60,294239,266922,104,0.574476
93283,91475,81,43268,42620,79,1406,1434,13,2134,2213,21,4980,4770,41,9550,9559,52,211329,196433,96,0.578479
205912,159737,105,85824,66781,99,3423,2383,36,5530,4091,48,12301,9272,63,21436,16899,94,475531,371540,115,0.583483
125531,107941,94,51045,43769,86,2051,1834,22,2925,2637,29,7341,6288,54,11948,10243,59,265185,240195,99,0.590489
148579,118646,94,49963,38708,91,2462,2107,27,4208,3193,41,7823,6646,49,14511,11487,78,318471,257695,105,0.616511
143792,124346,91,44008,37377,87,2005,1600,22,3281,2976,31,7491,6302,51,11583,9514,63,253670,221808,100,0.619513
189673,143015,98,85756,62531,97,3718,2757,37,4798,3330,48,10860,8024,68,17998,13217,87,379670,289853,111,0.621515
119409,110982,87,55007,50911,84,1796,1691,20,3675,3401,36,6203,5691,42,11989,11783,62,227963,213631,101,0.626519
153970,122754,94,65198,52590,93,2324,2055,25,3060,3276,33,7173,5847,55,12742,9682,73,281099,227843,109,0.62752
181822,163055,90,92829,82091,90,3540,3168,32,6038,5058,46,12052,11150,60,19125,17184,83,418992,382883,107,0.632524
147127,138810,92,101973,97415,87,3859,3542,32,6180,5593,48,12942,12308,65,21107,19359,79,430114,398994,103,0.634526
105937,96815,98,44338,40341,83,1757,1590,20,2589,2477,27,5309,5371,40,9181,8017,59,189006,179370,96,0.646536
167123,131693,112,62025,49002,94,2491,2101,25,3527,2897,35,8212,6403,53,16258,12590,77,334181,272875,112,0.665551
183241,153337,97,78585,68155,93,3553,2836,33,5403,4704,45,9841,8680,58,14918,13028,66,340132,304785,111,0.667553
163537,151791,94,61255,56841,86,2871,2606,27,4205,4018,35,7970,6995,54,13400,12142,67,288450,262984,95,0.673558
