"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
97749,92894,96,32216,31388,79,1539,1517,19,2412,2046,28,5470,5339,41,9463,9862,56,201190,186568,97,0.188167
181843,145510,99,62274,49052,96,2798,2186,30,4705,3528,40,10320,8511,54,18221,14655,80,391515,321795,114,0.441391
92376,88219,82,40276,38581,80,1306,1243,12,2009,2050,24,4274,4169,36,7589,6919,48,163409,154808,92,0.513455
158653,128004,97,66064,54441,93,3009,2457,31,4690,4309,38,10840,9314,58,11578,10006,64,299208,271003,104,0.569504
99601,96466,85,44995,43538,82,1808,1686,20,2624,2305,27,5863,5356,45,9229,8636,59,196058,179411,96,0.659584
98513,93309,84,41635,40062,80,1792,1575,19,2787,2659,28,7220,6541,50,13288,12203,60,246999,237079,97,0.707627
99980,97164,80,70890,70125,81,1884,1940,20,2633,2642,26,6221,5778,45,10311,9979,62,231252,221466,97,0.738654
125108,113073,102,46103,41547,85,2201,1973,23,3325,3274,33,7805,7008,47,13005,11451,65,295289,259533,96,0.927822
109302,105342,86,27664,26819,81,2061,2023,21,3481,3146,32,7479,7542,46,13942,13876,62,282823,272462,99,0.976865
95045,91914,81,31953,30896,78,1590,1485,19,3110,2682,29,5047,4908,38,8550,8356,47,186045,176599,96,1.13
30572,27609,59,92534,78409,81,3803,3300,34,3725,3988,35,8690,10631,37,15529,19171,38,5555,22501,23,3.45206
29057,28142,70,20467,20329,55,874,789,0,822,733,0,2210,2328,25,3618,3671,32,74104,76075,71,3.53513
25269,24555,68,19251,19175,59,487,598,0,883,1225,12,1316,1486,19,2346,2456,26,50224,53683,67,3.54314
103282,94050,87,48528,44297,83,2147,1860,23,3640,3391,35,7141,6206,49,12424,10681,70,280357,247996,93,3.56816
159302,143405,90,84649,77673,90,3947,3552,32,5112,4612,43,10963,9481,58,17864,16214,73,384962,336310,103,3.58317
89299,85437,82,60897,59528,81,2891,2643,29,3534,3648,34,7812,7076,52,13107,12994,60,276627,264361,90,3.58718
105176,98316,83,45023,42854,81,1793,2033,21,2892,2573,29,6162,5829,46,10121,9669,61,220808,204780,95,3.59819
117558,106137,102,55971,50719,102,2522,2386,26,4175,3694,35,8947,8031,58,13123,11951,66,316593,295236,102,3.59819
105593,94571,90,60100,53930,85,1759,1262,21,3004,2975,31,5318,4916,40,7926,7203,49,178672,169066,94,3.60219
105603,101617,83,50813,49395,80,2052,1903,23,3891,3519,34,7195,6993,45,12516,11493,56,259911,241218,95,3.6082
212662,164213,101,72683,54106,100,4830,3710,40,6278,4882,48,13092,10436,61,22080,17652,82,477313,405388,109,3.6082
132295,111873,95,55811,47957,88,2206,1911,24,3145,2865,37,6668,6375,47,12166,10872,63,262142,250237,103,3.6112
112120,109870,84,32682,31824,80,2209,2206,23,3207,3321,30,7767,7572,48,13537,13034,72,296433,285120,99,3.62921
116382,108256,85,45146,42110,84,1959,1805,22,2555,2431,34,7613,7317,45,11895,11719,56,264626,251958,97,3.62921
96937,94052,80,27069,26595,74,1905,1906,22,3012,2650,30,6648,6439,45,11395,10854,63,248969,235577,96,3.63022
161231,144871,94,75310,66931,90,2511,2688,25,4162,3838,41,8986,8019,52,15315,13353,80,335820,294074,97,3.63422
95236,92542,83,32622,31751,79,1685,1628,19,2684,2679,26,5791,5432,42,10536,9898,59,208965,205757,87,3.63722
84870,82849,80,24608,24107,70,1312,1289,13,1775,1916,23,5226,5108,41,9337,8535,56,191277,184107,95,3.63822
236866,163845,112,88555,62277,107,3849,2676,38,5828,4373,52,13079,9039,67,19221,12784,79,420686,300786,125,3.64223
131759,125135,89,26843,26253,68,2822,2542,28,3327,3309,30,6920,6899,45,10835,9947,65,243863,222858,99,3.64223
97322,93048,82,38293,35998,81,1476,1597,17,2406,2399,26,5909,5771,41,8443,8271,52,207146,198209,97,3.64423
136083,120668,95,54536,48319,87,1916,1606,21,3118,2576,34,7307,6554,48,12875,11064,71,276895,253584,105,3.64523
214158,173148,120,113313,94250,120,5118,4426,38,8133,6924,62,16978,14549,78,26483,23502,102,584336,506589,120,3.64523
117479,104258,88,63550,56212,86,1557,1321,18,2644,2320,32,5178,4757,41,8219,7114,51,176394,162245,101,3.64523
214372,155931,104,74840,54325,101,3434,2680,36,4837,3385,44,10543,7788,56,17338,12979,72,382027,292692,116,3.64623
113633,108134,86,52813,49691,83,2061,1665,25,2902,2961,29,7810,7632,44,13137,12752,77,289296,284701,98,3.64923
162063,142951,90,129571,117856,93,3920,3525,33,6079,5345,45,11527,10280,66,19663,17543,87,422888,396452,105,3.65023
209248,150300,102,89677,65112,100,3866,2543,39,5660,3851,52,11800,7992,64,18263,13814,78,428755,317309,115,3.65023
89862,86423,79,37236,35718,79,1438,1434,17,2366,2309,27,4803,4429,37,8211,8434,47,183215,175131,89,3.65123
63410,58188,86,26637,25375,76,1382,1315,12,1337,1554,15,3200,3169,31,5184,5047,40,117556,112692,82,3.65224
170830,147046,109,59724,52183,91,3283,3177,29,4467,4060,41,8789,7370,51,15172,12603,72,292751,238079,98,3.65424
91307,89959,90,43129,42660,79,1536,1722,18,2082,2161,24,5441,5419,41,9060,8601,55,188988,185279,95,3.66725
92534,90213,81,32418,31704,78,1205,1170,10,1540,1765,23,4976,4454,42,7186,6611,49,184428,185517,83,3.66825
239502,183602,117,128975,102729,109,5441,4213,39,8941,7234,54,20077,16074,87,35148,27624,109,745383,599044,123,3.67025
165192,145927,90,61638,53522,89,2364,1891,28,3956,3549,35,7245,5960,49,12687,10340,73,269567,221058,95,3.67025
29151,30036,67,12284,12488,45,277,380,0,552,652,0,1651,1649,20,2128,2243,22,55681,56921,81,3.67726
101991,92202,89,26887,24078,77,1297,1401,14,1763,1762,24,5280,4714,40,8459,7865,52,194707,183208,99,3.67826
