"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
163789,151524,105,55168,52041,86,2390,2100,27,4339,4005,40,7964,7185,49,12067,11115,60,264136,240185,105,0.0080048
44719,45711,63,16875,16909,50,346,353,0,1237,1320,15,1986,1940,22,3519,3118,33,75093,73870,86,0.0130078
105559,103165,84,45225,43966,80,1407,1414,16,2265,2056,25,4707,4537,37,7654,7308,50,171453,164930,98,0.0180108
93759,90382,87,52405,52250,80,1567,1550,16,2478,2224,29,5781,5634,43,8891,8943,49,201888,195035,97,0.0190114
108398,106260,83,45501,44692,81,2037,1967,23,2721,2680,30,6414,6148,45,10850,10381,52,227794,217514,98,0.0190114
142210,124965,89,57888,50446,87,2115,1601,24,3967,3623,35,7935,7142,49,12216,11179,59,256310,228597,104,0.0230138
103415,101161,80,42623,40705,80,1396,1269,16,2615,2725,27,5908,5725,42,9332,8928,56,190683,186185,97,0.0380228
46803,46655,73,22599,22659,64,773,770,0,565,1093,7,2019,1964,24,3320,3392,33,76258,73951,88,0.0390234
149700,129129,100,45809,39257,87,1834,1408,23,4033,3575,36,6789,5995,43,11481,10408,55,243670,217735,105,0.040024
85059,82416,82,29004,27668,78,1127,1210,11,2431,2243,27,4828,4691,38,7616,7274,46,163347,157671,96,0.0420252
153238,145071,89,75048,71230,87,2821,2766,27,6497,5599,45,12511,11126,64,21244,18830,86,483390,421791,104,0.0610366
151783,122463,95,58246,45771,92,1859,1411,21,4064,3426,39,8033,6848,53,14370,11543,65,290414,229321,109,0.0680408
228496,166405,109,70742,52672,105,3173,2085,37,5469,4255,45,10650,7934,65,17196,12303,83,355582,275330,124,0.0770462
51676,50955,75,23286,23742,69,465,510,0,957,768,0,1967,2285,23,3616,3521,34,75744,76134,89,0.0790474
99555,91049,87,47134,43292,83,2027,1976,24,3623,3311,32,5991,5480,42,9834,9567,51,209347,200904,99,0.0820492
75353,74587,79,25917,25591,75,1150,1298,12,2192,2278,25,4445,4766,34,8278,7647,48,180886,173549,93,0.0970582
163482,138518,92,74338,63090,92,2372,2198,24,4102,3262,36,8209,7006,53,13863,11397,64,287495,243571,109,0.0990594
197838,148990,106,77422,58335,103,3230,2377,34,5515,4377,46,9748,7126,60,16879,13167,71,366431,279684,121,0.119071
100860,96963,81,40432,39299,79,1256,1378,14,2134,2152,28,4888,4803,37,8062,7794,51,186301,178291,97,0.129077
126965,112570,89,47917,42617,85,1734,1560,20,3447,2970,34,7794,7099,51,13741,12653,61,280725,255108,103,0.141085
114943,101742,94,48445,42024,87,2187,1812,26,2812,2656,33,5449,5013,41,10247,8917,56,197206,179627,102,0.144086
103510,99591,86,37207,35553,79,1607,1442,17,2612,2626,30,5223,5134,41,7910,7823,50,177324,171855,95,0.149089
95160,93820,80,21499,20962,60,1799,1781,20,3022,2879,29,6272,6353,41,10221,10146,57,232263,217718,96,0.152091
149130,121193,97,61712,50536,92,1988,1551,23,3641,3244,39,6787,5626,48,10597,9202,57,219988,178155,109,0.153092
317178,211235,121,109442,73804,116,6451,4011,50,9819,6494,61,19068,13580,82,30572,20672,120,659058,471318,134,0.161097
230400,196157,110,112590,98625,99,5039,4240,36,8244,7379,49,16942,15781,70,25685,22168,90,579582,515192,117,0.175105
145635,121556,97,54765,45898,89,1648,1755,17,3780,3226,37,8131,7134,52,13497,11645,64,288673,244321,107,0.187112
99234,98599,81,39406,39048,79,1816,1721,22,3823,3443,33,6625,6392,44,11355,11171,58,239655,229029,94,0.201121
169073,151474,94,99100,92178,90,3328,3214,30,6724,5909,46,13115,12156,61,21939,19220,92,433329,380527,107,0.205123
337683,220779,133,110214,70265,130,4825,3166,43,8477,6213,54,16791,11387,70,27550,18460,107,581028,391531,148,0.227136
213887,175703,102,94584,79386,102,3211,2715,31,5879,4959,44,11886,9914,60,18575,16081,75,412837,365674,116,0.232139
181494,155567,96,51244,43658,90,2125,1918,24,4567,3988,35,8093,6969,51,14047,12221,66,282584,251245,110,0.239143
202981,157366,99,71410,54618,97,3335,2261,37,4706,3867,42,9697,7549,56,16707,13784,73,341091,263857,115,0.246148
97076,93642,91,28235,27838,78,974,1203,11,2806,2831,28,5521,5403,41,10348,9332,59,207924,194340,97,0.254153
163185,146487,91,89022,81098,90,3526,3129,31,5523,5106,41,12824,11506,61,21163,19692,77,456732,417866,107,0.262157
63108,60133,80,23038,22474,68,532,599,0,1039,874,0,2367,2259,26,3972,3725,36,82975,81053,92,0.263158
88684,82808,85,24380,22577,74,1461,1267,13,2240,2306,24,4150,4206,34,7283,6934,46,161425,159156,97,0.264159
84370,83785,78,27834,27620,76,1906,1797,19,2314,1739,28,4789,4838,37,7696,7389,55,181496,175880,94,0.268161
92677,90544,83,29113,28857,78,1454,1370,15,1772,2001,23,4922,4570,40,8540,8379,51,179217,169874,96,0.271163
119035,102214,89,49004,42110,85,1695,1577,20,3380,2597,35,6767,5961,45,10943,9837,55,245179,219729,102,0.272163
188797,147145,106,88851,71463,97,3132,2574,32,5134,3929,45,11254,8918,64,18787,14907,80,420108,325524,113,0.274164
60717,59221,79,27926,27392,74,985,995,0,1517,1317,18,2933,3102,27,4605,4498,38,108544,107334,87,0.275165
95663,92492,82,17321,16778,54,1645,1484,19,1953,1763,25,4536,4112,39,6942,6534,45,150934,145041,97,0.302181
50255,49908,86,19782,20052,55,634,752,0,1298,1246,15,2100,1971,24,3583,3319,33,74598,74919,88,0.306184
115942,103987,86,38785,34120,83,1785,1583,22,3137,3120,31,6349,5587,46,10001,9010,56,215586,193031,101,0.313188
146689,117563,93,54163,42716,91,1897,1664,21,3713,3505,36,7309,6170,51,12266,10235,68,278180,230719,109,0.325195
112437,109108,84,53857,52531,83,1590,1779,19,3434,3267,33,6303,6129,45,11853,11612,52,226943,218114,99,0.332199
101138,100528,81,40278,40178,80,1694,1630,19,3000,2897,34,6146,6110,39,11136,10573,58,240195,225140,97,0.343206
160741,139826,93,72756,63460,91,2301,2072,26,3690,3462,35,7797,6777,51,11526,9874,58,266741,240080,108,0.353212
134351,116220,92,54577,47414,88,1684,1403,20,3428,2763,37,7203,6137,49,11773,9594,69,265502,225869,104,0.356214
160285,131438,97,67346,56522,92,2175,1691,26,4442,3536,41,8178,6804,53,14656,12398,75,305128,255178,110,0.36622
90007,87101,82,31363,31285,77,1332,1501,14,2061,1927,27,4995,5025,40,8232,7897,49,181411,178041,96,0.372223
86530,84203,78,16165,15903,50,996,1086,6,2241,2005,23,4568,4864,36,7644,7400,47,173876,171108,95,0.372223
128274,109403,94,53586,45911,89,1676,1510,18,2475,2310,29,5393,4519,44,10076,8526,55,206295,176251,105,0.38323
102819,99377,82,29038,28504,78,1511,1498,14,1580,1925,21,5625,5325,40,9709,9369,62,207999,198383,97,0.411247
97800,94266,80,30852,29317,80,1828,1893,19,2486,2423,29,5596,5493,42,9828,8800,53,204160,198012,96,0.418251
185128,140845,104,70553,55092,97,2682,2416,27,5833,4131,51,9960,7762,59,16121,12642,74,366316,285971,116,0.424255
75506,76036,79,15932,16209,48,1233,1366,11,1855,1585,18,3902,3930,33,6180,6046,44,133553,129449,93,0.431259
149583,128635,97,51889,43287,89,2166,1779,27,3741,3014,35,7660,6877,51,13427,12488,60,287415,253723,106,0.437262
83868,82884,80,32673,32468,77,1275,1072,7,1753,1892,23,4127,4179,34,7163,6812,53,152440,149709,96,0.446268
113975,112606,83,54009,52911,80,1931,1952,23,3200,3289,31,7066,7119,44,11565,11570,60,267316,256073,97,0.452271
98754,99268,78,27796,26850,75,1719,1587,19,2733,2790,27,5848,6060,40,8272,7717,54,196758,197174,95,0.453272
98989,94934,82,28842,27861,79,1041,1284,10,3045,3230,30,5910,5859,40,9667,9024,51,215978,209405,98,0.454273
139965,134844,87,103415,99868,86,1859,1552,20,3880,3274,37,7129,6688,45,12013,11288,60,250590,232093,96,0.454273
91000,90325,82,38678,38309,79,1027,1015,4,1771,1750,24,4760,4733,36,7340,7281,43,176659,173163,92,0.455273
62774,61740,82,22000,22210,63,720,837,0,1698,1421,17,2710,2517,28,4052,4275,32,99108,95567,92,0.46728
123240,113776,91,48795,44830,85,1686,1592,20,3005,3224,29,7137,6896,45,12129,11270,61,260313,249660,102,0.480288
160377,122033,98,62469,47169,96,2303,1712,30,4286,3132,39,7569,6104,50,12468,9495,64,264778,196402,112,0.487292
176558,141980,112,71563,58575,95,2657,2353,27,4104,3771,37,9139,7646,54,12752,10191,64,289729,241878,112,0.492295
229623,163837,117,81470,56992,109,3675,2552,38,5680,4307,44,11245,8800,58,19638,14114,78,401925,294112,126,0.495297
120181,112797,86,52070,48474,83,1781,1697,19,3767,3635,36,6844,6364,45,11911,11357,61,237817,219629,100,0.514309
187734,152239,95,67584,53221,94,2930,2096,33,5119,3802,44,9829,8009,60,18049,14850,84,370451,298142,111,0.518311
194557,158705,103,67201,55080,93,2769,2224,30,4822,3966,40,9588,7810,61,16200,13079,70,343280,280063,112,0.521313
202548,167582,98,80472,68051,96,2612,1839,28,5500,4675,44,10548,8852,59,19705,16086,78,392905,333751,115,0.521313
150409,139811,88,61643,56946,88,2708,2443,27,4694,4178,36,10528,10765,55,17946,16854,71,390497,360844,105,0.527316
120900,112730,89,38961,37452,81,1980,1884,21,2776,2818,31,6219,5583,43,9500,9105,54,203810,190227,101,0.531319
130655,125752,86,60574,58539,83,2146,2039,22,4065,4073,33,8496,8312,48,13592,13130,62,301167,287278,98,0.541325
188245,145746,103,75834,60086,95,2761,2347,28,4807,4005,42,9429,7541,56,14761,12076,68,336440,269247,113,0.543326
45316,45586,76,17198,17309,52,817,715,0,682,921,0,2364,2500,25,3589,3704,32,78666,79714,86,0.54933
174852,140303,104,72230,58100,93,2560,2064,29,4734,3962,39,9966,8199,60,18233,14146,83,374095,316594,110,0.552331
124835,116758,92,43873,41933,82,2063,1673,23,3566,2917,33,6871,6360,44,12699,12072,69,253937,236658,101,0.559336
82508,80423,84,23136,22907,67,1064,1125,9,2269,2112,27,4887,4840,40,7256,7071,45,161700,156313,95,0.56634
143410,117774,91,60266,48562,91,2195,1630,24,3442,2988,36,8050,6812,50,14656,12151,70,314570,264153,107,0.571343
99473,96099,89,33382,32721,78,1583,1471,17,2613,2321,30,5133,4952,38,8613,8608,55,193059,184458,92,0.574345
74298,73845,77,31279,31161,75,935,983,0,1781,1839,18,3838,3991,34,6351,6328,41,138100,135741,92,0.582349
152845,142953,91,94649,90172,87,4013,3698,32,7202,6540,48,12317,11540,57,19524,18402,71,408942,369902,104,0.58335
71762,70208,83,24258,23930,71,957,961,0,1821,1733,21,3387,3473,31,5672,5151,46,107191,102757,93,0.585351
142330,117334,92,54489,43284,90,2467,2288,27,3345,2820,37,8277,7129,53,14673,12248,73,308699,256384,107,0.601361
91347,89352,82,32711,31635,78,1538,1568,20,2555,1987,27,5396,5394,38,9244,8589,59,197379,190868,96,0.611367
64845,64571,77,22776,22332,64,799,845,0,1484,1381,17,2882,2868,29,4722,5030,35,100136,96605,92,0.622373
98905,98335,80,22957,22616,75,1646,1685,17,3150,2778,32,6729,6592,43,10462,9943,56,224107,211198,95,0.625375
123784,104664,96,46955,40290,87,2157,1525,23,2765,2434,31,6032,5212,44,10645,8975,58,204514,170611,105,0.63338
102820,98665,84,39771,39122,81,1826,1779,21,2614,2784,25,6286,5783,46,11000,10435,63,228295,217077,99,0.636382
94566,93548,82,34040,33771,78,1416,1620,16,2395,2489,26,6415,6405,43,10584,10723,52,216637,212231,97,0.648389
100586,90759,84,39109,34576,83,1530,1445,16,2074,2043,27,4674,3922,40,8578,8206,48,173603,153210,100,0.655393
