"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
71660,70801,78,15927,15793,49,1151,881,0,2060,1701,23,4167,4271,35,6126,6585,43,147404,146717,93,0.0490589
157464,130415,94,57149,47832,92,2178,1748,25,3593,2985,36,8763,7137,56,13774,11651,79,305631,255902,110,0.0640769
177493,140215,97,58971,46178,91,2249,1825,25,3976,3083,38,8834,7025,57,14430,11414,76,322927,248368,110,0.0841009
107812,103827,84,40880,40000,80,1019,1057,7,3139,2577,32,5471,5507,41,8167,7673,50,185455,173053,99,0.141169
128755,123937,90,50603,48546,82,2232,2131,23,3692,3565,33,9440,9476,52,13592,13272,68,321759,308425,99,0.154185
117586,107834,95,64139,59070,85,1512,1568,17,3845,2772,39,6921,6382,45,10635,9312,62,246510,233010,100,0.162195
99195,94882,81,38588,36129,80,1295,1201,12,2795,2728,28,5636,5206,41,8697,8612,47,198302,185097,98,0.167201
129111,112187,93,47454,39740,88,1549,1286,17,2653,2579,28,6719,5727,46,9778,8583,58,232154,192523,104,0.177213
134078,112882,106,50125,42340,89,1318,1132,10,3138,2572,33,5667,4622,47,9106,7388,58,200937,169605,106,0.18322
133980,112896,91,49538,41305,89,1907,1644,21,3059,2827,30,7023,5810,49,11973,10028,59,250237,217387,106,0.185222
57779,61316,73,24165,24119,69,640,809,0,1300,1569,18,3317,3687,29,5036,5286,35,120499,120269,89,0.205246
97082,94722,91,33000,32584,78,1374,1529,15,2773,2727,26,5806,5689,42,8788,8451,52,210811,207442,97,0.219263
148150,125362,91,55012,46019,89,1552,1418,18,3748,2751,34,6569,5484,49,10629,9416,54,234719,195955,106,0.26632
100788,94231,89,40267,37573,81,1204,1347,13,1976,2261,25,5955,5795,43,9607,9371,50,196263,188035,99,0.284341
234635,173947,106,89774,66423,103,2799,2241,31,6070,4100,51,12028,9349,61,18237,13823,85,398525,308727,121,0.290348
132637,114525,91,45555,39153,88,1947,1809,22,3604,2882,37,7898,6739,48,11677,10685,58,285213,249141,106,0.293352
143532,123572,90,67407,58746,90,1484,1578,16,3543,2814,35,6402,5693,44,10566,9596,55,227412,203885,105,0.305366
145863,136486,92,64358,59382,91,1893,1651,25,4734,4304,38,9343,9006,51,15702,15651,72,337246,326486,107,0.311374
150335,131851,97,48560,40701,90,1836,1592,22,3550,3349,32,6825,6128,47,11940,10358,68,258404,225691,107,0.346416
315955,221386,122,148651,107109,121,4339,3021,40,9057,6567,55,19723,13829,80,32127,23238,115,716837,524981,139,0.355427
108255,102254,85,40737,37443,82,1448,1536,16,3099,3067,30,6928,6445,46,11253,10457,57,237058,222509,98,0.367441
96155,93751,80,23256,22874,69,1652,1511,18,2353,2478,27,5987,6036,41,10550,10276,57,213517,207217,96,0.381458
116127,110768,94,40142,38994,80,1811,1491,22,3745,3058,39,5888,5382,43,9376,8300,62,206488,187841,96,0.386464
51251,50831,76,19711,19391,59,713,912,0,1539,1464,17,2121,2143,22,4130,3978,37,74258,71391,89,0.393472
75440,73544,89,12784,12754,45,1044,1206,12,1909,1783,21,4574,4596,35,7293,7321,42,161840,155185,93,0.400481
169948,154465,92,55419,50408,87,2662,2142,29,5179,4778,39,11028,9799,58,18193,16589,75,388158,362563,106,0.405487
102756,96421,90,27199,25756,78,1056,1107,11,1965,2165,23,5186,5219,38,8045,8045,47,198027,195170,97,0.411494
208910,163642,107,83457,65944,99,3237,2299,33,5579,4541,40,11430,9031,58,20844,16554,80,430620,351544,116,0.415499
133240,109878,90,58077,46364,91,1747,1576,21,3917,3072,40,7075,5629,47,10984,9348,57,248021,215773,107,0.423508
74268,74295,79,26592,26505,75,932,887,0,1966,1880,25,4558,4657,36,6708,6254,45,155119,152652,93,0.425511
160427,127139,103,66586,54046,94,2167,1429,24,3763,2623,39,8572,6676,54,13598,10498,68,309416,232455,112,0.452543
86575,84377,79,31630,30952,79,1451,1194,14,1862,1688,20,4608,4179,37,7407,7057,44,155674,148856,96,0.479575
125444,112907,90,53562,48542,86,1934,1837,23,3335,3046,34,7872,7528,48,12172,11510,61,251713,236253,102,0.480577
31629,32413,66,13544,13546,47,256,357,0,410,533,0,1393,1375,14,1977,2311,22,46762,44012,83,0.486584
107829,98003,87,45477,41415,84,1846,1719,19,2923,2476,31,5872,5560,41,10274,8904,59,225600,210559,101,0.490589
