"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
212965,160774,105,82884,63525,100,1736,1234,21,4433,3628,41,9636,7509,56,12628,9874,62,372547,289776,118,0.0144146
24905,25541,56,11721,11754,46,360,355,0,437,349,0,1429,1240,14,1851,1901,22,48699,48142,76,0.0257403
62552,61438,79,17163,17294,52,496,508,0,966,919,0,2575,2629,28,3321,3270,31,96911,96151,91,0.02677
27541,28225,63,6766,6772,38,443,409,0,671,558,0,1445,1456,18,2175,2301,24,59232,57470,81,0.0329476
38618,37495,78,9710,9767,41,136,235,0,476,720,0,1708,1680,18,2300,2061,25,64071,64928,86,0.0741322
171318,136529,97,56041,43956,92,1497,1267,16,3513,3102,37,7483,5693,51,10104,8499,54,298937,245552,111,0.0988429
39921,39833,76,9170,9278,41,386,353,0,1000,844,0,1725,1693,21,2866,2825,30,82214,84870,86,0.112228
27190,26786,68,12474,12741,46,235,356,0,356,415,0,1508,1309,17,2188,2447,24,54142,54487,81,0.114287
142764,135446,91,78400,74948,88,1882,1815,20,3502,3317,33,7607,7195,49,11579,11157,58,344662,321171,104,0.116346
91311,91722,80,42504,42269,78,948,777,0,2154,1821,23,4507,4277,37,6313,6942,43,184176,182576,95,0.140027
44220,46114,60,20606,20759,61,294,266,0,515,756,0,1694,1793,21,2619,2494,30,74819,71462,87,0.157531
218470,163879,105,79869,58549,102,2465,1940,25,4698,3690,49,12452,9640,61,18541,14631,78,512923,398967,119,0.15959
167125,140381,94,44633,36381,89,1930,1549,21,3229,2996,37,9316,7881,54,12278,10019,65,339165,281927,108,0.162679
105770,103193,95,42879,42139,79,1230,880,0,2261,2471,26,5848,5890,38,8395,7506,53,243310,235924,98,0.229604
93927,91234,96,19818,19705,57,890,794,0,1821,2100,22,4381,4243,36,6682,6590,43,168339,166259,96,0.26667
49613,50694,68,16684,16643,50,328,322,0,1092,716,0,1943,1939,23,2576,2555,27,77854,81074,89,0.273877
43220,44489,67,5323,5485,34,326,404,0,827,714,0,1942,2050,21,3054,3358,28,84909,85131,87,0.281085
256695,175727,117,107062,76111,114,2513,1574,26,5760,4016,47,12794,9244,67,17191,13378,82,493812,351020,132,0.282114
104327,102220,82,25281,25027,75,1131,1032,6,2319,2324,23,5011,4679,39,6260,6280,47,197424,192029,97,0.291381
196260,153544,101,68148,52688,95,2027,1551,24,4445,3701,44,9799,8052,57,13263,10848,66,395329,313815,114,0.29241
22504,21620,69,6715,7019,37,112,229,0,227,639,0,1227,1312,14,1740,1562,24,43204,44759,77,0.358306
188597,146236,98,73239,57291,94,2080,1808,22,4249,3503,39,10868,8389,60,14193,10652,70,427955,341566,112,0.394342
101586,99089,81,25118,24888,76,1214,1113,9,2173,2331,27,5391,5271,43,7303,6874,46,211873,205123,96,0.409786
262378,195213,118,100377,74529,115,2895,2117,31,6781,4684,49,15227,11268,73,20440,14882,82,606298,463221,133,0.418023
22009,20423,75,9613,9865,42,382,347,0,315,440,0,929,1151,8,1375,1428,15,35555,37510,77,0.424201
112788,109140,84,25028,24803,71,1228,1209,13,2672,2637,29,4999,4931,37,8139,7225,49,222989,214422,99,0.42626
117177,114473,82,30842,29814,79,1306,1238,10,2919,2571,32,5835,5662,39,7900,7445,47,227708,215984,99,0.441704
209774,161085,107,75130,57711,99,2571,2131,25,4197,3653,38,10577,8370,59,14105,10499,71,419859,322705,116,0.500392
35396,35401,66,9916,10006,42,259,236,0,948,755,0,1815,1956,19,2297,2362,26,66862,65805,84,0.5076
17319,17030,58,7140,7415,38,231,190,0,512,547,0,912,943,0,1153,1227,11,38326,39581,73,0.517896
