"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
172968,140577,95,73586,60905,93,1520,1102,13,3142,2733,31,7346,5754,53,10333,8746,53,295983,238742,110,0
79112,77808,86,29150,28718,77,1042,905,0,1730,1681,21,2992,3006,28,4086,4053,36,98125,96561,93,0.00520291
159920,138636,90,71796,63072,88,2221,1504,28,3552,3000,35,6504,5437,48,9870,8355,59,217574,189899,107,0.00520291
171398,155663,97,75232,67472,90,2712,2267,27,4177,3891,41,8100,7727,49,10660,9960,59,242043,228367,106,0.00728408
87286,86070,80,19804,19361,60,1445,1496,15,2427,2180,29,3575,3908,30,4768,4932,38,116068,112493,95,0.00728408
85714,85506,81,29533,29149,78,1386,1286,13,1871,1709,21,3187,3112,31,4344,3965,35,107966,103636,96,0.00832466
91516,89524,83,39445,38894,78,1136,1089,8,1800,1897,25,4397,4411,35,5716,5092,42,137263,131485,95,0.0104058
27527,28482,68,10570,10668,43,471,499,0,294,737,0,760,797,0,1298,1522,15,45424,45684,81,0.012487
167442,125535,98,54256,39743,94,2302,1789,25,3069,2454,36,6891,5122,51,10493,7766,65,218913,165911,111,0.012487
93189,91487,80,30775,30786,78,1039,929,0,2435,1984,27,4533,4314,37,6786,6740,44,180215,173264,96,0.012487
170118,133006,107,69381,54104,93,2106,1910,22,3360,2880,37,8238,6089,56,15419,12374,73,394258,309973,110,0.0135276
160376,133097,95,50212,41679,92,2730,2221,28,3545,2975,34,6821,6011,47,10013,8510,52,221208,197401,110,0.0145682
148666,122807,93,71324,59804,91,1757,1251,20,3065,2492,34,5920,4933,47,8698,7630,55,207992,172876,108,0.0176899
281548,213358,117,188395,153475,116,6704,5026,44,10778,8226,61,21440,16705,85,30241,23066,114,579384,468843,126,0.0176899
317205,207277,133,121180,80924,131,4643,2977,43,7899,5360,53,14279,9331,71,21550,15312,93,542245,373690,148,0.0187305
207675,157748,101,84105,64137,98,2719,1966,32,4206,3450,42,10081,8015,58,16384,13365,72,450323,346063,115,0.0197711
125642,121695,86,57282,56100,82,2134,1948,24,3351,3627,31,8169,7792,50,13724,13496,69,353458,338741,101,0.0197711
195280,156726,103,74193,59920,94,2646,2273,29,4632,4109,37,9487,7801,55,12829,10727,70,290288,245658,113,0.0197711
168405,154451,88,113309,105620,89,2524,2297,25,3951,3839,35,9061,8297,54,12803,11915,55,333219,305374,106,0.0270552
51075,53398,72,17445,18361,49,697,837,0,917,874,0,2199,2273,24,3184,3108,28,67174,66362,88,0.0280957
103287,100028,86,39703,39024,79,1671,1757,19,2566,2276,27,5377,5711,37,9530,9222,51,256296,247028,98,0.0301769
157066,123737,98,62569,49157,91,1875,1555,22,2850,2404,39,7109,5890,50,12462,10140,63,332266,267084,109,0.0301769
160028,132204,94,57547,46579,93,2185,1818,27,3651,2720,42,7812,6653,49,10171,7883,62,237959,194428,109,0.0312175
144007,118198,94,52522,43478,91,1359,1311,13,2202,1745,25,5072,4012,43,6338,4820,51,187748,156724,109,0.0322581
115708,95299,89,42761,35205,87,1999,1502,21,2419,1967,31,4971,3861,43,6985,5994,51,144414,121494,104,0.0332986
175265,163961,93,93454,88097,90,4814,4516,36,8552,8059,51,13590,12709,63,19230,18490,83,376278,337590,104,0.0332986
146534,121786,93,54355,45673,91,1958,1681,24,3345,2936,33,6068,4961,48,8153,7261,50,195083,159152,109,0.0343392
115964,111761,85,51200,50614,82,1379,1308,17,2170,2529,26,5505,5269,41,8838,7764,49,237727,223883,100,0.0343392
156141,120808,98,50291,39196,92,2229,1646,27,3014,2356,35,6371,5266,48,9321,7491,53,209336,164710,110,0.0343392
141796,115206,94,50372,41455,89,2151,1820,24,2672,2022,30,5049,4278,42,8003,6286,51,181269,152556,107,0.0353798
45771,45701,71,14573,14659,48,525,515,0,729,837,0,1739,1780,21,2475,2982,24,65370,66317,87,0.0395421
69118,70633,76,21295,21154,62,827,812,0,1383,1221,19,2552,2435,30,4168,4483,34,102617,99471,92,0.0405827
47306,49491,72,21307,21842,59,593,502,0,891,793,0,1921,2027,21,2689,2286,31,66250,64802,88,0.0416233
