"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
83380,83236,78,24308,23955,71,951,944,0,1671,2066,19,4405,4079,37,6755,6746,43,204891,192727,95,0.0723297
310738,207980,127,95488,63762,122,4374,2665,42,7449,4586,55,16040,10666,73,21081,13896,86,451767,304457,141,0.126825
184090,142112,99,69403,54593,96,2138,1820,23,4037,2844,41,8913,7115,55,13981,10227,71,390880,302244,113,0.190237
135984,108600,95,52134,40550,91,1700,1555,19,3005,2289,34,5550,4455,43,7745,6239,49,191674,151285,108,0.258604
107792,104259,82,29797,28943,78,1721,1588,17,1999,2118,26,5911,5640,41,9259,8907,57,262287,246074,97,0.731224
103140,96359,90,21389,19464,61,173,235,0,1386,1494,13,699,814,0,412,630,0,1430,1418,21,0.741132
60981,60078,82,17771,17237,55,956,872,0,1161,954,0,2664,2709,28,4398,4404,35,99643,96804,91,0.755994
78150,70444,96,28819,25930,80,964,930,0,2042,1878,26,3515,3219,32,4477,4556,36,108805,97062,96,0.756985
62885,62052,75,24444,24188,75,1010,898,0,1348,1316,17,2739,2695,28,3623,3116,38,87567,83078,92,1.07107
93960,79995,88,35396,30345,83,1116,832,0,2216,2058,25,3728,3273,37,5458,4514,42,125077,103880,100,1.16619
133051,104236,93,49866,39152,90,2018,1618,23,2459,2090,32,5866,4569,45,9027,6860,57,188988,145661,107,1.20682
190338,155944,94,53772,45927,91,1786,1396,21,3107,3090,34,8691,7048,57,11130,9539,57,311614,260355,112,1.54667
218719,163365,106,63758,46490,100,3463,2857,36,5086,3594,49,10136,7726,60,14253,10831,69,317479,240566,119,1.7478
65203,66030,77,20976,21017,59,701,693,0,1172,1206,12,2539,2609,28,3837,3704,35,92859,94008,91,1.96578
167323,152860,93,53307,48871,88,2905,2474,31,3920,3466,35,8941,8050,54,12529,10874,64,286488,260576,107,2.15602
112042,120944,76,1.04858e+06,450860,126,7337,3023,92,38259,15145,126,8587,3768,92,6719,3354,65,-4073,0,0,5.4604
14696,18308,37,49243,46372,71,1346,1186,13,967,1361,15,1485,2700,18,2805,5070,21,463,620,0,5.78935
30187,28691,64,27319,27104,70,1160,1082,6,1403,1329,14,2913,3021,29,4311,4121,36,95340,105920,56,5.80124
56332,55246,76,13822,13968,47,635,555,0,1394,1199,10,2362,2349,28,4063,4107,35,87361,85558,75,5.80124
62404,61312,79,8164,7920,41,685,607,0,1134,1256,15,2341,2629,27,4351,4314,36,81906,84088,61,5.81016
40769,38242,76,25995,24775,74,1156,945,0,1375,1280,11,3435,3325,37,4849,4822,41,110704,109951,70,5.81016
96246,76067,90,57701,45772,87,1907,1729,20,3752,3011,39,7392,6509,49,15079,12710,71,367310,336049,76,5.82502
197350,145258,104,51479,36828,99,2537,2265,27,4517,3546,41,8860,6693,55,12910,9663,70,274153,206729,89,5.827
164993,136207,96,53322,43893,91,2103,1774,21,3237,2409,32,6499,4990,50,8998,6869,61,187165,145285,90,5.83196
58660,57561,77,17930,17931,54,661,796,0,852,1298,12,2901,2593,30,3850,3762,35,85386,87868,72,5.83691
75734,72212,86,16581,15980,51,906,913,0,2129,1875,21,2959,2701,31,4543,4395,38,90795,84755,86,5.83691
70528,68232,81,23845,22975,62,947,773,0,1280,1368,17,2956,2862,32,4320,4079,36,107390,104222,88,5.84087
130049,119405,94,56289,50307,86,1881,1830,21,3526,3588,33,8178,7538,51,12142,11343,65,298875,278201,75,5.84087
36021,36288,66,12235,12442,46,396,475,0,795,651,0,1766,1704,22,2732,2321,30,65226,66717,72,5.84087
133454,118051,88,58693,51225,87,1401,1234,12,3033,2532,32,7379,6428,49,10821,9590,60,283242,240336,103,5.84385
91349,89442,81,49616,48545,80,1351,1295,12,2303,2076,27,4970,4914,38,8823,8321,57,245302,240447,81,5.84682
254951,187822,123,116595,88222,121,3103,2204,33,6424,4867,47,12356,9480,65,17278,12363,91,412972,306738,124,5.85078
51360,51948,73,36754,36792,75,921,1001,1,1738,1645,21,3296,3287,31,5025,5087,37,120311,121659,66,5.85276
43402,41156,83,20632,20647,61,775,587,0,769,847,0,1988,1710,27,2818,2762,33,62793,75513,47,5.85574
67864,66364,78,24900,23511,77,1111,1048,6,1639,2015,19,3494,3757,31,4928,4678,42,111605,109771,93,5.86267
164604,129366,103,60267,46617,95,2370,2093,25,3746,3430,35,8972,7497,56,14599,12053,76,388470,318820,112,5.86366
134679,110955,92,58495,47449,91,2245,1717,26,3749,3062,39,8663,7400,55,15440,12838,81,400052,315672,107,5.86961
38320,37637,73,19323,19084,61,282,276,0,953,922,0,1809,1793,20,2620,2653,27,65154,64304,85,5.87159
194470,147152,101,74427,57815,99,3594,2802,35,5003,4065,43,10564,8083,63,15392,12160,70,300653,233144,95,5.87258
70411,67740,81,19654,19211,61,1452,1259,13,1284,1746,17,2828,2735,31,4242,3997,37,67864,89958,46,5.87357
250629,165563,95,1.04858e+06,1.04858e+06,144,18845,7183,144,54338,16637,141,13709,4071,131,14300,4352,132,673,583,0,5.87456
338383,234248,137,171164,122675,133,7567,5083,46,12695,8846,70,24911,17900,93,34049,23644,124,732166,528648,137,5.88348
70514,58711,89,32188,25671,83,1035,809,0,1948,1538,21,3354,3131,33,5141,3962,45,104618,89706,83,5.88447
52910,53793,74,15527,15286,55,633,765,0,1186,1069,6,2461,2258,27,3748,3724,34,86039,84483,86,5.88546
72702,63401,84,35125,30556,82,674,688,0,1530,1704,20,3280,3005,34,4473,4143,39,109849,99159,87,5.88645
100065,92496,87,75552,70650,86,2419,2191,27,3778,3790,34,8242,7985,50,11325,10983,60,211407,198418,66,5.88744
67639,61091,79,29124,24427,82,976,878,0,1382,1523,16,3172,2535,35,4141,3283,41,101113,90309,74,5.89141
37929,36973,78,12708,12848,47,340,468,0,728,929,0,1298,1770,16,2496,3043,26,56969,60059,54,5.89438
109196,68034,180,82999,25149,185,902,1119,9,1688,1645,21,4149,4546,34,5278,5524,41,127033,122697,85,5.90231
132490,102373,94,62697,46746,93,1671,1447,16,3637,2898,35,8164,6368,53,14304,11144,68,357811,280193,106,5.90429
116645,98367,91,49635,40489,89,1500,1242,17,2741,2357,31,7134,5992,50,10558,9324,59,296177,246387,104,5.90528
