"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
113554,112617,84,22045,21761,64,1701,1674,17,2368,2692,27,5603,5785,40,8972,9112,47,214081,205592,98,0.0820427
106078,103200,92,48647,48131,79,1327,1192,11,2040,1551,22,4665,4575,38,8189,7596,48,215420,203351,97,0.140645
137485,126530,93,60957,56884,86,1831,1659,22,3224,3356,31,8168,7296,51,12908,12148,66,343979,325586,102,0.151388
216742,178675,97,96309,80678,95,2770,2462,27,4554,3771,41,10030,8277,55,17570,14202,78,423488,351444,112,0.20413
90805,89625,83,29939,29637,78,1212,1023,6,1976,2138,21,4380,4071,35,8057,8322,47,226200,218667,96,0.251012
279586,185433,129,95938,63210,125,3775,2696,36,6758,4348,48,11653,8010,64,18669,12721,81,457814,307564,144,0.277382
141930,134512,91,35439,34701,81,1656,1847,18,2999,3145,30,8008,7254,49,14086,12988,75,396271,375288,103,0.296916
245415,191468,120,125114,101662,103,3981,3127,36,7005,5400,53,16469,13262,79,27569,23308,108,726162,604965,121,0.336961
155224,130400,93,54158,45800,88,1930,1599,22,2827,2337,35,6620,6046,46,10743,8653,59,265442,218563,107,0.343798
204643,159476,99,75406,59219,97,2603,2119,29,3757,3268,39,9328,7406,56,14893,11510,72,394549,320552,114,0.363332
120963,117104,87,30046,29550,79,1613,1374,20,3257,3354,32,6403,6234,41,10966,9976,63,311894,293842,99,0.390679
204045,166087,98,96795,81188,97,2323,1895,25,4567,3664,41,9669,8065,53,14596,12173,67,432946,356999,115,0.419004
125722,116164,89,41315,37526,84,1495,1392,19,2776,2784,30,6565,6259,44,12124,11101,58,319641,291187,104,0.458072
75649,76063,76,29632,29821,76,1084,1028,4,1222,1418,14,3293,3429,31,4763,4618,39,130154,128158,94,0.524487
133409,120113,90,43409,39253,85,1224,1109,9,2699,2293,30,6332,5424,45,9994,9119,52,252186,217965,105,0.531324
143542,132778,96,59484,54849,87,1947,1912,21,3008,2834,29,8077,7572,51,13616,12994,60,366285,350861,104,0.535231
107468,106009,83,55709,54568,80,1584,1679,17,2947,2928,29,6156,5717,42,11527,11216,59,289398,275904,97,0.563555
209261,161065,114,62146,47334,99,2501,1936,27,3568,3299,40,8953,7162,53,15572,12565,79,394767,304581,117,0.601646
169843,134969,102,58405,46003,93,2019,1372,24,3502,2925,36,8264,6457,56,14480,11345,69,372600,297057,111,0.602623
193308,143456,114,67565,49860,98,2179,1666,24,4030,2756,40,9245,7022,57,15959,11635,76,422460,315167,116,0.682712
136580,117130,90,41147,35243,88,1884,1596,22,2499,2407,30,6772,5940,52,9863,8319,62,265621,234264,106,0.689549
77683,76744,85,36146,36022,76,477,345,0,2238,2017,22,3637,3772,33,6460,5823,45,188942,185296,93,0.728617
54005,56250,75,18403,18375,56,649,662,0,1187,1239,10,2237,2599,24,3868,3839,34,100772,95527,90,0.748151
76685,75165,81,22688,22523,61,1069,820,0,1485,1455,18,3368,3254,32,5166,4879,42,127946,122056,93,0.760848
108007,102345,99,41204,39911,81,1353,1369,14,2041,1959,26,4535,4611,36,7078,6616,50,187821,183772,98,0.767685
84431,81143,82,28853,27226,79,999,965,0,1373,1253,15,3756,3382,34,5084,4741,40,152594,143126,96,0.775499
161243,133815,102,48071,39363,89,1842,1276,17,3143,2757,29,7069,6325,50,11726,9565,69,288036,238442,109,0.831171
111343,107089,86,45524,44268,81,1473,1280,16,2310,1974,26,5407,5079,41,9821,8889,55,257093,241086,99,0.838984
194196,171261,98,51709,43001,94,2191,2036,25,3510,3172,32,8537,7016,51,13640,11907,62,340845,291854,111,0.851681
44876,44403,66,14194,14431,48,568,580,0,875,949,0,2490,2473,26,4221,4243,37,101799,100450,88,1.0353
138712,114667,92,56479,46617,90,1432,1158,11,2663,2073,28,6771,5634,49,10901,9199,63,301351,250175,107,1.05386
138963,127373,87,49807,45197,87,1925,1724,23,3818,3165,34,6735,6381,45,11373,10269,66,277533,257621,103,1.06069
136182,118155,91,40100,33551,88,1530,1302,15,2078,2175,29,6541,5953,45,11254,9733,59,316770,280021,107,1.09
