"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
61722,62845,76,19696,19861,56,879,1086,8,1466,1423,15,2509,2628,27,3859,3639,36,97805,93826,90,0.00485094
137262,112707,93,60420,48795,90,1419,1149,9,3185,2762,33,6613,5434,52,10580,8283,65,296079,246936,107,0.00679132
61422,59630,78,18759,18769,53,895,973,0,1280,1650,14,2891,2703,30,4702,4490,39,103721,102190,92,0.00970189
74545,74821,76,35220,35286,77,1004,966,0,1219,1366,14,3101,3424,30,4858,5025,39,108880,104126,92,0.0116423
128973,114192,88,32544,27669,84,2180,1705,25,2541,2017,27,5493,4653,45,7316,6443,46,155740,145798,102,0.0164932
201711,155949,107,62607,47709,103,3291,2382,33,3471,2918,40,7905,6157,54,11477,9027,63,255961,199623,121,0.0194038
163223,153386,94,100479,96667,91,4280,3969,33,5806,5037,45,11194,10732,66,13564,12302,66,307218,279363,104,0.020374
88299,87774,81,41163,40953,78,1073,935,0,2160,1879,20,3736,3991,32,6573,6298,45,196657,187116,95,0.0213442
106851,93570,95,37400,31966,84,1757,1447,19,2377,2279,24,5234,4674,42,7498,6573,57,156246,142200,101,0.0223143
146144,126214,89,49442,40825,89,1954,1563,22,3120,2399,38,6316,5357,46,8181,6878,53,210046,177272,106,0.0223143
116546,113684,85,27723,26847,78,1412,1333,12,2478,2356,29,5670,5504,42,9814,9595,56,274521,262673,98,0.0252249
81107,80500,78,21916,21897,66,1082,1140,8,2205,1942,23,3238,3561,30,4971,4706,41,134102,132684,94,0.0271653
132193,114136,91,38252,32768,87,2597,1979,30,2544,2252,30,5348,4952,41,7809,6426,52,166803,145468,105,0.0271653
98369,97440,81,25301,25002,69,1368,1391,16,2357,2316,26,4938,4718,39,8125,7344,50,228978,218027,96,0.0271653
124716,106573,89,45096,38983,86,2069,2098,21,2624,2250,32,5656,5267,43,8025,7029,51,170693,149127,104,0.0291057
188806,147522,103,78571,61323,95,2156,1841,24,4450,3486,38,9844,7802,56,15057,11200,85,428601,339217,113,0.0300759
100603,99840,80,38212,37576,79,1549,1387,15,1427,1433,23,5091,4657,41,8809,8509,48,241543,229569,97,0.031046
38296,39042,63,14605,15124,48,452,488,0,805,883,0,1663,1642,21,3348,3649,31,73247,72205,85,0.031046
201276,177813,97,76066,66693,94,3383,2990,31,4348,3672,39,9323,8443,50,11979,10747,61,272939,256480,107,0.031046
107887,106996,86,35217,34753,78,1392,1387,14,2408,2426,24,5351,5517,38,9089,8715,50,264667,250627,97,0.0329864
54886,56252,73,11076,11435,43,697,648,0,851,816,0,2289,2199,25,3992,4116,33,72386,70833,89,0.0349268
69863,69629,75,17630,17531,53,848,945,0,1476,1814,18,3005,3130,31,4267,4486,35,99447,94833,92,0.0368672
103884,102073,83,38597,37738,78,1114,1400,13,2274,2162,29,4947,4601,38,6652,6735,42,206474,199418,97,0.0378374
209877,155677,101,68792,50638,99,2511,1905,29,5419,3478,50,10694,7888,59,16055,12421,77,450164,330981,117,0.0388075
214770,168747,99,79809,62546,97,3712,2679,35,5038,4453,39,9597,7742,55,13312,10923,65,329600,264231,115,0.0388075
198807,153701,101,65925,50486,99,2338,1884,26,4775,3201,48,10102,7938,54,15438,11472,83,418252,322571,116,0.0407479
139722,128067,91,41067,37663,84,1519,1615,20,2974,2880,35,6710,6150,43,9881,9147,58,267084,248479,105,0.0426883
107509,100216,84,45027,41296,84,1538,1400,18,2163,2049,22,4857,4550,40,6872,6537,45,186947,168569,99,0.0436585
148875,124386,93,48874,40823,89,2566,1945,29,3262,2393,35,5369,4387,43,8060,7055,51,184365,156397,107,0.0485094
42883,44102,70,14065,14001,48,307,436,0,833,714,0,1462,1464,18,2777,2733,28,71982,71102,86,0.0494796
116952,112402,88,29622,28826,80,1518,1390,15,2693,2668,29,5877,5676,40,8860,8002,57,250654,240181,100,0.0504498
173478,140532,106,64700,52824,94,1792,1678,20,4207,4128,37,7919,6914,49,10477,8537,59,311825,255066,113,0.0543306
202587,158930,110,84854,67690,97,2184,1867,27,4344,3066,44,8672,7001,52,13242,10213,63,378633,304600,115,0.0562709
207178,167544,98,69967,55706,96,3283,2906,34,4376,3360,39,8889,7095,56,12761,10600,65,268035,228551,111,0.0582113
37869,36106,75,10396,10643,43,475,460,0,745,801,0,1049,1157,10,2676,2470,28,51301,50603,86,0.0591815
216769,164762,108,95716,74699,102,2735,1841,29,4744,3705,47,10635,7992,60,17818,13835,95,488184,375076,120,0.0601517
117111,111899,94,53633,52238,81,1696,1685,20,2363,2358,26,6231,6052,42,9770,9819,47,267153,252257,99,0.0620921
172445,142454,102,62810,51183,93,1767,1518,21,4128,3332,39,9295,7659,58,12592,9707,69,370613,302648,111,0.0650027
138142,111860,108,44828,34292,108,2043,1751,23,2835,2281,31,5494,4388,45,7354,5994,49,162983,123529,108,0.0650027
48942,48752,81,15826,16384,50,790,888,0,1409,1196,9,1863,1836,22,3052,3151,28,77658,76756,88,0.0650027
210335,164741,104,71131,54796,98,2148,1607,24,3536,2907,39,8695,6953,52,12859,10013,71,322826,254341,115,0.0679132
125170,122513,82,38209,37281,81,2184,2230,24,2905,3080,31,6218,6058,43,7990,7908,48,188821,182242,99,0.0688834
177464,153393,95,70246,60038,91,3093,2667,31,4486,3878,41,8584,7068,53,10946,9148,56,268916,232662,109,0.0688834
242435,165432,111,74769,50689,105,3812,2483,39,5160,4043,46,10919,7289,67,14040,10790,73,302197,205601,124,0.0698536
85534,86377,80,38152,37656,77,988,889,0,1759,1943,21,4299,4133,37,5978,6445,41,179923,177010,94,0.0747045
156145,136097,95,83489,75130,90,2943,2616,29,4459,3852,42,8850,8089,51,11904,10221,62,259174,231105,107,0.0766449
179762,141237,97,75139,59697,94,1992,1438,25,3342,2902,34,8230,6385,53,12731,10039,68,383371,301033,112,0.0785853
63284,63459,74,26798,27181,73,827,869,0,1583,1537,18,2414,2492,26,3748,3569,32,82119,80604,91,0.0785853
130490,108773,89,47895,39041,88,1679,1558,19,2905,2143,38,5824,4657,44,7640,6341,50,176721,153612,106,0.0805257
40945,40217,74,20655,20754,58,315,282,0,565,782,0,1590,1411,18,2506,2370,26,69963,67535,87,0.0805257
198129,147964,101,68167,51919,99,3261,2207,32,4831,3988,42,8581,6304,52,11771,8529,65,252731,184964,117,0.0814959
48682,49191,73,12166,12130,45,435,488,0,1014,971,0,1934,1792,23,3524,3032,35,72093,70687,88,0.0814959
218053,137021,125,79075,52690,109,3638,2226,38,4348,3106,44,9190,5484,61,12889,8432,70,287432,176490,128,0.0834362
152432,136912,89,61170,53838,89,1823,1461,20,3550,3284,31,6867,6559,46,11928,10965,63,346130,321682,105,0.0853766
30952,31424,61,15431,15737,49,484,370,0,92,516,0,1359,1272,15,2337,2135,27,54814,53352,83,0.0863468
166103,134818,100,49273,39332,95,2487,2024,28,3233,2690,36,7736,6610,51,11807,9792,60,304925,258764,112,0.0863468
265588,194955,112,105637,79464,111,4741,3574,42,6961,4625,52,11613,8477,64,15563,10921,74,336497,247252,129,0.087317
234354,184763,112,93284,75249,106,4710,3577,39,5584,5188,44,12948,11150,64,19868,16178,83,470006,404077,124,0.0882872
223610,186492,102,70716,57969,99,3692,3195,33,4233,3815,40,9063,7756,53,13340,11074,64,285615,261463,111,0.0892574
132715,103310,96,54846,42854,91,2126,1536,24,2342,1803,29,5187,4236,43,7261,5857,48,176890,142239,109,0.0902276
77626,76523,93,25208,25035,75,1040,1013,3,1264,1537,17,3230,3022,33,5019,4656,42,108925,101556,92,0.0911977
98716,86400,89,40271,34334,85,1248,1230,15,2344,1810,30,4392,3928,39,6552,5190,50,135018,110354,100,0.0921679
78816,75682,91,21069,20728,60,1142,1346,12,1177,1330,12,3210,2861,30,4621,4454,37,109918,106669,95,0.0931381
58024,59191,77,20405,20968,54,835,796,0,561,678,0,2294,2215,26,3699,3829,32,97963,97869,90,0.0931381
104501,92160,86,37902,32499,84,1288,1264,16,1560,1662,24,4231,3286,41,6224,5363,49,148329,123228,101,0.105751
195829,144927,99,62423,46484,96,3145,2049,35,3782,3072,39,7640,5622,55,10863,7831,64,249098,184037,115,0.105751
83555,82669,79,44278,44369,78,1066,1117,8,1974,1732,20,4135,3879,35,6955,6789,43,182461,178077,94,0.107691
138977,122980,88,44052,38241,87,1301,1036,7,2446,2294,31,6269,5553,45,7377,6527,51,231194,196614,106,0.107691
164347,128878,96,65008,51545,92,1994,1622,22,3603,2655,41,8255,6478,53,12506,10185,64,361540,292124,110,0.108661
94135,91759,81,34348,33809,78,1688,1613,19,1910,1690,22,3825,3711,33,5758,5745,42,135964,134596,96,0.108661
123773,105370,89,44249,37551,87,2011,1636,19,1510,1752,18,4648,3788,42,6659,5767,46,161092,135275,105,0.110602
124840,116934,94,40755,39342,82,1865,1525,18,3182,2636,27,6486,6057,45,10164,9124,51,286450,263217,101,0.111572
50123,51423,73,20450,20726,60,636,740,0,582,566,0,1977,1954,24,3294,2980,33,84135,82548,87,0.113512
280990,202456,130,160065,121487,127,6694,5001,44,8300,6508,54,18046,13310,73,24847,19619,91,494609,373490,142,0.115452
82702,78317,95,24318,23698,72,1617,1579,18,1296,1284,14,2491,2668,27,3914,3928,34,108979,103258,92,0.115452
224411,168087,106,61965,47492,101,3846,2799,36,5583,3754,48,10765,8052,58,14164,10651,66,324605,250084,119,0.117393
97358,96431,80,32700,32870,78,1083,1111,8,2291,2269,25,4158,3884,36,6154,5874,43,166112,156762,97,0.119333
289414,203514,124,121010,88230,121,4922,3460,39,7582,5185,53,14964,10476,75,20602,14926,87,449998,312707,139,0.121274
74086,72106,80,15072,14861,50,1178,1070,8,1336,1176,10,3793,3291,37,4518,4419,37,104766,101578,94,0.122244
52468,52068,76,19524,19704,54,642,584,0,917,907,0,2163,2346,25,3169,2836,31,73205,71305,90,0.123214
62747,62537,80,20109,19942,57,825,759,0,1185,1384,11,2302,2050,27,3892,3869,33,84457,77889,92,0.124184
99130,96915,80,76029,74927,81,1199,1154,11,2584,2636,27,5809,5958,41,8309,8682,50,235688,230227,92,0.128065
161693,140724,100,52291,45043,89,1744,1266,17,3248,2890,32,6657,5947,44,9250,7801,57,261650,241561,106,0.130005
82408,82532,82,28818,29095,75,1059,1061,7,1270,1206,20,3736,3652,35,7067,6996,43,187216,186392,89,0.130975
222147,165951,104,87360,65339,102,3417,2654,35,4548,3367,43,9518,6918,57,13570,10010,69,310317,227660,119,0.130975
76893,75292,82,22481,20817,67,687,647,0,1741,1512,19,3721,3612,34,5508,4978,44,146383,134627,95,0.132916
103579,100962,97,35060,34003,79,958,1133,8,2415,2012,22,4632,4571,36,6606,6756,44,187010,185122,97,0.132916
213093,128836,140,63358,41872,123,2935,1586,25,4291,2823,46,8371,4943,77,12495,7431,89,301671,173040,142,0.132916
252318,180776,112,87634,65600,108,3516,2530,37,6060,4270,49,12106,8653,65,16975,11824,75,352657,244867,127,0.135826
109795,99895,88,36520,32822,83,1979,1610,25,2547,2626,30,5235,4827,39,7595,6752,49,160572,143873,101,0.136797
305332,203052,118,105254,70810,115,6303,4295,46,8666,5943,57,15100,10575,69,21118,13769,94,479378,327246,134,0.137767
43089,43581,71,19126,19369,57,410,322,0,473,580,0,1669,1560,20,3072,2968,33,82536,81886,85,0.139707
145008,128061,92,52450,44305,90,3049,2545,32,4106,3770,38,8767,7775,56,12673,12364,56,346550,315270,106,0.139707
292168,201973,134,181104,143228,119,6529,4633,44,8479,6504,57,16291,12570,74,23083,17671,84,553373,427672,137,0.139707
102057,98822,86,35513,34745,78,1263,1358,12,1796,1822,22,4700,4713,36,7127,6565,57,197111,191756,97,0.140677
33482,33284,79,13559,13744,47,473,350,0,821,694,0,1706,1670,19,2595,2594,27,65990,66268,83,0.141648
54822,56440,74,22226,22387,70,879,940,0,1509,1336,13,2563,2568,30,3836,3990,32,75454,75879,89,0.143588
296839,198935,129,99621,68090,118,4951,3155,42,7031,4696,54,13776,9148,72,19804,13346,82,396720,277822,137,0.144558
170218,145123,97,66150,56592,92,3374,2917,29,3935,3410,36,8125,6865,51,12146,9704,62,237456,202339,110,0.146499
102871,100551,82,43951,42557,80,1022,1090,6,1310,1738,19,4109,3655,36,6464,5906,47,168248,149102,90,0.146499
209122,153827,118,74461,56604,99,3172,2198,34,4178,3154,47,9432,7497,57,13031,10046,70,275537,207865,117,0.147469
142326,131466,90,52506,48063,87,1994,1767,22,2923,3126,30,7232,6808,44,12066,10854,55,338848,315005,105,0.150379
152469,128328,95,52852,43858,91,2086,1580,24,2746,2452,31,6522,5678,47,9888,8225,56,241453,205106,105,0.151349
128794,102023,99,46881,37622,89,1616,1446,18,2520,2269,29,5796,5097,45,8459,7022,54,163741,132561,107,0.151349
177951,139425,112,65331,51863,96,1891,1495,26,3897,2690,42,7161,5388,52,11981,9865,58,305551,243511,115,0.15232
68429,68546,79,27703,27534,75,639,891,0,1326,1219,10,2594,2102,31,3798,3754,36,86866,86056,92,0.15523
236368,167708,111,74992,55623,104,4012,2648,39,5612,4277,50,10531,7421,65,15267,11041,71,314561,221167,124,0.1562
103033,98116,84,32674,31581,80,786,963,0,1919,1602,27,3296,3031,31,5344,5080,39,128413,120128,99,0.158141
92976,90098,81,24538,23909,70,1169,1311,12,2433,2138,23,3470,3347,33,4993,4742,44,122658,113037,97,0.160081
147252,126823,91,57850,49551,87,2010,1521,21,3612,2961,34,8032,7438,49,11971,10931,56,348469,307612,106,0.163962
107776,100096,92,44433,41150,81,1669,1567,18,2557,2627,28,4816,4413,41,5869,5502,43,145161,134976,100,0.166872
50230,51454,72,12436,12648,47,671,608,0,777,832,0,2106,2298,25,3646,3626,31,80763,81153,88,0.166872
189118,159536,98,98292,82686,96,3290,2651,32,4433,3482,41,9385,7798,54,13866,11775,68,356264,317103,113,0.169783
121613,103821,88,42685,36034,85,1719,1665,17,2364,2090,32,4780,3972,42,6118,4872,45,148471,118061,104,0.169783
225825,138780,115,90688,56012,112,2862,1745,28,4162,2601,49,8686,5463,65,11628,7301,66,321555,196299,130,0.170753
46301,47567,73,15995,16063,50,511,560,0,700,852,0,1847,1815,19,2488,2484,28,63958,61732,87,0.172694
189381,152955,109,53490,44201,92,2532,2220,29,3967,3308,36,8622,6771,55,12221,9978,62,266563,214924,111,0.173664
115072,103655,86,54249,49690,84,1233,1261,12,2293,2116,26,4292,4002,38,5615,5042,52,153662,141272,102,0.174634
101086,86817,88,42316,36704,84,1633,1303,16,1927,1617,28,3717,3208,36,5462,4751,44,136215,115187,102,0.174634
215921,170879,114,82999,67149,98,3221,2495,32,4345,3481,41,9786,7968,54,13807,10860,68,335370,273797,116,0.175604
86319,84372,91,27590,26546,77,1335,1497,15,1561,1539,19,3447,3418,32,4607,4739,38,108376,108031,95,0.176574
227515,179231,110,116728,94432,100,2840,2063,31,5484,4253,44,11135,8809,59,18139,14557,77,499800,400651,117,0.177545
55104,56384,73,22047,22053,71,511,565,0,1263,1324,11,2161,2198,23,3319,3219,32,92793,90042,89,0.178515
150565,127268,91,59063,48501,91,1931,1495,22,3563,2857,37,8074,6736,54,11746,9631,54,341617,282634,108,0.181425
279966,215389,135,122292,92119,118,4196,2993,38,5879,4747,46,12381,10176,60,19305,15542,74,478243,388206,135,0.182395
110560,107879,85,33543,32961,81,1295,1250,11,2431,2669,25,4908,4708,41,6281,5736,40,198456,189022,99,0.188217
102812,91248,85,37281,32247,85,1595,1327,15,2171,1724,29,4728,4073,41,6210,5566,46,148274,125028,101,0.189187
