"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
272479,197579,127,90347,64815,117,3863,3176,34,5845,4332,48,12785,9181,66,17414,12871,73,397359,281589,135,0.00582277
193688,150966,105,68652,51786,95,2065,1799,24,3917,3149,38,9960,8065,60,15100,12431,71,443368,347228,113,0.00776369
53850,53340,78,23552,23765,67,669,598,0,789,633,0,1908,1934,23,3687,3649,34,84542,80328,89,0.00970462
52049,54077,73,21961,22417,59,630,550,0,1205,992,0,1667,1693,23,2877,2735,29,77794,74323,88,0.0116455
119643,114232,86,38169,37045,81,1604,1641,18,2668,2692,30,5621,5482,41,9659,9448,49,265296,252546,99,0.0135865
52706,51023,76,20869,20711,58,593,682,0,818,731,0,2003,1859,25,2984,2932,29,85141,83731,89,0.0155274
145190,109660,93,44580,32593,92,2193,1988,27,3649,2598,43,6131,4297,52,9606,6204,60,201778,153340,110,0.0164978
93730,92279,82,39108,38304,79,945,963,0,1887,2334,22,4920,4937,37,6950,6797,47,210875,207881,96,0.0194092
64682,63465,79,25418,25199,73,567,512,0,1440,1069,6,2534,2470,25,3367,3498,31,97521,92786,89,0.0203797
241914,186843,105,99838,77144,102,3196,2546,33,6915,5022,54,13967,10680,71,19003,15435,73,558514,442087,120,0.0213502
156628,126212,96,57287,46279,92,2089,1850,24,2456,1978,27,5960,4587,45,8320,6612,58,220583,176288,109,0.0223206
164246,143691,97,61049,54645,88,1622,1583,18,3250,3197,30,7434,6707,45,9372,8240,55,290386,263771,107,0.0242615
66759,65992,89,25556,25486,73,1026,958,0,1068,1237,10,2742,2573,29,4207,4547,33,84232,80196,92,0.025232
227161,177928,105,91754,72830,100,3793,2931,35,5603,4130,46,10156,7875,59,14234,11670,69,330345,261191,118,0.0329957
79309,77817,82,22444,21980,67,819,890,0,1216,1268,12,3004,3070,31,5976,5946,39,161958,165309,94,0.037848
127534,118295,88,47777,44496,85,1875,1783,23,2383,2108,26,4983,4822,37,7332,6444,49,177955,169911,103,0.037848
193761,148857,96,78801,60206,96,2287,1748,25,4074,3183,40,9016,6924,56,14456,11628,69,419822,323754,113,0.037848
56877,54328,90,22175,22203,64,650,603,0,986,757,0,2000,1966,24,3632,3512,34,95561,92080,90,0.0388185
140114,131858,85,36194,33795,82,1693,1499,21,3439,3097,33,6233,5958,42,8742,7811,51,212347,198280,101,0.0397889
99857,98646,83,38396,38129,80,1507,1472,15,2369,2299,29,5536,5121,43,9050,8668,54,253090,246768,98,0.0417298
150907,117650,92,62576,48751,92,2254,1590,27,3165,2156,41,6144,4712,48,8946,7107,58,212912,161284,108,0.0562868
57830,57106,77,17187,17474,51,674,707,0,1182,1207,13,1764,1882,21,3285,2842,32,77162,75406,91,0.0582277
96195,90617,98,38138,35091,80,746,745,0,1770,1741,23,3971,3711,34,4795,4358,41,158687,143104,98,0.0621095
160419,128974,105,55744,45740,91,2601,1984,28,3639,2724,36,7265,5741,51,10662,9278,59,216571,174489,109,0.0669618
49316,50268,70,26550,26920,72,553,505,0,574,771,0,2222,2018,23,2757,2609,29,76135,76593,89,0.0776369
75456,75565,80,21945,22099,62,1049,1175,9,1863,1708,21,3750,3673,33,5669,5419,47,169277,170332,92,0.0805483
71174,70424,79,13993,13681,48,542,668,0,1295,1254,13,2733,2866,26,4793,4387,35,129354,127759,93,0.0824892
184076,147820,99,105665,88891,96,2446,1934,27,3834,3146,41,10549,8487,58,16850,13627,78,460586,383429,112,0.0921938
63800,62061,81,15662,15471,50,1056,1076,5,1097,1088,7,3086,2978,31,4638,4681,37,101692,96538,92,0.0951052
57013,56646,76,12628,12633,46,627,420,0,993,1079,6,2166,2080,24,3790,3361,34,82771,84206,90,0.100928
96157,94700,82,23871,23835,67,1316,1178,12,2615,2079,28,4516,4645,34,7550,6721,48,183839,174472,96,0.101898
120064,96273,100,36837,29400,87,1336,1161,11,2109,2013,24,5065,4221,42,7401,5416,51,164198,131487,105,0.102869
111779,108131,85,66378,65711,83,1310,1351,15,2369,2045,29,3921,3797,36,6105,5590,43,141570,134084,99,0.103839
64473,65405,76,24032,24243,70,679,540,0,1238,1314,13,2740,2788,27,3659,3252,35,95455,95746,91,0.10578
141916,125812,88,58544,52719,88,2410,1817,27,3178,2367,33,7691,7424,51,12074,10645,64,336821,303386,105,0.10578
53125,54486,73,25042,25119,66,527,617,0,855,841,0,2108,2246,24,2931,2725,34,78763,78853,89,0.106751
138709,130703,87,68936,64984,86,1732,1583,22,3773,3348,34,6308,5829,46,9367,9130,50,253673,245761,103,0.106751
286539,204324,112,86076,60915,111,5204,3483,44,7024,5033,50,14203,10305,69,18050,13413,80,416141,287749,130,0.108692
104132,102499,86,46842,46554,81,1693,1409,21,1877,2041,24,4852,4515,40,5495,5421,44,157595,154937,95,0.113544
62442,62305,78,23468,23648,68,786,950,0,1100,978,0,2425,2354,27,3427,3468,30,86352,85753,91,0.117426
116900,108064,88,43038,38731,83,1528,1169,14,2041,2386,25,5063,4343,43,6865,6227,47,169952,155770,100,0.119367
131512,113421,104,45587,39509,86,1646,1402,17,3048,2541,35,5027,4467,40,8538,7521,52,188764,163112,104,0.120337
133973,119443,97,62837,54675,88,1677,1465,18,2776,2942,29,6645,5792,47,9562,8423,54,269311,234673,105,0.121308
155630,144235,96,63014,57835,87,2003,1810,22,2749,2460,29,6279,5872,44,8361,7301,54,226906,204917,105,0.12519
63179,62791,80,10532,10462,43,230,222,0,708,364,0,97,218,0,295,266,0,23,390,0,0.12616
98565,96343,84,39261,39260,80,1237,1353,15,2268,2149,26,5128,4926,41,8380,8209,58,238312,228281,97,0.130042
84542,82140,81,19229,19000,58,1375,1265,14,1812,1780,19,3802,3761,33,5492,5051,42,128968,128057,95,0.132953
238968,170598,116,74862,53526,109,3827,2930,36,4768,3280,45,10246,7478,66,13454,9246,73,322210,233158,127,0.136835
103076,97621,96,51136,49894,80,1366,1410,14,2051,2009,21,5073,5154,36,7916,7703,47,224677,212548,98,0.137806
293692,191902,121,107984,71353,115,3883,2403,41,6150,4324,52,12827,8344,71,20395,13296,82,466545,304466,134,0.140717
55284,55227,80,23817,23961,70,562,687,0,1270,1297,10,2195,2004,27,3444,3735,31,82168,79642,89,0.150422
261621,197712,116,72827,56164,107,3639,2657,36,6140,5080,43,13512,11311,65,18173,14152,85,392526,324665,127,0.151392
64102,63472,76,22909,22767,65,694,742,0,1171,1024,4,2432,2218,26,3552,3290,35,97766,92551,91,0.152362
57698,58741,79,19240,19378,57,285,405,0,796,773,0,2658,2394,26,3486,3423,32,96951,94142,90,0.157215
204021,162025,114,68342,55053,98,3127,2315,31,3895,3058,39,8663,7419,55,13083,10816,68,284989,237598,116,0.159156
158092,152328,87,57664,54821,85,2381,2193,26,4930,4571,37,8019,7698,48,10725,10299,57,237438,226205,100,0.159156
162008,135846,95,71970,61366,92,2228,2043,26,4103,3510,38,7406,5948,51,11610,9529,61,294503,237840,109,0.161097
84600,82497,85,33510,33545,76,915,749,0,1314,1522,16,3815,3925,33,5596,5186,42,167301,166090,94,0.162067
48801,49863,75,18071,17864,54,619,489,0,957,1050,6,1434,1551,19,2668,2718,27,66401,64142,88,0.16789
22893,23310,55,8460,8641,40,313,308,0,689,753,0,1113,1054,7,1873,1846,24,44242,46214,79,0.16886
99567,97765,88,32429,32222,78,992,1148,8,2155,1912,26,5129,4884,39,7335,6597,52,196907,188097,97,0.16886
131469,114130,91,48554,41001,87,1672,1557,15,3344,3476,32,6705,5454,51,10707,8318,67,287479,246297,103,0.170801
226634,177116,107,71377,55464,103,3195,2547,34,5296,4269,49,11086,8668,68,16947,13157,79,381146,289186,121,0.176624
65970,66065,79,21866,21862,64,1146,802,0,1488,1397,15,2711,2792,28,4079,3980,36,91275,86654,92,0.178565
92283,89780,82,40422,39842,79,1062,887,0,1574,1568,22,3366,3305,33,4912,4725,38,136264,135657,96,0.18827
53855,53728,89,31352,31718,73,203,514,0,1298,1400,15,1784,1569,23,2381,2479,27,74298,72011,89,0.19021
77671,78109,80,28910,28783,76,1240,1105,8,1830,1653,21,3187,3086,30,4745,4762,41,118720,114232,94,0.19021
263184,192844,112,86316,63510,107,3564,2577,36,7319,5364,50,11129,8534,63,15678,11910,71,363954,268672,125,0.197004
158100,142034,97,57506,50562,88,2079,2013,24,3889,3398,36,8254,7585,49,12608,11744,65,358647,325234,103,0.199915
166964,151940,92,48020,43050,88,2955,2931,29,4207,4243,32,7673,6826,49,11187,9596,62,241320,222068,105,0.201856
61401,61143,76,13126,13222,46,681,878,0,982,1029,4,2370,2593,27,3702,3456,32,83709,79972,91,0.205738
139826,127850,90,53098,47275,88,1781,1717,17,2815,2519,29,6802,6035,47,11502,11060,63,319329,290524,104,0.206708
139970,119261,92,56203,48372,88,1635,1331,16,2186,2022,23,6050,5057,44,7959,6892,53,234558,200560,106,0.206708
61503,60199,80,26191,26488,72,870,688,0,993,1183,8,2446,2481,28,4098,4275,37,89650,87788,90,0.208649
124253,121035,90,32801,32233,79,1470,1606,17,2836,2883,31,6353,6151,44,11273,10869,56,310728,296894,100,0.212531
56270,58954,58,26369,26943,73,831,597,0,822,1011,3,2378,2237,25,3612,3338,35,93504,92029,89,0.212531
63442,64664,74,21320,21521,61,504,694,0,1233,1000,1,2201,2324,23,3216,3214,30,90048,90191,90,0.215442
99990,101920,79,21973,21876,66,2137,1919,22,1929,2026,24,4555,4405,37,5898,5689,42,138265,135301,96,0.217383
257584,198900,127,129068,107881,118,4395,3729,36,6317,5525,43,12479,10022,62,17214,14201,70,437737,352288,134,0.219324
113297,89572,90,42539,33245,87,2080,1899,25,2097,1678,26,5311,4304,43,7442,5639,56,158365,121015,105,0.224177
74485,72480,83,21946,21875,63,951,799,0,1614,1530,20,2920,3159,27,4114,4124,33,102128,101619,93,0.234852
48891,47845,83,26478,26698,72,656,699,0,691,733,0,1740,1453,23,2975,2696,31,73488,73968,88,0.234852
71730,70126,82,17170,17191,52,1027,933,0,1507,1721,17,2565,2508,27,4078,4201,33,94778,93495,94,0.235822
154430,130854,94,58798,50566,89,1699,1521,21,3115,2896,31,7269,6478,45,12874,10549,71,350822,307565,108,0.236793
202075,162633,100,84193,68723,98,2476,1910,27,4446,3958,41,10386,8528,56,17826,14837,90,468456,385180,116,0.238734
172137,141398,98,67805,55339,91,1808,1518,19,3084,2260,31,6439,5067,47,9562,8127,56,279612,228821,110,0.242615
107267,102678,82,30938,28661,81,1646,1450,16,2497,2230,28,4743,4600,37,6453,6021,40,165225,154398,99,0.244556
352754,249313,136,198587,154635,134,5385,3965,40,10474,7467,61,20497,15332,84,31973,24036,119,836493,612062,151,0.25135
