"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
135451,123146,88,49854,44521,85,2237,1997,24,2272,2082,33,6091,5441,44,9977,9070,57,220631,203336,100,0.011892
176721,147518,96,49563,40965,91,2032,1546,25,3015,2500,35,7599,6071,48,10452,8848,55,301096,250854,112,0.015856
198835,156872,96,103496,80908,96,3073,2275,31,4691,3701,45,9585,7627,54,13552,10460,69,346787,278031,113,0.015856
199498,162516,113,90797,73423,100,2999,2464,29,3862,3226,38,8590,7206,52,13136,11194,65,334032,278408,116,0.020811
119651,114054,87,38234,36069,83,1614,1542,17,2936,2604,28,6403,5898,43,11058,10829,59,280292,272874,100,0.030721
67817,67041,79,26534,26520,75,720,777,0,1433,1160,12,2368,2341,26,4305,4077,37,100792,97648,92,0.0346849
196884,162908,98,77040,63535,96,3239,2464,32,3756,3312,33,8740,7696,49,13422,11741,65,356316,321959,108,0.0386489
163015,135457,98,65973,54396,92,2218,1902,24,2944,2745,28,6106,5332,44,9828,7654,62,230164,189520,109,0.0515319
193250,148163,99,76729,59684,96,2583,1789,30,3766,3175,37,8928,6802,53,16203,12733,72,413066,325865,113,0.0525229
360399,262881,139,270270,208808,134,12700,9411,53,19944,15789,78,39512,32192,134,59392,47584,138,1.04858e+06,1.03517e+06,150,0.0545049
171511,153464,92,97211,86431,92,3690,3134,31,5155,4463,40,11114,9725,63,16387,15196,68,448172,402310,108,0.0584689
98507,96109,85,44404,44356,78,1118,1260,11,2442,2722,26,4999,4617,40,8469,8132,50,195331,188415,96,0.0604509
158620,149810,94,67845,64949,85,2227,1980,23,3489,3939,28,7838,7684,47,12767,11905,62,341722,321462,104,0.0673879
171545,133779,98,68332,53882,95,2113,1692,22,3399,3088,34,7535,5633,50,11361,8860,59,281835,215654,112,0.0772979
67095,67113,83,27803,27725,75,791,886,0,1236,1400,18,2788,2602,28,4176,4370,41,107564,105898,91,0.0802709
49989,49256,76,23627,23682,68,866,832,0,832,1162,9,2016,1873,25,3334,3271,29,79910,80141,84,0.0842349
215817,162581,103,81185,61114,100,3063,2429,32,5091,3353,47,9518,6898,59,14747,10692,72,345897,272360,117,0.0921629
78363,77069,85,20239,20261,60,913,986,0,1810,1717,16,3414,3224,33,4530,4502,36,130933,128935,93,0.0951359
104345,101810,82,24856,24772,76,1372,1463,15,2599,2486,28,5280,5498,39,9112,8576,56,243666,233702,97,0.0951359
45268,44226,77,12797,12998,45,650,729,0,1008,732,0,1583,1714,17,2643,2842,26,72499,73695,88,0.0990998
204019,152483,101,116604,91039,103,3016,2224,31,4643,3294,46,9800,7259,60,15163,11369,72,374433,281074,118,0.104055
34971,35508,57,10840,10903,44,199,325,0,716,672,0,1595,1444,18,2496,2806,27,73236,72545,85,0.107028
90655,87128,84,34701,34057,79,1441,1561,15,1604,1577,18,3559,3517,32,5738,5426,45,143276,137864,96,0.112974
65953,64695,83,22956,22993,68,971,1114,8,1207,1062,7,2373,2461,27,4870,4902,39,105263,103438,92,0.120902
311704,218262,118,135430,94976,119,3967,2729,39,6977,4466,55,13997,9947,68,22328,15995,91,541226,401114,135,0.121893
41572,41489,77,18017,18376,52,576,521,0,708,846,0,1544,1430,20,3148,3373,30,72017,71458,86,0.12883
92586,91046,81,36650,35973,79,1203,1026,3,1589,1811,22,4407,4221,38,7676,7432,45,174114,168058,95,0.135767
67509,66256,88,20127,19963,60,1110,1311,12,1633,1454,19,2664,2853,27,4948,4563,43,122726,118698,92,0.13874
198728,162189,112,71976,58669,94,2706,2168,31,3429,2917,33,9139,7321,55,15818,13126,68,428568,350488,112,0.141713
134878,122236,87,52520,47115,85,1682,1481,17,2625,2052,31,5495,4875,41,8150,7001,53,218815,194999,102,0.141713
