"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","BL1-A","BL1-H","BL1-W","VL1-A","VL1-H","VL1-W","VL2-A","VL2-H","VL2-W","VL3-A","VL3-H","VL3-W","YL2-A","YL2-H","YL2-W","Time"
122766,115038,84,45269,42187,84,1717,1421,17,2508,2514,28,5777,5183,42,7723,7302,47,236789,211180,100,0.00998146
92497,88089,88,18924,18808,55,1410,1072,8,1763,1876,24,4305,4080,36,5951,5711,40,183448,178716,96,0.0109796
263391,202944,112,167805,129977,113,7596,6335,43,11582,8766,68,25768,20435,95,41459,33081,115,1.04858e+06,849797,129,0.0119778
174509,156018,92,66115,58736,91,1732,1542,21,3375,3196,31,7064,6737,44,11701,10315,58,306292,283839,108,0.013974
179887,144480,103,66784,52976,95,1774,1466,20,3754,3082,36,7693,6269,51,10635,8968,63,308413,245642,113,0.0269499
28558,30453,52,13831,14183,46,406,368,0,347,433,0,1245,1287,13,2338,2701,23,56416,53516,82,0.0329388
19864,22353,50,10346,10628,43,212,294,0,244,621,0,1124,1282,11,1856,2224,21,48105,48321,77,0.0359333
142931,121131,96,55840,47414,89,1737,1380,21,3103,2537,37,6897,6321,47,9387,7514,70,279644,236669,107,0.0489092
218088,167735,104,75240,57801,100,2888,2615,30,4795,3664,42,9999,8392,58,16717,13382,73,425305,334702,119,0.0568943
139524,123787,96,40237,35154,85,1316,1281,15,3209,2940,32,8104,7510,54,11112,9543,59,307171,279374,103,0.0578925
280987,202727,118,98761,71564,115,3095,2338,31,5138,3963,44,12369,8842,62,18089,12534,83,481694,358156,133,0.0808498
114149,100262,91,48622,41973,85,1473,1312,17,2060,1732,25,5344,4699,41,8563,7037,53,224987,196836,103,0.0848424
93792,92347,82,31516,31426,77,1082,985,0,1986,2136,25,5323,4688,40,6626,6317,45,181466,172663,96,0.0928276
156090,147463,89,80566,76457,90,2534,2361,26,4761,4164,41,10997,10121,59,16227,14811,76,444552,389455,103,0.0948239
57449,57256,78,20835,21415,57,444,578,0,721,888,0,2188,2233,24,3656,3322,33,84309,85311,90,0.0948239
242564,187261,107,88156,67185,105,3209,2416,32,5330,4295,45,11499,9362,57,17440,13469,77,453211,360451,122,0.102809
52242,52757,76,20416,20203,62,409,475,0,1262,1221,14,2774,2740,27,4092,4110,37,108279,110777,88,0.105804
138013,125571,93,42982,39631,85,1339,1259,16,2679,2537,31,6076,5484,47,8808,7698,52,245442,218894,104,0.120776
65147,64408,84,23512,23460,66,613,990,0,802,1024,5,2486,2666,26,3805,3923,32,105788,105553,92,0.122772
100118,92581,82,37261,33981,81,1285,1478,14,2784,2358,30,5647,5309,42,6839,6789,42,218102,203390,99,0.127763
149564,124388,94,57810,48103,89,1897,1466,22,2855,2334,33,6185,5500,46,9793,7920,54,274794,225377,107,0.13475
156342,131024,100,51381,42315,89,1915,1506,21,2683,2871,31,6441,5200,45,9637,7976,57,272469,237712,108,0.137744
39912,38678,85,16543,15175,71,656,616,0,734,728,0,1922,1614,20,3196,2960,33,87650,77125,85,0.137744
126210,109463,91,56457,48176,87,1711,1598,18,3323,2582,38,6540,5532,47,10317,8048,63,274179,236269,105,0.146728
205344,167989,105,81913,66814,96,2531,2006,29,5055,3951,45,11023,8852,62,16413,13385,75,452157,375592,115,0.149722
31782,31438,63,13699,13779,46,439,544,0,1116,1040,4,1428,1593,16,2633,2543,28,59481,59570,83,0.153715
58418,57596,72,24394,24131,69,713,731,0,919,1060,5,2408,2499,25,4045,4211,35,104810,101889,91,0.155711
67771,65596,76,22306,22223,65,601,631,0,1153,1441,11,3028,3048,31,4709,4887,37,119830,117740,92,0.158705
140139,129622,87,57666,53201,86,1374,1060,9,3027,3036,29,6500,5824,45,8579,7560,50,225265,207071,104,0.160702
217067,167519,108,74482,57526,96,2847,1941,31,4593,3506,41,9518,7185,56,15200,12740,73,399647,311851,114,0.165692
38764,35551,82,15731,15738,50,370,372,0,1224,1111,8,2044,1992,23,2925,2948,30,73041,72174,86,0.168687
